swiss.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2601060059 7200 7200 604800 900
00l30i1um94tsh0rplt46cv654blamda.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. RfYBiFuwkR7ofgRZOQWSLPHZr40fIUd545KynnaSUyNO3RPbU+6YXcJvmDIBi7ToI2f4HfVgtRGi1G2ipi4lkcKO/YTbFJOBgP26Lyo+WSxxxTBMxCkCv3rxFV5ZDSJa+04RyUtRUuZ2w4WulyjGvgeL7ubIraL6K41mcFI1ZqevAhqhygZHWxQ+hfj7g9g709IE0wS86coD1YrIfnj++g==
00mnfu08onskidpjo73k338kjffpcse0.swiss.	43200	in	nsec3	1 0 0 - 00PG29UBLGFE5HDMSRLQ8Q4QRB3C0FU4 NS
00mnfu08onskidpjo73k338kjffpcse0.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. UwMthzZ++3RZhNs1ohPaoWnDjoTMoOX69H/uUrKaqd5IhunPBG9vbf02ouuSgaZ6n8r53BTyiSi4gad3rkiTeSL+jzqi+kJ+Dg4qUab0XUGWM0RU7gEeo5hvBEjUgXrww3e8+963LyHP7dotr7eXZ+WqKCtXKO8RWlSnEiMPrueGVNtqP8xVkQ88DvZlxyT1CgUJDWRv5NAx2AjLrPT5nA==
00pg29ublgfe5hdmsrlq8q4qrb3c0fu4.swiss.	43200	in	nsec3	1 0 0 - 00R8UANP5E9TS14IDJO6K810JVRCV652 NS
00pg29ublgfe5hdmsrlq8q4qrb3c0fu4.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. Q2ib6XFVFMuAcc8DmnLTeZLiQRS1BQ4vtvwzrz0Kup077UMlUm89oOO2UH6RJ/TgY6gi2H68xCWSOtoNYTeHP6QXrvpT/Hf4CDkkChSt3uEvzcXPYbzn1bgKVYeqkth42H53DE0G4I0/lXuqGas3kUaRXtFIEqnQA38pUGAznX3Fef6xSKcDvv5E+pDFXkl36mSfl8vC0EnzwQs2i5VbJA==
00r8uanp5e9ts14idjo6k810jvrcv652.swiss.	43200	in	nsec3	1 0 0 - 00RKNA1DJPR7505V1UH5B6EEFIBGHTEG NS
00r8uanp5e9ts14idjo6k810jvrcv652.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. HYO3ZA9yKz9rsmMQIfa2BazdtSXz06Ctml3GY/xSIGCnT+SD2BI1SHkRvNPNIAzYQesbORAXnLf1P25C+QxAxtdf7dJ9b11E/M3jrZNTypRDqNWlKqfFaTXs4tJhX67SG1pE8GAsEKvsBihUKcarm43r/z9Im7Qs8sakArr5ORcxOjVOVd3Aeug7aCIecqIC4oAjDr8VF1/8LAFZbCsAhA==
00rkna1djpr7505v1uh5b6eefibghteg.swiss.	43200	in	nsec3	1 0 0 - 00SEL1G12IB4OAJP35M0LNI47ENJSI1O NS DS RRSIG
00rkna1djpr7505v1uh5b6eefibghteg.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. EUVk2/0O6vyhqackO76F7SUB6CIwpIIV1qFIhmI80DO7frBryMuCdHMzroGhKtG8BhzhxY+E9e6n4m1RT/toQLsRkA/F1DG3wAgG4BacAfJ9olQOLl7iOa76e3Np3eGxBBUYQpvi7lEvkBq9Uj0EEsbi9Bm5vwoFQU1p7XIq5Ug0pdqWV47TCKjQYuuWzBca783n42pPVGQ+xiuypZZo8g==
00sel1g12ib4oajp35m0lni47enjsi1o.swiss.	43200	in	nsec3	1 0 0 - 00TH91NM58BJOOO1H8RT7PO5R2M03R8J NS
00sel1g12ib4oajp35m0lni47enjsi1o.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. Xg5M+Dz+hSttewjsIwBbsPwMuM/DZlVP43pPlhLL8kxtmMr/mk5Ir7KVyyO6jEbCQD0tCqsngDvVTdyZnHuhKKzwP2iq1bJZY3Wvf1ba20FMwUcu0aKc/3KOSe4N7IgMoBSShDA5G/x28zBKn8xly+/kC4rNhcCfHnC5jcYB0GZhth94wm9cxlW4pBIpeJX2zMuFXkdNLINHoLIhDIHbHg==
00th91nm58bjooo1h8rt7po5r2m03r8j.swiss.	43200	in	nsec3	1 0 0 - 00U0460R9SLAF8MB9D17B6QJABVCQMLK NS
00th91nm58bjooo1h8rt7po5r2m03r8j.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. HweAnDAwhHzurkw+WklQQozzBeLUS+gl36ytQtkzqzH5O8hFoABbrRJyjYWKYF2G2neCp7+Zq61HXv5eVbSEren3U45aoWxx9yjCGLeG3UHj9vuhVY8mOuip425Zk9pFwvU0kZnTMxpbe8CN4W8A/+nw/7Bl2fNybvgxsTcUa2a/Gpl8B5hTuNu4Vle6rd9qr6gpaZDpTPDfhRWdckMXJA==
00u0460r9slaf8mb9d17b6qjabvcqmlk.swiss.	43200	in	nsec3	1 0 0 - 00UIGNL2V6KU9EH1ECJ0JI4CF32I90QA NS
00u0460r9slaf8mb9d17b6qjabvcqmlk.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. NhVzItmBzxkWOxQlcjz0+/+kHlEbIJxFpix+NjOICNyOAgQDeG1mdC0Bh/tOPnbV+qwDDUJN+pdDVrRCAJlqqs8R0UzZBD2QsTrGYoxlyailxKKH6u+MM4PVZ4lA3Loe6oXBin1+b+cmWuG5n0ImIWIRaSEiDlo+rfmIX6cOC1p9FEIKUp02GBAXl9NdSL6vcZxFO2o+rUpvF3ZQVK/7BA==
00uignl2v6ku9eh1ecj0ji4cf32i90qa.swiss.	43200	in	nsec3	1 0 0 - 00V2R485JODJ9OGRQ5GMH02QSDR3HR7K NS DS RRSIG
00uignl2v6ku9eh1ecj0ji4cf32i90qa.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. VgZx18ZKdneECBSDztXW8nbom4ne4udMen066Uge6MC8cHDrTGc1D16E3RrdTCmSdmVGfcqcvQL4s/cE9B5CcXi2NtaOMLQpa6ELAgQBBuiTQDXK5njPTVXVssn39NFb0y/FLHFm84i6ospqq0L99u6aU2lLUdT2QwoDlqX3UJwFYQK31kTRpWe1DfYa+grudh3dGi876AuwAbDbXSm8OQ==
00v2r485jodj9ogrq5gmh02qsdr3hr7k.swiss.	43200	in	nsec3	1 0 0 - 00VS397TEC46QT8S6Q92B60RS1LS67JG NS
00v2r485jodj9ogrq5gmh02qsdr3hr7k.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. ZIGW947CsBdFlNThTRi7IJmuaYTiGTcGpxSrzI+u/7adUHvPMmKYLwjZaRWCOC+gRUpubc115rS4OjHUwn4zYpCLIHVka1XW2OpAYysoQlw09MCK8I6utBewQazZErBu1bcQ4us/2exuEexIwfM3+DdAWQg+9Azifpm5+/8tZ7zX8jmscq0IFjMjczx1NVK3e8sGcAlOsj0au7ZUtAHy3w==
00vs397tec46qt8s6q92b60rs1ls67jg.swiss.	43200	in	nsec3	1 0 0 - 010L7P77JPLN8E1AR0H2AVOORFTALSNG NS
00vs397tec46qt8s6q92b60rs1ls67jg.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. MtzUjInecUfjCiSuEHUAvxBziwPTRTZebyhlAVC5TVa1X8q57l/vMgR6c+06rJziXjPg582zjnm49ClEqrK/GpPO6Ux1Jci/BO65S9SexKA5yMc/Po35o2D7T0VRRHzH8EmpaML6NzfwbvLflAaimsXnBHzmHeY897LfqzcKajnDfi0dPydHwrtIGcQYQPH6bOAbz4PWSI9tehspWDV6Jg==
010l7p77jpln8e1ar0h2avoorftalsng.swiss.	43200	in	nsec3	1 0 0 - 0142OKNSQER66EA6UUHOTV1ALIBUNEPJ NS
010l7p77jpln8e1ar0h2avoorftalsng.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. KUaHJTjJnidJ6+SDNtJq83kuwn/IHw7M8bjVQjxlAdzRWEbMfnZI2yfkOdhgCLd1oNsBCzKVSjI8KsEgHB9Sb+xrR0/AkXVM4Ux8ENbI9W8+wP749KOCz2lOuz/QFTPCtsdjaRlSf2L432mg0d4GClqaHf7TMkCjoAiTpSOQi+WtgRZYXYSeKrxNBdeTsFAhUQKsKdkDbPkvMX3Xk9HL9w==
0142oknsqer66ea6uuhotv1alibunepj.swiss.	43200	in	nsec3	1 0 0 - 01A5U19R2A1B4LPL7KRR261HALEIFEEL NS
0142oknsqer66ea6uuhotv1alibunepj.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. AgjcsEtFRu32+qV2PIypFp7k0bMHYzwSBxlaNU6ByzAIiwnMS2iEqn6MeH7IereKpLsT7XzhaJKtjnknJKFQ2VlUg1G2Mh4/kL4ujy+mgy/1matdXAyKQuITxEUnBB0hVABTJB6GY6orsMqJtfLooxOcvB85mXsrwbAJsQ/8dqJPA0ZM/4mmoNYAO5T/UkhUmjly03wQzuRIiuBQxq+dMg==
01a5u19r2a1b4lpl7krr261haleifeel.swiss.	43200	in	nsec3	1 0 0 - 01BAUTLE3EE4PDRP459T0B1P5UHMA36R NS DS RRSIG
01a5u19r2a1b4lpl7krr261haleifeel.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. FghJYtAhxAijK7WsEEiuIGPz7QDe3moOHmD0o9tXIKz8IjKdJ8m87bHksYp0UciGP9TbhBp3QqS4TXuuZgdiCjOVS9U4EHF7EqsvWkcSr7hqHSPqkc+x+7lCbRLUVaEvHvaxFC7Q6cQS/02dTxZNJtlc88zrGlEuwcALBDkEkS48Ryn/Y7ABK7btIWZOOYgVGaCiv9pOJZPuBghFD0OWbg==
01bautle3ee4pdrp459t0b1p5uhma36r.swiss.	43200	in	nsec3	1 0 0 - 01HLFUHK21GPKJG4AKQTS647L1NUNOGQ NS DS RRSIG
01bautle3ee4pdrp459t0b1p5uhma36r.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. jGRnFUoGDMNFIwgFC+Wo3zG4BgtNIEBGq4/LcR8WuVL0fIWI+uiForqfqQnOKOBpxbo3vOxoSwEDjDoroKFSHJaP7n+5wz0IVG6mfnU4LU67LBMuoEfC5v2tZdPg0rL9VazrIiZTycCH7uEq2t5XhArRsUa7viNweH61zw4AidQYn75xDVF6XCjrvBz2UdrIhwdk3EvnIc9aZo9BaREFNg==
01hlfuhk21gpkjg4akqts647l1nunogq.swiss.	43200	in	nsec3	1 0 0 - 01K2JQLT1ID28RG94I59NVLS48CLPAQK NS
01hlfuhk21gpkjg4akqts647l1nunogq.swiss.	43200	in	rrsig	NSEC3 10 2 43200 20260114215222 20251231215222 11583 swiss. CubzxMLpf6/PZqxRq8rCv8uNdbJkmfKrtiLzi9MhJrG/9Ubp7wZgdRs5dvTzEeg27eVK/tDth4FHKKx/aEWzXKRl/KxV2PHKReAfibi+fpUpBqOfY4xov7dppZhNs7hgyoKn1WhVKt9EQub1zElMIH2uWu2XKLkftBPihXrJ7BWEblO75TFl/45DYOi7VjUN3qv7ZN4qo6Xn2hL/UfWBIw==
01k2jqlt1id28rg94i59nvls48clpaqk.swiss.	43200	in	nsec3	1 0 0 - 01KCGMRRIU2UOGUNFKJUTTNKGUBMMFDO NS
