51order-go.xn--3ds443g.	86400	in	ns	expdns2.expdns.net.
51pai.xn--3ds443g.	86400	in	ns	expdns1.expdns.net.
51pai.xn--3ds443g.	86400	in	ns	expdns2.expdns.net.
51sishijiufang.xn--3ds443g.	86400	in	ns	expdns1.expdns.net.
51sishijiufang.xn--3ds443g.	86400	in	ns	expdns2.expdns.net.
51tumama.xn--3ds443g.	86400	in	ns	expdns1.expdns.net.
51tumama.xn--3ds443g.	86400	in	ns	expdns2.expdns.net.
51weixin.xn--3ds443g.	86400	in	ns	expdns1.expdns.net.
51weixin.xn--3ds443g.	86400	in	ns	expdns2.expdns.net.
51wwww.xn--3ds443g.	86400	in	ns	expdns1.expdns.net.
51wwww.xn--3ds443g.	86400	in	ns	expdns2.expdns.net.
520.xn--3ds443g.	86400	in	ns	ns.nebula.fi.
520.xn--3ds443g.	86400	in	ns	ns2.nebula.fi.
52306.xn--3ds443g.	86400	in	ns	ns.nebula.fi.
52306.xn--3ds443g.	86400	in	ns	ns2.nebula.fi.
5518.xn--3ds443g.	86400	in	ns	ns3.myhostadmin.net.
5518.xn--3ds443g.	86400	in	ns	ns4.myhostadmin.net.
555.xn--3ds443g.	7200	in	ns	ns.nagor.cn.
555.xn--3ds443g.	7200	in	ns	ns.nagor.com.cn.
555.xn--3ds443g.	7200	in	ns	ns1.dnsnw.com.
555.xn--3ds443g.	7200	in	ns	ns2.dnsnw.com.
5688.xn--3ds443g.	86400	in	ns	ns5.myhostadmin.net.
5688.xn--3ds443g.	86400	in	ns	ns6.myhostadmin.net.
5g.xn--3ds443g.	86400	in	ns	ns.nagor.cn.
5g.xn--3ds443g.	86400	in	ns	ns.nagor.com.cn.
5g.xn--3ds443g.	86400	in	ns	ns1.dnsnw.com.
5g.xn--3ds443g.	86400	in	ns	ns2.dnsnw.com.
6.xn--3ds443g.	86400	in	ns	ns.nagor.cn.
6.xn--3ds443g.	86400	in	ns	ns.nagor.com.cn.
6.xn--3ds443g.	86400	in	ns	ns1.dnsnw.com.
6.xn--3ds443g.	86400	in	ns	ns2.dnsnw.com.
600030.xn--3ds443g.	86400	in	ns	ns1.gxkjdns.com.
600030.xn--3ds443g.	86400	in	ns	ns2.gxkjdns.com.
6060.xn--3ds443g.	86400	in	ns	ns5.myhostadmin.net.
6060.xn--3ds443g.	86400	in	ns	ns6.myhostadmin.net.
6099.xn--3ds443g.	86400	in	ns	ns5.myhostadmin.net.
6099.xn--3ds443g.	86400	in	ns	ns6.myhostadmin.net.
618.xn--3ds443g.	86400	in	ns	ns.nagor.cn.
618.xn--3ds443g.	86400	in	ns	ns.nagor.com.cn.
618.xn--3ds443g.	86400	in	ns	ns1.dnsnw.com.
