15um3r3qbpat92omau59ikctq6ataom0.deals.	3600	in	nsec3	1 1 0 73 16TEJ4J2LH5NRICFE73NVR5FMB0ML082 NS DS RRSIG
15um3r3qbpat92omau59ikctq6ataom0.deals.	3600	in	rrsig	NSEC3 8 2 3600 20260207152859 20260117142859 24753 deals. n1NS14PYndv4nFstcGc6HGw8hGaaOqHFEZFhj26a1RpTVgfeyy/8pE7LbU+wU8DF6L9Bc9tPR0gaN7RG2FsuU0ESOcHuVj89TwEBwBko/8F/u0mpM5wxZIlQPW75Ul3PZRaEQH1mOXzXclQfWYIaCkEJqG46DpOB62Jdz3wYhZM=
168topgame.deals.	3600	in	ns	ns1hwy.name.com.
168topgame.deals.	3600	in	ns	ns2lns.name.com.
168topgame.deals.	3600	in	ns	ns3dgr.name.com.
168topgame.deals.	3600	in	ns	ns4lrt.name.com.
16tej4j2lh5nricfe73nvr5fmb0ml082.deals.	3600	in	nsec3	1 1 0 73 18Q5KUIDJDHAF13JFHV0BL94JOEBGOG3 NS DS RRSIG
16tej4j2lh5nricfe73nvr5fmb0ml082.deals.	3600	in	rrsig	NSEC3 8 2 3600 20260207152859 20260117142859 24753 deals. RMm1rxEmiw2zWNj+WKUuQMc29L8MUP9XtCwF3VzXkVl9O3td3kTWdUvLtfHYrxorXhZ3+BIwiql3ZOW8k502yiF9EXwi11j7LAjJGV/KjPTtuNCB/UOjsvd4WXbAiNRckhjwmIJgrgdFovFJtn3RMiix6v0S3Mh4VgGTpCXoc8k=
1789.deals.	3600	in	ds	40531 8 2 336B178BAB5B8A7C928DB4D159DA0102A237BA8AB385CD640F763AA007BE0A8A
1789.deals.	3600	in	ns	ns-cloud-b1.googledomains.com.
1789.deals.	3600	in	ns	ns-cloud-b2.googledomains.com.
1789.deals.	3600	in	ns	ns-cloud-b3.googledomains.com.
1789.deals.	3600	in	ns	ns-cloud-b4.googledomains.com.
1789.deals.	3600	in	rrsig	DS 8 2 3600 20260207152859 20260117142859 24753 deals. KOhHEjnSsrN7WvVYEyiILKCmxcIPLcscUE19905erTBfMgMVvOjjq1bIw/xsu3I4uqYzvtnjlVCIwUmw59DL6jH4XwkhsbHX5wZm5ho+TY5DzMg4gGnV8Z2vy1TRQYa3LgNwjzw8NbhUJq+c7vOA2JGCkf0zYnFiXFHEXkKDrgU=
1800baskets.deals.	3600	in	ns	dns1.cscdns.net.
1800baskets.deals.	3600	in	ns	dns2.cscdns.net.
1800reserve.deals.	3600	in	ns	ns01.domaincontrol.com.
1800reserve.deals.	3600	in	ns	ns02.domaincontrol.com.
188bet.deals.	3600	in	ns	pdns95.ultradns.biz.
188bet.deals.	3600	in	ns	pdns95.ultradns.com.
188bet.deals.	3600	in	ns	pdns95.ultradns.net.
188bet.deals.	3600	in	ns	pdns95.ultradns.org.
18peaches.deals.	3600	in	ns	ns1.dnsowl.com.
18peaches.deals.	3600	in	ns	ns2.dnsowl.com.
18peaches.deals.	3600	in	ns	ns3.dnsowl.com.
18q5kuidjdhaf13jfhv0bl94joebgog3.deals.	3600	in	nsec3	1 1 0 73 1AQAO258DKARTRH7IG7FEN9P9SCH4EJP NS DS RRSIG
18q5kuidjdhaf13jfhv0bl94joebgog3.deals.	3600	in	rrsig	NSEC3 8 2 3600 20260207152859 20260117142859 24753 deals. bs/DnX6WdLgjKftU9mFGqY4wD4mD9mnMUHfTTTazQHEGXMy1Fjh7TQnOSNm2HDQeOG+67cokoMgUEnwykEbZFEfhdI1Qi95n5w6LlxzFfN9uYgDaeTlSZB3s56E4fI4/ouW/qv4a3Z5BWfcVP7xxQMzLgJiAHX9yC/ArHknF2Vo=
18win.deals.	3600	in	ns	curt.ns.cloudflare.com.
18win.deals.	3600	in	ns	kami.ns.cloudflare.com.
1and1-ionos.deals.	3600	in	ns	ns-1and1.ui-dns.biz.
1and1-ionos.deals.	3600	in	ns	ns-1and1.ui-dns.com.
1and1-ionos.deals.	3600	in	ns	ns-1and1.ui-dns.de.
1and1-ionos.deals.	3600	in	ns	ns-1and1.ui-dns.org.
1and1ionos.deals.	3600	in	ns	ns-1and1.ui-dns.biz.
1and1ionos.deals.	3600	in	ns	ns-1and1.ui-dns.com.
1and1ionos.deals.	3600	in	ns	ns-1and1.ui-dns.de.
1and1ionos.deals.	3600	in	ns	ns-1and1.ui-dns.org.
1aqao258dkartrh7ig7fen9p9sch4ejp.deals.	3600	in	nsec3	1 1 0 73 1GOB1JO2E5A2HC66DCC1U9RP1STCI2A8 NS DS RRSIG
1aqao258dkartrh7ig7fen9p9sch4ejp.deals.	3600	in	rrsig	NSEC3 8 2 3600 20260207152859 20260117142859 24753 deals. pdwbIKFvRJMCWzX8IYjXwOL+vcs8c+PPUUILjQh/pfa/lHi5FKq+zmb7B1uqVSFYrFoXKCI0VWo/Z2FhX4p9CBBVx8sfH722filNbMwe9phG4eW1sabEsFXSKrRNIeOKXQ5EP9czuni1bx/EY4oqFAfTbU/G1yuVmRD3z+k0xqc=
1deals.deals.	3600	in	ns	lou.ns.cloudflare.com.
1deals.deals.	3600	in	ns	vera.ns.cloudflare.com.
1euro.deals.	3600	in	ns	dns20.ovh.net.
1euro.deals.	3600	in	ns	ns20.ovh.net.
1gob1jo2e5a2hc66dcc1u9rp1stci2a8.deals.	3600	in	nsec3	1 1 0 73 1KEQCO5RVBSRDHBIUUFCBNGREF3FIR3S NS DS RRSIG
1gob1jo2e5a2hc66dcc1u9rp1stci2a8.deals.	3600	in	rrsig	NSEC3 8 2 3600 20260207152859 20260117142859 24753 deals. jgizC+X8thmmdqFaKDVglDMvwj/D8UCBIy7UKZVfpPVQw2Tqp7aJohpfITU2685Nui122V4/xmDmpymbSO67zrSD7RovHpJ4trWOSM0ShZCQuc2suyirYBqH/5U5I1GFSerSXSPcu2XejzWgqW99ZmTN412P5YL2FiJtdPQ2/sE=
1keqco5rvbsrdhbiuufcbngref3fir3s.deals.	3600	in	nsec3	1 1 0 73 1NEDLAL0HVV30Q7JPGJVOEELK4VRMCEM NS DS RRSIG
1keqco5rvbsrdhbiuufcbngref3fir3s.deals.	3600	in	rrsig	NSEC3 8 2 3600 20260207152859 20260117142859 24753 deals. A5VYJ9OURScLwBjPx4wK+2R8ysrb0yDnm7DpUQVWQQmXye8wAQ/Y9/kwEuSfZguP1bRGviRyVt38hBwEedTEX6DqxtULFOK38/6M+RXNk4D4p6sQuauNAZr2aGTpBDFhwNpv+7oAJ4UjXdVOpgkwztc5kLpRGX7MQ7o/vYG1Q04=
1klick.deals.	3600	in	ns	ns-cloud-b1.googledomains.com.
1klick.deals.	3600	in	ns	ns-cloud-b2.googledomains.com.
1klick.deals.	3600	in	ns	ns-cloud-b3.googledomains.com.
1klick.deals.	3600	in	ns	ns-cloud-b4.googledomains.com.
1nedlal0hvv30q7jpgjvoeelk4vrmcem.deals.	3600	in	nsec3	1 1 0 73 1NMVM7G95R281HF6GN3FJC4309CAOH8V NS DS RRSIG
1nedlal0hvv30q7jpgjvoeelk4vrmcem.deals.	3600	in	rrsig	NSEC3 8 2 3600 20260207152859 20260117142859 24753 deals. Pab/nsSRJ8P190zjRyzPYW/KNjOqEWnIfiobyYrx/PqeKQCMLLn/k8K3XCvcoEiX9ngbTajWDQ4mnnzfg6P0fmu2KEIXdOLvnXGDeCTjH1ox+w4BHHoaFO2uNraL66f4mtFzC1Pzm0eat2MeziBIP+Uu+QHHJ1ojBvMsCoObfK0=
1newcasinos.deals.	3600	in	ns	ns15.domaincontrol.com.
1newcasinos.deals.	3600	in	ns	ns16.domaincontrol.com.
1nmvm7g95r281hf6gn3fjc4309caoh8v.deals.	3600	in	nsec3	1 1 0 73 1S79O7U93K4H017359TJB8RN4GADC523 NS DS RRSIG
1nmvm7g95r281hf6gn3fjc4309caoh8v.deals.	3600	in	rrsig	NSEC3 8 2 3600 20260207152859 20260117142859 24753 deals. FWQiogzL22UH/OH4w42XSpP+A4eXyPlxS9/d26oJa9y8LKJoz560coIeE0cg4aVrybrjpaKgVCzFhGnl1lPmCQv9+mDQk4Zcb/SJb9xzbVBK9dm9gfl2d8eNS2bagtoNA393xRhf1Dy8q6hs7tNFwnXptF/dj35UXRbgs7Xrl1o=
1page.deals.	3600	in	ns	ns1.dnsowl.com.
1page.deals.	3600	in	ns	ns2.dnsowl.com.
1page.deals.	3600	in	ns	ns3.dnsowl.com.
1plus1.deals.	3600	in	ns	ns.udag.de.
1plus1.deals.	3600	in	ns	ns.udag.net.
1plus1.deals.	3600	in	ns	ns.udag.org.
1promo.deals.	3600	in	ns	katelyn.ns.cloudflare.com.
1promo.deals.	3600	in	ns	sullivan.ns.cloudflare.com.
1s79o7u93k4h017359tjb8rn4gadc523.deals.	3600	in	nsec3	1 1 0 73 1TOKGF92D2QA0AQCHLCR680GCVR6F8MP NS DS RRSIG
1s79o7u93k4h017359tjb8rn4gadc523.deals.	3600	in	rrsig	NSEC3 8 2 3600 20260207152859 20260117142859 24753 deals. Eg3Wh8JHVg6BYmUuuk9hN+NsI5NY759kZkgULq8w2y9QgPk7MR36e0RZf6zvoS+iMfvroEFAl5rcESqyNZfQ+NGnGWDnmovOpynzQy2710QWy111p7mtlKewl5Mfs76GTV4ZkPov7nJ4QJYgV7+ZhvOGStFhYIcxsk4GoLeeIZg=
1stchoice.deals.	3600	in	ns	ns77.domaincontrol.com.
1stchoice.deals.	3600	in	ns	ns78.domaincontrol.com.
1stop.deals.	3600	in	ns	ns65.domaincontrol.com.
1stop.deals.	3600	in	ns	ns66.domaincontrol.com.
1stopshop.deals.	3600	in	ds	2371 13 2 C8DAEBDFC8D344C6B88690FD885689AF1389DF518218B94CBF39F4AF8FFE1122
