17laj11ucs4orek633keloglpdchc1p7.garden.	900	in	nsec3	1 1 0 - 1ADSU3SKMJVSNT7EG6FH85680N73Q3VM NS DS RRSIG
17laj11ucs4orek633keloglpdchc1p7.garden.	900	in	rrsig	NSEC3 8 2 900 20250922020136 20250908015950 7590 garden. YnVFoHnwWwJ7YNkDmSEtqY+Qgnur/KZkgBx5KORr7dCUqeD+iSLzAd8e8krqgS5qmg9jDLbTg0cM1KOzDce1vbY/fKs5c5XF4m+va0gwgYU4FZNdzGFotb90a3FX0/AqRDfDSjB7PvGQJqV2y9IKnWkWfI5cV3rgWq6lwUVIfASugqJT947z1XpN6ZEMdOrnVW1bvCDjaL1Amb0pV2tpbw==
188bet.garden.	3600	in	ns	dion.ns.cloudflare.com.
188bet.garden.	3600	in	ns	princess.ns.cloudflare.com.
198.garden.	172800	in	ns	asa.ns.cloudflare.com.
198.garden.	172800	in	ns	josh.ns.cloudflare.com.
1adsu3skmjvsnt7eg6fh85680n73q3vm.garden.	900	in	nsec3	1 1 0 - 1EPV33P2O45S2RFGDUI8SJSSQ4453HE1 NS DS RRSIG
1adsu3skmjvsnt7eg6fh85680n73q3vm.garden.	900	in	rrsig	NSEC3 8 2 900 20250920133929 20250906133519 7590 garden. Y9aWSJHKSlBt092pb2nOUpq7i7tnwiqC/GtDI+WuReh8PbdeVjiMmQbL2Hg9C96Mxzv1qHbnWp/ClSWedeXSlJroKXXbgRNMoNcuUr0qeLmdLF3bX+nynh71v4ssSRwcQ/dwdRUkvniZuQz9BoH5l9PPZGDnoBWedNbmLzJ0qedpEJ54i604SoTCzGYNHVaNRJdvmVQ0v+k7+xSGqbaChw==
1cabura.garden.	3600	in	ns	dns1.registrar-servers.com.
1cabura.garden.	3600	in	ns	dns2.registrar-servers.com.
1dna.garden.	3600	in	ds	5014 13 2 A29990EFB52E86CE133E0972F9EAA2AE2D26AB6A167D88C1F212B4BCAA699C78
1dna.garden.	3600	in	ns	ns0.transip.net.
1dna.garden.	3600	in	ns	ns1.transip.nl.
1dna.garden.	3600	in	ns	ns2.transip.eu.
1dna.garden.	3600	in	rrsig	DS 8 2 3600 20250920215610 20250906210653 7590 garden. IGMxCKASqYPMrxC5AOxEQkVfmKBXWrC2iyi5IHKkYHNob472KHbO1Fz1/ayktY3WGGjK6nUUtTJk2BOYVQiG1dFOa0BvriqJdEFWXYeEFBdedhJYbDwwCb1YrsftGf6cw78BdtmUYs+Xq65TzMTwUhR/94E/9LhVq1NHPWxRPjRoEPxMMfvYvth8Da53tWQ7yVg6DCJgrMEzdnAELvf3pA==
1epv33p2o45s2rfgdui8sjssq4453he1.garden.	900	in	nsec3	1 1 0 - 1GS5L5A334TAMUTHCA3H9J0APAUJAA14 NS DS RRSIG
1epv33p2o45s2rfgdui8sjssq4453he1.garden.	900	in	rrsig	NSEC3 8 2 900 20250920171009 20250906162948 7590 garden. OHcoLICtlHNudvlu6/HixkN5m9BqLEZvbIKzDQ3Qta+XW8VxQcw6CD3SetgPsv1xzbYD3bIKsIQKE2ORPVCWbovw9tMI+DCfcLaytWU2kcZNWFVBfYeRe7K4CvAd9Gbl4WzD3JRBjqPEQQVFqPT1cy1qbfdqiFz4+GZcMgRhZpO4zbThe2ZWvXF+oQAgqENKRqY6wjy/zMsDwCDtzvi6Og==
1gs5l5a334tamuthca3h9j0apaujaa14.garden.	900	in	nsec3	1 1 0 - 1I2TFGFAP1QO1P81SGQ8E4QNAERPEBQM NS DS RRSIG
