autumn-nations.rugby.	3600	in	ns	curitiba.ns.porkbun.com.
autumn-nations.rugby.	3600	in	ns	fortaleza.ns.porkbun.com.
autumn-nations.rugby.	3600	in	ns	maceio.ns.porkbun.com.
autumn-nations.rugby.	3600	in	ns	salvador.ns.porkbun.com.
autumn.rugby.	3600	in	ns	curitiba.ns.porkbun.com.
autumn.rugby.	3600	in	ns	fortaleza.ns.porkbun.com.
autumn.rugby.	3600	in	ns	maceio.ns.porkbun.com.
autumn.rugby.	3600	in	ns	salvador.ns.porkbun.com.
autumninternationals.rugby.	3600	in	ns	curitiba.ns.porkbun.com.
autumninternationals.rugby.	3600	in	ns	fortaleza.ns.porkbun.com.
autumninternationals.rugby.	3600	in	ns	maceio.ns.porkbun.com.
autumninternationals.rugby.	3600	in	ns	salvador.ns.porkbun.com.
autumnnations.rugby.	3600	in	ns	curitiba.ns.porkbun.com.
autumnnations.rugby.	3600	in	ns	fortaleza.ns.porkbun.com.
autumnnations.rugby.	3600	in	ns	maceio.ns.porkbun.com.
autumnnations.rugby.	3600	in	ns	salvador.ns.porkbun.com.
aws.rugby.	3600	in	ns	nsgbr.comlaude.co.uk.
aws.rugby.	3600	in	ns	nssui.comlaude.ch.
aws.rugby.	3600	in	ns	nsusa.comlaude.net.
b.nic.rugby.	7200	in	a	37.209.194.10
b.nic.rugby.	7200	in	aaaa	2001:0dcd:0002:0000:0000:0000:0000:0010
baboons.rugby.	3600	in	ns	ns-1147.awsdns-15.org.
baboons.rugby.	3600	in	ns	ns-146.awsdns-18.com.
baboons.rugby.	3600	in	ns	ns-1553.awsdns-02.co.uk.
baboons.rugby.	3600	in	ns	ns-815.awsdns-37.net.
baby.rugby.	3600	in	ns	ns-142-a.gandi.net.
baby.rugby.	3600	in	ns	ns-211-c.gandi.net.
baby.rugby.	3600	in	ns	ns-70-b.gandi.net.
bafcpmi8rsfivv1dbia9s976hu5lfsaj.rugby.	900	in	nsec3	1 1 0 - CR1I8T4B38LF0I12UFKVU30E15GK0UAF NS DS RRSIG
bafcpmi8rsfivv1dbia9s976hu5lfsaj.rugby.	900	in	rrsig	NSEC3 8 2 900 20250909075054 20250826072139 49341 rugby. VwEmHW33Nwqj059mmweydtJiWi6o9g/1PT3/yU3xX1+pb3je6BQ1p2SwHbfu8ihhcsg6osLCJHVZ9LqR1fkh9TznRGhHa9MwxB8ROYBImWuWKVHOKyFmnwZH1pW3yBeoXs59qF6G9ECPc9/VCr/3pTej38Fifu7oKAV/WB+1ve1mlse34yFy2lzQOI3VH3t6EPbpYe/3q5Qx/Z0KJjef5w==
bahamas.rugby.	3600	in	ds	18251 13 1 76ACA86F4D5466BEB91675844BF337E0794F3292
