06240.yokohama.	86400	in	ns	b.dnspod.com.
06240.yokohama.	86400	in	ns	c.dnspod.com.
06bc2b5nlapnt9u1e3ghqfvg7av36lai.yokohama.	3600	in	nsec3	1 0 0 - 06DPISPFBCO3PMIH7ICCBCFQ08GCGFEV NS
06bc2b5nlapnt9u1e3ghqfvg7av36lai.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250901202905 20250826014522 735 yokohama. cvIBmdPNoorwUXupDl9iGv/gYsRHbIBhBXi1tdFUeLzRGjQgnKB+e+5BubiNRK6+sJxvA7HhghNYNE1FAiRfJ8klu//3mEbPmKK2a2XdPrjsRgZbgbT2G0Vu0O5NsQJTWvvWdZrdkHfPCN8+AXWJOTXzcZxNPx1INK3r0EgX3yc=
06dpispfbco3pmih7iccbcfq08gcgfev.yokohama.	3600	in	nsec3	1 0 0 - 06DQ9LDKQCTNVVAJ3C5VSL9R4PB817MA NS
06dpispfbco3pmih7iccbcfq08gcgfev.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250902002128 20250826014522 735 yokohama. t6gBvPYj7GilT1CIuKwmVelb5tMjroZtf+AvOrBacjA8FbGCWJMyr0ADawjTyO9K8voI3AJhqQICG8OwooL6lAL4q4wfYN7bHHPnjlupq8Fy6spbNJZywGZ/woF9BIrLNfawef+/4hCfdYWYuK7C9SPqg+kSJkgGy2//ykkRSHM=
06dq9ldkqctnvvaj3c5vsl9r4pb817ma.yokohama.	3600	in	nsec3	1 0 0 - 0755JVAI6ADG06LPNG8L8C1BOT86PFSN NS
06dq9ldkqctnvvaj3c5vsl9r4pb817ma.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250902112715 20250826014522 735 yokohama. aViz+ydFrfNVtv1HkwzXDTqPb7qi4MWjxdnbMui4AUA1anWirkjWlVt1UvhdXewp0Tl3/ay7pibaM80JiqW2Oc8f44goHk6TU7k5RpZzsmvPzSYZHb+clXo6xe+WO1v2C+zNmC/c21gVOvdG1idg1CqPGqQPPVB9qAWu7nXMRm4=
0755jvai6adg06lpng8l8c1bot86pfsn.yokohama.	3600	in	nsec3	1 0 0 - 084OK6TVRB6UTR1OCTUEIH8CICI8B0UD NS
0755jvai6adg06lpng8l8c1bot86pfsn.yokohama.	3600	in	rrsig	NSEC3 8 2 3600 20250902151148 20250826170635 735 yokohama. nj3aruZ8RhhFW1XP7k4pnwHj8Q1RyuMm2ZX1Myn08KLC+YI6nNwiE3PLYebFch3F6EytRgJAQMnDcGZ3xkOAgeR2BPwi10Sa7/oQqU/cUuZHDrsW+sc0esjQVfCzCm4h5KJF89ENhlEJlZ+nmfZ0Tdct6etoSNRQwjN0c4872hw=
