vision.	3600	in	soa	v0n0.nic.vision. hostmaster.donuts.email. 1767662362 7200 900 1209600 3600
0ruftltb94rahna7n01km43h9ld6u56t.vision.	3600	in	rrsig	NSEC3 8 2 3600 20260122161014 20260101151014 57360 vision. ih6KDn7Qi1s+prJfw0trRi4YUVFMB7D6gBgwFlIaRWQDl5LQyARPq8uUQ84EwngK+3we64kQs+ACCItiSgAhYEKuAVzWDhilv+CJYIkacbOn+ckacx6jNReO/M3u8QFAnKyhlttm4nSvhOTkQHjA7dFJQc2+Pyp6wmWmKWjxWws=
0upu30qgsj9j9tesncrh15r0r3kljoiq.vision.	3600	in	nsec3	1 1 0 73 10UN0AOUTUMTKKFJV8BETM0D9DI7LVEL NS DS RRSIG
0upu30qgsj9j9tesncrh15r0r3kljoiq.vision.	3600	in	rrsig	NSEC3 8 2 3600 20260122161014 20260101151014 57360 vision. MrEUJ+ZhnEBGqIP9Z3udsrqCDZznswafCVJfZQOqxGCgO3og8oqLOvW3J8IfkLZ96YVXan7I45tpbO1YTwwC9X14XwAjxqFpFW77B9sBR+rD8LcrNEi5JErJO1HvEtrfVJaE6hl+Uks8fLwIujRbuGvayRKwdGVf2Vs6hxCkoyw=
0x.vision.	3600	in	ns	launch1.spaceship.net.
0x.vision.	3600	in	ns	launch2.spaceship.net.
0xnulls.vision.	3600	in	ns	ns1.dns-parking.com.
0xnulls.vision.	3600	in	ns	ns2.dns-parking.com.
1.b2d.vision.	3600	in	a	80.67.16.124
1.vision.	3600	in	ns	arely.ns.cloudflare.com.
1.vision.	3600	in	ns	gannon.ns.cloudflare.com.
100.vision.	3600	in	ns	ns67.domaincontrol.com.
100.vision.	3600	in	ns	ns68.domaincontrol.com.
10000.vision.	3600	in	ns	ns1.dns-redirect.com.
10000.vision.	3600	in	ns	ns2.dns-redirect.com.
1000suns.vision.	3600	in	ns	ns87.worldnic.com.
1000suns.vision.	3600	in	ns	ns88.worldnic.com.
100x.vision.	3600	in	ns	ns35.domaincontrol.com.
100x.vision.	3600	in	ns	ns36.domaincontrol.com.
101.vision.	3600	in	ns	ns-109-a.gandi.net.
101.vision.	3600	in	ns	ns-154-c.gandi.net.
101.vision.	3600	in	ns	ns-3-b.gandi.net.
1024.vision.	3600	in	ns	marissa.ns.cloudflare.com.
1024.vision.	3600	in	ns	rodney.ns.cloudflare.com.
104.vision.	3600	in	ns	ns65.domaincontrol.com.
104.vision.	3600	in	ns	ns66.domaincontrol.com.
108.vision.	3600	in	ns	ns1.dns-redirect.com.
108.vision.	3600	in	ns	ns2.dns-redirect.com.
10sr.vision.	3600	in	ns	ns05.domaincontrol.com.
10sr.vision.	3600	in	ns	ns06.domaincontrol.com.
10tv.vision.	3600	in	ns	ns-1165.awsdns-17.org.
10tv.vision.	3600	in	ns	ns-1747.awsdns-26.co.uk.
10tv.vision.	3600	in	ns	ns-197.awsdns-24.com.
10tv.vision.	3600	in	ns	ns-940.awsdns-53.net.
10un0aoutumtkkfjv8betm0d9di7lvel.vision.	3600	in	nsec3	1 1 0 73 13DC1S8NVHV3GMNSK1JPE46QPU4M25A1 NS DS RRSIG
10un0aoutumtkkfjv8betm0d9di7lvel.vision.	3600	in	rrsig	NSEC3 8 2 3600 20260122161014 20260101151014 57360 vision. EC3G7tPE+Uv5VvXhM/vInC26pqzb+8A8Bp7mlo7rNJY6sQfU73cslhcj/BDWu/ymwbIAtNWWZVOa3vhPzMiuLo8T+uAwtxZNAcy4BCxSch3k+NsBSIzXS2TKENH/0vgguPfJTHrgjcK/MdKpPheY4zKwjF0oqAdYRU29Sfqx7xo=
10x.vision.	3600	in	ns	dns1.registrar-servers.com.
10x.vision.	3600	in	ns	dns2.registrar-servers.com.
10year.vision.	3600	in	ns	ns71.domaincontrol.com.
10year.vision.	3600	in	ns	ns72.domaincontrol.com.
