085.contact.	3600	in	ds	19981 8 2 3D324905537B9A0D3C29D45600C81A81263FCE26F524A9BE4ECE870F44CBD6EF
085.contact.	3600	in	ns	ns1.openprovider.nl.
085.contact.	3600	in	ns	ns2.openprovider.be.
085.contact.	3600	in	ns	ns3.openprovider.eu.
085.contact.	3600	in	rrsig	DS 8 2 3600 20260207153219 20260117143219 53970 contact. Wx3aFgynVANEiG6EYUyBcOnlkJufB/gDoGiyz38xMSoPHSiYTd05v1CoMN3LYKWAZA54a5aEH7wdLQYheK4CZKBl40afNHDp/LqiOKO+eMZATb5Q1y3s5S7xcLgMoR3YaInL8ppV6v4UlzXXwj9z2Fa3LL+TS9aNXWHU8wjXft8=
088.contact.	3600	in	ds	34027 8 2 9BCC221BDB519D1A7CA5A13E208BE7CDE27E244B28769F5A9BADEAB4D30C5178
088.contact.	3600	in	ns	ns1.openprovider.nl.
088.contact.	3600	in	ns	ns2.openprovider.be.
088.contact.	3600	in	ns	ns3.openprovider.eu.
088.contact.	3600	in	rrsig	DS 8 2 3600 20260207153219 20260117143219 53970 contact. w5piSrvFgVwS9G3wjIlav7G8JSuKeuCgxUFfQdq0u42Vyx5bC8j6tesHd+Z1r93vkOnJqFuaFWPhnYNyZNkUmOcef35kfreDd5HRBndSj1KALcaXV2QPOFn5p+YCf39D9LD8yTfcJexTtcxIGTVaf3ptKTLD+UNebigT/Acp+J8=
08e5q1grbv73j306hgvv6qh9v9hihj1j.contact.	3600	in	nsec3	1 1 0 73 08LKKMK29UEEDILPH64RO6LR7IUJ5MBQ NS DS RRSIG
08e5q1grbv73j306hgvv6qh9v9hihj1j.contact.	3600	in	rrsig	NSEC3 8 2 3600 20260207153219 20260117143219 53970 contact. cpTz5+zOLeNT+VRsJMU6dOTiS81t+YworMJ3dSX4CJu176fJrfxXdSgHaK496gP0puVoqdBMAU79tUSUEyL61uvxkxy0v2WjIMX4uJEgDg4VCqfHYuvHABzGvZo3N/afJwVjsRHurVVMrbjj0YKhtlylHRXbS7pLYEBIXMWKH98=
08lkkmk29ueedilph64ro6lr7iuj5mbq.contact.	3600	in	nsec3	1 1 0 73 08RM5MH0PPAFN3IAGD440H880VRVD7F0 NS DS RRSIG
08lkkmk29ueedilph64ro6lr7iuj5mbq.contact.	3600	in	rrsig	NSEC3 8 2 3600 20260207153219 20260117143219 53970 contact. jCvmfTXoRoO2VeYlxgh+LrWWmPDrZWfy9tKCY9Fc5lgnlbkcH2XVGjaf6eqSgq7dgDyMGhBUnl6q23/K0KTFc0ZvY5yYg5JL9qCZeyVS+K7kzqOBen65VDmN9JE4PXgqrdIypR+nGli3vvk2cUDw80l/kh1jxyEsmyIBVSwondk=
08rm5mh0ppafn3iagd440h880vrvd7f0.contact.	3600	in	nsec3	1 1 0 73 09GLO584HE1UKSM40R89VRUCHO548M7C NS DS RRSIG
08rm5mh0ppafn3iagd440h880vrvd7f0.contact.	3600	in	rrsig	NSEC3 8 2 3600 20260207153219 20260117143219 53970 contact. NVEY1Tm2BtMz3M0K0UeZA1PGOLYdNDqQfMJBfJV6+rrA/atm8UqfHNuzEUG4DtQigTt2nxHinrapwoIboX+0dYwlXxPv7nhaRH4Hke+bEc3h6wFxFPKqQdvz3IjlDekUUCd9tPIZv2WUmfKhsDX1j+cUas3uox/nlj+tCgKPscs=
09glo584he1uksm40r89vrucho548m7c.contact.	3600	in	nsec3	1 1 0 73 09S9J1CVHSQPD4JF6B0U3KBQSEQJ217D NS DS RRSIG
09glo584he1uksm40r89vrucho548m7c.contact.	3600	in	rrsig	NSEC3 8 2 3600 20260207153219 20260117143219 53970 contact. j88lu2LVXh4chwvgzWJMADTowlz9n53qdLMIh3igDmsIm7Sf7I+R0qSaDeU7aczQsKko0IzrXYYlfjtpiB0ShynpWJEH8Nfw4aCpM/I/vzL15JW73dKDZdu6Wotmm8awqv7fp55m6MgIkjCzJrcG93ryP7NMzka7fW1AAklWzXM=
09s9j1cvhsqpd4jf6b0u3kbqseqj217d.contact.	3600	in	nsec3	1 1 0 73 0ALUDLO2TBMC1US2E731SSNV7HBC98K7 NS DS RRSIG
09s9j1cvhsqpd4jf6b0u3kbqseqj217d.contact.	3600	in	rrsig	NSEC3 8 2 3600 20260207153219 20260117143219 53970 contact. A7F4PJD8S6rVHujbf0EXuKpf/5dRs4DlPrFH9wWRfPYljT/X+IrZ7vwiPhlh1pryyNrQxJI+pSJ+SWA6ukJUMZPJy7a9Iy7iwgKcvGTz/+wuZeyQekFa5ezDIfqbAb6uX4HTy2pmjFecaZxrjp1NPg7aIKnMEE6eRqooWI0eOdQ=
0aludlo2tbmc1us2e731ssnv7hbc98k7.contact.	3600	in	nsec3	1 1 0 73 0AR3DFQM0T8COH0AA9KCN2QRLO18PO7Q NS DS RRSIG
0aludlo2tbmc1us2e731ssnv7hbc98k7.contact.	3600	in	rrsig	NSEC3 8 2 3600 20260208093029 20260118083029 53970 contact. Ck7U5hlN2GMIFEdd54/NSuCdNjPIvThoi3dV7yBccdaPjbm0luzNp5kNcYCJE3h5xkWup+VQaQjcFM4E/lvsWQuaHZYEr4hButhZic0OIiRUHDTIbfk7nABJ0sDagSYSLxb2AD5D3K5Qu8r/aA6lVvEbIauwZEcUb3cr0OiAyjE=
0ar3dfqm0t8coh0aa9kcn2qrlo18po7q.contact.	3600	in	nsec3	1 1 0 73 0AUUK420LP89BKLVD2SC40RQJUQI2SAI NS DS RRSIG
0ar3dfqm0t8coh0aa9kcn2qrlo18po7q.contact.	3600	in	rrsig	NSEC3 8 2 3600 20260208093029 20260118083029 53970 contact. Ux0CrfiUpBUW84OUyPAsQCi5ddbN+rhJbui/FHql1Eb4PScv1RSD4/oo6NIKAo9KpWuLWbqgBlwKB5bQT8Y7w6YERVUkb2GQQ8XcoTcoiXmpYM+9FBogmNYLKbL/hZfjlrf9wF0faWACVQqnKosnG3OsAnDrkpD7eXJQJjbyww8=
