fox.	900	in	soa	ns1.dns.nic.fox. admin.tldns.godaddy. 1756222625 1800 300 604800 1800
2bmqsgqsh3ibhrftifqeecvhhn6mt352.fox.	900	in	nsec3	1 1 0 - 2CJ3HF0MAP6BSO78HKCV7Q298THDQU4Q NS DS RRSIG
2bmqsgqsh3ibhrftifqeecvhhn6mt352.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. BUb5fspfaied8GL5tElrzPcNyeeQAqPSGz3Ass+eV9oJjRDEYthui+HLTIhWqqfOGQ8QRZ817wM5h2FWI+M56Dre+/yWGYjt18OEoafMvIZ+Mj5yCXQtN7xLdV9RZLU1T1Rw91yMNxVwgxudRv1pqdXuF+n+VmlqzIfM2d+wCYoaV/MVQsw5FPC4oJga5rbiQKNhfCqM4wZ+FcI4jFLI1w==
2cj3hf0map6bso78hkcv7q298thdqu4q.fox.	900	in	nsec3	1 1 0 - 2DH9I44MK1DGO2FRNMRL0SGKLRH1ED98 NS DS RRSIG
2cj3hf0map6bso78hkcv7q298thdqu4q.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. QG7Eb+di3fjMKsymNprBWKCprNwDBVRGEZDiw+w3jYLcpopn830KiddpwEEK8qMeYfJKEgHQAxCrvz2kpwRjvkApR4RQyRMfOGZdMHUhwsPwszdqbVtMaBFdKqZHiW9POs5V4tXFckikfnmwZwNlqNuw7gKIDiDrYubjT7moi3fRHxVnkgUEXugQi2SiPzOxNVaz+0KgHbIGUy7Kkx/++w==
2dh9i44mk1dgo2frnmrl0sgklrh1ed98.fox.	900	in	nsec3	1 1 0 - 2KE062DS3N21EPV1U8BCDEE42PH780ND NS DS RRSIG
2dh9i44mk1dgo2frnmrl0sgklrh1ed98.fox.	900	in	rrsig	NSEC3 8 2 900 20250905092000 20250822084202 39369 fox. GtpI/HiGMXdjq+5KWs9fefCmCEgpOjlpD8KVx+kYt4Jny4IZ7dO7hYdEF3C/OGp7Q3WxXUc8NQRPE2jWqvUBfdpRnzML3dEabWTQffspK8I1i7wx3j9RDQi4hVrliL8eCnr4gN+65LvemWtKFuThyZMGuF7jrDB4DLubB3joXsQ2GgGIRMxHBSLz+ziZ3EutRTHv+EPs8RovHJr+vVwAtw==
2ke062ds3n21epv1u8bcdee42ph780nd.fox.	900	in	nsec3	1 1 0 - 2Q2FNAUML8LSNG8IQ430B2QDV0NDJ57F NS DS RRSIG
2ke062ds3n21epv1u8bcdee42ph780nd.fox.	900	in	rrsig	NSEC3 8 2 900 20250905092000 20250822084202 39369 fox. ChUGx1KwwF8yLBp3S2uCVbq5GdcCfJPS0uBC7EH94kNSkYuA/rfxdpuiAa7yLI8686UdTIlVU8WT1ZVmWthQwsA733eWDTE9fRZFDqjl1pzcAVsKo8Ed46Abo8+gMNzSAwcodLigC6lcb1dJyGAvaqZQswMbA08mcz9apnEYjDO321odYBTPZZOgk46XxjkomrNYaRsrRBXxjgy11qfFxA==
2q2fnauml8lsng8iq430b2qdv0ndj57f.fox.	900	in	nsec3	1 1 0 - 3571I75LD3CNRR06IO783CNMKF6HRU5T NS DS RRSIG
2q2fnauml8lsng8iq430b2qdv0ndj57f.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. a+s6zL/ZRSHlXgBPHC5UyCVYnaOKGXvJNCSO0v5K2Yq2QAKxQE6/9BzaqHXy+h6psSQKss7N8AN8DtFdIfIVrDx8CALxTnN7OVcqNeHRbNogCUZMwV5aB8hMP4s1X44ca3L9ZIr4eixZeWmQlJq7LHsbCVYM78uS9Qg2Gju5opKyO00pBAOfRp6a9qjknBeKZshls9bg2HyxR95dYb+Ikg==
3571i75ld3cnrr06io783cnmkf6hru5t.fox.	900	in	nsec3	1 1 0 - 369GGEJHEP204RL5RG8516M1B2LEINUD TXT RRSIG
3571i75ld3cnrr06io783cnmkf6hru5t.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. NAAXYge28iLLE32YvvnWB3NZpKcHYFb/OowkoU+pYS3+30kVonTq97S6w8g+57fa1Xqba5JM9CPnBOaeaCsMO+mnc/LAdo+xXFwyr7HYE2qpjVACHaDn+PgbwVO74LnmzAedATG27CdoWwuiegw+ZeHfiRHB7kdyqJbRvQTfof0cl9OK9CsSlC+ju/dXT18BhUZB6XRol6rCLgDcnmjnZQ==
369ggejhep204rl5rg8516m1b2leinud.fox.	900	in	nsec3	1 1 0 - 3QLF8N7QAH08NJTCB9BGF7SMHMS7EV3B NS DS RRSIG
369ggejhep204rl5rg8516m1b2leinud.fox.	900	in	rrsig	NSEC3 8 2 900 20250904195900 20250821194716 39369 fox. JZVW0r4eLzGYVPOhED+kg0CKhVSCW1vxZf9wg4/+m0v+pSwDBozoTSaIBYgfzmu/KURWy3GaXRUDlsfPQOP37dFHtWxYb27A3qs/jfgmtlyGETM/+VlDlOPWfajA9jmhXLboPtGSe4tvspSz3dyQoUPfz5IAkZ7uvbElb5lWncMjZxs5/r6eyXMyitm9ISDIZZ3PwfZjuZbJReiWzILewA==
3qlf8n7qah08njtcb9bgf7smhms7ev3b.fox.	900	in	nsec3	1 1 0 - 44AUB4VABP6UTDKGSC3UGK41J50U3R0K NS DS RRSIG
3qlf8n7qah08njtcb9bgf7smhms7ev3b.fox.	900	in	rrsig	NSEC3 8 2 900 20250905013854 20250822012449 39369 fox. MkRhF/KMrpOW2M+daB89/hmp+50lZse0yiv3+MxWMWYxC1s0LAXYFRia6QU6LDfkb3HtL5GZv8EdubvSoL/p3HiCgWlrOYH+QJjV2ALPD69tZn4nMXF9Tpv7/qIJKcaqU7Z4R46x1mjna+PdTO1374pfy3KlKMmIgH99dAthpZy4WiI6kNIy3hi2jYQoU4exYs9z6jHEgpNSTzBhlGtYxQ==
44aub4vabp6utdkgsc3ugk41j50u3r0k.fox.	900	in	nsec3	1 1 0 - 4MA3UR7SRNMT13ESSFSCKPKKVK98G0KS NS DS RRSIG
44aub4vabp6utdkgsc3ugk41j50u3r0k.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. Hxcfj36/PjA4ARKuX8eW2jY+oNxNRLdYOqv8pjqQL1gvZ3QpxrFoMpFQL0rr4r3tdn9t0jWFMcLqqlPH2y3Er1C5P+0JfW0tjdBsqL1RNSxWfCrnifflxjhJDCC3mlrl5kfqgwNM/n0VpEquERzytHRjkoCdhPMbgW5QrxVHRUm0Mkp/OJqih541kapZ3x4bUPs5M+7j0DQygDOe+qgopA==
4ma3ur7srnmt13essfsckpkkvk98g0ks.fox.	900	in	nsec3	1 1 0 - 4NPIQ8D09K4L1KQDND38FBMC31E4B74Q NS DS RRSIG
4ma3ur7srnmt13essfsckpkkvk98g0ks.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. pCN+BR85oAEOISF8PmWythep454O6utNKEn86AzJOgR2Sme1xK3ojO8oyaUuKi/rIkGanbszRfbDfTQSU2D7Lfz3zkt2ino1m+gZmTdAs6rPO/T0lrHZz9FbbVv36mQQRtr8oEdsZYi4m1qfVW1104/ikO4BshS+RJRC8nTH9X5kfwbRjKjpB/wr9FmJS2DrvlMacsLqezfhvyPVS6cwLw==
4npiq8d09k4l1kqdnd38fbmc31e4b74q.fox.	900	in	nsec3	1 1 0 - 4QU2K2G1GCR3RAJ24JKFLHT8J58G45Q6 NS DS RRSIG
4npiq8d09k4l1kqdnd38fbmc31e4b74q.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. lzTZRmL3y3L9IlvpL1hp87nH3Pz/6ItxbejfkiQdgbHp8Bab/XcgTYhPwYjZNF6iHZ+rj4Byoi29i1swOqiH8jvBEzI49DP5CidqEykz5OWtgMUbp7xrUWt8OmbFziiFcFL2hJGWf1eSFkj6A9qT/lh2WTQzQD7eiZzkdlryRyh+nbJ1NsTKDCcJeajeJaeSNw8Swn2J92FV+P63xYub1A==
4qu2k2g1gcr3raj24jkflht8j58g45q6.fox.	900	in	nsec3	1 1 0 - 50N7SHH4F78MV70HK1TJAJCEH1627RV2 NS DS RRSIG
4qu2k2g1gcr3raj24jkflht8j58g45q6.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. J/st21c7j3YZnWPjeObIDIP4LZOvc8pj8joMHbaZRNDECqkBZ0S4WsmpplBl8BasrXc12Q1Fvo9wBYV1USp7Z9aGzA4gfOVlVJLZINmQgbl9S7YL82LPlYPkIJ54eoMJFhTqjWQ9+7fL3zENkITJ2TD+KMC8qL9l7WboyioRR9lyoDjhOBw90D+BPLCm+biQtX4WNFZD80/xVO6OqRDCZQ==
50n7shh4f78mv70hk1tjajceh1627rv2.fox.	900	in	nsec3	1 1 0 - 52FS17773GGS605GD1N6HF49K3IB5CC6 NS DS RRSIG
50n7shh4f78mv70hk1tjajceh1627rv2.fox.	900	in	rrsig	NSEC3 8 2 900 20250907150436 20250824143843 39369 fox. uyBFwtlW08Jf0w+FCe+vvj48YYYiyIaZ5ZlW8SlYBUjczALivqVy6sab+rukL4Yqdjeus44eI1++7oVAlgRewexTKfTDv0dg8rpsQ/ZQd0a8wKPqmmvNL/r7GpvKiIJfFawRbwjIFcUktueztWytZ1vXA5t7bU1ENyXje/tyGIZvRZfnZf6Qi4BWUc/hRJURKR81yAPld4a/vO6sg4ouzA==
52fs17773ggs605gd1n6hf49k3ib5cc6.fox.	900	in	nsec3	1 1 0 - 55UMSO18QMFC60R4PB261H0I6N0NJVLG NS DS RRSIG
52fs17773ggs605gd1n6hf49k3ib5cc6.fox.	900	in	rrsig	NSEC3 8 2 900 20250907150436 20250824143843 39369 fox. n0dNthCgPdJ9PzDM4mAMVSUd+Ocp9iTSyrhdROO8ZaJGd7HCR8Y4851UCvJhv37OXQrBny99tsnofTceYzE3FyzxsMl9kFW/rOW8GVvJXXYBUb5DFqHO3t8GRs8eNMsEUJz4EJ4zNkbX98y35AGCFbo0duInmbapjq3alVBBVCbQFIJd+S38n/Qnjp+8vf9oeI5Cjj/Bl9c93W/O1aX42Q==
55umso18qmfc60r4pb261h0i6n0njvlg.fox.	900	in	nsec3	1 1 0 - 5664SK837S8OGD1FU2UA1BJIFRVLQU91 NS DS RRSIG
55umso18qmfc60r4pb261h0i6n0njvlg.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. bJVJWyohRIflxTHRq/SU3iG6S2NK2Itv3OB/d2meyBfaB007cLUUZHVk5JTCb4hHm7yFXClo6rwdA2ZZQfcMvScqnsFNECWIR1B0L/MG7V4E/zAM46LcDy14gR5N46JRmSnxTkg37g2lg4KX4sk28FtXE8AgJ/J2kKtYZMnc7t7oBnL3IYH6SI9wsi+z7ohAJVPd37VJvrtQtoLhSkm9zg==
5664sk837s8ogd1fu2ua1bjifrvlqu91.fox.	900	in	nsec3	1 1 0 - 5AFL28898IQ5QK6GG797VHDJRKMVV7HG NS DS RRSIG
5664sk837s8ogd1fu2ua1bjifrvlqu91.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. jNw7XpDLzOOvJ6MIhKUN9SHjMKAHFLJccWUhllnwR0AePvO8gVx/NmSZ94tx8/TsPwIxMxYj+frz7nc3QXU92W3C+IvOj8vXjUVlimjjrasfkDlAvGxTezEHKGOI5rRx1e8hRYn2Tn3MxgW4zwTxZvtzHlk7USVwGb7wfeAoEIvPpMBEJ7OEvsOYfNNFzwZgLVkanxSPL4dp62Ccgv89Vg==
5afl28898iq5qk6gg797vhdjrkmvv7hg.fox.	900	in	nsec3	1 1 0 - 5GUVSPP8F01JU9FLJPA7JUNM9N18S6H0 NS DS RRSIG
5afl28898iq5qk6gg797vhdjrkmvv7hg.fox.	900	in	rrsig	NSEC3 8 2 900 20250905045927 20250822043407 39369 fox. a+JBIHhD1IeXc4/46enZAM7IrDp5SXjw9ERlbxPch0h2bdXVvC0g3qO4Xv6O4xP1yViCiDhjnXOA2P6eCCe5bO2A1Jo8ruIWzwZnwmQjUOdt0EjD46ZStx4YjbR28CI/qC7ZyXjO1ENT30Q1vMGBLsTT05oVMt6tUkHjReFKtR8eh5R+Ym2GgKwmF0e/JkCul+OPDW/B2rNzu4axZS6oOA==
5guvspp8f01ju9fljpa7junm9n18s6h0.fox.	900	in	nsec3	1 1 0 - 5OJL1G9I66UT9O5TOFL6QDTG6UQGTV2I NS DS RRSIG
5guvspp8f01ju9fljpa7junm9n18s6h0.fox.	900	in	rrsig	NSEC3 8 2 900 20250905045927 20250822043407 39369 fox. EmdFrrYQLpLn0C5IiP3uONifriLH0BFr+m0LqacennScHfSUCg+//nAHiMDo6yv0CfhFFKJwkSLzaz68g2LuuP5HFBdy0JY6TRUk7rl0b2xBghUVpDVaUhgxS1bGKeYFgEeihfA6wgMEIR+UBQXt+eOs3Z3LUQ+BVJOc+DLvkQopLDHGiYnXI8hLvSm/zd+QwlA8cs2Qj6Gfpp36bXOS+A==
5ojl1g9i66ut9o5tofl6qdtg6uqgtv2i.fox.	900	in	nsec3	1 1 0 - 60Q2K1LA9NMULBSUC21QUIKQU2CH9GI2 NS DS RRSIG
5ojl1g9i66ut9o5tofl6qdtg6uqgtv2i.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. XsSaBl8qdQq8NUj62KP5NS6WhPn4k3aBkKm2+DTdiVoKd3AATNyf59XTYlUOCvDYTVLGgqzv2JPY6eu/GvsTy1RtWhdsl4S6neYi4GF0Lc7xHv3ZNV56VKILmqPvXiaG2dICZEor8WveJV3Z9F3fso2Z9QS1lrPproOy6WJLzYhlM4d/EQX+Jt5EWfxcTCzFj9rODesg6nKueiBCXiql3g==
60q2k1la9nmulbsuc21quikqu2ch9gi2.fox.	900	in	nsec3	1 1 0 - 6383J0VHHDBVORNEOP2ULD0G3THUR6FI NS DS RRSIG
60q2k1la9nmulbsuc21quikqu2ch9gi2.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. mH0O3p1g7i4GcoIYHnpndj6PebXaRm3YpS/Wwe0JS8qOQGsAd09MMLk0KWOxvrSepP/hLf++b4HxGMKCZqN2mBy9LTnjFJd8SnuH+NNMM4tq/09wzqXJRavonfK1+kM3TuQn8zuphKd2US2qoWYPRvSakit/dpY311wjLXLs40xYSlF/sYVOr+/jWLbK9Zty/xHE4mWrFCutEF4EtxGYlA==
6383j0vhhdbvorneop2uld0g3thur6fi.fox.	900	in	nsec3	1 1 0 - 639760ROCTDUH2TRD8KM8MAVIVE9I7HE NS DS RRSIG
6383j0vhhdbvorneop2uld0g3thur6fi.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. QGXVMyjz4p8F8idYEqm0fK4xXFxS8LJsURHcgyodq7o+vBk1oaU4A/j93zrDxYVveG+roRp/FPLX5d/EbYUo/IPFZXNFdnrOaUalendOUg3H9bYPMpjhJ5eW0mbsajmhJUiKhnM32goovpCDXC+NHqGZ/qH83/StJMG1C9rsTpqoM9UDNyr5RuGnpN99zFVATTm/4QSlG6GpSIPs8OLR9w==
639760roctduh2trd8km8mavive9i7he.fox.	900	in	nsec3	1 1 0 - 6H9VVTRQJBN69H048UM6A83TAMBGTJ99 NS DS RRSIG
639760roctduh2trd8km8mavive9i7he.fox.	900	in	rrsig	NSEC3 8 2 900 20250905023458 20250822015120 39369 fox. XoqaFAb63vw1p4PYKT78q4R8tWVt2fyDFFSX4igUAs1xGSNL+LssYIHWQT4ImcoV1NLggRSwRU0DGsvcLlWUMSU+ED7HWLR3+tXjAArTTO/ahJCGLtG+IWLUzv5T9krria/nWoNkNAOaIHGzlJ4Yb/HCF6EzHYrX/9qcFiHIe9IWIW1ZlcJJPNERtGc7ZPmUNG68/WBWuISU3c6ItFwavQ==
6h9vvtrqjbn69h048um6a83tambgtj99.fox.	900	in	nsec3	1 1 0 - 6HCRUJOHBR12ABS07PIMULCMI0SBJBHS NS DS RRSIG
