1-800-baskets.fail.	3600	in	ns	dns2.cscdns.net.
100vanmess.fail.	3600	in	ns	ns65.domaincontrol.com.
100vanmess.fail.	3600	in	ns	ns66.domaincontrol.com.
10cs.fail.	3600	in	ns	bayan.ns.cloudflare.com.
10cs.fail.	3600	in	ns	nia.ns.cloudflare.com.
10phg5jd9ebit3f59l3ra954eie6dglt.fail.	3600	in	nsec3	1 1 0 73 16J3OF3DP0VA5FRNHEQD37HHSDPEVTRV NS DS RRSIG
10phg5jd9ebit3f59l3ra954eie6dglt.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. CNYbYIwWltREPoIgc+xn7GpFpEeZHtCFwdiYP93Ya3qiTLLw/EHtLEa+L9gLOL0rLSAxkeS4htxxCTCmfGGH9YdV+7l+28pdYLO8SvO+D8l4NMRMGrnCAI8dEexzax5rPcnWh45/DZRJ0KsOqrs2YvPGkXQg5D0M48qmNBB8lO0=
11bet.fail.	3600	in	ns	curitiba.ns.porkbun.com.
11bet.fail.	3600	in	ns	fortaleza.ns.porkbun.com.
11bet.fail.	3600	in	ns	maceio.ns.porkbun.com.
11bet.fail.	3600	in	ns	salvador.ns.porkbun.com.
123.fail.	3600	in	ns	ns1.verifytracking.com.
123.fail.	3600	in	ns	ns2.verifytracking.com.
123b.fail.	3600	in	ns	abdullah.ns.cloudflare.com.
123b.fail.	3600	in	ns	sandy.ns.cloudflare.com.
1337.fail.	3600	in	ns	june.ns.cloudflare.com.
1337.fail.	3600	in	ns	mitch.ns.cloudflare.com.
16j3of3dp0va5frnheqd37hhsdpevtrv.fail.	3600	in	nsec3	1 1 0 73 16KIVNLU0727RV72D9BTSAPEFKMDT3MB NS DS RRSIG
16j3of3dp0va5frnheqd37hhsdpevtrv.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. rraK10wZEBPv4Pmqrd7d0Bq+7WRU1awn1KqFhXOq/aTp+8rWkrcOIOgVm8wZNRfzVbd5/jRm6+DTGK8eKXd0Korn/OdlAQVvxgD+Hquj2udwqOPPlWd5bQ44YUNd5aqdZO4KaF2ipx6OST7xavln83/yK7iNE8COpPwHqvFLR10=
16kivnlu0727rv72d9btsapefkmdt3mb.fail.	3600	in	nsec3	1 1 0 73 16P5TPM41B34GCEVL2EH5ATQML4PCHUD NS DS RRSIG
16kivnlu0727rv72d9btsapefkmdt3mb.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. SSeCwB5wFSbH8pTA6+ItGbuyB6QgbP78kjlSkKH5eAiuu4ammTdIXBvqEy/Z9dEOaVZkzi0RhiMQquFwimXzDkITyd8dTXUBKhkV0DBPs15ya8iQsXdxXZYN2m8vygbDjo/0/ibXLSR/uGgregOwhIGCUkA2jR6oPkR/YbrYA/s=
16p5tpm41b34gcevl2eh5atqml4pchud.fail.	3600	in	nsec3	1 1 0 73 1CKO9CMS2GAH169T48MGO2R7VEGMRLLM NS DS RRSIG
16p5tpm41b34gcevl2eh5atqml4pchud.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. T8yJxkUrsyUlj5BWgmDjOiykxtEgiNB4npRAizGniiNyFToEmw4KmpZwoG+n6tS11u6ZMJVZYFcUrEe1M0hHtTzWjnqeUUhuvmKCLMFAEByg0DT32AA6zeQWiOtnl5lOw2dQTPtZq4GYRcpvEsbmp8AXd6nABFxznUOBGYSTfE0=
1776.fail.	3600	in	ns	curitiba.ns.porkbun.com.
1776.fail.	3600	in	ns	fortaleza.ns.porkbun.com.
1776.fail.	3600	in	ns	maceio.ns.porkbun.com.
1776.fail.	3600	in	ns	salvador.ns.porkbun.com.
