05jga3o54huplpt9tqm39j8ktpqa7ok3.gay.	900	in	rrsig	NSEC3 8 2 900 20260114083510 20251231075549 36750 gay. uWPfBN6rBn3fv9CGvQ79ldC5kgrnw3gtWW5jKMg3dN5bP65JIwahWT25uI0OjY2iRqx3Rq6I9cwjCKcG/8/82oZFhviQY1ALLs9V07XUyvNJcJTpB5Vac9L4dC27t5KzupfpEJhNrKjz2YgsnCLU5O54Tnmn8K1ziCd7vSC1lfl9+ggtuT+MqZyQuAJ/GhqfRSf5e6W8kL0aWXIJq1gD3g==
05v7lpj9qtc5mtbe1oo00jd1n6enb6e5.gay.	900	in	nsec3	1 1 0 - 06O8C3Q0DM5SLGPHJKSDCCB526EBNFN3 NS DS RRSIG
05v7lpj9qtc5mtbe1oo00jd1n6enb6e5.gay.	900	in	rrsig	NSEC3 8 2 900 20260114220742 20251231220344 36750 gay. LajqToOQQkB95IffdrKumvQtVhCdTMS+2BTJyjPSALJ/2Wm9yWu6EXRz/oEIbmnq7A+0ftsN8F7DhfmeEmFvBWKJDO6dRzOrYjNXGVEqhB8CFII9MjghT7mwm72/8Hz0AGjEBGwdVUCfoV4ew6PRd/F7wHugD0mtIXzmCAFDUI4p0tWFvJZNhbVWxQHtuDvW571raecrZlbeEu4WyC1j2g==
06643.gay.	3600	in	ns	grannbo.ns.cloudflare.com.
06643.gay.	3600	in	ns	norm.ns.cloudflare.com.
06o8c3q0dm5slgphjksdccb526ebnfn3.gay.	900	in	nsec3	1 1 0 - 07I85GOV76OM8H5NG1282212LDCQGIQF NS DS RRSIG
06o8c3q0dm5slgphjksdccb526ebnfn3.gay.	900	in	rrsig	NSEC3 8 2 900 20260118145404 20260104140008 36750 gay. sPY4hVu35tBmwFTkexnhTgLGy91HFt2n2L+j758+JQPDZdp9AUW9QwycYpf1WlGhCHEJwKcrvYYRWZJOcQzn4Y5V8d5tZGul4//kxkSthWXj3S7oqawGqohP97KrcHrnnn47eX/yNgvviaq/V2QhIB0BFI6HUk4dtc7EzmOQdQFdypD7Taq1M5mgUyOZjLIIDntamjiVMI9nVk8XXosyuQ==
07.gay.	3600	in	ns	dns101.registrar-servers.com.
07.gay.	3600	in	ns	dns102.registrar-servers.com.
07i85gov76om8h5ng1282212ldcqgiqf.gay.	900	in	nsec3	1 1 0 - 09AA1S48LEKUKFEP2O15VUKE4IKPMTS2 NS DS RRSIG
07i85gov76om8h5ng1282212ldcqgiqf.gay.	900	in	rrsig	NSEC3 8 2 900 20260117141835 20260103140227 36750 gay. vXJ9ul37psBhEKgMwQh9JPDMMnnXZzyf63xK9Bsc+MMej6WMgGYWm8f4RlOmIJll86sno4g6hIgnl6NEA+I5C12jZ4PAKD7lC4EcCYdBoylipP4LRKUD4Oxqn0fZlt4rnRkV7V0cZ04IxPd1gC04J9yaF3qDwq+e7e/Y3sOQXAMxx1UqHj5pOo5e091d0jtFufvxTu41KCoXjxANn8zIZg==
09aa1s48lekukfep2o15vuke4ikpmts2.gay.	900	in	nsec3	1 1 0 - 0A4OR95Q9MTQ0L0ALJ68J3FVHTLG8UH7 NS DS RRSIG
09aa1s48lekukfep2o15vuke4ikpmts2.gay.	900	in	rrsig	NSEC3 8 2 900 20260115235549 20260101231149 36750 gay. gEVZjDm1heOkN5f6jO2Az856Gw2p+CJzp8QwZlXglIPjaQH8pYpRG/9L9uastEgltG+dN8M79ILdCtF4SbxQn50EWBHzHJHoLc3Dahwrx2KFWCGGsf4Ua1SikfjNoU/0PLC1owHdJCI3RvtUAKOhyWw5BZXfHfyaOfKgYGW04JWp0galbBSHxG5G33QFIXPQIJAb3GODj1LW/Njrg3NZaQ==
0a4or95q9mtq0l0alj68j3fvhtlg8uh7.gay.	900	in	nsec3	1 1 0 - 0A6HSPTIJMROB1RIMGDRK5O10GSK9F18 NS DS RRSIG
