084g9ao1568vqn80p9pt79lfe6td1b6b.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. mES+iRld9z2qz0gQ2UdRWk3QC+EId85g8k9fE3XqCCS3d5wgwaVjQbp5M8WSwaRh3Fu1Rs8hJaDDBehSDru2Y7GMZg1hbcBmm0ysjGyVXUIy+7YH8O30gXCpkgpbGcLw+vcjzb5svtL+58mJ78SOIDjZcH/F4+Q3/N2/kBxiby8=
08egjm67ol91c275cu53hdoigmikgn7r.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 08VR4GAIRF31JJNPEDK8S815LVOV4MT1 NS
08egjm67ol91c275cu53hdoigmikgn7r.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. e6H5wNlkg6klD8v6rrQH/fIZLl5od1oghWRsKsVtT6qNMVZLIn9c89c/+M3X86KWpC3RQE3YY3RRqinYPMN01lxRNFreBLoCFyCBfvGVrudgkiUjpevqOls4VuuzXn9h+M06YSqrW/j0GWYowuW7QB7WCO0V8401FgX1c/gvEW8=
08vr4gairf31jjnpedk8s815lvov4mt1.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0AT92KGQLSNALB9CDKL9E8GVL5MNB0D8 NS DS RRSIG
08vr4gairf31jjnpedk8s815lvov4mt1.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. OgIMFPNo9U5zzTwMcPZ149W8JPkZX+mKgwyJ5/2PNdM3AIFq7I7EShg9RuEsENoLh+fcYmY5z3F81Wkez8MCRnKv7smFbtOPqk2dC1hd0noQKeTuQKvkyC3ARMsWXiY/xB82wsSacPsH3EX1P2VRJ15nEH7Y76A46OY6bbBxDRA=
0at92kgqlsnalb9cdkl9e8gvl5mnb0d8.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0BB9BAF33SR8F01PQKVDTLJ0FHQRPA3C NS
0at92kgqlsnalb9cdkl9e8gvl5mnb0d8.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. FoHjRDwMpMboy0BGTfrRFuj5l5BZnyNQgfmxp5tbsG/TRwNSKFhHfWxTMEA/d96UtCDvRD0GqlKPcmsGFTXF4VXSDVNhauuASrJTCGQF10BYDT81/3Niz3jpJxj2OrU+Huv+27a9RfCmrYZu0EcF4RH/QwDjkfuYsLBWXEXjo4w=
0b1.foo.	10800	in	ns	ns1.he.net.
0b1.foo.	10800	in	ns	ns2.he.net.
0b1.foo.	10800	in	ns	ns3.he.net.
0b1.foo.	10800	in	ns	ns4.he.net.
0b1.foo.	10800	in	ns	ns5.he.net.
0bb9baf33sr8f01pqkvdtlj0fhqrpa3c.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0BBLG3I27JEHA1NTVUOALPT3DCPAQ1M1 NS
0bb9baf33sr8f01pqkvdtlj0fhqrpa3c.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. NR5whdVOwCCLWExkd+xJ4nEGjH1ON3xynPJz91EjMumul9XaVyT5KPMkvBfimqrqoasWuu822myXQEXhMnniSMQbXXM+01VOJiUE0YcqjTgFcBEjAAjqoh9kvAMqSOZrG+Yh+RMmLi5qQgvZ6uzQ9t8HKgef9VN8h/Zj83+CC1U=
0bblg3i27jeha1ntvuoalpt3dcpaq1m1.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0BJJ60UBFB3KBMA10AQS2VGL62I0UBT2 NS
0bblg3i27jeha1ntvuoalpt3dcpaq1m1.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. cuJsONIHEKuK0spXN68ti2SfANhaeilML4eo9EyWr9lAlfSqvQIcBUN90TRF+6k5tTpuq6G0FB9mvBLTySdYKmZ1rUctQu4SQtHtPSa9QRbNydMeHJXOeqP4bF8oRAdyG+NB4SED/Dg2ccdHMJjzDjlvXQ480KLBavXPlftf4ts=
0bjj60ubfb3kbma10aqs2vgl62i0ubt2.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0CUM8HA9JOU9VICDENU5D5BAR7EPJCCE NS
0bjj60ubfb3kbma10aqs2vgl62i0ubt2.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. pDgccpL2SURAXmsPlu5ousBBoUxWlJBaogy+EvACsjflb/DSvcZypT7HMLoDXvwYiZhwyhVvn55W31Hk4sAmeL1Zb3bkKR2Yu0vW7j8ncPRA9/EqHtSBhLkO+zJ54c6Ihca6Ogsfbtx26/o4/x+Aa6UzhLoiYo3MwgHm/ED9dwE=
0cap.foo.	10800	in	ns	boyd.ns.cloudflare.com.
0cap.foo.	10800	in	ns	nelly.ns.cloudflare.com.
0cum8ha9jou9vicdenu5d5bar7epjcce.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0D2EGD3GKVQSLHK42JKPBGJLOQF0R3OK NS
0cum8ha9jou9vicdenu5d5bar7epjcce.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. bqB+DarGZ1wweGJmsdbtYT+nuzszyJrNoEGgZ3sr+huVhL1VIMQ2tCr1xodoIDNWEL2nRp6xEeUxbc/ZU/+5uX3BL2Y51PG/I8syi09txLG1nhYNhtuspZ5bTEJwK7wxktxiM3kw39/CmbPNkwc/eyT/+5PLZoeg/eUz4U9GNBQ=
0d2egd3gkvqslhk42jkpbgjloqf0r3ok.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0D37RH4IDK0EOOS85L744DI9C46BKCI4 NS
0d2egd3gkvqslhk42jkpbgjloqf0r3ok.foo.	900	in	rrsig	NSEC3 8 2 900 20260126132121 20260104132121 21279 foo. QbEvRrNJTNfVUtGLglXlz0RHxcGUwQnCpCQH6AJwRQGK2zVi0k0IPdJHHl/B5oq/DdyoLlZT1Q/4sis4++u8AhSMBKjfWgsqQMXQ+/wH9PrRVIo3Ou0zAvXvRvc+wEpHerqvoCVECxnnlJvpdURRr/DU2+wxoJOKeJKI5LzxLp8=
0d37rh4idk0eoos85l744di9c46bkci4.foo.	900	in	nsec3	1 0 1 4F2E89E10B33C654 0DBBRPID7OI1PO985OR3V90AVMUH9CK1 NS
