vegas.	3600	in	soa	a0.nic.vegas. hostmaster.donuts.email. 1769304332 7200 900 1209600 3600
1itefuibuspvegd5gvkfbvuo1mta5oc7.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. rmM9YiMhmFni5Qbz98hfg5afCQeIm5pFgcH59zBToXGCOBor8kBtADAUvDoEPdFmMcQzuys7yaLNdJfsW22iyxJcUpRmLOsKiGDnIi1QZ8QHMqdb+ugosQq5NLOUlElfZYnyNjh1KFL7Q5ziPFlMpGmUo7xkgRe73OewBK0flnE=
1m6a9tcbs3gm03vr5hta2d2pm6taaqdd.vegas.	3600	in	nsec3	1 1 0 73 1PPEE3KD0FD87Q6A85K91N1AIV3HOMHJ NS DS RRSIG
1m6a9tcbs3gm03vr5hta2d2pm6taaqdd.vegas.	3600	in	rrsig	NSEC3 8 2 3600 20260207155919 20260117145919 8685 vegas. hXW1aldHzo/tB09ahPLU7Vi/69rqvJCp9raM1IKT3BJYn6IX8fgHHIk5QPsWXD8kwx00dZrltBuPrsgcOfKlXs2EvR69HEmM1xfrw15FFiM60mQN8glXrhyTdyfRM5NSX2hX+de/7kRn+Q7t9LPlWd2O6/g2BJPL3mvQazIx/QI=
1of1.vegas.	3600	in	ns	ns73.domaincontrol.com.
1of1.vegas.	3600	in	ns	ns74.domaincontrol.com.
1percent.vegas.	3600	in	ns	ns47.domaincontrol.com.
1percent.vegas.	3600	in	ns	ns48.domaincontrol.com.
1percentlisting.vegas.	3600	in	ns	ns05.domaincontrol.com.
1percentlisting.vegas.	3600	in	ns	ns06.domaincontrol.com.
1ppee3kd0fd87q6a85k91n1aiv3homhj.vegas.	3600	in	nsec3	1 1 0 73 1S29CU7AH2LRGGF10PSHPS7N555JTGAO NS DS RRSIG
