2397222.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
2558422.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
2558422.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
2591642.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
2591642.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
2664653.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
2664653.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
2856491.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
2856491.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
2937543.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
2937543.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
29737526.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
29737526.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
2975199.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
2975199.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
2evlui36mbrgncj4c5s3mpuqtlkoj7r7.xn--tckwe.	86400	in	nsec3	1 1 0 - 2PAO6AP8A9UK9L7807JKNKIGIK8VQ4VB NS DS RRSIG
2evlui36mbrgncj4c5s3mpuqtlkoj7r7.xn--tckwe.	86400	in	rrsig	NSEC3 8 2 86400 20250831052014 20250824052014 21585 xn--tckwe. bidzcurQAciLMk5peBCH53E/FJzVNLo22UWts9M5UZdjFZlooZyhvXCUPvP/i015oITNcJDzChHyN/oyd/69SU2U21CWuDiqVAijn9JXXXfWvPr5k1keNKNlyes8MgyH9u2TDG+JB3Wj/e0w5fTe2a3fZ+YcUPVzcq2lhgsHbqW+bwUpomIy1P5kq4bOT041tsvzvBf6qMjpjR/HrTVUTw==
2f7gh.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
2f7gh.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
2pao6ap8a9uk9l7807jknkigik8vq4vb.xn--tckwe.	86400	in	nsec3	1 1 0 - 2R81JRFPG4P5IP8Q0N8CJHCURPFMG10U NS DS RRSIG
2pao6ap8a9uk9l7807jknkigik8vq4vb.xn--tckwe.	86400	in	rrsig	NSEC3 8 2 86400 20250831052014 20250824052014 21585 xn--tckwe. aW/Yklm1vaYiclLCnk2/qXKZBIQRyXT4dt24JUSzOSwkw750YJDyn5E2NGjtqfnN6a63YExOPdSJ/A4TDY2LqmjY4IIFMG5a4uMQ0UP851N1TzPtwdghFsnTgeBMcxplGwMf9Ery5NaORSl53Lf1wWYqMfXd1JiC/AE1PD1U6X5fNnULt6z82rBaeR4lx+9SVJy4JnqUGtxAPe893qVsDg==
2r81jrfpg4p5ip8q0n8cjhcurpfmg10u.xn--tckwe.	86400	in	nsec3	1 1 0 - 30UTB96MP39TGLU8AFR5SN0QT5M52JO5 NS DS RRSIG
