1990wine.estate.	3600	in	ns	pdns08.domaincontrol.com.
19hjfjc5lblokurdpbiba2a5ol2livgt.estate.	3600	in	nsec3	1 1 0 73 1ELF7C9IPJD26MTB8B50GF5JVLH09950 NS DS RRSIG
19hjfjc5lblokurdpbiba2a5ol2livgt.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. G5NOz0/1mJiadIfx81wolV8zg5a2/ZWKcH5Y6Z4F8RHFaH38FxP2sfJV0y11TyCguRLdcDMfCAKExSRVaex65oewBKApOREEPKPOuB391zFltqRw6hnXhlqKXYj4Uv/O46mg7Lo6zHkXdzlYBEeWv+oxMHlHTpluo56Gyu3IY7o=
1digital.estate.	3600	in	ns	ns1.netangels.ru.
1digital.estate.	3600	in	ns	ns2.netangels.ru.
1elf7c9ipjd26mtb8b50gf5jvlh09950.estate.	3600	in	nsec3	1 1 0 73 1FPB0T2GFM5V3141J6MLC31G4LN6GQLL NS DS RRSIG
1elf7c9ipjd26mtb8b50gf5jvlh09950.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. qD1r5MsrmJH+JLeaqi9tLTQOPq1a/13ZiIeqgqH91N+Z4WDC6G/XVsyzHqVfSUz+j6eh1ijfQm1Wd3ivaS3xxpcmyYCQfuhqspz77fcXvMtlcQck+vL2qQR/ifBfVGhfwFJLQ32vful6PbgCuinmuo3aBWEuwGdDS2+Cj4bSuSo=
1fpb0t2gfm5v3141j6mlc31g4ln6gqll.estate.	3600	in	nsec3	1 1 0 73 1HSI5T2SB0IC0HMRJI4DT925SR8NS88C NS DS RRSIG
1fpb0t2gfm5v3141j6mlc31g4ln6gqll.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. Oq8qaKrx43BT21nZQJz80jXjEww8YQiXXc2Mj313PtOg0mtwxjIil/bXKkhUivlS0sCGBREv8DUh3jhf63Oapk8Of8ZIRlg+Z25akHyjsc/qZaUHAkaxx3lz7R0jsZhRfvZZRKURCxpfvNHnGh0TYZrtZxEk4CciZxysKZBFtrU=
1homesales.estate.	3600	in	ns	ns47.domaincontrol.com.
1homesales.estate.	3600	in	ns	ns48.domaincontrol.com.
1hsi5t2sb0ic0hmrji4dt925sr8ns88c.estate.	3600	in	nsec3	1 1 0 73 1HVVSRPKFCQ5T69341JR4Q00BHMPL2R6 NS DS RRSIG
1hsi5t2sb0ic0hmrji4dt925sr8ns88c.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. FrAiRSPJQjEu9t+h9ZcA3K2Z2G0jls8R20aedFrBNaU7O03QrU5dVfyDs87zXttXc9ILR6wYStW1q8H4jnCg4x1B58vLWdV5gbdRzxBL0ciqk157kJM8kcV9lcN9iS+EvSEjb2O2tE5PJx2UcPilaERSm3a83K/zfccRgFWcPVU=
1hvvsrpkfcq5t69341jr4q00bhmpl2r6.estate.	3600	in	nsec3	1 1 0 73 1I21A5GCOE8STTSUKPM5R5LASBI8UL6S NS DS RRSIG
1hvvsrpkfcq5t69341jr4q00bhmpl2r6.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. U2LayEg+dd74uEqIututZVoSnNtT3hjydzXfjKpbpPK0S97N504IWHdUXsJy9UeHM5+Q3lNpOGrBobuGuRNwocN6spuYGU3yymcsIaNYXVVqZIfRu1iWypqwEGdxmEWNPX7N+Ku2nTqKlLazYgRXjnMKKmF0GiqCgm4UBweJjGc=
1i21a5gcoe8sttsukpm5r5lasbi8ul6s.estate.	3600	in	nsec3	1 1 0 73 1K6UDTN9U0POR6SO1390UU3KGKVJFCKO NS DS RRSIG
1i21a5gcoe8sttsukpm5r5lasbi8ul6s.estate.	3600	in	rrsig	NSEC3 8 2 3600 20250916153442 20250826143442 24168 estate. cXkt4bnqhqblx4SnJvd32W5t1jedRij4GQ7M+foh5O+nrzGhZdFt3n0Rdg4UywIj6r26JTCgOi4cG0CtDQGRwSFP519dZZ6JIzJNU1fJ770fWptvDLboBR6mniidS8MEeRGuXvD1v2bkeh/diorBlW+MJcv+NoJAWT3e0POgbwg=
