01718.academy.	3600	in	ns	ns1.dnsip.com.
01718.academy.	3600	in	ns	ns2.dnsip.com.
017198.academy.	3600	in	ns	n1.xundns.com.
017198.academy.	3600	in	ns	n2.xundns.com.
01821.academy.	3600	in	ns	n1.xundns.com.
01821.academy.	3600	in	ns	n2.xundns.com.
01833.academy.	3600	in	ns	n1.xundns.com.
01833.academy.	3600	in	ns	n2.xundns.com.
01840.academy.	3600	in	ns	n1.xundns.com.
01840.academy.	3600	in	ns	n2.xundns.com.
018737.academy.	3600	in	ns	ns1.1233dns.com.
018737.academy.	3600	in	ns	ns2.951dns.com.
01885.academy.	3600	in	ns	n1.xundns.com.
01885.academy.	3600	in	ns	n2.xundns.com.
01890.academy.	3600	in	ns	ns1.dnsip.com.
01890.academy.	3600	in	ns	ns2.dnsip.com.
01892.academy.	3600	in	ns	ns1.dnsip.com.
01892.academy.	3600	in	ns	ns2.dnsip.com.
01919.academy.	3600	in	ns	n1.xundns.com.
01919.academy.	3600	in	ns	n2.xundns.com.
01935.academy.	3600	in	ns	ns7.alidns.com.
01935.academy.	3600	in	ns	ns8.alidns.com.
01950.academy.	3600	in	ns	n1.xundns.com.
01950.academy.	3600	in	ns	n2.xundns.com.
01969.academy.	3600	in	ns	ns7.alidns.com.
01969.academy.	3600	in	ns	ns8.alidns.com.
019783.academy.	3600	in	ns	ns1.dns.com.
019783.academy.	3600	in	ns	ns2.dns.com.
01993.academy.	3600	in	ns	n1.xundns.com.
01993.academy.	3600	in	ns	n2.xundns.com.
01afust5hvavlr3j7fsi1q3dfjou64hf.academy.	3600	in	nsec3	1 1 0 73 01E605BCHNBOHQPCPQL99Q1MK4JKEDKA NS DS RRSIG
01afust5hvavlr3j7fsi1q3dfjou64hf.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. MLFDZx9FriqMJHvPpjtHaACYm7plwk6E4RplLIqVXzVoKSnLQFPIhcJ8H7tjJLy07OoccUWduC1iRsjrlwUiFdY+nD4BBWDWKzyVnj+jKkeKjC5RAmrXT2RJJMUpQbLRRYmV2cpmPOCuRZU50gkX0mTSjvd+gUmjlqT5/PDJpRI=
01e605bchnbohqpcpql99q1mk4jkedka.academy.	3600	in	nsec3	1 1 0 73 01EN76MC50M40JCOENC5NA564GF9QP4I NS DS RRSIG
01e605bchnbohqpcpql99q1mk4jkedka.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. oypUZdXu0ZbowjlKzvd82xD9FmnaX1B16yzJ1HgxySwIvRCaGeB/kSdwPkSP2F4KeELOm0DNwSVEj/w/3WqRLJIdNm7FPu7qKPFAZfOw4VoKCoWuP2hl7HG6+H782SvVhJPyy6sEr85aLGXJxKF7wO8dzKELT1TKXv6Z6yN4MoE=
01en76mc50m40jcoenc5na564gf9qp4i.academy.	3600	in	nsec3	1 1 0 73 01FCJK0VBEMRUQUNQSBTUURU6RSRGPLH NS DS RRSIG
01en76mc50m40jcoenc5na564gf9qp4i.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. JUQ4G5X5jBKD9B3uB+anXTIayxa6J5Glaktj58Qn3C9ZOzFDgit1TP1uxarKKGVFlmB1P+k9UcJmpH3kAc/R/X2DAB8Cob8UBnsFfIWX+iJ4DJtj7GJjgvMTxIt8YQhntihLEeVbV68Zzh32Zj3wtJIYv9zceN6sDTVJdIbK3Jw=
01fcjk0vbemruqunqsbtuuru6rsrgplh.academy.	3600	in	nsec3	1 1 0 73 01HVUF8OLMJ75RC6N3M9KG8DAB7ELEJQ NS DS RRSIG
01fcjk0vbemruqunqsbtuuru6rsrgplh.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. O0am3Ck0+G35evr6M8MVagCUniSaTdyIsYvdCflnRw00ic4K6I0ZI7PiW+/aDzw22hoBpkTO81IQp2Ni4aB6dPPIbni4oc1QU6UEA3Gh1pCcN3Fp1c4lCfkxWo9aXqy3B35d5qbxz94RU2tBVKPu91bE5myoob+5y8OXHtbMW+c=
01hvuf8olmj75rc6n3m9kg8dab7elejq.academy.	3600	in	nsec3	1 1 0 73 01LCB2LCP0OG42A84Q7P1BCELA76J283 NS DS RRSIG
01hvuf8olmj75rc6n3m9kg8dab7elejq.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. Rbl4xF5q8vpTKn53M6LuGRhCBmK0THK6IaUkf7shhJSH9hpkRmhNJe9hjEu1F4zbCElYsnMClXzlcfUR8NXIDaAZJwzWNtGui7u1jXVl+oCie/1Bog54d/3Cn1TxeXaE1WCxmUqkhAmxy9P0TGz/F8UdN2lBWYyIxFTnx74WMvs=
01lcb2lcp0og42a84q7p1bcela76j283.academy.	3600	in	nsec3	1 1 0 73 01O7M5C2HH580TSHAIU6FFHI9RURVUMG NS DS RRSIG
01lcb2lcp0og42a84q7p1bcela76j283.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. C9FTbablKQdNNvUnLm7DIvwz1Xl0dN+ryXkCjOJAiGEEq8F7gThSHifpM5ZOi/m5EFDq1QShPoqlxaLdz8g+1XrxU1H9l+rcemleOKZe+G1adTY3VnpJ0tFUKEPxv2yBQu87MNUOvZx3EdCl+iH+aLEF/lFGGiGN35cSegN6lXM=
01o7m5c2hh580tshaiu6ffhi9rurvumg.academy.	3600	in	nsec3	1 1 0 73 01OP3KGVO5SNCOHA3OQPKRANVU7VNG3V NS DS RRSIG
01o7m5c2hh580tshaiu6ffhi9rurvumg.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. WK5edSHzFfz3b5BTyzDajJTmD9ZBzuP4qlD5+0NhpDMYsgX9teVRuVOLjZ+0O9Zq2x2Ya/REt9QyOK3XDp1pWPrsrWsex9+wwcRsaAp76lT5DTiMPNFF6h8kVyhR8HXUZP15LO4r0mbkWiKGIcxwmEiSi8tBZIrZsbON6QCdTHU=
01op3kgvo5sncoha3oqpkranvu7vng3v.academy.	3600	in	nsec3	1 1 0 73 01TP3UJVQRFVGPT06HB8EPGVPFSRDOF8 NS DS RRSIG
01op3kgvo5sncoha3oqpkranvu7vng3v.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. r/dY+W3ljEUWdy72obDV4+b+m5RBwt0C8jiUPtcX2LW2MIiC9Pl6ZSlXmJDlqhK024CPnOC+08tLAmQLJ+KJFqywJag+2sjFx8J2exVhtDAyNDsjHsRUL5pqPubkQp7N+Mw/3f2j56yumPU/w7EPEtsX1BDF7kcX8zt8X73Tjg4=
01tp3ujvqrfvgpt06hb8epgvpfsrdof8.academy.	3600	in	nsec3	1 1 0 73 0209QJH2I02V7PN19EF1F8VDMR1IAGN8 NS DS RRSIG
01tp3ujvqrfvgpt06hb8epgvpfsrdof8.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. h31hFW2gwQJrRJ6LJwxib9VuGwJHoRZpqT5MtJuLmiaHUFQKzzyptccfaB3VrAPjhDqReTOiScK0/d/Q3Y4BvnnIaK2VqI5EtvI5m4tzqpKR6QOHA/qzqH3WgP+aAMPlX+x0e+qdlNi3YYNv85rziD0kdV0MQ2IVmOuv/0h4MC0=
02.uwu.academy.	3600	in	aaaa	2602:02e1:0060:0012:0000:0000:0000:0000
02005.academy.	3600	in	ns	n1.xundns.com.
02005.academy.	3600	in	ns	n2.xundns.com.
02010.academy.	3600	in	ns	n1.xundns.com.
02010.academy.	3600	in	ns	n2.xundns.com.
020125.academy.	3600	in	ns	ns1.1233dns.com.
020125.academy.	3600	in	ns	ns2.951dns.com.
02058.academy.	3600	in	ns	ns1cnb.name.com.
02058.academy.	3600	in	ns	ns2dhj.name.com.
02058.academy.	3600	in	ns	ns3cna.name.com.
02058.academy.	3600	in	ns	ns4fmx.name.com.
02098.academy.	3600	in	ns	ns1.dns.com.
02098.academy.	3600	in	ns	ns2.dns.com.
0209qjh2i02v7pn19ef1f8vdmr1iagn8.academy.	3600	in	nsec3	1 1 0 73 021OB92GS2DGU5MI33DD401KM89CJ4HU NS DS RRSIG
0209qjh2i02v7pn19ef1f8vdmr1iagn8.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. gpky+XvzqEkai6ipYN7W8BoPHUt3OCDJcYiQWhZcQwK9VsqswwPhkys73WC31g2k8lB0INo4fKXouLC4sIfwUgzHm2V3PnzWTg0h9F0WauH+EEgoCCSMpcpkiVsv8C25AQevTqwtK3tegwiV7lwM5OAm2rj5NzEtgD3S7qV3i8g=
021.academy.	3600	in	ns	ns07.domaincontrol.com.
021.academy.	3600	in	ns	ns08.domaincontrol.com.
02111.academy.	3600	in	ns	ns1.dns.com.
02111.academy.	3600	in	ns	ns2.dns.com.
021654.academy.	3600	in	ns	ns1.1233dns.com.
021654.academy.	3600	in	ns	ns2.951dns.com.
021843.academy.	3600	in	ns	n1.xundns.com.
021843.academy.	3600	in	ns	n2.xundns.com.
02186.academy.	3600	in	ns	ns1.dns.com.
02186.academy.	3600	in	ns	ns2.dns.com.
02189.academy.	3600	in	ns	ns1.dns.com.
02189.academy.	3600	in	ns	ns2.dns.com.
021ob92gs2dgu5mi33dd401km89cj4hu.academy.	3600	in	nsec3	1 1 0 73 0268FP88F3746P2PAJU7K9RDNBQTP760 NS DS RRSIG
021ob92gs2dgu5mi33dd401km89cj4hu.academy.	3600	in	rrsig	NSEC3 8 2 3600 20251022152207 20251001142207 21243 academy. FWwiOAWcKjruUPVcFp3SRLj6avUWavvvRMcdkn1MMYaIsWO/TZg89Znbb8+TnD7cs8YFlSQzCqu2Teeip9K8gaBLYTSvDqhBxclHTCGhXiP7L7tBBSi/eRZrFxfG3TkZFADsiQtmGmLo8q+ZuMnDU9vkAM4OiYBLppIBKJ5S12s=
02202.academy.	3600	in	ns	n1.xundns.com.
02202.academy.	3600	in	ns	n2.xundns.com.
02287.academy.	3600	in	ns	ns1.dnsip.com.
02287.academy.	3600	in	ns	ns2.dnsip.com.
02296.academy.	3600	in	ns	n1.xundns.com.
02296.academy.	3600	in	ns	n2.xundns.com.
023008.academy.	3600	in	ns	ns1.1233dns.com.
023008.academy.	3600	in	ns	ns2.951dns.com.
02319.academy.	3600	in	ns	n1.xundns.com.
02319.academy.	3600	in	ns	n2.xundns.com.
023573.academy.	3600	in	ns	ns1.1233dns.com.
023573.academy.	3600	in	ns	ns2.951dns.com.
02396.academy.	3600	in	ns	ns1.dnsip.com.
02396.academy.	3600	in	ns	ns2.dnsip.com.
024133.academy.	3600	in	ns	ns1.1233dns.com.
024133.academy.	3600	in	ns	ns2.951dns.com.
02427.academy.	3600	in	ns	ns1.dnsip.com.
02427.academy.	3600	in	ns	ns2.dnsip.com.
02447.academy.	3600	in	ns	a.dnspod.com.
02447.academy.	3600	in	ns	b.dnspod.com.
02447.academy.	3600	in	ns	c.dnspod.com.
02448.academy.	3600	in	ns	n1.xundns.com.
02448.academy.	3600	in	ns	n2.xundns.com.
02457.academy.	3600	in	ns	n1.xundns.com.
02457.academy.	3600	in	ns	n2.xundns.com.
02501.academy.	3600	in	ns	n1.xundns.com.
02501.academy.	3600	in	ns	n2.xundns.com.
025010.academy.	3600	in	ns	n1.xundns.com.
025010.academy.	3600	in	ns	n2.xundns.com.
025012.academy.	3600	in	ns	n1.xundns.com.
025012.academy.	3600	in	ns	n2.xundns.com.
025013.academy.	3600	in	ns	n1.xundns.com.
025013.academy.	3600	in	ns	n2.xundns.com.
025014.academy.	3600	in	ns	n1.xundns.com.
025014.academy.	3600	in	ns	n2.xundns.com.
025015.academy.	3600	in	ns	n1.xundns.com.
025015.academy.	3600	in	ns	n2.xundns.com.
025016.academy.	3600	in	ns	n1.xundns.com.
025016.academy.	3600	in	ns	n2.xundns.com.
025017.academy.	3600	in	ns	n1.xundns.com.
025017.academy.	3600	in	ns	n2.xundns.com.
025018.academy.	3600	in	ns	n1.xundns.com.
025018.academy.	3600	in	ns	n2.xundns.com.
025019.academy.	3600	in	ns	n1.xundns.com.
025019.academy.	3600	in	ns	n2.xundns.com.
02502.academy.	3600	in	ns	n1.xundns.com.
02502.academy.	3600	in	ns	n2.xundns.com.
025021.academy.	3600	in	ns	n1.xundns.com.
025021.academy.	3600	in	ns	n2.xundns.com.
02503.academy.	3600	in	ns	n1.xundns.com.
02503.academy.	3600	in	ns	n2.xundns.com.
02504.academy.	3600	in	ns	n1.xundns.com.
02504.academy.	3600	in	ns	n2.xundns.com.
02505.academy.	3600	in	ns	n1.xundns.com.
