lundbeck.	3600	in	soa	a0.nic.lundbeck. hostmaster.donuts.email. 1756256559 7200 900 1209600 3600
lundbeck.	3600	in	rrsig	SOA 8 1 3600 20250917010547 20250827000547 34974 lundbeck. bB9v+614AK3xj+CZe0PleJqBFebgfhO6NYq9dnS5/W6920rfjwSeai4Rf/7s8oHH0UAMInZq4TvTRum9KF6BvixOT8C0L5Mr7I4jCLwiEesaVgaOX3q12wgHc1K8M9qPM17mwUKQzZUvRGSi/5ckz7tV3Jj6fInDaokXhh39ZME=
lundbeck.lundbeck.	3600	in	ns	dns1.cscdns.net.
lundbeck.lundbeck.	3600	in	ns	dns2.cscdns.net.
mail.lundbeck.	3600	in	ns	dns1.cscdns.net.
mail.lundbeck.	3600	in	ns	dns2.cscdns.net.
makingadifference.lundbeck.	3600	in	ns	dns1.cscdns.net.
makingadifference.lundbeck.	3600	in	ns	dns2.cscdns.net.
me.lundbeck.	3600	in	ns	dns1.cscdns.net.
me.lundbeck.	3600	in	ns	dns2.cscdns.net.
medaffairs.lundbeck.	3600	in	ns	dns1.cscdns.net.
medaffairs.lundbeck.	3600	in	ns	dns2.cscdns.net.
medical.lundbeck.	3600	in	ns	dns1.cscdns.net.
medical.lundbeck.	3600	in	ns	dns2.cscdns.net.
medicine.lundbeck.	3600	in	ns	dns1.cscdns.net.
medicine.lundbeck.	3600	in	ns	dns2.cscdns.net.
meeting.lundbeck.	3600	in	ns	dns1.cscdns.net.
meeting.lundbeck.	3600	in	ns	dns2.cscdns.net.
memantine.lundbeck.	3600	in	ns	dns1.cscdns.net.
memantine.lundbeck.	3600	in	ns	dns2.cscdns.net.
migraine.lundbeck.	3600	in	ns	dns1.cscdns.net.
migraine.lundbeck.	3600	in	ns	dns2.cscdns.net.
migraineday.lundbeck.	3600	in	ns	dns1.cscdns.net.
migraineday.lundbeck.	3600	in	ns	dns2.cscdns.net.
migrainestudy.lundbeck.	3600	in	ns	dns1.cscdns.net.
migrainestudy.lundbeck.	3600	in	ns	dns2.cscdns.net.
modafinil.lundbeck.	3600	in	ns	dns1.cscdns.net.
modafinil.lundbeck.	3600	in	ns	dns2.cscdns.net.
modiodal.lundbeck.	3600	in	ns	dns1.cscdns.net.
modiodal.lundbeck.	3600	in	ns	dns2.cscdns.net.
my.lundbeck.	3600	in	ns	dns1.cscdns.net.
my.lundbeck.	3600	in	ns	dns2.cscdns.net.
myvi.lundbeck.	3600	in	ns	dns1.cscdns.net.
myvi.lundbeck.	3600	in	ns	dns2.cscdns.net.
nalmefene.lundbeck.	3600	in	ns	dns1.cscdns.net.
nalmefene.lundbeck.	3600	in	ns	dns2.cscdns.net.
namenda.lundbeck.	3600	in	ns	dns1.cscdns.net.
namenda.lundbeck.	3600	in	ns	dns2.cscdns.net.
net.lundbeck.	3600	in	ns	dns1.cscdns.net.
net.lundbeck.	3600	in	ns	dns2.cscdns.net.
neurology.lundbeck.	3600	in	ns	dns1.cscdns.net.
neurology.lundbeck.	3600	in	ns	dns2.cscdns.net.
neuroscience.lundbeck.	3600	in	ns	dns1.cscdns.net.
neuroscience.lundbeck.	3600	in	ns	dns2.cscdns.net.
neuroscienceexpertise.lundbeck.	3600	in	ns	dns1.cscdns.net.
neuroscienceexpertise.lundbeck.	3600	in	ns	dns2.cscdns.net.
news.lundbeck.	3600	in	ns	dns1.cscdns.net.
news.lundbeck.	3600	in	ns	dns2.cscdns.net.
next.lundbeck.	3600	in	ns	dns1.cscdns.net.
next.lundbeck.	3600	in	ns	dns2.cscdns.net.
nic.lundbeck.	3600	in	ns	a0.nic.lundbeck.
nic.lundbeck.	3600	in	ns	a2.nic.lundbeck.
