0ri7j72pfcsb3fl1ld9008cl92i2dikb.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. DVTVyvmzPGbxN7vIPGZcKXRB7jjg7RFDLq9EJOIvURbO7hGxsnv82zP3gem7ZWIPFNr6OtsD7+lVQdVeE8cxFPQAHLH0YAFADLTjTA23PorX1Sbl5WU2Yum6Ur5qY6RRxHM2Jd4KIbkik1RF3BMMWyHOpV+iSgzN6S8W0eeiynM=
0skjeu4g19q2o1so6f34dbj9000lbf4j.haus.	3600	in	nsec3	1 1 0 73 0U5DE9OAC5KTO22BR3FE2ADMJV35RF1I NS DS RRSIG
0skjeu4g19q2o1so6f34dbj9000lbf4j.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. kNI2mhIXa+hMBs3BvgLeURrBc3pa6eJmDjJDxiKhnKfQF3gox6rvcYccpNYoT8vzY0D5gjUAhVUaynSX8JWwujIJAh+5nkbi4po+g7l1iYtgHuFNDe0LVdyzDnu9g3VoBrLLP6/3pvMJVVIlXuYhC9RbM84TFrj4tqt8uYjVrOk=
0u5de9oac5kto22br3fe2admjv35rf1i.haus.	3600	in	nsec3	1 1 0 73 0VEL5NJMI3ET16LOVL61ALMC9R2HIBBJ NS DS RRSIG
0u5de9oac5kto22br3fe2admjv35rf1i.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. jL2xNk/Zd3YFJAYxObqcIvbtt7I21xtOkQ+ifdGeLtfGfZG/xVwYHtMXQrCu+EsKQycA5zSf+ut2V2qmr7Cxx8aaxsUUDAbagMQEbXI3LbXwdF98g5AGwYuZVAelH+dKw+7wrUvE/mC081JLid8snWwbfOlh8igRAXyW17uX0hw=
0vel5njmi3et16lovl61almc9r2hibbj.haus.	3600	in	nsec3	1 1 0 73 116GEIU41877KO2V15O7IMPA7M5RRIM1 NS DS RRSIG
0vel5njmi3et16lovl61almc9r2hibbj.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. hnyilzTcpEPlZdxocgdlxGICh1g2+OuyJ4/GhrEHUvUFHD0VcEAULdnCccc5KzuV1KPyi7tF0KAvqUhhf3DJ6BNvI4JjHzWekqRoBNuIhiJXWf30GcOrAYpmuU8xUFhJuspJf2Cp1bcMnXnEUMlk8Puc2l+OuCUWp6mX+u+mWOQ=
10.haus.	3600	in	ns	ns0.wixdns.net.
10.haus.	3600	in	ns	ns1.wixdns.net.
100.haus.	3600	in	ns	dns01.muumuu-domain.com.
100.haus.	3600	in	ns	dns02.muumuu-domain.com.
1001.haus.	3600	in	ds	2371 13 2 F1364256F59E50247B18757EBB01B7E0DB060E7D07A340FF6770FF13E6F00BDE
1001.haus.	3600	in	ns	burt.ns.cloudflare.com.
1001.haus.	3600	in	ns	natasha.ns.cloudflare.com.
1001.haus.	3600	in	rrsig	DS 8 2 3600 20250922155936 20250901145936 38901 haus. TMEozrE2M3HVSM/QnWZxTeh44o/co5ht86jvhoTWRjIMYxIifrusGEFyGBcSxNroaakUapGORxxCBvALodMdmoXAkpZvBQtfTeo8CS5Y/ZYe7jykLnvhq/e0N3A+o77PkK8b5Xcmo3wSFBm6S8HgZ7Lxv9yi/t5KSodkI5+DCdk=
116geiu41877ko2v15o7impa7m5rrim1.haus.	3600	in	nsec3	1 1 0 73 12KNML76G74Q4IPTL5AJ2HII03TLM214 NS DS RRSIG
116geiu41877ko2v15o7impa7m5rrim1.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. j7n94vg4lH8UlRioZKtjB5m6+4X5zhyU0tF7xDgaMCXkZjOlxkW2QN1Gl2QBaoQ1otxgvS8YPt9Hl8OA0dnB/ffI1xWYC+Gus5ksooR5zXsCZOLoMhxkV5ZY6ZqJzth4PtF1+85xMyOW2xiF8nOmysFT+EOVLKJv86Le36dnVnw=
11bet.haus.	3600	in	ns	curitiba.ns.porkbun.com.
11bet.haus.	3600	in	ns	fortaleza.ns.porkbun.com.
11bet.haus.	3600	in	ns	maceio.ns.porkbun.com.
11bet.haus.	3600	in	ns	salvador.ns.porkbun.com.
11th.haus.	3600	in	ns	ns-cloud-d1.googledomains.com.
11th.haus.	3600	in	ns	ns-cloud-d2.googledomains.com.
11th.haus.	3600	in	ns	ns-cloud-d3.googledomains.com.
