4997c14sk5i4pp0ugg1pc73qmfrvafs4.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260211134224 20260121124224 3183 gripe. BLdSFvt0XiCAW4I7x5XYdjqZz951QOfbM0RnxLO9Bz59jB89xwYspT4vfr/vLFrXB7KUc+ZE/R2I+F6/di1P6zJoZF2Fc0ceuvELJjDk6ftq11jiuSP8qfE+3wojfNgm/INjgcDLI6XImiUtF4FNZvFQuTPRZPdo1UfFWd+gi3k=
4lom4o9cfb50tnoh8i2ue6gmrf41p94n.gripe.	3600	in	nsec3	1 1 0 73 4PEHSFE48PVEPGLG84E3TBO1CTEE1JE1 NS DS RRSIG
4lom4o9cfb50tnoh8i2ue6gmrf41p94n.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260211134224 20260121124224 3183 gripe. g9TUemE/Ht7evkuvdaxmGYV/pSGB1o3dj61djyAH5neiUifGMYZTKAztJ4nMV+sF20iYm7RB90YUGadKcz+OSdG+/nBPkbPogBfeX9luSbtD1GvmEyXFD96Pp6ngL/kE9Lj0zwqATBHI0EVnGCXk3kMSRz5OmRTJYNR2wwis6gs=
4over.gripe.	3600	in	ns	ns61.domaincontrol.com.
4over.gripe.	3600	in	ns	ns62.domaincontrol.com.
4pehsfe48pvepglg84e3tbo1ctee1je1.gripe.	3600	in	nsec3	1 1 0 73 4PQK3C5QH4Q6JJUBDOH4PM4B5K592G91 NS DS RRSIG
4pehsfe48pvepglg84e3tbo1ctee1je1.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. lbbx/a5xWvibaI/LGRxVsDvhykWjPX3kPvQ0uK1yJkm+RlUjtrbghp7UGC/0Vv+ZPMX0s7ZuFfyHMLQBl6jBfoffPMwSC3ViDt+Vj0ulZ1dCuAqaNdAJMtoYiD0s5hPCqHuHw3UXJ7PIHDZ7cAZninc9X6+icnyWQTcAcE6k9Wg=
4pqk3c5qh4q6jjubdoh4pm4b5k592g91.gripe.	3600	in	nsec3	1 1 0 73 505N9UUKTFQLE5J344I1OTP4F346R3B7 NS DS RRSIG
4pqk3c5qh4q6jjubdoh4pm4b5k592g91.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. ecbUirZpGzh0QPEEDv+EREIKAUIp4SMXKV1pV+Io4XUvU41BBpeqosr1l7YkFYN4UehVIIZ0/RZWgJ/LzBy9c1lPfCqDu0zQs57BG7ISLIaFSOI53fRUvu5ekJ0KPOD9tiZSObqZ+fHHJWdrFU8D2f8fDnqmx5lJ/MOQa8J6JpU=
505n9uuktfqle5j344i1otp4f346r3b7.gripe.	3600	in	nsec3	1 1 0 73 5D3NA20PO90JOB7QRLO61V472QHIH93M NS DS RRSIG
505n9uuktfqle5j344i1otp4f346r3b7.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. dJ8QLx0JqWNL97GkYmzU1nJ1NggOwPzGUYFusDcCqbUQoNS8WVRhx8Qt5Aa+dXxQ6Vu9AWKlNDVCLX8LAUGFgwVOzkxKLNPezJYCen2L1KXTF2RWhGHneez7WFseiLIkZgOdy+okVl+coilJsYN4u6KKp+zXo2oA0jWgLDsykFc=
591311.gripe.	3600	in	ns	ns1.dyna-ns.net.
591311.gripe.	3600	in	ns	ns2.dyna-ns.net.
5d3na20po90job7qrlo61v472qhih93m.gripe.	3600	in	nsec3	1 1 0 73 5KSK17QF593SR7JV0U2S5UJ8VLUTECLJ NS DS RRSIG
5d3na20po90job7qrlo61v472qhih93m.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. o+asv+wW0ynMCzal9AYFfzJXSLsRL4V0Q2+TQMQQnVHzEiIyYw3tt1MUyjKUaKpfVw2ev24w/m8PKFOYXxorsG+St7jZPNKq+uPz9M6rcHtl+Tz1Fh5bLj7an5W3Il5Q8kNxh39CYqBT8t6C8xrKwkNL9MImUiSeO+DAj9+pYT0=
5ksk17qf593sr7jv0u2s5uj8vluteclj.gripe.	3600	in	nsec3	1 1 0 73 5MOC2V4HS7PBLE73AKTQLIFMBJB7S1LB NS DS RRSIG
