500.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
500.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
500.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
500.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
5148.xn--io0a7i.	86400	in	ns	dns10.hichina.com.
5148.xn--io0a7i.	86400	in	ns	dns9.hichina.com.
518.xn--io0a7i.	86400	in	ns	dns19.hichina.com.
518.xn--io0a7i.	86400	in	ns	dns20.hichina.com.
51job.xn--io0a7i.	86400	in	ns	ns1.pending-renewal-domain.com.
51job.xn--io0a7i.	86400	in	ns	ns2.pending-renewal-domain.com.
520.xn--io0a7i.	86400	in	ns	expirens3.hichina.com.
520.xn--io0a7i.	86400	in	ns	expirens4.hichina.com.
5201314.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
5201314.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
5201314.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
5201314.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
521.xn--io0a7i.	86400	in	ns	ns1.22.cn.
521.xn--io0a7i.	86400	in	ns	ns2.22.cn.
555.xn--io0a7i.	86400	in	ns	expdns1.expdns.net.
555.xn--io0a7i.	86400	in	ns	expdns2.expdns.net.
588.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
588.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
588.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
588.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
5gmzwh.xn--io0a7i.	86400	in	ns	ns1.gxkjdns.com.
5gmzwh.xn--io0a7i.	86400	in	ns	ns2.gxkjdns.com.
5gw.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
5gw.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
5gw.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
5gw.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
5gzg.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
5gzg.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
5gzg.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
5gzg.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
5gzhongguo.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
5gzhongguo.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
5gzhongguo.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
5gzhongguo.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
600030.xn--io0a7i.	86400	in	ns	ns1.gxkjdns.com.
600030.xn--io0a7i.	86400	in	ns	ns2.gxkjdns.com.
600112.xn--io0a7i.	86400	in	ns	ns3.myhostadmin.net.
600112.xn--io0a7i.	86400	in	ns	ns4.myhostadmin.net.
600406.xn--io0a7i.	86400	in	ns	ns1.gxkjdns.com.
600406.xn--io0a7i.	86400	in	ns	ns2.gxkjdns.com.
666.xn--io0a7i.	86400	in	ns	ns1.ezdnscenter.com.
666.xn--io0a7i.	86400	in	ns	ns2.ezdnscenter.com.
666.xn--io0a7i.	86400	in	ns	ns3.ezdnscenter.com.
666.xn--io0a7i.	86400	in	ns	ns4.ezdnscenter.com.
666.xn--io0a7i.	86400	in	ns	ns5.ezdnscenter.com.
666.xn--io0a7i.	86400	in	ns	ns6.ezdnscenter.com.
66666.xn--io0a7i.	86400	in	ns	ns3.dns.com.
66666.xn--io0a7i.	86400	in	ns	ns4.dns.com.
666666.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
666666.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
666666.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
666666.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
688.xn--io0a7i.	86400	in	ns	ns1.gxkjdns.com.
688.xn--io0a7i.	86400	in	ns	ns2.gxkjdns.com.
6888.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
6888.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
6888.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
6888.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
69d.xn--io0a7i.	86400	in	ns	ns5.myhostadmin.net.
69d.xn--io0a7i.	86400	in	ns	ns6.myhostadmin.net.
6bo.xn--io0a7i.	86400	in	ns	dns5.hichina.com.
6bo.xn--io0a7i.	86400	in	ns	dns6.hichina.com.
700.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
700.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
700.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
700.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
777.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
777.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
777.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
777.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
818.xn--io0a7i.	86400	in	ns	expirens3.hichina.com.
818.xn--io0a7i.	86400	in	ns	expirens4.hichina.com.
828.xn--io0a7i.	86400	in	ns	ns1.huaweicloud-dns.cn.
828.xn--io0a7i.	86400	in	ns	ns1.huaweicloud-dns.com.
832.xn--io0a7i.	86400	in	ns	ns1.22.cn.
832.xn--io0a7i.	86400	in	ns	ns2.22.cn.
87633.xn--io0a7i.	86400	in	ns	dns7.hichina.com.
87633.xn--io0a7i.	86400	in	ns	dns8.hichina.com.
888.xn--io0a7i.	86400	in	ns	ns1.22.cn.
888.xn--io0a7i.	86400	in	ns	ns2.22.cn.
8888.xn--io0a7i.	86400	in	ns	ns1.22.cn.
8888.xn--io0a7i.	86400	in	ns	ns2.22.cn.
88888.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
88888.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
88888.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
88888.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
8kuaisu.xn--io0a7i.	86400	in	ns	ns3.dns.com.
8kuaisu.xn--io0a7i.	86400	in	ns	ns4.dns.com.
900.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
900.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
900.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
900.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
91-expo.xn--io0a7i.	86400	in	ns	expirens3.hichina.com.
91-expo.xn--io0a7i.	86400	in	ns	expirens4.hichina.com.
95510.xn--io0a7i.	86400	in	ns	dns10.hichina.com.
95510.xn--io0a7i.	86400	in	ns	dns9.hichina.com.
95548.xn--io0a7i.	86400	in	ns	ns1.gxkjdns.com.
95548.xn--io0a7i.	86400	in	ns	ns2.gxkjdns.com.
95598.xn--io0a7i.	86400	in	ns	ns2.guoxuwang.com.
95598.xn--io0a7i.	86400	in	ns	ns3.guoxuwang.com.
95598.xn--io0a7i.	86400	in	ns	ns4.guoxuwang.com.
9608.xn--io0a7i.	86400	in	ns	dns-ch.xinnet.com.
9608.xn--io0a7i.	86400	in	ns	dns-ch2.xinnet.com.
96528.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
96528.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
96528.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
96528.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
9889.xn--io0a7i.	86400	in	ns	ns41.8hy.cn.
9889.xn--io0a7i.	86400	in	ns	ns42.8hy.cn.
999.xn--io0a7i.	86400	in	ns	ns1.22.cn.
999.xn--io0a7i.	86400	in	ns	ns2.22.cn.
99999.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
99999.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
99999.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
99999.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
abc.xn--io0a7i.	86400	in	ns	ns1.22.cn.
abc.xn--io0a7i.	86400	in	ns	ns2.22.cn.
acb.xn--io0a7i.	86400	in	ns	ns3.myhostadmin.net.
acb.xn--io0a7i.	86400	in	ns	ns4.myhostadmin.net.
acme.xn--io0a7i.	86400	in	ns	dns13.hichina.com.
acme.xn--io0a7i.	86400	in	ns	dns14.hichina.com.
addiphos.xn--io0a7i.	86400	in	ns	ce1.xincache.com.
addiphos.xn--io0a7i.	86400	in	ns	ce2.xincache.com.
admin.xn--io0a7i.	86400	in	ns	dns7.hichina.com.
admin.xn--io0a7i.	86400	in	ns	dns8.hichina.com.
adsense.xn--io0a7i.	86400	in	ns	ns1.markmonitor.com.
adsense.xn--io0a7i.	86400	in	ns	ns3.markmonitor.com.
adwords.xn--io0a7i.	86400	in	ns	ns1.markmonitor.com.
adwords.xn--io0a7i.	86400	in	ns	ns3.markmonitor.com.
adxnyszyz.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
adxnyszyz.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
adxnyszyz.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
adxnyszyz.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
agent.xn--io0a7i.	86400	in	ns	dns11.hichina.com.
agent.xn--io0a7i.	86400	in	ns	dns12.hichina.com.
agi.xn--io0a7i.	86400	in	ns	dns25.hichina.com.
agi.xn--io0a7i.	86400	in	ns	dns26.hichina.com.
aiagent.xn--io0a7i.	86400	in	ns	dns29.hichina.com.
aiagent.xn--io0a7i.	86400	in	ns	dns30.hichina.com.
aiai.xn--io0a7i.	86400	in	ns	dns17.hichina.com.
aiai.xn--io0a7i.	86400	in	ns	dns18.hichina.com.
aiaiai.xn--io0a7i.	86400	in	ns	dns1.hichina.com.
aiaiai.xn--io0a7i.	86400	in	ns	dns2.hichina.com.
aicomputer.xn--io0a7i.	86400	in	ns	dns11.hichina.com.
aicomputer.xn--io0a7i.	86400	in	ns	dns12.hichina.com.
aiforu.xn--io0a7i.	86400	in	ns	ce1.xincache.com.
aiforu.xn--io0a7i.	86400	in	ns	ce2.xincache.com.
aikon.xn--io0a7i.	86400	in	ns	dns21.hichina.com.
aikon.xn--io0a7i.	86400	in	ns	dns22.hichina.com.
ailin.xn--io0a7i.	86400	in	ns	ns1.bdydns.cn.
ailin.xn--io0a7i.	86400	in	ns	ns2.bdydns.cn.
aimobility.xn--io0a7i.	86400	in	ns	dns3.hichina.com.
aimobility.xn--io0a7i.	86400	in	ns	dns4.hichina.com.
airobot.xn--io0a7i.	86400	in	ns	dns13.hichina.com.
airobot.xn--io0a7i.	86400	in	ns	dns14.hichina.com.
airollator.xn--io0a7i.	86400	in	ns	dns21.hichina.com.
airollator.xn--io0a7i.	86400	in	ns	dns22.hichina.com.
airport.xn--io0a7i.	86400	in	ns	dns21.hichina.com.
airport.xn--io0a7i.	86400	in	ns	dns22.hichina.com.
airporthongkong.xn--io0a7i.	86400	in	ns	ns1.8hy.hk.
airporthongkong.xn--io0a7i.	86400	in	ns	ns2.8hy.hk.
aiwalker.xn--io0a7i.	86400	in	ns	dns7.hichina.com.
aiwalker.xn--io0a7i.	86400	in	ns	dns8.hichina.com.
aiwalkers.xn--io0a7i.	86400	in	ns	dns23.hichina.com.
aiwalkers.xn--io0a7i.	86400	in	ns	dns24.hichina.com.
aiwan.xn--io0a7i.	86400	in	ns	dns25.hichina.com.
aiwan.xn--io0a7i.	86400	in	ns	dns26.hichina.com.
aiworld.xn--io0a7i.	86400	in	ns	dns13.hichina.com.
aiworld.xn--io0a7i.	86400	in	ns	dns14.hichina.com.
albb.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
albb.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
albb.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
albb.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
ali.xn--io0a7i.	86400	in	ns	dns15.hichina.com.
ali.xn--io0a7i.	86400	in	ns	dns16.hichina.com.
alibaba.xn--io0a7i.	86400	in	ns	dns1.cscdns.net.
alibaba.xn--io0a7i.	86400	in	ns	dns2.cscdns.net.
alibabagroup.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
alibabagroup.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
alibabagroup.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
alibabagroup.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
aliexpress.xn--io0a7i.	86400	in	ns	dns1.cscdns.net.
aliexpress.xn--io0a7i.	86400	in	ns	dns2.cscdns.net.
alipapa.xn--io0a7i.	86400	in	ns	dns10.hichina.com.
alipapa.xn--io0a7i.	86400	in	ns	dns9.hichina.com.
alipay.xn--io0a7i.	86400	in	ns	dns1.cscdns.net.
alipay.xn--io0a7i.	86400	in	ns	dns2.cscdns.net.
aliyun.xn--io0a7i.	86400	in	ns	dns1.cscdns.net.
aliyun.xn--io0a7i.	86400	in	ns	dns2.cscdns.net.
allin.xn--io0a7i.	86400	in	ns	ns1.bdydns.cn.
allin.xn--io0a7i.	86400	in	ns	ns2.bdydns.cn.
allinailin.xn--io0a7i.	86400	in	ns	ns1.bdydns.cn.
allinailin.xn--io0a7i.	86400	in	ns	ns2.bdydns.cn.
amanyangyun.xn--io0a7i.	86400	in	ns	udns1.cscdns.net.
amanyangyun.xn--io0a7i.	86400	in	ns	udns2.cscdns.uk.
amass.xn--io0a7i.	86400	in	ns	ns.info10.com.
amass.xn--io0a7i.	86400	in	ns	ns2.info10.com.
amazon.xn--io0a7i.	86400	in	ns	nsgbr.comlaude.co.uk.
amazon.xn--io0a7i.	86400	in	ns	nssui.comlaude.ch.
amazon.xn--io0a7i.	86400	in	ns	nsusa.comlaude.net.
android.xn--io0a7i.	86400	in	ns	ns1.markmonitor.com.
android.xn--io0a7i.	86400	in	ns	ns3.markmonitor.com.
angte.xn--io0a7i.	86400	in	ns	ns1.gxkjdns.com.
angte.xn--io0a7i.	86400	in	ns	ns2.gxkjdns.com.
anjia.xn--io0a7i.	86400	in	ns	dns23.hichina.com.
anjia.xn--io0a7i.	86400	in	ns	dns24.hichina.com.
anjuke.xn--io0a7i.	86400	in	ns	dns7.hichina.com.
anjuke.xn--io0a7i.	86400	in	ns	dns8.hichina.com.
anmo.xn--io0a7i.	86400	in	ns	ens1.net-chinese.com.tw.
anmo.xn--io0a7i.	86400	in	ns	ens2.net-chinese.com.tw.
anquan.xn--io0a7i.	86400	in	ns	dns27.hichina.com.
anquan.xn--io0a7i.	86400	in	ns	dns28.hichina.com.
anxin.xn--io0a7i.	86400	in	ns	dns29.hichina.com.
anxin.xn--io0a7i.	86400	in	ns	dns30.hichina.com.
aoli.xn--io0a7i.	86400	in	ns	dns13.hichina.com.
aoli.xn--io0a7i.	86400	in	ns	dns14.hichina.com.
aougea.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
aougea.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
aougea.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
aougea.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
apollogo.xn--io0a7i.	86400	in	ns	ns1.gxkjdns.com.
apollogo.xn--io0a7i.	86400	in	ns	ns2.gxkjdns.com.
app.xn--io0a7i.	86400	in	ns	ns1.brandshelter.com.
app.xn--io0a7i.	86400	in	ns	ns2.brandshelter.de.
app.xn--io0a7i.	86400	in	ns	ns3.brandshelter.info.
app.xn--io0a7i.	86400	in	ns	ns4.brandshelter.net.
app.xn--io0a7i.	86400	in	ns	ns5.brandshelter.us.
arar.xn--io0a7i.	86400	in	ns	dns11.hichina.com.
arar.xn--io0a7i.	86400	in	ns	dns12.hichina.com.
arrow.xn--io0a7i.	86400	in	ns	pdns77.ultradns.biz.
arrow.xn--io0a7i.	86400	in	ns	pdns77.ultradns.com.
arrow.xn--io0a7i.	86400	in	ns	pdns77.ultradns.net.
arrow.xn--io0a7i.	86400	in	ns	pdns77.ultradns.org.
artificialintelligence.xn--io0a7i.	86400	in	ns	dns7.hichina.com.
artificialintelligence.xn--io0a7i.	86400	in	ns	dns8.hichina.com.
arvr.xn--io0a7i.	86400	in	ns	dns29.hichina.com.
arvr.xn--io0a7i.	86400	in	ns	dns30.hichina.com.
asb.xn--io0a7i.	86400	in	ns	dns3.4cun.com.
asb.xn--io0a7i.	86400	in	ns	dns4.51dns.top.
asbkj.xn--io0a7i.	86400	in	ns	dns3.4cun.com.
asbkj.xn--io0a7i.	86400	in	ns	dns4.51dns.top.
asia.xn--io0a7i.	86400	in	ns	dns15.hichina.com.
asia.xn--io0a7i.	86400	in	ns	dns16.hichina.com.
asifi.xn--io0a7i.	86400	in	ns	dns10.hichina.com.
asifi.xn--io0a7i.	86400	in	ns	dns9.hichina.com.
aslypt.xn--io0a7i.	86400	in	ns	ns.nagor.cn.
aslypt.xn--io0a7i.	86400	in	ns	ns.nagor.com.cn.
aslypt.xn--io0a7i.	86400	in	ns	ns1.dnsnw.com.
aslypt.xn--io0a7i.	86400	in	ns	ns2.dnsnw.com.
asya.xn--io0a7i.	86400	in	ns	ce1.xincache.com.
asya.xn--io0a7i.	86400	in	ns	ce2.xincache.com.
august.xn--io0a7i.	86400	in	ns	dns11.hichina.com.
august.xn--io0a7i.	86400	in	ns	dns12.hichina.com.
aupres.xn--io0a7i.	86400	in	ns	ns1.guoxuwang.com.
aupres.xn--io0a7i.	86400	in	ns	ns2.guoxuwang.com.
autodiscover.xn--io0a7i.	86400	in	ns	ns1-32.azure-dns.com.
autodiscover.xn--io0a7i.	86400	in	ns	ns2-32.azure-dns.net.
autodiscover.xn--io0a7i.	86400	in	ns	ns3-32.azure-dns.org.
autodiscover.xn--io0a7i.	86400	in	ns	ns4-32.azure-dns.info.
avivacofco.xn--io0a7i.	86400	in	ns	ns1.cnolnic.com.
avivacofco.xn--io0a7i.	86400	in	ns	ns2.cnolnic.com.
