09156.blue.	3600	in	ns	audrey.ns.cloudflare.com.
09156.blue.	3600	in	ns	howard.ns.cloudflare.com.
09746.blue.	3600	in	ns	ns1.dnsip.com.
09746.blue.	3600	in	ns	ns2.dnsip.com.
09770.blue.	3600	in	ns	ns1.dnsip.com.
09770.blue.	3600	in	ns	ns2.dnsip.com.
09gab4bela7a0ki0ji9l407bvc1vf0uq.blue.	3600	in	nsec3	1 1 0 73 0A392OULSHV5U1GACMF2NRJ3SDUV4VCN NS DS RRSIG
09gab4bela7a0ki0ji9l407bvc1vf0uq.blue.	3600	in	rrsig	NSEC3 8 2 3600 20250916153554 20250826143554 55518 blue. dORbXPXlgJbaCzlIkU1P0wNvCM/tHogHVnGCPshCZzLjCDKBu2uPvpu5sJDgdVbC0bPhUXAetTUtDtk80MguRmdvY4ap3S/5TrEYTv4ex5PvLVWbyGBjxUn1AXTh9E5tohD8NReR8MiUN6M7lawb/8XkS2nPaSwB/y54Xw4kEKI=
0a0243a9.blue.	3600	in	ns	ns-1060.awsdns-04.org.
0a0243a9.blue.	3600	in	ns	ns-1787.awsdns-31.co.uk.
0a0243a9.blue.	3600	in	ns	ns-279.awsdns-34.com.
0a0243a9.blue.	3600	in	ns	ns-527.awsdns-01.net.
0a392oulshv5u1gacmf2nrj3sduv4vcn.blue.	3600	in	nsec3	1 1 0 73 0ADAAAQDA1STP011ELEP2FJPOQ45IGQN NS DS RRSIG
0a392oulshv5u1gacmf2nrj3sduv4vcn.blue.	3600	in	rrsig	NSEC3 8 2 3600 20250916153554 20250826143554 55518 blue. pmbzL9d4aXkTsIrouvGa92xYMykTvsBj3dbkE52K1mkD+KITT7C9Cd+B3D/AsW9VVuQSgdJ383tqqz5xd2tazOsKj9JKTA25tcJkcRxEFSpl65rvq5JXFnCoWqbLiqGHkEdcYs7207Jf7YY0wEycYKc6+iZ0vMrz5XO4/N48a2Y=
0adaaaqda1stp011elep2fjpoq45igqn.blue.	3600	in	nsec3	1 1 0 73 0AILCENSNQC1BU61KK54F3T0039GLJV7 NS DS RRSIG
