place.	3600	in	soa	v0n0.nic.place. hostmaster.donuts.email. 1757034845 7200 900 1209600 3600
0fe8th2llus5kedcef3edb2kgduglmb2.place.	3600	in	nsec3	1 1 0 73 0H331J4H2AOHVN76KTCTE2IF8EL22PJE NS DS RRSIG
0fe8th2llus5kedcef3edb2kgduglmb2.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. ZkJbhq/krHFTbDarY5WetFI7+PEVXnLVBRKCrI/FhTu9MxhQUaqCqxEAmVQqHc/Y6L3lnBD/QSR1bt5WyrXrJu8gaNNcNnLzKKybG+0Alblyo2Dg57p91zCZgB9c7sZKCaXGMI91EL0k2Lmiy/oYpR+OmeMFzPTc5YCBHNV2GsI=
0h331j4h2aohvn76ktcte2if8el22pje.place.	3600	in	nsec3	1 1 0 73 0H7ERPTDIO236S5H9EBBEQDSMOSP972I NS DS RRSIG
0h331j4h2aohvn76ktcte2if8el22pje.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. nhz4pPCbsrjWEnTeRYp4HkaqRVB8/5qubNZPqDDRkBh8c04kpUGQEbsSONDKgffCXSrpBnPD31XYq4MmmgcTmt5HOdT9s/h5kWrbNrzK8yQUS6NRfUGKZv5r8XybHn4fOamj/TBwQBOOTwgcp74IcvSe5HoibGt1yNP2diYC06c=
0h7erptdio236s5h9ebbeqdsmosp972i.place.	3600	in	nsec3	1 1 0 73 0HC7ABNAKR3PJDAJ19TTC5SUO1IJ8HRR NS DS RRSIG
0h7erptdio236s5h9ebbeqdsmosp972i.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. UGgP+unRBg7tke6gUhgpNLpo/SK2a3xrKfQkjDDP/hU2bjsJFv5HRvmpvl5lqidBkZTzJRbQBLRwsRduout2C4CWddcWlqMMr2CSKZCbXSK9TsPA0VZ+a1+jzNDOBKA0ggOL4ZmD0Dro9LCs6FpE83amNsGx9nnKO7JVQYALEMA=
0hc7abnakr3pjdaj19ttc5suo1ij8hrr.place.	3600	in	nsec3	1 1 0 73 0HKGPF5C6POFD7NSA6C929VD0AI4JV8G NS DS RRSIG
0hc7abnakr3pjdaj19ttc5suo1ij8hrr.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. YpSUmeNwj7NZfhNibz88Ht5u5XtmjxjdwwDk0ujDIoe3zadF452eembyXJf3SAUlq7s7dwKaCDKuONOICZqm4tX2qIbBO9NzXQrSmzV0cRs1Wm7XwM0R3nSon1OwEjaaNsv7TfjnyIeDd2RajQ7AsMimFYfezZDH98ldpBfGl5k=
0hkgpf5c6pofd7nsa6c929vd0ai4jv8g.place.	3600	in	nsec3	1 1 0 73 0I6NE8FP339J6299Q630S5PQHV8HFF9A NS DS RRSIG
0hkgpf5c6pofd7nsa6c929vd0ai4jv8g.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. JftI6pwV/XnWBYZGyBSc0YBkv6ilP8bsgcuCLP/0NYSLUFpbxgcAeQ7QYCClHrosOBimcWVNXdV/rqOnuK6HwAnWNlQZfNDNf5VRbuzWfN78crDA4+WTFjrD3Q0HCwYox8h3kRzEk/tt/HfnmnSwWUN258C+E1KnV12RHYRl7Zc=
0i6ne8fp339j6299q630s5pqhv8hff9a.place.	3600	in	nsec3	1 1 0 73 0LCTI1T80O4RR8CDJ9JHR4748J603MA5 NS DS RRSIG
0i6ne8fp339j6299q630s5pqhv8hff9a.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. NLPEcRGYjC+zZzqsfwxgF/orYDms4G6pv29JbMhw5MAL1+Yksc/7ZcH5qwN1Iqti42HIB5lD9QpD7YDUzw3i+HhSJDkkg/ydz6rLiE9GFKQ81qyg1QztY5IZFWV5TrlrkUhEQnybivv81+SMErsQOqDUG8ykTptYIFGysTLCMi4=
0lcti1t80o4rr8cdj9jhr4748j603ma5.place.	3600	in	nsec3	1 1 0 73 0LDA1AKU8DLRGU1EBJ7A5K3PS1E2FMVR NS DS RRSIG
0lcti1t80o4rr8cdj9jhr4748j603ma5.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. qbZecaD46kaKI7n37EtBdpZh6Sx/gfprvMlI+XCvYaGv7lEqIrqIZF/heneVlwjNdYqiTPIKwfq1KOCALIY7XM05T+12opETMl8MrP9mIo0A5dWdG3dnPVAvuraC+CSSqkSlf/Y9a2I02vfbo0WelsTLzy3IFdxrLtSZTeTATvs=
0lda1aku8dlrgu1ebj7a5k3ps1e2fmvr.place.	3600	in	nsec3	1 1 0 73 0MB1TRU4JGN326075PIF838RJJEL5G9G NS DS RRSIG
0lda1aku8dlrgu1ebj7a5k3ps1e2fmvr.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. mEFvOaIC5P2CzzM+LJN9LyS2iv+u386xryTdWw+ZyCRI9oKxSIpDSeV2LA2t8bY5L5Gvlbzc1rEKYLvgohPFxiWHR5ZNALMCxkBrsKxbimSJZmmy1Zow+z2EN27oXN9DYx2QPuKH5zvjyIg5RrosXqHmkMF6u/uqj3ylXA5hmp8=
0market.place.	3600	in	ns	maeve.ns.cloudflare.com.
0market.place.	3600	in	ns	memphis.ns.cloudflare.com.
0mb1tru4jgn326075pif838rjjel5g9g.place.	3600	in	nsec3	1 1 0 73 0MH5K00293ACEUC218LA7USH2AONUA4V NS DS RRSIG
0mb1tru4jgn326075pif838rjjel5g9g.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. fmmE2YShThFDVN4AVqpSk7q9NQezymrsThdtpleXsvmqESHWBpQAC5TX8YRECdGLOMlyBRsN31O0W1xeZzjWWuQSFaHBbaSTZJJCiZHZbf1twceIyysexJwbeBlXp2FoW7zZMAHnPajvRktpfcl5C/jaa6Raomwqk7aqnNyrCpo=
0mh5k00293aceuc218la7ush2aonua4v.place.	3600	in	nsec3	1 1 0 73 0N7FK0AAOU44121TAEFU02ED08A1JONH NS DS RRSIG
0mh5k00293aceuc218la7ush2aonua4v.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. q1PNe6QMUC5aBQkNKAtZ8Kz4KxDW0ktCp017q8bIFFgBkd+gJNXAHyARddii2GfIiN9iyg1H/7ccVRTJMPh7KsIgSwXmX+pnqfYieIE0cwviNMTfbrleFdxHUiUCH/cMqx/iX6Ph0kldKziBvs3c+DyCTvzN65Az3Zbc75+z8Co=
0n7fk0aaou44121taefu02ed08a1jonh.place.	3600	in	nsec3	1 1 0 73 0OKQC3AP901ED6LFT8OMF2UALE8M5FK7 NS DS RRSIG
0n7fk0aaou44121taefu02ed08a1jonh.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. N3RzyY4uXiDODoxiHmpBpMZUYIdJrEutvaAX6ZA0EuiSUWI3Yk3wnHZTalOFaQObK18ELmm3pr7pWn6eyGtM63JiqejBVXeZHq6nfF+1zoDA3Hkb+NYnNPc0Ecwu8BYE8Ah8kqpWAO6nDTwhc3UuBQ/VLabFqBzC/sdXo/x/Dvs=
0okqc3ap901ed6lft8omf2uale8m5fk7.place.	3600	in	nsec3	1 1 0 73 0Q8ENLU14PGI33GPRCRHAE97LB83N2J3 NS DS RRSIG
0okqc3ap901ed6lft8omf2uale8m5fk7.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. H1L3Vd62GXsSFLELsuIVb9815j8auDbBygOVL0/tEOtCKbg1LfPZ3yCCO/pzSt+bT1evCfYvHQpgIRBCDBj7aGXORXuFvSP5p00UdhFlCPNjZ/zS0KB/syeFkraEAbo5drhO7Z1PqqnpaYgKF40BlMZm7LxqXm2V01iBXaNr6As=
0q8enlu14pgi33gprcrhae97lb83n2j3.place.	3600	in	nsec3	1 1 0 73 0RF3F2M3JOKJG5ET1TKQ3SJFC7OVCTL2 NS DS RRSIG
0q8enlu14pgi33gprcrhae97lb83n2j3.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. Mpkv9l26Ky5uMs28qF6iF4T0vY/h7G13t4gDtAjTzhBY9dl+YQshigvaflAz7aF6dcKskYKgeYYjgxjn86YtJdEkaXRi6WiYsFbteipygOWQuuxLHDVnsniue3QurqPe2ThSjX2sasugRcA5uXEnPdPdwPW2chRYZhsBMFa5jK8=
0rf3f2m3jokjg5et1tkq3sjfc7ovctl2.place.	3600	in	nsec3	1 1 0 73 0SD1K33ERFQVJR05GKAI40O5PIJ86825 NS DS RRSIG
0rf3f2m3jokjg5et1tkq3sjfc7ovctl2.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. WXcJYsYbIRjvOSA8zVv8+hJvkYN5KWNVj01404wqBgQCTe/oQ31AOP8tGPdPCnFlbgGT45pqWE54o3+2U7sC/8xb5gDpRG0+/toVPSb2fcugPfakMkxPk990QRPh3Lqoo2puOmPSZj0Bm/OUR2Om7hrygGPMNqTEtiXqIC1/5S4=
0sd1k33erfqvjr05gkai40o5pij86825.place.	3600	in	nsec3	1 1 0 73 0SGBAJ29GD0LU7GGRS5NQRR2EMI4TSEE NS DS RRSIG
0sd1k33erfqvjr05gkai40o5pij86825.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. CBVpndw81OI+caRdUBWKPWWTBpe28mD8N+sbw5KCt0JmSGE3Xb/aRC/Wsfx1dxi95iHk10J1kg485sTcjGGLi9v/77U9ilG6ZSnfPz28+Hyyo/XXZKkV6cGXIDH/g2pJvywuyTAW6LQMhaQTvORfbdskNBlr5JgKxmMU/pN6DOk=
0sgbaj29gd0lu7ggrs5nqrr2emi4tsee.place.	3600	in	nsec3	1 1 0 73 0T7HI0D7RE60M1G9OFOA2PFHIP7CB53J NS DS RRSIG
0sgbaj29gd0lu7ggrs5nqrr2emi4tsee.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. FNgjL3wXH14Y57zJLJxgR2R6wV2wECqQoTrCDrFqGr4hBSzfMXOXN8LFlSOAyjvTxTHvgYfOwYQbAaar7P2qBnYeJBeQy7kfww29zEks6bsDDeRIBqZc3DDNCskLCmo5IHSRa83pxTd5r0WUPLLY77DtZ119sDIcvuMMDSP+Ap4=
0t7hi0d7re60m1g9ofoa2pfhip7cb53j.place.	3600	in	nsec3	1 1 0 73 0V5O6E43TUDV345CK61J176A5AH1MSOM NS DS RRSIG
0t7hi0d7re60m1g9ofoa2pfhip7cb53j.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. SSuDNk5YEbPorLjozH/gLYNe7LkyN2ksl2LEbIJChniGwDz46GYWgFn+7LSuknh9MJTThMn2+M90CUkbIV2SW+Z9Mc5eXku8Om8kY8WAmZscoLUm2Lhzd5G1b3ilEF/IykTN071Pbdp20bTfgd9n5rXHJsBYrmx3LyVlELFm+Vk=
0v5o6e43tudv345ck61j176a5ah1msom.place.	3600	in	nsec3	1 1 0 73 10VQSIA3HOSVU490LL05LQ9GRNNEHEVM NS DS RRSIG
0v5o6e43tudv345ck61j176a5ah1msom.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. EKgLA8ar6czZC2F7f1l4Hn4+ypdDGpV1r76teNY3l4sLPg4UmbASS9mkR9YisFv2DD1F5q7rE4Y59sDKSuv2pYpoQhHCjC+A12UlK1x++7zVeTfdTgJMPi3N3Qoqq9IYdYjl8sUI/lpf5BONM6igQGUn9bC5YEanuRhzgjXphYo=
1000.place.	3600	in	ds	2371 13 2 FAB78671858CEB9B152600C2CD33A892E4578426B537D0F06A05400CA0C7E919
1000.place.	3600	in	ns	rayne.ns.cloudflare.com.
1000.place.	3600	in	ns	santino.ns.cloudflare.com.
1000.place.	3600	in	rrsig	DS 8 2 3600 20250922152622 20250901142622 65154 place. dTT9ehgVpvAQC+SJGFD7YVMQa+fPy6DIjCBzzsUXUnybzrxo3ugI1K6QHb5Chz/ZjiQ3tuMaZ4hf/C9YWVQAMnGL2bK/HQOJCSB7WTW2vKJMcL/4wNaej/QmyC7xIy5taH5YzX6xIm/31jfXaiEPtXDkcgNOX+NnBMPfigb7Qmw=
1008.place.	3600	in	ds	2371 13 2 7D6E519EEA1518F422FF7CAAB7544C90EC60B3687DF07EA99A690B53439DA151
1008.place.	3600	in	ns	rayne.ns.cloudflare.com.
1008.place.	3600	in	ns	santino.ns.cloudflare.com.
1008.place.	3600	in	rrsig	DS 8 2 3600 20250922152622 20250901142622 65154 place. gxn5EiiGcL9Io6TBBmSwHVLMDu8u+YUgXKHAF+4waT62E2zhAORuml4jlyoEVbgYPjA/bGoQgF3bAYTAyhiUuthBMbD31Qk6xFZJ+rI8A7s7bNxkg/aG8jbjfaCqp9oZGTFDu1732mgwh3VZqr7TpMtOii9bMOcXg8MM+a0EvUk=
101.place.	3600	in	ns	hasslo.ns.cloudflare.com.
101.place.	3600	in	ns	paris.ns.cloudflare.com.
101business.place.	3600	in	ns	ns14.wixdns.net.
101business.place.	3600	in	ns	ns15.wixdns.net.
102saintmarks.place.	3600	in	ns	dns1.registrar-servers.com.
102saintmarks.place.	3600	in	ns	dns2.registrar-servers.com.
103471.place.	3600	in	ns	a.share-dns.com.
103471.place.	3600	in	ns	b.share-dns.net.
10854.place.	3600	in	ns	ns1.dns.com.
10854.place.	3600	in	ns	ns2.dns.com.
109.place.	3600	in	ns	dell.ns.cloudflare.com.
109.place.	3600	in	ns	ram.ns.cloudflare.com.
10emerson.place.	3600	in	ns	ns39.domaincontrol.com.
10emerson.place.	3600	in	ns	ns40.domaincontrol.com.
10vqsia3hosvu490ll05lq9grnnehevm.place.	3600	in	nsec3	1 1 0 73 11LI9HELF5K934LSVM98BRMA6LET9BUA NS DS RRSIG
10vqsia3hosvu490ll05lq9grnnehevm.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. oqf+Oy4taUB9QW2KHH8YW4N4+t1AaDqZX4BpRmhT5yjO018fxCr8eWxeWwM7QQB0+mBLJtGPQYhdL30mw6fnyfq367mofoz4E0gQDQ8RI4XpcqKZ0nluJxrwE6Ov14GwiJSNFhWIjIphWZMeQ4lQmdPgGaAM8DSkRTtn+28VYj4=
1119.place.	3600	in	ds	16070 8 2 8451F1214CE12EA5B280EB9257C450538A9A65B205961C20CDF775D09219E32D
1119.place.	3600	in	ns	ns-cloud-c1.googledomains.com.
1119.place.	3600	in	ns	ns-cloud-c2.googledomains.com.
1119.place.	3600	in	ns	ns-cloud-c3.googledomains.com.
1119.place.	3600	in	ns	ns-cloud-c4.googledomains.com.
1119.place.	3600	in	rrsig	DS 8 2 3600 20250922152622 20250901142622 65154 place. WzDOxfAYXT2Om4K5fcdY3TXeAS4sobzgxyeXWk1QvsPZnWnldADFbexuz2dNk6qJ5VprqZg67oiwH4Hhn9yV5DHxx2+X7EiDWKUacg5F3zcqOZI6Q65mAl22BK+/iRmG8nLVAzvh1IFM1UblMqcfqCRc/b0Q35YJdm4OBRTUfAU=
1149saintcharles.place.	3600	in	ns	ns-cloud-b1.googledomains.com.
1149saintcharles.place.	3600	in	ns	ns-cloud-b2.googledomains.com.
1149saintcharles.place.	3600	in	ns	ns-cloud-b3.googledomains.com.
1149saintcharles.place.	3600	in	ns	ns-cloud-b4.googledomains.com.
115.place.	3600	in	ds	5279 8 2 51D4289DDFFE399A33E807C228CFC744DB8A4CA7DDE23E30195CF1A34D5DD358
115.place.	3600	in	ns	ns-cloud-c1.googledomains.com.
115.place.	3600	in	ns	ns-cloud-c2.googledomains.com.
115.place.	3600	in	ns	ns-cloud-c3.googledomains.com.
115.place.	3600	in	ns	ns-cloud-c4.googledomains.com.
115.place.	3600	in	rrsig	DS 8 2 3600 20250922152622 20250901142622 65154 place. VpSFQ4sF0S1nMfj2ShWWn1pUM0mziJiiUerjVFoYrA/ZymfAIdSHtp8HDoSoKI4vS+/w9dBm+XLSb2FxiE1qTsrulz9H1Ek/z3EDhpiL465niyh9T/rtHaD8tzaEwiHIqBHyDLSKke54fSYzTWML8JS98k/SEwob/l4OsDgHrMQ=
115lexington.place.	3600	in	ns	dns1.registrar-servers.com.
115lexington.place.	3600	in	ns	dns2.registrar-servers.com.
11hancock.place.	3600	in	ns	ns63.domaincontrol.com.
11hancock.place.	3600	in	ns	ns64.domaincontrol.com.
11li9helf5k934lsvm98brma6let9bua.place.	3600	in	nsec3	1 1 0 73 12371PRE3CLR0MK3BB92UKSTVSC6C4RQ NS DS RRSIG
11li9helf5k934lsvm98brma6let9bua.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. idsowxSMDXTmOKRGM1JSnsp8sTwNJ0wIRUEkGtJgyP1xM8TApNDFfktkD0v5lhtUJd/j9TxTm3rKWIS6q2UHlFDQmuJwZd8LKY4d1WCqdpbuwDCIrrqKbZdKk5x2ZAIQADIj7CmfSZA+UKtX1L4cfwGbx6gB2HeZHztokcAVPo0=
120hazel.place.	3600	in	ns	curitiba.ns.porkbun.com.
120hazel.place.	3600	in	ns	fortaleza.ns.porkbun.com.
120hazel.place.	3600	in	ns	maceio.ns.porkbun.com.
120hazel.place.	3600	in	ns	salvador.ns.porkbun.com.
121.place.	3600	in	ns	autumn.ns.cloudflare.com.
121.place.	3600	in	ns	rayden.ns.cloudflare.com.
123.place.	3600	in	ns	dns1.registrar-servers.com.
123.place.	3600	in	ns	dns2.registrar-servers.com.
12371pre3clr0mk3bb92ukstvsc6c4rq.place.	3600	in	nsec3	1 1 0 73 12H3T6QCGH33D007IKBHT08T36PB70JK NS DS RRSIG
12371pre3clr0mk3bb92ukstvsc6c4rq.place.	3600	in	rrsig	NSEC3 8 2 3600 20250922152622 20250901142622 65154 place. b3Om0WM5DykvNlgPoTCLOZtFpATqajfhRrAqBP3wpb9ELShYizwkq2mzbghr9t0HP/mFo18wewQHFPOMKSTThk4EWGxMlQXKQIU8Ouy1LdtR1P1mH4m21GWLJaXkyyjod0LX60YOsVwsCkJBCSFJTA1uJM8twiuob86SsxVMNfA=
1238stjames.place.	3600	in	ns	ns1.dns-parking.com.
