09m058s5nk3ti49gqvfm16sp8eijlroq.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. gsUnO2rtaZokXX27GSFK6oAYGI9Cf/xk3Lgt94tOfiIIQwWvOOTCyw/dlwbCeg7HZn/dCzfNmlFGbwy3+Op7A6N1Ka00rlWAWPZ7hhI8Efdxwrn6WvmExGpouED+Hovgw/KRkE8tuKRYqsZP+CZQSrz6t4q3w5pyESraOBT4kxc=
0bing5nqm9e7488nqpoll7lkpvjq87tt.cool.	3600	in	nsec3	1 1 0 73 0BOP6GUJSMO7GPPK4A1O26GCQ6FOSR4S NS DS RRSIG
0bing5nqm9e7488nqpoll7lkpvjq87tt.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. bpYm5lzyZ4J6if3DP2J1oo0AcCzXNlBWcGFBkt9r1F4GHH5vwGaOJEYgttLVrVC+BDEvrQrGniDVIC0EeFIk8hbhJG/AaNsryYqDDrHG0SJWSBL17tDLA0taHoYH9LTHRELmd9MuJpdwuBq5PaRf8WYheYihbkfmsgZp9WSCH+s=
0bop6gujsmo7gppk4a1o26gcq6fosr4s.cool.	3600	in	nsec3	1 1 0 73 0DJN0L2ADH5SJASO5LVM4RMCV60F5O9F NS DS RRSIG
0bop6gujsmo7gppk4a1o26gcq6fosr4s.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. b6zBkY/c+8gbz5Ix6fiHrLpDuMzoNqbW/hSaglf0jPqihIMMX0o2FhFNcUBlAOy5VpJpRlc0Hh6dA6Vaf0gox5riSRK0+pdQD5Zdv8ijdMwos+3/CwrfFFQ8APuC8gkc4bFq7SQkQIR68jdpHbz03ykkZreEZrLpQ+y9swQzuJg=
0cool.cool.	3600	in	ns	dns1.registrar-servers.com.
0cool.cool.	3600	in	ns	dns2.registrar-servers.com.
0day.cool.	3600	in	ns	athena.ns.cloudflare.com.
0day.cool.	3600	in	ns	corey.ns.cloudflare.com.
0djn0l2adh5sjaso5lvm4rmcv60f5o9f.cool.	3600	in	nsec3	1 1 0 73 0DRCVIKOQSI79E211QI85ET66V9D3VBH NS DS RRSIG
0djn0l2adh5sjaso5lvm4rmcv60f5o9f.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. oDeNdpv3Xi6cJ8TpHUL/MMaAJviX0vpebpYP1dSjtSSR0G3pfCfmnT7inzc1L37qHjHavHkUthfHYiTJ1o02SH82gNBVqr4I6WIerbpjSAxFLCjUIWxTIboN2Cf+8apmEQD+8e5/36txqW4e+NCLUKrZSsOnHxSLzFsIkHfS5PM=
0drcvikoqsi79e211qi85et66v9d3vbh.cool.	3600	in	nsec3	1 1 0 73 0DT7VLOSRARR9BEC12N2SA080MVQMP7K NS DS RRSIG
0drcvikoqsi79e211qi85et66v9d3vbh.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. fCFFi+hdXKX1+v4l2Xq3oag8xFflU8i828zQUxCXji673s62g8cYNa1DxvWfX4R0BGSytWUVadrrfsrNJuF9MkUrYTCDh5Ca5k5c4n8OxtENmz/bMfwFCFYikCcsIBYq1MlQ72LCa0Pka+P0wGaQcDDr0oWKhVd7O9m67rzt7M0=
0dt7vlosrarr9bec12n2sa080mvqmp7k.cool.	3600	in	nsec3	1 1 0 73 0E27MTPPV69UHFR26GH6IO0KV3PSUQC7 NS DS RRSIG
0dt7vlosrarr9bec12n2sa080mvqmp7k.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. srypvZcQqkQJ4hOTReX7z+K6Acg4IvPdkQePqwv1DBT1SR3/mArC5q/dJVLYHTRQT8BGsHSbb5zPPLQMGm0XRg5xTXR9Rs5fkXPym4aEX2Ksb/rnrg6I+bzwEi5ou4eJBs+aAAjNil3q4Efx30CG5Wq0ZnRNM0ziji/hekd3mxo=
0e27mtppv69uhfr26gh6io0kv3psuqc7.cool.	3600	in	nsec3	1 1 0 73 0FM628FE23QJAL4PA2JT9C2T27IA0QF1 NS DS RRSIG
0e27mtppv69uhfr26gh6io0kv3psuqc7.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. pcv9Sah8OrvXVEMsCViuSDqlTmzQnhVQhKC/GkS6eQylrldd2xSjAII/ZeT/MCiHpDOCbeji8td16m2ExsmL/3e20jhnwgRemrvGi9Is3hm3UF3fvE51FCq8MJ+EWIj86tB0ZlhOYQ3aWrszIFDqSY/jXQKsXOYfjBdKWDYLJTc=
0fm628fe23qjal4pa2jt9c2t27ia0qf1.cool.	3600	in	nsec3	1 1 0 73 0GAS7GTHC55CU4IUQBNABQNOREC2FR5F NS DS RRSIG
0fm628fe23qjal4pa2jt9c2t27ia0qf1.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. BKIc0jzvKmT1NdepmlHbfEHSrk3CVKCyKh7lemd+GT94Mielac9wbsStFUlK8BEYCFWoFIGw64NKF92hOKk6VCJJUQGLfg+6BErIKmKF2eu57VsHX8Sp/tVJCCJMthqeS/BoriOcxs1FkklNgjaPE3nPuihIh5fX/izvBKbg7Fk=
0gas7gthc55cu4iuqbnabqnorec2fr5f.cool.	3600	in	nsec3	1 1 0 73 0GNMJL3V6LAIJ14UJ22TBFP6H8KC5BE8 NS DS RRSIG
0gas7gthc55cu4iuqbnabqnorec2fr5f.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. oyBU3+v7COl+5Iv6/oitPyjuja1cFwMvCnI9hb081L7JIwYKx0eDDeQTl5tGejaYbBOSDlZ2LBK7411B6mOeHirV5lVqJTTn5dSB6km9m+2ullLZjCQEA89GFzM3xJ1739Wu7Lj899uiBaS5uKGjFex6h7g71SoQjeq+RQ//1wM=
0gnmjl3v6laij14uj22tbfp6h8kc5be8.cool.	3600	in	nsec3	1 1 0 73 0GQJQKDF92AN7ER6U5R2JPKAIK2Q6FOG NS DS RRSIG
0gnmjl3v6laij14uj22tbfp6h8kc5be8.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. g92j6ABgwLvBDcLA1m+VNk7mPLnHkvuYaeDIvIuqLRR9+cGt59U+3qDU+fV/KbIPOGfrvDmMXee0cTUx1GcdJnq2iB28NcvrE0w4m7XhT3RxqEbfcEia+ktBUMnC4EBISAyGVRDKI5IQIMjCG7zP2MNr5bavHGwsSlHuxLTowqo=
0gqjqkdf92an7er6u5r2jpkaik2q6fog.cool.	3600	in	nsec3	1 1 0 73 0HVVFS1IAV7PT6DLD9HEM90BOCF1VJ5T NS DS RRSIG
0gqjqkdf92an7er6u5r2jpkaik2q6fog.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. iQt9m8uCEFjXvaFLNFvkpU70e00m1LiIWW8pCfVBEg0oGGIii1mcFDOL8rjG61VXErUoWU4Bzy7qBRqFHeMDsRwkY1be0ppPpWh8/Eaq6/pavr8GIMTv9K4huEa6X4lsUA1+G7tnzU8ZYlKUiI8z61u/ppNIyyvPT7+F/IYNdFg=
0hvvfs1iav7pt6dld9hem90bocf1vj5t.cool.	3600	in	nsec3	1 1 0 73 0IGKDA4KCROUHPJ8SLM430SK5TPI9JPD NS DS RRSIG
0hvvfs1iav7pt6dld9hem90bocf1vj5t.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. iRoPCJV0Bn59Z7WHDXdchVKxdjvgERiEHM76i+xBgwxCgtIZUWCe0BZGaH9EQysqjHNX9OfQ1m5sUrHolyQis8QWbwogr4dq1URcrmiVibQyKorY6n62oEjrbSEURozJfIr51ZqgxUIsRElXqB3XO5LGToZxIOk4bJPdFhpTlxY=
0igkda4kcrouhpj8slm430sk5tpi9jpd.cool.	3600	in	nsec3	1 1 0 73 0J0MRKMGKMCF195LQBBFUDD2SO553JT9 NS DS RRSIG
0igkda4kcrouhpj8slm430sk5tpi9jpd.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. F/Q2Kc/n6mbqYS5df98RPJzkGNGIvFSsRbhtRwGvM2osgtmmFoAh1nOPWESHPQgLHjWANj15JV62+Cqvv9x6KNY4XlUBmVTbUmWXojln8Iqn+0cTzR+qJd1GK0E6ki/CS0PoQ7I1147PgwYpvxKWTz8Nzh/rUgeJG2oKzU4ccFY=
0j0mrkmgkmcf195lqbbfudd2so553jt9.cool.	3600	in	nsec3	1 1 0 73 0JUQIF2RRVHH91GRINEJKR9R2JCD6TG1 NS DS RRSIG
0j0mrkmgkmcf195lqbbfudd2so553jt9.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. QW6R98V02Iaik2tXUwkEA19pkzLnWPKmirrskDcTTJqLrO8GRR7KrL65P5hrmy4zrOEIFPlHmBzG/Mfx3Ur5VL7LYyjQFoQJSpDN744hIgAya+H86zd3RBACJ8zah9g8DLtxB3Sozt/Y7GqvqBU3vQLxnTpFEQfzypXZwipgZP4=
0juqif2rrvhh91grinejkr9r2jcd6tg1.cool.	3600	in	nsec3	1 1 0 73 0K5NNA4T58TBJSJQDME2JOOK78A5RUO6 NS DS RRSIG
0juqif2rrvhh91grinejkr9r2jcd6tg1.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. Jp65GPaivkPXKN1blwLj3i68sl6Yn+g/R7Z/x5iGCRtEWLWQE3WP/guA121cECRTk/oJaVnAaBayH3PR792nTAtR1+ChMIttGFKFzNhQs8fc0NeTggxoDr9LQp7Ch2OK5mGK4moY6OvfZfMhTPiBah8btMhQRbjQIt3U32DmgAk=
0k5nna4t58tbjsjqdme2jook78a5ruo6.cool.	3600	in	nsec3	1 1 0 73 0M3P8J95K1UP4OJM47MU1A4FFA6R49CP NS DS RRSIG
0k5nna4t58tbjsjqdme2jook78a5ruo6.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. XBpEsMFOpVN6Q6UxG6gBV/yhNBonDWqXBEr8UGvjaZrxKKBqZ5HAnYWwukMmkN+Exr5Jrm4liwFJtIIsxqkJFCFwEjvneW2Vh35crm/u1BuD2gN5yB0aISitqxKyO/DHdID5Hah0eoGxqEro4kFsMAtya8yl2uVzFt2ju3CxJlU=
0livia.cool.	3600	in	ns	curitiba.ns.porkbun.com.
0livia.cool.	3600	in	ns	fortaleza.ns.porkbun.com.
0livia.cool.	3600	in	ns	maceio.ns.porkbun.com.
0livia.cool.	3600	in	ns	salvador.ns.porkbun.com.
0m3p8j95k1up4ojm47mu1a4ffa6r49cp.cool.	3600	in	nsec3	1 1 0 73 0MCAADLCC99GAKV7JT2UH35GGSSE8PG3 NS DS RRSIG
0m3p8j95k1up4ojm47mu1a4ffa6r49cp.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. MCN9dMDPlT0TeFp7/sS5tDRqIPIqAOKuYayvq9f9q+2rz6PLhN5P+gik28N0XyQzM/HT4g6ZIItasoqLrKNLAjB+XfKPfjMGhYCCinlNdHUPqy1cVyywePp+HmLkBs9ELooXf+J2Xsphij+iy8aaECfshR4K62mCGVeHHs1LPnw=
0mcaadlcc99gakv7jt2uh35ggsse8pg3.cool.	3600	in	nsec3	1 1 0 73 0N031TA2CQP9HFJ85FC4ILTN19M782D2 NS DS RRSIG
0mcaadlcc99gakv7jt2uh35ggsse8pg3.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. SmUxVSki85yp9niDjjDUoRFWHhREOfcy44XtNlIzNJ5tIG6najzPOczyuV6JSs6dnmPnrWWEyb6oM/77gVb9yl4zebN5r5OXWf17hiPwyIEsRGlKk2jBaJydzKhQ4mkZdfoRUPbKj2lczgfXDj7fN6SuXw9juJo+V2Y2IKTPNgs=
0n031ta2cqp9hfj85fc4iltn19m782d2.cool.	3600	in	nsec3	1 1 0 73 0O335JGEIEHN809E2DKE6C5N0AKH01JL NS DS RRSIG
0n031ta2cqp9hfj85fc4iltn19m782d2.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. VX1iD0yHwgAnYvAtRiz0fzrD9dG5ay/PWRBitAXWcR5LIcnbEep9ypyzAXmY29BLd9Q8xonGYD/sUzGuAn9CrWLah+vzp3Hdi0rnke0dbN0LNFGU/qeWLkmIv5KnG0SkwE0gKOIwKITiJzCoLegX6/rDPaFde03Mn0bamJclwGQ=
0o0.cool.	3600	in	ns	anna.ns.cloudflare.com.
0o0.cool.	3600	in	ns	sid.ns.cloudflare.com.
0o335jgeiehn809e2dke6c5n0akh01jl.cool.	3600	in	nsec3	1 1 0 73 0P0GODO5QJUCU9PEAS0A76EGJRTPSG4S NS DS RRSIG
0o335jgeiehn809e2dke6c5n0akh01jl.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. Uo+3FRAyJA2S+gNyqWXf+U5pPKehqKUGF2jExxExf9rHcmzUzSLfdVRSo4URJmsZUAlNudOEEJn5sV5zzcjhl8n7sLfRmLIhsL2/Y5d7aFU/DqCNlrWlDJSsaByvXf5JvZK5Eki7RXpIkZJArM5zVy9bsK4O/RyoQGDxhAPtziM=
0p0godo5qjucu9peas0a76egjrtpsg4s.cool.	3600	in	nsec3	1 1 0 73 0PFGSRFOQV19NNN978C1H8J1NK482ECP NS DS RRSIG
0p0godo5qjucu9peas0a76egjrtpsg4s.cool.	3600	in	rrsig	NSEC3 8 2 3600 20250922154913 20250901144913 5538 cool. sn3I6Fw36NFM0/9CceIN0D8dcWvZmdzTUghXILQ4oSZMKvJE4LNSfT0Y9WyB0ZkC5qDNc1EqKD5/QR549zNcepOh8NS+6PXjjzNbobMGzI0GSLnGawXMMs39YvHZzTgzmuuGSaNAozVJpEL7JBf43F/tekIbG+MbgfbWo9fM7kA=
0pfgsrfoqv19nnn978c1h8j1nk482ecp.cool.	3600	in	nsec3	1 1 0 73 0PG3CRU8OG5T7UI0TB8QJAVMBGVAMGDN NS DS RRSIG
