03lcoq0nrhm766djkci4qo1dtnitm3gi.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. iF+SK6ynZfF4m3Ca4Rv4TJ3o0Z49xf662XEyYJyMXz8pVVCj70MlWZb8gq7pDJK4RDJgcxokQ6p9WKx11klKKOVnqx+yUCri+ohPHuJgmWoaK3W8vwSj/YhPL/mss71ku3g8nPEIex/JtFJdfdSIoJbP/jSWx6rA+YigY4heXx4=
042.school.	3600	in	ns	ns.gabia.co.kr.
042.school.	3600	in	ns	ns.gabia.net.
042.school.	3600	in	ns	ns1.gabia.co.kr.
04t3dm04opeg9g9edk4o0chq79tnsnv2.school.	3600	in	nsec3	1 1 0 73 05CB0I8I89B3MAUTBFDOJC2DPCUO0B07 NS DS RRSIG
04t3dm04opeg9g9edk4o0chq79tnsnv2.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. SaaEh1BHllAP76mXkTte/2clmTLLinnnoD/etLh199DEEE/xZCA2AobGbKToiHw3i0xmKQp6290hi1sNwadh6dHuUI8h4khf5yino4MTDEvRKnygr3oEq7Io8rd4yPCW05JVF0nkplfCjKJcRF9AI7465YdnV9xxXoQvn49d++Q=
05cb0i8i89b3mautbfdojc2dpcuo0b07.school.	3600	in	nsec3	1 1 0 73 06FKH9NUO71GP3443NIAOQ8QBTB293TR NS DS RRSIG
05cb0i8i89b3mautbfdojc2dpcuo0b07.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. iB/2UhbDsbBc8x23aU1515dKXIPQ8k+I2sr20Yn3Gjf4jnkkPp9aLX0FdX/ziNoBk4cXIaNYS2pozNqvo2MOJpoeLl2xeJWu6OhBq4gBsiI7wlfKIZHxArbu/C/3Xrw9M40T0/sC48R/WWKx/jqXyZMvUH+kZHx99PDLhtrl/X4=
06883.school.	3600	in	ns	ns1.sedoparking.com.
06883.school.	3600	in	ns	ns2.sedoparking.com.
