dropz.globo.	86400	in	ns	ns02.oghost.com.br.
dropz.globo.	86400	in	ns	ns03.oghost.com.br.
dropz.globo.	86400	in	ns	ns04.oghost.com.br.
dtv.globo.	86400	in	ns	ns01.globo.com.
dtv.globo.	86400	in	ns	ns02.globo.com.
dtv.globo.	86400	in	ns	ns03.globo.com.
dtv.globo.	86400	in	ns	ns04.globo.com.
economia.globo.	86400	in	ns	ns01.globo.com.
economia.globo.	86400	in	ns	ns02.globo.com.
economia.globo.	86400	in	ns	ns03.globo.com.
economia.globo.	86400	in	ns	ns04.globo.com.
editora.globo.	86400	in	ns	ns01.oghost.com.br.
editora.globo.	86400	in	ns	ns02.oghost.com.br.
editora.globo.	86400	in	ns	ns03.oghost.com.br.
editora.globo.	86400	in	ns	ns04.oghost.com.br.
eleicao.globo.	86400	in	ns	ns01.globo.com.
eleicao.globo.	86400	in	ns	ns02.globo.com.
eleicao.globo.	86400	in	ns	ns03.globo.com.
eleicao.globo.	86400	in	ns	ns04.globo.com.
eleicoes.globo.	86400	in	ns	ns01.globo.com.
eleicoes.globo.	86400	in	ns	ns02.globo.com.
eleicoes.globo.	86400	in	ns	ns03.globo.com.
eleicoes.globo.	86400	in	ns	ns04.globo.com.
emfamilia.globo.	86400	in	ns	ns01.globo.com.
emfamilia.globo.	86400	in	ns	ns02.globo.com.
emfamilia.globo.	86400	in	ns	ns03.globo.com.
emfamilia.globo.	86400	in	ns	ns04.globo.com.
emprego.globo.	86400	in	ns	ns01.globo.com.
emprego.globo.	86400	in	ns	ns02.globo.com.
emprego.globo.	86400	in	ns	ns03.globo.com.
emprego.globo.	86400	in	ns	ns04.globo.com.
encontro.globo.	86400	in	ns	ns01.globo.com.
encontro.globo.	86400	in	ns	ns02.globo.com.
encontro.globo.	86400	in	ns	ns03.globo.com.
encontro.globo.	86400	in	ns	ns04.globo.com.
encontropremiomultishow.globo.	86400	in	ns	everton.ns.cloudflare.com.
encontropremiomultishow.globo.	86400	in	ns	fay.ns.cloudflare.com.
encontropremiomultishow.globo.	86400	in	ns	thea.ns.cloudflare.com.
encontropremiomultishow.globo.	86400	in	ns	yew.ns.cloudflare.com.
envieseuprojeto.globo.	86400	in	ns	ns1-35.azure-dns.com.
envieseuprojeto.globo.	86400	in	ns	ns2-35.azure-dns.net.
envieseuprojeto.globo.	86400	in	ns	ns3-35.azure-dns.org.
envieseuprojeto.globo.	86400	in	ns	ns4-35.azure-dns.info.
especiaisg1.globo.	86400	in	ns	ns01.globo.com.
especiaisg1.globo.	86400	in	ns	ns02.globo.com.
especiaisg1.globo.	86400	in	ns	ns03.globo.com.
especiaisg1.globo.	86400	in	ns	ns04.globo.com.
especiaisge.globo.	86400	in	ns	ns01.globo.com.
especiaisge.globo.	86400	in	ns	ns02.globo.com.
especiaisge.globo.	86400	in	ns	ns03.globo.com.
especiaisge.globo.	86400	in	ns	ns04.globo.com.
especiaisgshow.globo.	86400	in	ns	ns01.globo.com.
especiaisgshow.globo.	86400	in	ns	ns02.globo.com.
especiaisgshow.globo.	86400	in	ns	ns03.globo.com.
especiaisgshow.globo.	86400	in	ns	ns04.globo.com.
esquenta.globo.	86400	in	ns	ns01.globo.com.
esquenta.globo.	86400	in	ns	ns02.globo.com.
esquenta.globo.	86400	in	ns	ns03.globo.com.
esquenta.globo.	86400	in	ns	ns04.globo.com.
estudio.globo.	86400	in	ns	ns01.globo.com.
estudio.globo.	86400	in	ns	ns02.globo.com.
estudio.globo.	86400	in	ns	ns03.globo.com.
estudio.globo.	86400	in	ns	ns04.globo.com.
extcolab.globo.	86400	in	ns	ns01.globo.com.
extcolab.globo.	86400	in	ns	ns02.globo.com.
extcolab.globo.	86400	in	ns	ns03.globo.com.
extcolab.globo.	86400	in	ns	ns04.globo.com.
flex.globo.	86400	in	ns	ns01.globo.com.
flex.globo.	86400	in	ns	ns02.globo.com.
flex.globo.	86400	in	ns	ns03.globo.com.
flex.globo.	86400	in	ns	ns04.globo.com.
futura.globo.	86400	in	ns	ns01.globo.com.
futura.globo.	86400	in	ns	ns02.globo.com.
futura.globo.	86400	in	ns	ns03.globo.com.
futura.globo.	86400	in	ns	ns04.globo.com.
g.globo.	86400	in	ns	ns01.oghost.com.br.
g.globo.	86400	in	ns	ns02.oghost.com.br.
g.globo.	86400	in	ns	ns03.oghost.com.br.
g.globo.	86400	in	ns	ns04.oghost.com.br.
g1.globo.	86400	in	ns	ns01.globo.com.
g1.globo.	86400	in	ns	ns02.globo.com.
g1.globo.	86400	in	ns	ns03.globo.com.
g1.globo.	86400	in	ns	ns04.globo.com.
g3r4c4obr4s1l.globo.	86400	in	ns	ns01.globo.com.
g3r4c4obr4s1l.globo.	86400	in	ns	ns02.globo.com.
g3r4c4obr4s1l.globo.	86400	in	ns	ns03.globo.com.
g3r4c4obr4s1l.globo.	86400	in	ns	ns04.globo.com.
gama.globo.	86400	in	ns	ns01.oghost.com.br.
gama.globo.	86400	in	ns	ns02.oghost.com.br.
gama.globo.	86400	in	ns	ns03.oghost.com.br.
gama.globo.	86400	in	ns	ns04.oghost.com.br.
gdata.globo.	86400	in	ns	lila.ns.cloudflare.com.
