05emgmftig5t7p0e5fkp9pbb9qm7d6tj.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. Pque0nbCDcn6BTDZ/sOtInK6mpUcLjJ7Vhw2X3awpYtXI7LPmXzVH5k3dsFdMnIydF6begPTF7Q11JLQOaieqfU3cu8OwOnl560N2n+3ExNgOCju3QhPeg7o+t9lAY2p43tgdbt0mOY+qZIp3KADNmaBXlFOE0hLyJ43FqtnXaY=
05v86oaceqrjt18bf0fhuasebajj4eqs.house.	3600	in	nsec3	1 1 0 73 06DERSFJIM7VR2VTBFDQ556Q4962708S NS DS RRSIG
05v86oaceqrjt18bf0fhuasebajj4eqs.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. m/rJLLxO1zoPPd3qNZIjqdoxQFSf9TM4YZk8x/ZaRYMSPudS9ybhglnBxxLohXwH3sXawY+slHt1e0ooGExxR8HFIJkRDrqM6ZR8xfuPl90gsMNKdlbGQbnYvYxZ6kx5gNZfrMkQMROH9oQVb4xnNQj9aHKojLUqtvlfNShDx9g=
06dersfjim7vr2vtbfdq556q4962708s.house.	3600	in	nsec3	1 1 0 73 07OV0SGB2F60Q54KA96JS0C8HJ4O38E0 NS DS RRSIG
06dersfjim7vr2vtbfdq556q4962708s.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. Vgzbbx4GcihBi3llBoBHKSONdUPH1Ym5JYj8IfqM5QOBq0hxfIxeSrErglF7Uqd4gQ0UW4lQiVVoDdzz/pHwcyPgAJmggNG/rjY7dHcZA8IGmyTqKTUOjzvJukn3nyqG4EYjgLa7zX+51dPgyWMYg4Kwjvqj9Z/5sUOI6g+hPpI=
07ov0sgb2f60q54ka96js0c8hj4o38e0.house.	3600	in	nsec3	1 1 0 73 07QMEBAC85T7S3PJKJ6IMR1P81J34Q67 NS DS RRSIG
07ov0sgb2f60q54ka96js0c8hj4o38e0.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. SRvLu1N6POKY6f1KZ/rCEdqeH6Hwq1293Ebx+qCAoattkEnB9Zklyfu1nCyUVZYnmGVT01caWDKmrCATsZLv7fmkV9Tt2fkATwejvSuRRg6KJsOaevNXM9jDQtKuVWWDi9aLAiD7KQfXbaEE9EWRu1T05fTFsbhLKTxdpql4mJQ=
07qmebac85t7s3pjkj6imr1p81j34q67.house.	3600	in	nsec3	1 1 0 73 0AHRVL8JL5O16IO4JV23N1S4E11GG66C NS DS RRSIG
07qmebac85t7s3pjkj6imr1p81j34q67.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. cWmFeKVs4Ol48AnMMulinh26aHJw5NxgM+JO0HHcfFkQt/HwCHEbDiqm9nd/KghRpb1G0KAboa+7s9PvisvX9JwZuNqiVSXTRaWPIoDYCaIzKQ8nUAo3o5k6GoXQpAXkDhcdsr05WWMWJO7+odg98FpcB2MosHtIMke/IEn3mIA=
080.house.	3600	in	ns	jobs.ns.cloudflare.com.
080.house.	3600	in	ns	maria.ns.cloudflare.com.
08008.house.	3600	in	ns	ns35.domaincontrol.com.
08008.house.	3600	in	ns	ns36.domaincontrol.com.
0800smart.house.	3600	in	ns	ns-de.1and1-dns.biz.
0800smart.house.	3600	in	ns	ns-de.1and1-dns.com.
0800smart.house.	3600	in	ns	ns-de.1and1-dns.de.
0800smart.house.	3600	in	ns	ns-de.1and1-dns.org.
08th.house.	3600	in	ns	cortney.ns.cloudflare.com.
08th.house.	3600	in	ns	tom.ns.cloudflare.com.
0ahrvl8jl5o16io4jv23n1s4e11gg66c.house.	3600	in	nsec3	1 1 0 73 0AQDSID9IN2A45M3E32HLG0B9575EBST NS DS RRSIG
0ahrvl8jl5o16io4jv23n1s4e11gg66c.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. ejOu94PwNhhWEqHtNPj6F0FVmFeJnNOBbomcywraOvipu/OL420qcLkZSduC7pVT/4Gm9UbBFsEusxMuP/ldQAru6DXI+YiJ5d5oylMaDg0wDneLUMqRZW7posL2HKl5GBEoO0h/mAKpQZWORVdRTSShHSWNORBuBc5DCYT+Fn8=
0aqdsid9in2a45m3e32hlg0b9575ebst.house.	3600	in	nsec3	1 1 0 73 0AS8HEAK9KKEAKKDI3SPHSDHH8B1BQP6 NS DS RRSIG
0aqdsid9in2a45m3e32hlg0b9575ebst.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. MG047ySYgVVW07RDtRCT0MrqyvO1pFphOnCxshhwWTdXVmyFATVK3j9IN1EHU59vWBDtt77Piw8XS3zjWDm6KBFJb98XUpx5qMm7SPPBXM5WQePZyV8gHMWAA5XBL0NCchMx7reBzuYPoAKyU/9JX3I0DL2Rh0zIXc6v8X7fpio=
0as8heak9kkeakkdi3sphsdhh8b1bqp6.house.	3600	in	nsec3	1 1 0 73 0BHON4M0REARRU9IET7P6BF4NDEQ3EUU NS DS RRSIG
0as8heak9kkeakkdi3sphsdhh8b1bqp6.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. fRCeUbiuos7kOUs07gS/90PXavG4UsgahvNoLy/JxJjFMUzOC0MqZ48VWbS9+uM/9/BHv1jrMHVx54ik8o6pquBz8/8Bdn795q5rCUG6Hba37ykfBOE62bzGNO+9qBls847k8v0NDwqTjIKPH/a0Pe4+tR74OznGOd0wQcLkZ/I=
0bhon4m0rearru9iet7p6bf4ndeq3euu.house.	3600	in	nsec3	1 1 0 73 0CU69LCDA46F9UR4NJV6C4RMUM4R3IBP NS DS RRSIG
0bhon4m0rearru9iet7p6bf4ndeq3euu.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. ibBvwskdvLqvuEo8hPbyUrJ1NvE2Psm1AfoeakiXasbQJzHoURxov+TTGdd+rG88CmkWzMqBZwgac9uZf4J2lFjgCW/QqrNsQierJ0OqlGSsNt7WUkuyOQmg19/epz95Q6E8bATb6xnJTdGWLR/B6bSkO2qv1jQ3G+l/F7vLmO0=
0cu69lcda46f9ur4njv6c4rmum4r3ibp.house.	3600	in	nsec3	1 1 0 73 0DKDUMDUMAQ82RE22PS3L8I10MIGU2OU NS DS RRSIG
0cu69lcda46f9ur4njv6c4rmum4r3ibp.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. GbWPYxpTQLCJ6r4yCv1koS9hV5bu6Vkv5fYupHXOfmllLrKjH/AO5/a3lZVs7Q5+d3/+nXsQyIG/DrII3H3XzWVHhqouVuESJFU1Arc2asZFMQ1XQzrsBuqgtw757Bm1fYJF9236+mbOnqzbuTlbFsePmxZjxV/nt1wH9lDjcHw=
0dkdumdumaq82re22ps3l8i10migu2ou.house.	3600	in	nsec3	1 1 0 73 0DOCJA994NCSEFRC0F4GN0MU6PNEFCNQ NS DS RRSIG
0dkdumdumaq82re22ps3l8i10migu2ou.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. WESNp2rvsIhzkwDp7htEQLYBTH+qEcwFJoxQnVzAoYsAjQmd+uG8XBb0b8EvJCJDHmakufQsy6HG2ZMLXjxBgR1iNDLb7VjcgcIJyRYaS/KrRc+cDPVrUCU7Ax6OsKbAUm/QfmBm12T3G2bdKJEBFenDXvX02KbZalBTqGKMIYE=
0docja994ncsefrc0f4gn0mu6pnefcnq.house.	3600	in	nsec3	1 1 0 73 0DSGLPN6UID6CFVHP66GEH38F1SMTUSR NS DS RRSIG
0docja994ncsefrc0f4gn0mu6pnefcnq.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. a6ua+c16HZD94rUjYKpJkkgeIfmIBvL0llfeDkuvfWnrV6GyC4aAdIpLI7OB9uPZD17vQAgCNnsaUD+8CmGsGQVXN29+1cEObANWig1FRNzbu/ibrXORE/11CYxsjkMP3I+VYZE3IBugcfRuSvA0noivxFSow8RisKU7nFjxvYA=
0dsglpn6uid6cfvhp66geh38f1smtusr.house.	3600	in	nsec3	1 1 0 73 0ENJ6SVPDGS087NO4MRH43SAQKBPTAGR NS DS RRSIG
0dsglpn6uid6cfvhp66geh38f1smtusr.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. UT7g2kV17LlKmMG3PdiTTF/E6fT229Z3/og6OxdHZecHMJTzNLtO/rIulJDZqf1u1DYKixfjB/p+j5sxYhlych/RGtFH+Hd/R46cWb1k78ZX4bn6EBRDNpM5qaT0uHotI+My0+FuxBhQaaC1hzbkQRmRmGFNVs0rKyjUBw/CkR8=
0enj6svpdgs087no4mrh43saqkbptagr.house.	3600	in	nsec3	1 1 0 73 0F2QME58TUUNNS4H9R3AG4NHGSI15TFH NS DS RRSIG
0enj6svpdgs087no4mrh43saqkbptagr.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. Elb+Fhm4qLGIJQIyWgjt1iKjgD1bj2iSz+yHMw4HO/Uk3xGxnnMf5HKt7oP9uIlzX60QQuNRPr789CpWPMTzlGxc1QI9JaGB2Gjs55lsMjeAQOEwmgt9/w452YCxGQ+gn5mj5cxnrrkfD4k0SGpujSSbYKSvn0iytebdu2txJvo=
0f2qme58tuunns4h9r3ag4nhgsi15tfh.house.	3600	in	nsec3	1 1 0 73 0GGGNVG10H50TTU4QNL1NQNRQ9V437VG NS DS RRSIG
0f2qme58tuunns4h9r3ag4nhgsi15tfh.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. AjeTIN4v4QeOo/Ow1tk5IO/Lc5jOKfWcABnux9INY63fZQWIDOzOIPhKYLF33UXfh5xevsWrzeXy34Gqy1W2iIFOOftUkjfCHnVUl0Yv/NakvZ/YW8cB3sc5PVnh7jVH7hYvgxmUesIbHuQ8C+ZqbpETW7teBstGyIp7xz7rtO0=
0gggnvg10h50ttu4qnl1nqnrq9v437vg.house.	3600	in	nsec3	1 1 0 73 0H2C0FAK435LNV2VTKO5BCH8BA9RLO0A NS DS RRSIG
