11p9mqserq4kpsdsmm8rfiq7243c2suh.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. tv1MgWcYmfOhien2kGEZFh5AUbp0hMGu//HLzM0HZIBnmnoGvmxg2Lkk/+jqrKqrrB4dzbjg4ehyQOHoEJryiM86mVfR2hTVq2CApobsxoIdmZjj6LQkQ5JOmg9yyXll6y+92s8n/XZOmP4O9Ul20LVIOnbb+UglbdeUZHI6kkg=
123.delivery.	3600	in	ds	46681 8 2 085574705990B2C267C654FEB7A5A591C52082772446C1E7BE38B60CB32D81D6
123.delivery.	3600	in	ns	ns-cloud-b1.googledomains.com.
123.delivery.	3600	in	ns	ns-cloud-b2.googledomains.com.
123.delivery.	3600	in	ns	ns-cloud-b3.googledomains.com.
123.delivery.	3600	in	ns	ns-cloud-b4.googledomains.com.
123.delivery.	3600	in	rrsig	DS 8 2 3600 20250922154823 20250901144823 2469 delivery. A5xAwLglBWRwSdzVKiH51bhLhJgulrcHAMcO/TZMhJP0NDJbw/d3gECKWHiv1Ddn3p6pjx2wG9AKCNR8QUrnGVijqxjeuV3BdJCfQZSV5mh7PchHsI8kbFP//TC9OAv704LWhdJM1Y1HrBl2GA2unmeESMQeCK8/4a3M1cHrqg0=
123b.delivery.	3600	in	ns	ns05.domaincontrol.com.
123b.delivery.	3600	in	ns	ns06.domaincontrol.com.
12bet.delivery.	3600	in	ns	athena.ns.cloudflare.com.
12bet.delivery.	3600	in	ns	nick.ns.cloudflare.com.
13340.delivery.	3600	in	ns	n1.xundns.com.
13340.delivery.	3600	in	ns	n2.xundns.com.
1337.delivery.	3600	in	ns	ns1.dns-redirect.com.
1337.delivery.	3600	in	ns	ns2.dns-redirect.com.
139730vtg5nn8qta3f30ob2ng0irs3tj.delivery.	3600	in	nsec3	1 1 0 73 13S18QAIJV5JJEJC9BOOBMPICJA0N11R NS DS RRSIG
139730vtg5nn8qta3f30ob2ng0irs3tj.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. CXTQhfDYBJ6Us8+SISQFsH7b9fAHj5ylSe0lzY06lyJFEn2CG6nWVxDvGsgs69tYXi7FqtUMzFvcnoKOQnLnvy4wxt62rzO6uGIdHRpVTBKYp86k0qnQPueX5pYVpmaOcVtEgsUZaJaWYXNgjO0au/hZ29PuQE2AYr4hW0fU9VE=
13s18qaijv5jjejc9boobmpicja0n11r.delivery.	3600	in	nsec3	1 1 0 73 176GFECF9KI6UMVKR9NRN7MSHL8M1486 NS DS RRSIG
13s18qaijv5jjejc9boobmpicja0n11r.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. sipK80Hez+/CHWY+fnq+SmZs0HzVFquzg3aqaIrH+pKjjPTIXaO1xzvrf+51Wt0KECaTDBsqrv3WJ2pfbzUx9Qt8APcMicYMKoDMQ8Jv/Mzc9zTa35X3Dqb9UAjLor67v9XVDw/8Ku7w8qceFsL3W5ASoDnnD3bsHfi+sNzPlvU=
15min.delivery.	3600	in	ns	pdns11.domaincontrol.com.
15min.delivery.	3600	in	ns	pdns12.domaincontrol.com.
15rhah.delivery.	3600	in	ns	ns1.dnsowl.com.
15rhah.delivery.	3600	in	ns	ns2.dnsowl.com.
15rhah.delivery.	3600	in	ns	ns3.dnsowl.com.
1717.delivery.	3600	in	ns	ns1.alidns.com.
1717.delivery.	3600	in	ns	ns2.alidns.com.
176gfecf9ki6umvkr9nrn7mshl8m1486.delivery.	3600	in	nsec3	1 1 0 73 189PB41BT1FAU5ULH06BVLH7I0VK17BL NS DS RRSIG
176gfecf9ki6umvkr9nrn7mshl8m1486.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. k6j/ZVLnTXAb7a69TB8iWHOuM6DHtNpkTeW6DwbPZ1yutkNOxCkxEDCAx4/VSzCwBkonKW/wuRQlEezstMTRXk4q4Qmf1+bKnrBpRnPG+gCbCI8Q3JDmDXRCRr0KkF6BzzZT6YXftQAQcOW0Bw/UKNyzWW2tfm45uP5hg+bgRBM=
188bet.delivery.	3600	in	ns	dns1.registrar-servers.com.
188bet.delivery.	3600	in	ns	dns2.registrar-servers.com.
189pb41bt1fau5ulh06bvlh7i0vk17bl.delivery.	3600	in	nsec3	1 1 0 73 1C11HNOL398O5KO7F8EFHJDJLH1BJ42Q NS DS RRSIG
189pb41bt1fau5ulh06bvlh7i0vk17bl.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. QJGnjW8ejfo0avZ+cXBLHx+7eY/k/xap1a1GVqgJRoxqVrvvpU4ZGxJsam3T+t8chHMXS4/SHODB8R1mRXgzttFYRttsMos+PfAyTaW6gGfhoomWAVgALkMcGen93vO7SXGHKpk0Yyz+p2Q35URFxxh2Dp9LzGV5kzJFjcFR5pA=
1a.delivery.	3600	in	ns	curitiba.ns.porkbun.com.
1a.delivery.	3600	in	ns	fortaleza.ns.porkbun.com.
1a.delivery.	3600	in	ns	maceio.ns.porkbun.com.
1a.delivery.	3600	in	ns	salvador.ns.porkbun.com.
1and1-ionos.delivery.	3600	in	ns	ns-1and1.ui-dns.biz.
1and1-ionos.delivery.	3600	in	ns	ns-1and1.ui-dns.com.
1and1-ionos.delivery.	3600	in	ns	ns-1and1.ui-dns.de.
1and1-ionos.delivery.	3600	in	ns	ns-1and1.ui-dns.org.
1and1ionos.delivery.	3600	in	ns	ns-1and1.ui-dns.biz.
1and1ionos.delivery.	3600	in	ns	ns-1and1.ui-dns.com.
1and1ionos.delivery.	3600	in	ns	ns-1and1.ui-dns.de.
1and1ionos.delivery.	3600	in	ns	ns-1and1.ui-dns.org.
1anzz.delivery.	3600	in	ns	ns1.dyna-ns.net.
1anzz.delivery.	3600	in	ns	ns2.dyna-ns.net.
1c11hnol398o5ko7f8efhjdjlh1bj42q.delivery.	3600	in	nsec3	1 1 0 73 1D1RM6J0M2UMR2HAR3L2Q323OGF1POEH NS DS RRSIG
1c11hnol398o5ko7f8efhjdjlh1bj42q.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. VZYDh2PHqkEt83Fa4v0mZQ+U56IkXXv8n/UrmvDUHN4Cm/Rp4I0EeYo1FOs66Y3+q4oabQ3tN5XA0G1AX3pgmaqZ6z49QtlcsSueJf+ngtUsFgmmU/Wl2dyalU9aAHiyfavqqAmxSk31y47jsXwbmRvcTO4oi7ZnQfxwYEZraHo=
1d1rm6j0m2umr2har3l2q323ogf1poeh.delivery.	3600	in	nsec3	1 1 0 73 1F9N327HEQ0N5M7QR7NH4MFCN1VAG2OJ NS DS RRSIG
1d1rm6j0m2umr2har3l2q323ogf1poeh.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. zbyaViBvsI6K/cInAy1BASh6PBtQeeWkFeS1o7ics8F7eoQSr6HjwZCvOcJqFJijxJvJPGNgWoa9kefTK+1fwzVpPGCAJ+ph3baA7txj6SUSFkva1hotuqBzclx8jiXoNgyiGpLdNt0Yzg2I+XeNe5rSmRH5mE/cOgOQU56qOgk=
1daikin.delivery.	3600	in	ns	ns03.domaincontrol.com.
1daikin.delivery.	3600	in	ns	ns04.domaincontrol.com.
1day.delivery.	3600	in	ns	owen.ns.cloudflare.com.
1day.delivery.	3600	in	ns	val.ns.cloudflare.com.
1f9n327heq0n5m7qr7nh4mfcn1vag2oj.delivery.	3600	in	nsec3	1 1 0 73 1H50F2HLM85CB1HRT0SKA9IL62HB6TH6 NS DS RRSIG
1f9n327heq0n5m7qr7nh4mfcn1vag2oj.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. KsR9vA/Gt8LfXxxomKfO6hot9l6rsFLlnzkAjD+a0QNWoHEowCh7BCbrS0ZrRbWPRxWkyWfpLal+jIJzX2cYXpSOWjQW7nw0cYEdCKZUXOBwC2e0v1FYFxey6wVzkym3hWkjnWVVUTNYA+Xr4LX+c59dphtbu9YMWZd0bfbUJK8=
1h.delivery.	3600	in	ds	48495 13 2 72ABE843256D493F92FBBF396C19DDE1D9B85EC5ECD6644978D7180E1A5E7663
1h.delivery.	3600	in	ns	launch1.spaceship.net.
1h.delivery.	3600	in	ns	launch2.spaceship.net.
1h.delivery.	3600	in	rrsig	DS 8 2 3600 20250922154823 20250901144823 2469 delivery. WKYXwQGAAKgQTgqn72dldhaUE4c20VFKviPCkkxSW8WdYXPYfVqIlrrrExKOmg3UihsgF7qdaoxtLqofViRKgh2aMq4zc4XvCn2FIj/mHOB+Q/n4E4njJXJ7Tj7YxGC82pF0QdgYPq5TjKMQFCYU+6+A/53acXJcFQqPX9OY8Ts=
1h50f2hlm85cb1hrt0ska9il62hb6th6.delivery.	3600	in	nsec3	1 1 0 73 1HGI03Q5A4J3O7DSN0D9TIMAKFP35V8O NS DS RRSIG
1h50f2hlm85cb1hrt0ska9il62hb6th6.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922161358 20250901151358 2469 delivery. h9Y+/GyxZ7jP61YD/ORbctvK2sEjX/WO0ax9rQb/6FHYqlyXZ++KOFXEzSMHQsWi4IeJ2DR8ilf8OF3/Bi3F4KNlDpwYZwJoBZsX89LBjiuRzbBwP1I5nVYePbZbHIyYAlC7aJNHEqm02+xPCEqSMR5qHwIRpy0PBrnQVoV079I=
1hgi03q5a4j3o7dsn0d9timakfp35v8o.delivery.	3600	in	nsec3	1 1 0 73 1MVGT9MLI7Q7EO8SHARL8IILV3FDGDAS NS DS RRSIG
1hgi03q5a4j3o7dsn0d9timakfp35v8o.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922161358 20250901151358 2469 delivery. DAUtsoWNLFNAA7p7ysxj0XVWdXCDuQZTHHuHoHPc1Kx7pP1VhFkuW4eHFwaBGV88aN3XLEQoedvfO1oHEDZeecJS3dRFJFSf8jzM4OxYqWkQhrogUTJvanYE82IVfCBPNBmEDd2EgzxX+P9VzHuI8dzD9ifxEE3YDNI25u40BNg=
1klick.delivery.	3600	in	ns	ns63.domaincontrol.com.
1klick.delivery.	3600	in	ns	ns64.domaincontrol.com.
1mvgt9mli7q7eo8sharl8iilv3fdgdas.delivery.	3600	in	nsec3	1 1 0 73 1NIQAR84VVJLAEJVOTJVMV6D7QUBN4GR NS DS RRSIG
1mvgt9mli7q7eo8sharl8iilv3fdgdas.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. IrsQKjFf8dCkuQLcQvndmaqcKAQ2dwe0pjINrBvn0Cz6T/4SO2L/Yi6SCXzPmf5iutfK4BKbLo7q7phd2A39CGNjEa2QJC/ZzPJCp+wcva9+8KPAmoJI2tzBeSbFk2RwZjrSpPWNxpdpKTI95V2nNvOh0wpydyELusgW2HbfQKk=
1niqar84vvjlaejvotjvmv6d7qubn4gr.delivery.	3600	in	nsec3	1 1 0 73 1NQMC50SFQAVEU6RGCQTL4N9GN6PTTSU NS DS RRSIG
1niqar84vvjlaejvotjvmv6d7qubn4gr.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. aqQRXPYPzs+duh4ak0kv6p0UmCVTSj3sm2BXB+z2vN+CmwhP8bFsDhDm5onQWH1p3R3pUBMcKTTMei0RjHZkSuXFezXiLta9N9RdO5vc0tlLz6BdwFAQnXVcGDFZjSilIR0j/AJSmPV/f6NVmY0CmdWU2sa6QCquxr6DDEm9BAc=
1nqmc50sfqaveu6rgcqtl4n9gn6pttsu.delivery.	3600	in	nsec3	1 1 0 73 1VTMML8NLM8RM8512ARCGNHFICAC0CHK NS DS RRSIG
1nqmc50sfqaveu6rgcqtl4n9gn6pttsu.delivery.	3600	in	rrsig	NSEC3 8 2 3600 20250922154823 20250901144823 2469 delivery. iueOxGPB1TmGRbhXSBeoAZbRjwdMGdgMmM3uFYe1QWPU6bzAZKdxlGtzXLL+WURZJ3JZuBrDI6v7l+G4sYRT6gLv7CBN6di+U8RaubWcnDiG8wL6hyhQMvktbYRF5vvEVYih2THUmfKYu3eXE/TusDiJrMM4RiMW/akZQ+NbmAg=
1run8t.delivery.	3600	in	ns	ns1.dnsowl.com.
