98win.select.	3600	in	ns	ulla.ns.cloudflare.com.
99ok.select.	3600	in	ns	gene.ns.cloudflare.com.
99ok.select.	3600	in	ns	leland.ns.cloudflare.com.
_forcedupdate.select.	300	in	rrsig	TXT 8 2 300 20250913204039 20250830200234 58470 select. fAcEdjCJUG+QE+Hu28opR8kd2h1N+X/QtxLoHS1qOtyfRN7ZZMRNi+gmp6nGEBiB4M2WNkP2fqTNTaQlI+wmPpSzvYZRr//8myTK1cLg9tB3CytyT4JF+9kLJBxEEotkt4MTLJ6fORvoEJboVaZbK0ATZ6QNb5uixu0NasG8WWhdPylk0KBCjD9YyYmpoz40rzoV1VuV22wLWDWMwC1hqw==
_forcedupdate.select.	300	in	txt	"1756197438"
a.nic.select.	172800	in	a	37.209.192.9
a.nic.select.	3600	in	aaaa	2001:0dcd:0001:0000:0000:0000:0000:0009
abc8.select.	3600	in	ns	chelsea.ns.cloudflare.com.
abc8.select.	3600	in	ns	otto.ns.cloudflare.com.
abebooks.select.	3600	in	ns	nsgbr.comlaude.co.uk.
abebooks.select.	3600	in	ns	nssui.comlaude.ch.
abebooks.select.	3600	in	ns	nsusa.comlaude.net.
abxy.select.	3600	in	ns	deborah.ns.cloudflare.com.
abxy.select.	3600	in	ns	peter.ns.cloudflare.com.
accounts.select.	3600	in	ds	2371 13 2 E9B312FF87FCF99B5938DAFDB712E109975095BD1D51EDF2BA2B491E12127002
accounts.select.	3600	in	ns	moura.ns.cloudflare.com.
accounts.select.	3600	in	ns	rafe.ns.cloudflare.com.
accounts.select.	3600	in	rrsig	DS 8 2 3600 20250913052315 20250830044633 58470 select. 2wgdSbjPxGrJUbmFd99nw3mD1qZPkBDTMvLyr8joVbn4MrLZPHfplf5/98VS+EA7A2r1B+eQ5oWSXXgk4/SiRe4NzshT+UPhBp/n3eI2lxpXiKoQIGeMMJtItiYxWV1JHBQQDUGJ4gv51iFgfvCpb6rIxm5GeJNIv+chY/UleNdHAQbTm2tfTaw/ki/9dCombMHyUCquEMe7FkkQSvR7Sg==
adam.select.	3600	in	ds	2371 13 2 1A6A7491D302CE44FF1BD2D81FF8E041A38A7672B3AA8581624EC47C792D5054
adam.select.	3600	in	ns	curitiba.ns.porkbun.com.
adam.select.	3600	in	ns	fortaleza.ns.porkbun.com.
adam.select.	3600	in	ns	maceio.ns.porkbun.com.
adam.select.	3600	in	ns	salvador.ns.porkbun.com.
adam.select.	3600	in	rrsig	DS 8 2 3600 20250913052315 20250830044633 58470 select. aGnIwlHob8DqFZ4FJcFP/mLjp0KUE7pAiKqOpJEPvF2OMHQ3/FhSKw68oeS35mDOGE5ujuwHUgCyCnRaGgCCiHboad47s6vtBA+3qi9805m3viISq/qNgXlbfUsJ6/rw0AZ9iaI58WkZY6skxOukWChfbOu4S9gazvi7x11qCku/1fIq2Hch/g8GthrIfJrXpqQden7dz43bDzfHQQKmyg==
admin.select.	3600	in	ns	curitiba.ns.porkbun.com.
admin.select.	3600	in	ns	fortaleza.ns.porkbun.com.
admin.select.	3600	in	ns	maceio.ns.porkbun.com.
admin.select.	3600	in	ns	salvador.ns.porkbun.com.
adsense.select.	3600	in	ns	ns1.googledomains.com.
adsense.select.	3600	in	ns	ns2.googledomains.com.
adsense.select.	3600	in	ns	ns3.googledomains.com.
adsense.select.	3600	in	ns	ns4.googledomains.com.
adultvideos.select.	3600	in	ns	ns1.afternic.com.
adultvideos.select.	3600	in	ns	ns2.afternic.com.
adverse.select.	3600	in	ns	ace.ns.cloudflare.com.
adverse.select.	3600	in	ns	dee.ns.cloudflare.com.
agency.select.	3600	in	ns	ns.udag.de.
agency.select.	3600	in	ns	ns.udag.net.
agency.select.	3600	in	ns	ns.udag.org.
agent.select.	3600	in	ns	curitiba.ns.porkbun.com.
agent.select.	3600	in	ns	fortaleza.ns.porkbun.com.
agent.select.	3600	in	ns	maceio.ns.porkbun.com.
agent.select.	3600	in	ns	salvador.ns.porkbun.com.
agentic.select.	3600	in	ns	launch1.spaceship.net.
agentic.select.	3600	in	ns	launch2.spaceship.net.
agenticai.select.	3600	in	ds	39297 13 2 8796DA12894670BEB5FA5871E83B9DCAD0883656304FD4BDD986C47BFB59B69D
agenticai.select.	3600	in	ns	launch1.spaceship.net.
agenticai.select.	3600	in	ns	launch2.spaceship.net.
agenticai.select.	3600	in	rrsig	DS 8 2 3600 20250914134334 20250831130338 58470 select. 0z0ObMg45i1O5d0JPxdvlUwcD150PCt9faMG4UO58rBsqsTBxeJVK+Bs66wcUe7TP9hHwhewS9lp0guFdsBaYM5RWbbg5lweny4CDHOccfG9Ivr1krj93Bn3c71XyH5xdUI8WxnEDkYeG9NNs8+lOWQTTioVodelW/nKGV3FYH6GiqejcAlz1tnHZcSnaXRv4ChsUYNwVsQ7oERS+3FoGw==
agents.select.	3600	in	ns	ns65.domaincontrol.com.
agents.select.	3600	in	ns	ns66.domaincontrol.com.
agilent.select.	3600	in	ns	dns1.p01.nsone.net.
agilent.select.	3600	in	ns	dns2.p01.nsone.net.
agilent.select.	3600	in	ns	dns3.p01.nsone.net.
agilent.select.	3600	in	ns	dns4.p01.nsone.net.
agoda.select.	3600	in	ns	ns1.markmonitor.com.
agoda.select.	3600	in	ns	ns2.markmonitor.com.
agoda.select.	3600	in	ns	ns3.markmonitor.com.
agoda.select.	3600	in	ns	ns4.markmonitor.com.
agoda.select.	3600	in	ns	ns5.markmonitor.com.
agoda.select.	3600	in	ns	ns6.markmonitor.com.
agoda.select.	3600	in	ns	ns7.markmonitor.com.
ai.select.	3600	in	ns	launch1.spaceship.net.
ai.select.	3600	in	ns	launch2.spaceship.net.
aiagent.select.	3600	in	ns	ns1.atom.com.
aiagent.select.	3600	in	ns	ns2.atom.com.
airpods.select.	3600	in	ns	a.ns.apple.com.
airpods.select.	3600	in	ns	b.ns.apple.com.
airpods.select.	3600	in	ns	c.ns.apple.com.
airpods.select.	3600	in	ns	d.ns.apple.com.
alexa.select.	3600	in	ns	nsgbr.comlaude.co.uk.
alexa.select.	3600	in	ns	nssui.comlaude.ch.
alexa.select.	3600	in	ns	nsusa.comlaude.net.
alphabet.select.	3600	in	ns	ns1.googledomains.com.
alphabet.select.	3600	in	ns	ns2.googledomains.com.
alphabet.select.	3600	in	ns	ns3.googledomains.com.
alphabet.select.	3600	in	ns	ns4.googledomains.com.
alternativeinvestments.select.	3600	in	ns	ns1.hosttech.de.
alternativeinvestments.select.	3600	in	ns	ns2.hosttech.de.
alternativeinvestments.select.	3600	in	ns	ns3.hosttech.de.
alternatives.select.	3600	in	ns	ns1.hosttech.de.
alternatives.select.	3600	in	ns	ns2.hosttech.de.
alternatives.select.	3600	in	ns	ns3.hosttech.de.
alts.select.	3600	in	ns	ns1.hosttech.de.
alts.select.	3600	in	ns	ns2.hosttech.de.
alts.select.	3600	in	ns	ns3.hosttech.de.
amazon.select.	3600	in	ns	nsgbr.comlaude.co.uk.
amazon.select.	3600	in	ns	nssui.comlaude.ch.
amazon.select.	3600	in	ns	nsusa.comlaude.net.
amazonalexa.select.	3600	in	ns	nsgbr.comlaude.co.uk.
amazonalexa.select.	3600	in	ns	nssui.comlaude.ch.
amazonalexa.select.	3600	in	ns	nsusa.comlaude.net.
amazonecho.select.	3600	in	ns	nsgbr.comlaude.co.uk.
amazonecho.select.	3600	in	ns	nssui.comlaude.ch.
amazonecho.select.	3600	in	ns	nsusa.comlaude.net.
amazonprime.select.	3600	in	ns	nsgbr.comlaude.co.uk.
amazonprime.select.	3600	in	ns	nssui.comlaude.ch.
amazonprime.select.	3600	in	ns	nsusa.comlaude.net.
americanexpress.select.	3600	in	ns	dns1.cscdns.net.
americanexpress.select.	3600	in	ns	dns2.cscdns.net.
americastire.select.	3600	in	ns	dns1.cscdns.net.
americastire.select.	3600	in	ns	dns2.cscdns.net.
amzn.select.	3600	in	ns	nsgbr.comlaude.co.uk.
amzn.select.	3600	in	ns	nssui.comlaude.ch.
amzn.select.	3600	in	ns	nsusa.comlaude.net.
an99.select.	3600	in	ns	ns1.dyna-ns.net.
an99.select.	3600	in	ns	ns2.dyna-ns.net.
android.select.	3600	in	ns	ns1.googledomains.com.
android.select.	3600	in	ns	ns2.googledomains.com.
android.select.	3600	in	ns	ns3.googledomains.com.
android.select.	3600	in	ns	ns4.googledomains.com.
andromeda.select.	3600	in	ns	01.dnsv.jp.
andromeda.select.	3600	in	ns	02.dnsv.jp.
andromeda.select.	3600	in	ns	03.dnsv.jp.
andromeda.select.	3600	in	ns	04.dnsv.jp.
apple.select.	3600	in	ns	a.ns.apple.com.
apple.select.	3600	in	ns	b.ns.apple.com.
apple.select.	3600	in	ns	c.ns.apple.com.
apple.select.	3600	in	ns	d.ns.apple.com.
appletv.select.	3600	in	ns	a.ns.apple.com.
appletv.select.	3600	in	ns	b.ns.apple.com.
appletv.select.	3600	in	ns	c.ns.apple.com.
appletv.select.	3600	in	ns	d.ns.apple.com.
applewatch.select.	3600	in	ns	a.ns.apple.com.
applewatch.select.	3600	in	ns	b.ns.apple.com.
applewatch.select.	3600	in	ns	c.ns.apple.com.
applewatch.select.	3600	in	ns	d.ns.apple.com.
artemis.select.	3600	in	ns	ns35.domaincontrol.com.
artemis.select.	3600	in	ns	ns36.domaincontrol.com.
artificialintelligence.select.	3600	in	ns	launch1.spaceship.net.
artificialintelligence.select.	3600	in	ns	launch2.spaceship.net.
asurion.select.	3600	in	ns	ns02.asurion.com.
asurion.select.	3600	in	ns	ns03.asurion.com.
atiksh.select.	3600	in	ns	pdns01.domaincontrol.com.
atiksh.select.	3600	in	ns	pdns02.domaincontrol.com.
audible.select.	3600	in	ns	nsgbr.comlaude.co.uk.
audible.select.	3600	in	ns	nssui.comlaude.ch.
audible.select.	3600	in	ns	nsusa.comlaude.net.
auth.select.	3600	in	ds	2371 13 2 211953A251CED45F11E5534B080EC82CF6E10B8CAF246433636A0E7B9BFDC92D
auth.select.	3600	in	ns	moura.ns.cloudflare.com.
auth.select.	3600	in	ns	rafe.ns.cloudflare.com.
