quantum.xn--1qqw23a.	86400	in	ns	dns12.hichina.com.
qubit.xn--1qqw23a.	86400	in	ns	dns11.hichina.com.
qubit.xn--1qqw23a.	86400	in	ns	dns12.hichina.com.
roma.xn--1qqw23a.	86400	in	ns	dns10.hichina.com.
roma.xn--1qqw23a.	86400	in	ns	dns9.hichina.com.
scooter.xn--1qqw23a.	86400	in	ns	dns3.hichina.com.
scooter.xn--1qqw23a.	86400	in	ns	dns4.hichina.com.
scooters.xn--1qqw23a.	86400	in	ns	dns31.hichina.com.
scooters.xn--1qqw23a.	86400	in	ns	dns32.hichina.com.
senior.xn--1qqw23a.	86400	in	ns	dns23.hichina.com.
senior.xn--1qqw23a.	86400	in	ns	dns24.hichina.com.
seniors.xn--1qqw23a.	86400	in	ns	dns11.hichina.com.
seniors.xn--1qqw23a.	86400	in	ns	dns12.hichina.com.
sign.xn--1qqw23a.	86400	in	ns	dns13.hichina.com.
sign.xn--1qqw23a.	86400	in	ns	dns14.hichina.com.
sora.xn--1qqw23a.	86400	in	ns	dns17.hichina.com.
sora.xn--1qqw23a.	86400	in	ns	dns18.hichina.com.
soulisfree.xn--1qqw23a.	86400	in	ns	dns15.hichina.com.
soulisfree.xn--1qqw23a.	86400	in	ns	dns16.hichina.com.
teledyne.xn--1qqw23a.	86400	in	ns	dns1.ipmanagerinc.net.
teledyne.xn--1qqw23a.	86400	in	ns	dns2.ipmanagerinc.net.
teledyne.xn--1qqw23a.	86400	in	ns	dns3.ipmanagerinc.net.
top.xn--1qqw23a.	86400	in	ns	dns15.hichina.com.
top.xn--1qqw23a.	86400	in	ns	dns16.hichina.com.
tupperware.xn--1qqw23a.	86400	in	ns	ns1.tupperware.net.
tupperware.xn--1qqw23a.	86400	in	ns	ns2.tupperware.net.
tupperware.xn--1qqw23a.	86400	in	ns	ns3.tupperware.net.
walkers.xn--1qqw23a.	86400	in	ns	dns27.hichina.com.
walkers.xn--1qqw23a.	86400	in	ns	dns28.hichina.com.
whatsapp.xn--1qqw23a.	86400	in	ns	a.ns.facebook.com.
whatsapp.xn--1qqw23a.	86400	in	ns	b.ns.facebook.com.
whatsapp.xn--1qqw23a.	86400	in	ns	c.ns.facebook.com.
whatsapp.xn--1qqw23a.	86400	in	ns	d.ns.facebook.com.
wheelchair.xn--1qqw23a.	86400	in	ns	dns3.hichina.com.
wheelchair.xn--1qqw23a.	86400	in	ns	dns4.hichina.com.
wheelchairs.xn--1qqw23a.	86400	in	ns	dns25.hichina.com.
