directory.	3600	in	soa	v0n0.nic.directory. hostmaster.donuts.email. 1756256407 7200 900 1209600 3600
0uc8vjm586vph7bolahqutkae3o1e9qk.directory.	3600	in	rrsig	NSEC3 8 2 3600 20250916154040 20250826144040 57105 directory. Ri3GIvMXGyt1XQecEZHnHF3yVHPX9KECxj5dOJFPYGO0S6i/d8tWUJZVFxViq/4awYDWbmNuxDiYMIrFZppQXK3qi/XcdC6o64gpOnAs98XkmdlLnkejh9LoNXwGvCx0Lhn4be8O7PdxTd4H4affvCby0ug0P1yRxOrJiFArFBM=
0ur23.directory.	3600	in	ns	n1.xundns.com.
0ur23.directory.	3600	in	ns	n2.xundns.com.
0x.directory.	3600	in	ns	ns35.domaincontrol.com.
0x.directory.	3600	in	ns	ns36.domaincontrol.com.
0x0.directory.	3600	in	ds	2371 13 2 DB2467857BD880EDB24D6D1103910C9C536F9CF583D16811F5AE86C4CDC3ACC9
0x0.directory.	3600	in	ns	aiden.ns.cloudflare.com.
0x0.directory.	3600	in	ns	surina.ns.cloudflare.com.
0x0.directory.	3600	in	rrsig	DS 8 2 3600 20250916154040 20250826144040 57105 directory. OxKv30sRfaCENHvDdiB/kvt5nUEbvAllzFEezpGry4sRaj8Wv/8cUyxJyKMvBZAd//3gJKaJCge+LqVJWaCZuP9M7qM2EQQa/Cpe6eoDEQlclrPZ569VhIq3rxgk+jLxSlZcihSuu6E0+x+pujOb5E6kH/8a7KL+ZgpUGBwDSZM=
0x00.directory.	3600	in	ns	ns1-coming-soon.sav.com.
0x00.directory.	3600	in	ns	ns2-coming-soon.sav.com.
0xf.directory.	3600	in	ns	dns1.registrar-servers.com.
0xf.directory.	3600	in	ns	dns2.registrar-servers.com.
100.directory.	3600	in	ns	ns1.dyna-ns.net.
100.directory.	3600	in	ns	ns2.dyna-ns.net.
1000.directory.	3600	in	ns	ns1.dyna-ns.net.
1000.directory.	3600	in	ns	ns2.dyna-ns.net.
1001.directory.	3600	in	ns	pdns13.domaincontrol.com.
1001.directory.	3600	in	ns	pdns14.domaincontrol.com.
101freeideas.directory.	3600	in	ns	ns21.domaincontrol.com.
101freeideas.directory.	3600	in	ns	ns22.domaincontrol.com.
1031.directory.	3600	in	ns	ns71.domaincontrol.com.
1031.directory.	3600	in	ns	ns72.domaincontrol.com.
1031exchange.directory.	3600	in	ns	ns13.domaincontrol.com.
1031exchange.directory.	3600	in	ns	ns14.domaincontrol.com.
107.directory.	3600	in	ns	ns39.domaincontrol.com.
107.directory.	3600	in	ns	ns40.domaincontrol.com.
107dronepilot.directory.	3600	in	ns	ns39.domaincontrol.com.
107dronepilot.directory.	3600	in	ns	ns40.domaincontrol.com.
107dronepilots.directory.	3600	in	ns	ns39.domaincontrol.com.
107dronepilots.directory.	3600	in	ns	ns40.domaincontrol.com.
1099.directory.	3600	in	ns	dns1.registrar-servers.com.
1099.directory.	3600	in	ns	dns2.registrar-servers.com.
109gjjapd.directory.	3600	in	ns	ns1.dnsowl.com.
109gjjapd.directory.	3600	in	ns	ns2.dnsowl.com.
109gjjapd.directory.	3600	in	ns	ns3.dnsowl.com.
109shbdfd.directory.	3600	in	ns	ns1.dnsowl.com.
109shbdfd.directory.	3600	in	ns	ns2.dnsowl.com.
109shbdfd.directory.	3600	in	ns	ns3.dnsowl.com.
10lineloto.directory.	3600	in	ns	ns41.domaincontrol.com.
10lineloto.directory.	3600	in	ns	ns42.domaincontrol.com.
10mejoresnegocios.directory.	3600	in	ns	ns13.domaincontrol.com.
10mejoresnegocios.directory.	3600	in	ns	ns14.domaincontrol.com.
10topebike.directory.	3600	in	ns	ns3.afternic.com.
10topebike.directory.	3600	in	ns	ns4.afternic.com.
10x.directory.	3600	in	ns	jill.ns.cloudflare.com.
10x.directory.	3600	in	ns	josh.ns.cloudflare.com.
11.directory.	3600	in	ds	12355 8 2 6AE4655B7669703EADF9BD283216A9C4983ADB7B8D6F7F8633E275B39D3D4244
11.directory.	3600	in	ns	ns-cloud-c1.googledomains.com.
11.directory.	3600	in	ns	ns-cloud-c2.googledomains.com.
11.directory.	3600	in	ns	ns-cloud-c3.googledomains.com.
11.directory.	3600	in	ns	ns-cloud-c4.googledomains.com.
11.directory.	3600	in	rrsig	DS 8 2 3600 20250916154040 20250826144040 57105 directory. esI9LCeNdhto3JfT3kaFQRSRAzIX0CuDAisSFh42TYrfuJdKadyaU94dohpJKofWKhnfvCtaEmG5UqZcPGuuqHkhZFP/OFXM0EeLXii2pefIyy1Oz6HLjOG4Rpbdq+j3E84ib8SIM/54NuY0Z9Nr49Mzo9w0sQ0DWN9NLXJDVgg=
1111.directory.	3600	in	ns	ns1.dnsowl.com.
1111.directory.	3600	in	ns	ns2.dnsowl.com.
1111.directory.	3600	in	ns	ns3.dnsowl.com.
112.directory.	3600	in	ns	park1.dccdns.com.
112.directory.	3600	in	ns	park2.dccdns.com.
112.directory.	3600	in	ns	park3.dccdns.com.
112.directory.	3600	in	ns	park4.dccdns.com.
112local.directory.	3600	in	ns	park1.dccdns.com.
112local.directory.	3600	in	ns	park2.dccdns.com.
112local.directory.	3600	in	ns	park3.dccdns.com.
112local.directory.	3600	in	ns	park4.dccdns.com.
120bkvmy.directory.	3600	in	ns	ns1.dnsowl.com.
120bkvmy.directory.	3600	in	ns	ns2.dnsowl.com.
120bkvmy.directory.	3600	in	ns	ns3.dnsowl.com.
120brfuc.directory.	3600	in	ns	ns1.dnsowl.com.
120brfuc.directory.	3600	in	ns	ns2.dnsowl.com.
120brfuc.directory.	3600	in	ns	ns3.dnsowl.com.
123.directory.	3600	in	ns	ns1.afternic.com.
123.directory.	3600	in	ns	ns2.afternic.com.
1234.directory.	3600	in	ns	ns-cloud-b1.googledomains.com.
1234.directory.	3600	in	ns	ns-cloud-b2.googledomains.com.
1234.directory.	3600	in	ns	ns-cloud-b3.googledomains.com.
1234.directory.	3600	in	ns	ns-cloud-b4.googledomains.com.
123b.directory.	3600	in	ns	mustafa.ns.cloudflare.com.
123b.directory.	3600	in	ns	rachel.ns.cloudflare.com.
123movies.directory.	3600	in	ns	ns1.brainydns.com.
123movies.directory.	3600	in	ns	ns2.brainydns.com.
126785.directory.	3600	in	ns	ns1.dns.com.
126785.directory.	3600	in	ns	ns2.dns.com.
12bet.directory.	3600	in	ns	braelyn.ns.cloudflare.com.
12bet.directory.	3600	in	ns	watson.ns.cloudflare.com.
12rn1pldjd34j8pdrn9p2dpssokb37og.directory.	3600	in	nsec3	1 1 0 73 1BE5MARH8KRGPS0RTCB6TFHR8IC7TIK1 NS DS RRSIG
12rn1pldjd34j8pdrn9p2dpssokb37og.directory.	3600	in	rrsig	NSEC3 8 2 3600 20250916154040 20250826144040 57105 directory. FmuGfdk0f6AOEh9OEeq48ErVe1XJtPkc4yBaczgsJc210KCM544VoxcvN4DgkzH9rQbRGJC1AgkTjPlJ8+c4dKIliyiKlUPo9KyD0PGoabc7zLJB7sH+ztMRmjjAUuuFVUHCi4m7ntNpY6i5bVW+PqlNvY54pWrpM41tBCyJ0AU=
12th-armored.directory.	3600	in	ns	curitiba.ns.porkbun.com.
12th-armored.directory.	3600	in	ns	fortaleza.ns.porkbun.com.
12th-armored.directory.	3600	in	ns	maceio.ns.porkbun.com.
12th-armored.directory.	3600	in	ns	salvador.ns.porkbun.com.
12thman.directory.	3600	in	ns	ns1hwy.name.com.
12thman.directory.	3600	in	ns	ns2clp.name.com.
12thman.directory.	3600	in	ns	ns3cqz.name.com.
12thman.directory.	3600	in	ns	ns4kmw.name.com.
1300.directory.	3600	in	ns	ns5.private-nameserver.net.
1300.directory.	3600	in	ns	ns6.private-nameserver.net.
1313.directory.	3600	in	ns	ns01.cashparking.com.
1313.directory.	3600	in	ns	ns02.cashparking.com.
1337.directory.	3600	in	ns	ns-1429.awsdns-50.org.
1337.directory.	3600	in	ns	ns-1914.awsdns-47.co.uk.
1337.directory.	3600	in	ns	ns-465.awsdns-58.com.
1337.directory.	3600	in	ns	ns-573.awsdns-07.net.
148z5i.directory.	3600	in	ns	ns1.alidns.com.
148z5i.directory.	3600	in	ns	ns2.alidns.com.
148z5i.directory.	3600	in	ns	ns7.alidns.com.
148z5i.directory.	3600	in	ns	ns8.alidns.com.
150304.directory.	3600	in	ns	ns1.1233dns.com.
150304.directory.	3600	in	ns	ns2.951dns.com.
165928.directory.	3600	in	ns	ns1.dns.com.
165928.directory.	3600	in	ns	ns2.dns.com.
1688.directory.	3600	in	ns	ns1.afternic.com.
1688.directory.	3600	in	ns	ns2.afternic.com.
168bet.directory.	3600	in	ns	gemma.ns.cloudflare.com.
168bet.directory.	3600	in	ns	vick.ns.cloudflare.com.
1800bestspa.directory.	3600	in	ns	ns37.domaincontrol.com.
1800bestspa.directory.	3600	in	ns	ns38.domaincontrol.com.
1800flowers.directory.	3600	in	ns	dns1.cscdns.net.
1800flowers.directory.	3600	in	ns	dns2.cscdns.net.
186394.directory.	3600	in	ns	ns1.dns.com.
186394.directory.	3600	in	ns	ns2.dns.com.
1888tbahair.directory.	3600	in	ns	ns25.domaincontrol.com.
1888tbahair.directory.	3600	in	ns	ns26.domaincontrol.com.
188bet.directory.	3600	in	ns	pdns95.ultradns.biz.
188bet.directory.	3600	in	ns	pdns95.ultradns.com.
188bet.directory.	3600	in	ns	pdns95.ultradns.net.
188bet.directory.	3600	in	ns	pdns95.ultradns.org.
18win.directory.	3600	in	ns	leah.ns.cloudflare.com.
18win.directory.	3600	in	ns	mitch.ns.cloudflare.com.
191919.directory.	3600	in	ns	ns1.dyna-ns.net.
191919.directory.	3600	in	ns	ns2.dyna-ns.net.
192837.directory.	3600	in	ns	ns1.dns.com.
192837.directory.	3600	in	ns	ns2.dns.com.
1a.directory.	3600	in	ns	ns53.domaincontrol.com.
1a.directory.	3600	in	ns	ns54.domaincontrol.com.
1and1-ionos.directory.	3600	in	ns	ns-1and1.ui-dns.biz.
1and1-ionos.directory.	3600	in	ns	ns-1and1.ui-dns.com.
1and1-ionos.directory.	3600	in	ns	ns-1and1.ui-dns.de.
1and1-ionos.directory.	3600	in	ns	ns-1and1.ui-dns.org.
1and1.directory.	3600	in	ns	ns-ca.ui-dns.biz.
