20bet.futbol.	3600	in	ns	ns1.dns-parking.com.
20bet.futbol.	3600	in	ns	ns2.dns-parking.com.
222.futbol.	3600	in	ns	bingo.ns.cloudflare.com.
222.futbol.	3600	in	ns	clyde.ns.cloudflare.com.
237r7ufqgjgc2bgfl4eksdnvf5i20r0l.futbol.	3600	in	nsec3	1 1 0 73 2H9QGCT3COIO9BNLJ9AVBEMVFJ2933V2 NS DS RRSIG
237r7ufqgjgc2bgfl4eksdnvf5i20r0l.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. iO1i2PtgBY+Ipk0Z9F5VMx2fhnYX2sz0dvLNRNULu7JCyeMyGOzJ2E44Fj3tGcw8rnFG/ldusTLfNbCf+l1LDc6m1NGmfib6eJ0FX+WT+4wD4ft6NipbRG5L9CU772BZUJQmXm6RoQoO3nqDX1nW/qXfmdgzgg64NszAOAYZll0=
23win.futbol.	3600	in	ns	expire1.gname-dns.com.
23win.futbol.	3600	in	ns	expire2.gname-dns.com.
247.futbol.	3600	in	ns	ns77.domaincontrol.com.
247.futbol.	3600	in	ns	ns78.domaincontrol.com.
24h.futbol.	3600	in	ns	ns.latiendadelosdominios.com.
24h.futbol.	3600	in	ns	ns1.latiendadelosdominios.com.
24vulkan.futbol.	3600	in	ns	hope.ns.cloudflare.com.
24vulkan.futbol.	3600	in	ns	rommy.ns.cloudflare.com.
28bet.futbol.	3600	in	ns	kenneth.ns.cloudflare.com.
28bet.futbol.	3600	in	ns	laylah.ns.cloudflare.com.
2bong.futbol.	3600	in	ns	julissa.ns.cloudflare.com.
2bong.futbol.	3600	in	ns	matias.ns.cloudflare.com.
2h9qgct3coio9bnlj9avbemvfj2933v2.futbol.	3600	in	nsec3	1 1 0 73 2OADM81FC09O3MTCSJ56360K8SA5JJBB NS DS RRSIG
2h9qgct3coio9bnlj9avbemvfj2933v2.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. BwCk/isHIZ+VEDXaA0YV2a/PWuSveT9xfcXv+JrBJJ3HA6gCfIczl1yhtbjbIuUdHt174qK6e93R/oKw4TXF0UjmCO0vgAsJkckUxSYw8aH/cS8Fy1cBoDj/qieSZ4mabF5xw7NCAPksh+cDQpltGPKwM+llqbQ2SvRRMMN1eIA=
2oadm81fc09o3mtcsj56360k8sa5jjbb.futbol.	3600	in	nsec3	1 1 0 73 2RF57P3KUQH3J3AF9ED6T1FF0UUKSVVJ NS DS RRSIG
2oadm81fc09o3mtcsj56360k8sa5jjbb.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. 7dA/EZmZRuvqfjhaMPa1vzg9+HiWNx97CD1bwNH1QrMszGXFh7jcg54ukzqHRgU2wKRYCBz2TCyCaywaVBxUU134FrNCOuRgeqklYhQ9j9I9q2WeblS2MITF8fV0w6FMppCXcXDk2mCCaY7Hngj3v2ki2hiTP5NnV1Kpl3uboqg=
2rf57p3kuqh3j3af9ed6t1ff0uuksvvj.futbol.	3600	in	nsec3	1 1 0 73 3DTEVJQGBMR9VH588HFIV68K95FJU6TL NS DS RRSIG
