0v0.press.	3600	in	ns	floor.dnspod.net.
0v0qqgbbi3g898rfqr58sc7ih7um6m11.press.	900	in	nsec3	1 1 0 - 12I3G7S6SB369UVALHMGHA0H08CGO8R7 NS DS RRSIG
0v0qqgbbi3g898rfqr58sc7ih7um6m11.press.	900	in	rrsig	NSEC3 8 2 900 20260208040234 20260109023234 18631 press. Tl137yzziFr+ApXg2CUtVKynxUcjykqFphmTLIRe2ejkm+OXl4S5+YSfJPVro/AMMM15d1vLTR7fzVoxBps3th0QQgguY2sjJ6vkiiZqH2ghTMP2fZwDXTc8zhaqciCzAi7oOwGRv2j98/hf9UAjwh7e4BuN1e9ppY3d8/0tTuA=
0x.press.	3600	in	ds	29595 13 2 6FC3B1A2F4D064B49FCAC4132AEB0A146F978745A20F0328918420BAE2A94DFB
0x.press.	3600	in	ns	launch1.spaceship.net.
0x.press.	3600	in	ns	launch2.spaceship.net.
0x.press.	3600	in	rrsig	DS 8 2 3600 20260216105424 20260117092424 18631 press. WQ8RZ2ivQTwhmEM0juOwcwNSsjg4DODv580TUTCeHiPlAyTpsZb7AJv+4nIEdudFiN9wIep5GeY2ojCvcCIESzEmpaDggkXRuBp3+g0nBjSeU4oywRJ0OdTz2BDiB0ronPUVCXxB0tkLb5w7cIovOrBzJhQI+WxfvrQb1eU+al8=
0xc1.press.	3600	in	ns	grasshopper.dnspod.net.
0xc1.press.	3600	in	ns	sow.dnspod.net.
1-21.press.	3600	in	ds	55912 13 2 AE54C798F462F39C0E8D943B54714CB1543F8915ABF03014F1DA502C6FBB94C3
1-21.press.	3600	in	ns	ns01.one.com.
1-21.press.	3600	in	ns	ns02.one.com.
1-21.press.	3600	in	rrsig	DS 8 2 3600 20260216105424 20260117092424 18631 press. WRkF+r2POL3SaI29iV8kefUZW9v68h8tfej2XoZQ9uNk7c0LLpohYf+0rQOkvCGhbcdA7wx7Q/WANTOZWAE2Wr5c3ZNRTCOw/tD2BGOoAKPEVYoTEw5mnRh+e/Y11ukkLCFPTmWTkjFdEDDHlTlg7OKY5EunxMkudV+6HQHUXSA=
10000.press.	3600	in	ns	dns15.hichina.com.
10000.press.	3600	in	ns	dns16.hichina.com.
1008.press.	3600	in	ns	dns10.hichina.com.
1008.press.	3600	in	ns	dns9.hichina.com.
10086.press.	3600	in	ns	ns5.myhostadmin.net.
10086.press.	3600	in	ns	ns6.myhostadmin.net.
100ex.press.	3600	in	ns	ns1.reg.ru.
100ex.press.	3600	in	ns	ns2.reg.ru.
100gold.press.	3600	in	ns	ns29.domaincontrol.com.
