13718.diy.	900	in	ns	ns14.open-dns.org.
13win.diy.	900	in	ns	monroe.ns.cloudflare.com.
13win.diy.	900	in	ns	yew.ns.cloudflare.com.
14086.diy.	900	in	ns	dexter.ns.cloudflare.com.
14086.diy.	900	in	ns	perla.ns.cloudflare.com.
14457.diy.	900	in	ns	dexter.ns.cloudflare.com.
14457.diy.	900	in	ns	perla.ns.cloudflare.com.
14655.diy.	900	in	ns	dexter.ns.cloudflare.com.
14655.diy.	900	in	ns	perla.ns.cloudflare.com.
14866.diy.	900	in	ns	ns1.dyna-ns.net.
14866.diy.	900	in	ns	ns2.dyna-ns.net.
151913.diy.	900	in	ns	n1.xundns.com.
151913.diy.	900	in	ns	n2.xundns.com.
15403.diy.	900	in	ns	dexter.ns.cloudflare.com.
15403.diy.	900	in	ns	perla.ns.cloudflare.com.
15584.diy.	900	in	ns	ns1.dyna-ns.net.
15584.diy.	900	in	ns	ns2.dyna-ns.net.
15689.diy.	900	in	ns	ns1.dyna-ns.net.
15689.diy.	900	in	ns	ns2.dyna-ns.net.
15776.diy.	900	in	ns	ns1.dyna-ns.net.
15776.diy.	900	in	ns	ns2.dyna-ns.net.
15892.diy.	900	in	ns	ns11.open-dns.net.
15892.diy.	900	in	ns	ns12.open-dns.net.
15892.diy.	900	in	ns	ns13.open-dns.org.
15892.diy.	900	in	ns	ns14.open-dns.org.
15906.diy.	900	in	ns	ns1.dyna-ns.net.
15906.diy.	900	in	ns	ns2.dyna-ns.net.
159913.diy.	900	in	ns	n1.xundns.com.
159913.diy.	900	in	ns	n2.xundns.com.
16178.diy.	900	in	ns	ns1.dyna-ns.net.
16178.diy.	900	in	ns	ns2.dyna-ns.net.
167vjhn9ue1kv2blc53s2q22onio8rrr.diy.	300	in	nsec3	1 1 0 - 173UIA9U9BF00F2VJED2AG41OPMUQGKP NS DS RRSIG
167vjhn9ue1kv2blc53s2q22onio8rrr.diy.	300	in	rrsig	NSEC3 13 2 300 20260224000519 20260125000519 57048 diy. Jg5XlUu61Jp7wAVT8GycodFMbdcNX+J2fsbXsAoNo1IG49vA6SJXRIvdbU5rQguVrgj5vaL/uhoBSiNWEAFzPA==
168.diy.	900	in	ns	a3.share-dns.com.
168.diy.	900	in	ns	b3.share-dns.net.
16959.diy.	900	in	ns	n1.xundns.com.
16959.diy.	900	in	ns	n2.xundns.com.
17125.diy.	900	in	ns	n1.xundns.com.
17125.diy.	900	in	ns	n2.xundns.com.
17189.diy.	900	in	ns	ns1.dyna-ns.net.
17189.diy.	900	in	ns	ns2.dyna-ns.net.
17321.diy.	900	in	ns	dexter.ns.cloudflare.com.
17321.diy.	900	in	ns	perla.ns.cloudflare.com.
173uia9u9bf00f2vjed2ag41opmuqgkp.diy.	300	in	nsec3	1 1 0 - 1997839Q5PQEIM7MOFFTQ7HTC9JCQIOM NS DS RRSIG
173uia9u9bf00f2vjed2ag41opmuqgkp.diy.	300	in	rrsig	NSEC3 13 2 300 20260224000519 20260125000519 57048 diy. naqWJosDMLnj7SwROPBjjIDU9T6+k8GrVLFtW4Fs8OLerIZEhB1DvB8gR2jHaU2LCqrMfLN+Wt+W4hQ56zTNVw==
17447.diy.	900	in	ns	ns7.alidns.com.
