05c5s8im6b9gg7gngf112hjvi0p16jtf.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. M1RphMpJy0+m/2WNRJywdGRaDIDdNzGXgqad60wsyYyj21qAyBhgw2iCaZ860JotRa1Mr4QL5wqcPQqzpRsuX9EQxlFFWSmK5RgxorgHw9T4KZEUxo7tPhRPTR3iQwDe+0PPjGvP/oFCJDgWlX5mMXmQBwjLEQ1ajJO4MGsYG6o=
05fodrn6rckoqp37kngjn50e8ehv4eeh.technology.	3600	in	nsec3	1 1 0 73 062JSMR2V178UTC3IV8GVAII5RDC7M56 NS DS RRSIG
05fodrn6rckoqp37kngjn50e8ehv4eeh.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. BMbRe0wT06vKpxBdVl+Fdc+Ee0pDXdGfm5C6QWlIF8dGNOA+KHe2VcUvMEvwNud5spWfAv7ftLU+frx+pQDY1GPwv612jABLnK2KH8He+T5i7zqjb4idBx8fFZB+zeOu507+ILPIh1XJI0Pj3y8BxmyuWf1tOx4H+QC+AVIUa3Y=
060.technology.	3600	in	ns	ns37.domaincontrol.com.
060.technology.	3600	in	ns	ns38.domaincontrol.com.
062jsmr2v178utc3iv8gvaii5rdc7m56.technology.	3600	in	nsec3	1 1 0 73 06P99KP1704L9V9286G0PCM72N7ABCG9 NS DS RRSIG
062jsmr2v178utc3iv8gvaii5rdc7m56.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. ccE6ZAQVb/XvMPWK/WbkozdGcYhMwJGMPpPPFtdrti0KcJi2IiORJnqWcKFi4nOCEsRH4vBKZeym3UlR/Ad5qGzMVZkW8X0rkJHJrmzqHg3gfDIMoKAZcKnjAUmAq8A0/uYfLxe6EnvL4PcdwlIhwfd/5+alXJcLjKu5qaUNcMw=
06p99kp1704l9v9286g0pcm72n7abcg9.technology.	3600	in	nsec3	1 1 0 73 07A2OC38GGU8LEQU9DMF7CG1G5AGA5UR NS DS RRSIG
06p99kp1704l9v9286g0pcm72n7abcg9.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. F1AogIZaAQnhNZvI9xOG9yR8Ww5t/2QCfenNdeTSE6emVOGKbz0tfWQ1cAyBNwLp09szVTypXh457BRc3/+hPKub52cxdKHRHuv5YE+uJwfl2gBGrNjj4uxLSiypE1FMIConVwrA/YPyeZnVALjaeJxW6nrRlceE5ukSZZQWigo=
07a2oc38ggu8lequ9dmf7cg1g5aga5ur.technology.	3600	in	nsec3	1 1 0 73 07K243NQ2S6CDFJLP4H1OTS03QC010AB NS DS RRSIG
07a2oc38ggu8lequ9dmf7cg1g5aga5ur.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. h4iCTuHnetF1NLQT+mjVQzSx+CAXOeoaOVoEY+ahDwweNvEBqAGoUaYyBhbxFeEN01gEGDrhohr/5724NvI354QDCZK3nd0giRsMU6sAfJr2I71DGHzkt1/pm+hWBnGr6Rz8fdmvDFszjbJcUbl3vsMngY16B/XB75ONOFvrBLg=
07k243nq2s6cdfjlp4h1ots03qc010ab.technology.	3600	in	nsec3	1 1 0 73 080K6QIJASCV0M42DRN7UQ19MFE2PK0I NS DS RRSIG
07k243nq2s6cdfjlp4h1ots03qc010ab.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. a14jGtfipGEotXYpA0Vyb4FNd33dexPI7Xzrb+X1nnOW92QD+q6nYy6KIZw3QGZEeQU19VT2OrbeZZMH0COehWLXumdSMb45nyYv7F01fkjx+5T77R6LRSgpQC9+ZgYQFn37CDqjk4NDRf4Yare3LEGecEvtB0axXa27OPc5+6Q=
080k6qijascv0m42drn7uq19mfe2pk0i.technology.	3600	in	nsec3	1 1 0 73 082G3VN3K3INUU7IJ8FS1ROMC80258B8 NS DS RRSIG
080k6qijascv0m42drn7uq19mfe2pk0i.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. oVDJkjImVhQbN6HiVF0YRM7xkaR/LTVn9PL46lI/PNT+OeVoSzgOQuUF1+e5Gmk9BSR4tabYrf1ZitY2jw1MU+tDD0kuhcvcBTN7SO6RCjufSzj+zCeB8WbVt37/YqW0kxrLU3wVNU7B5cyL5fDPjEEqrnXKPZnWp0PaStZJy0o=
082g3vn3k3inuu7ij8fs1romc80258b8.technology.	3600	in	nsec3	1 1 0 73 08H937D05I1N937HUL4K72N77R6QGEG2 NS DS RRSIG
