04640.tax.	3600	in	ns	n1.xundns.com.
04640.tax.	3600	in	ns	n2.xundns.com.
04909.tax.	3600	in	ns	ns1.dnsip.com.
04909.tax.	3600	in	ns	ns2.dnsip.com.
05008.tax.	3600	in	ns	ns1.dnsip.com.
05008.tax.	3600	in	ns	ns2.dnsip.com.
0501.tax.	3600	in	ns	ns-1107.awsdns-10.org.
0501.tax.	3600	in	ns	ns-1883.awsdns-43.co.uk.
0501.tax.	3600	in	ns	ns-279.awsdns-34.com.
0501.tax.	3600	in	ns	ns-542.awsdns-03.net.
05371.tax.	3600	in	ns	ns1.dnsip.com.
05371.tax.	3600	in	ns	ns2.dnsip.com.
05433.tax.	3600	in	ns	ns1.dnsip.com.
05433.tax.	3600	in	ns	ns2.dnsip.com.
05649.tax.	3600	in	ns	ns1.dnsip.com.
05649.tax.	3600	in	ns	ns2.dnsip.com.
05903.tax.	3600	in	ns	ns1.dnsip.com.
05903.tax.	3600	in	ns	ns2.dnsip.com.
060.tax.	3600	in	ns	darren.dnspod.net.
060.tax.	3600	in	ns	fly.dnspod.net.
06007.tax.	3600	in	ns	n1.xundns.com.
06007.tax.	3600	in	ns	n2.xundns.com.
06062.tax.	3600	in	ns	ns1.dns.com.
06062.tax.	3600	in	ns	ns2.dns.com.
06200.tax.	3600	in	ns	ns1.dnsip.com.
06200.tax.	3600	in	ns	ns2.dnsip.com.
06276.tax.	3600	in	ns	n1.xundns.com.
06276.tax.	3600	in	ns	n2.xundns.com.
06298.tax.	3600	in	ns	n1.xundns.com.
06298.tax.	3600	in	ns	n2.xundns.com.
06391.tax.	3600	in	ns	ns1.dnsip.com.
06391.tax.	3600	in	ns	ns2.dnsip.com.
06547.tax.	3600	in	ns	ns1.dyna-ns.net.
06547.tax.	3600	in	ns	ns2.dyna-ns.net.
06706.tax.	3600	in	ns	ns1.dnsip.com.
06706.tax.	3600	in	ns	ns2.dnsip.com.
06885.tax.	3600	in	ns	ns1.dyna-ns.net.
06885.tax.	3600	in	ns	ns2.dyna-ns.net.
07109.tax.	3600	in	ns	n1.xundns.com.
07109.tax.	3600	in	ns	n2.xundns.com.
07165.tax.	3600	in	ns	ns1.dnsip.com.
07165.tax.	3600	in	ns	ns2.dnsip.com.
07402.tax.	3600	in	ns	ns1.dnsip.com.
07402.tax.	3600	in	ns	ns2.dnsip.com.
07434.tax.	3600	in	ns	ns1.dns.com.
07434.tax.	3600	in	ns	ns2.dns.com.
07452.tax.	3600	in	ns	ns1.dnsip.com.
07452.tax.	3600	in	ns	ns2.dnsip.com.
07503.tax.	3600	in	ns	ns1.dnsip.com.
07503.tax.	3600	in	ns	ns2.dnsip.com.
07527.tax.	3600	in	ns	ns1.dnsip.com.
07527.tax.	3600	in	ns	ns2.dnsip.com.
0755.tax.	3600	in	ns	dns31.hichina.com.
0755.tax.	3600	in	ns	dns32.hichina.com.
07557.tax.	3600	in	ns	ns1.dyna-ns.net.
07557.tax.	3600	in	ns	ns2.dyna-ns.net.
07761.tax.	3600	in	ns	ns1.dnsip.com.
07761.tax.	3600	in	ns	ns2.dnsip.com.
07829.tax.	3600	in	ns	n1.xundns.com.
07829.tax.	3600	in	ns	n2.xundns.com.
07929.tax.	3600	in	ns	ns1.dnsip.com.
07929.tax.	3600	in	ns	ns2.dnsip.com.
07944.tax.	3600	in	ns	n1.xundns.com.
07944.tax.	3600	in	ns	n2.xundns.com.
07fq6gv4e3j3o0hu23usnr8sbb5mh13f.tax.	3600	in	nsec3	1 1 0 73 089B7LU3FAT2FE1SEM5DVVFPM3B16FR8 NS DS RRSIG
07fq6gv4e3j3o0hu23usnr8sbb5mh13f.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250922151954 20250901141954 51030 tax. DywCQwzLz8fPjAxW8LXgXGEmn4s3OmobbkDG2gUjTFri3p5zxuK2ULTQ7nwAt+SXHy+61iUfYLaCuseGI2NL1+J6qBlGmfy4GuxzimNqBVFncXGpo59GOeywLtTBjYOj73udrculoPGpOyyuUjkCh447A4C8I6VkzZoe/rMCQsg=
08135.tax.	3600	in	ns	n1.xundns.com.
08135.tax.	3600	in	ns	n2.xundns.com.
08252.tax.	3600	in	ns	ns1.dns.com.
08252.tax.	3600	in	ns	ns2.dns.com.
08280.tax.	3600	in	ns	ns1.dns.com.
08280.tax.	3600	in	ns	ns2.dns.com.
08389.tax.	3600	in	ns	ns1.dnsip.com.
08389.tax.	3600	in	ns	ns2.dnsip.com.
08508.tax.	3600	in	ns	ns1.dyna-ns.net.
08508.tax.	3600	in	ns	ns2.dyna-ns.net.
08616.tax.	3600	in	ns	n1.xundns.com.
08616.tax.	3600	in	ns	n2.xundns.com.
