36.navy.	3600	in	ns	ns219.inhostedns.net.
36.navy.	3600	in	ns	ns319.inhostedns.org.
36obrmp.navy.	3600	in	ns	ns1.weblium.com.
36obrmp.navy.	3600	in	ns	ns2.weblium.com.
36sic50lj7u2hsqlhsgsmtros6j792un.navy.	3600	in	nsec3	1 1 0 73 3BI2BDACAD8D81A5TAV40BN3QR69HK12 NS DS RRSIG
36sic50lj7u2hsqlhsgsmtros6j792un.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. h+RDca+wo05rDQz6qgbjetyItQQ+ngGPRKwK5P5hFvHWPmHFdW7rLWTfTKaLl/ndVHTk+fa9yAaS/QdPnLhUTgFWyhiRnQrqCEyEnSaL2kR8W20pWGnOKJvc/ebDZlRzh9B3IEtqQyjjQ8jMWHAEn3NmnG78623bQM6sEQj4OUs=
388bet.navy.	3600	in	ns	curitiba.ns.porkbun.com.
388bet.navy.	3600	in	ns	fortaleza.ns.porkbun.com.
388bet.navy.	3600	in	ns	maceio.ns.porkbun.com.
388bet.navy.	3600	in	ns	salvador.ns.porkbun.com.
3bi2bdacad8d81a5tav40bn3qr69hk12.navy.	3600	in	nsec3	1 1 0 73 3F7GM087K30T1C9AKV33HK5OP1SSI79D NS DS RRSIG
3bi2bdacad8d81a5tav40bn3qr69hk12.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. g/3L8oRBFua2NSZzLQl7azV9JhQnm7aSVhT7U4/+eOEJwBOtwbfWsz/Cy1qI8DMlrorfZD5tKvX71idFLd/ELYc9mAax/KF+G/CS2hqvyRT0S5H+/8rQq8p7f7cy1l0STeRw2mEcBmH0wQ4cdNQy1hs+hqdOdOZeFTGeQAm65HE=
3f7gm087k30t1c9akv33hk5op1ssi79d.navy.	3600	in	nsec3	1 1 0 73 453J96AGR9B6GEUGMGGQAI126426PSJ3 NS DS RRSIG
3f7gm087k30t1c9akv33hk5op1ssi79d.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. M6xB4wHT59zw3dig8/flgVSBpEAD4LqHU5WfOAjiQsolp+e/qGZ6yUiHtebiq3QLNT1lJYEq4zhJauW6N6XT8OsenYWkMrzPYIkkS/BPL5k71M0c1RLRks9CXS8aju6OHRLlp1hlnbE8m8hgb9dDoe5fxVBYsaQiz1ugfoArYMg=
453j96agr9b6geugmggqai126426psj3.navy.	3600	in	nsec3	1 1 0 73 49E1CKB9167GD23HSSFKJ1PHOQ6L0HPI NS DS RRSIG
453j96agr9b6geugmggqai126426psj3.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. oB2cu+19Sz2gM8r3jPC5FbGGGe9Jq0FPM5hbW/Fd2SAsQ3foWEovGiePNF9C3LfbF3FKFte/dALPppvRYjhcG6DAlndB3XHWjPCicSz5LI98iBHZaq/z36W5SkQ3/u0ISUBIE8ysSScrN+3Y8ljjMZGmFH/eNqJzUK8b5CPcjT8=
470.navy.	3600	in	ns	ns.inwx.de.
470.navy.	3600	in	ns	ns2.inwx.de.
470.navy.	3600	in	ns	ns3.inwx.eu.
470er.navy.	3600	in	ns	ns.inwx.de.
470er.navy.	3600	in	ns	ns2.inwx.de.
470er.navy.	3600	in	ns	ns3.inwx.eu.
49e1ckb9167gd23hssfkj1phoq6l0hpi.navy.	3600	in	nsec3	1 1 0 73 4S4SUCDQ4SRGBIRE3EFE6KMN6BJUGLAQ NS DS RRSIG
