06fvhrqu60vmmt1cjh6lfofi8e0uha2n.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. p4264vfgl129ZQNnYLbp9Rm1mrC2dcEbD+ibLHUtYDym/go3hJkvNuDDzW+G6tHxU9qfzXGapld0+O4H+P0+udbMiLE0TRSK47DFd3tGW1Fl2/xx1rvXzzItsBQYULqs6FINifQ0XcyjULz1Io3idVafu9A/AiIBm9+CGZ7Dy0Q=
06gi7f8r62oqkq70qcr2ko376ubrdgd5.software.	3600	in	nsec3	1 1 0 73 06Q3652MI6VQV6OISN4P4FNBNOEODIET NS DS RRSIG
06gi7f8r62oqkq70qcr2ko376ubrdgd5.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. YziNlFvbi3xqk27qNTH0uG3KtPsaVeiU2mY8rMJzKgiOvMhKBeaUKnvi9OJGxFjcY6vUZZ5ofMf1tMYNddCAM8zcw2t97Ulg9dibkUjiOK5X/0fNKNFYlX4SuYOyU04CtTk8n3vNDXzelqacSTR1MCCbHvQGNvf3yggxDLxz/i4=
06q3652mi6vqv6oisn4p4fnbnoeodiet.software.	3600	in	nsec3	1 1 0 73 08CDET76AENGAE4C1KQD6GA1BH91JCS1 NS DS RRSIG
06q3652mi6vqv6oisn4p4fnbnoeodiet.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. gU2f8TKW537Re3iph7jxrynHMAVLCu6mgDJ9aPyOb0+56iOSvL/4pi8A5V//s5CzbaJkKbKyh+HbuMCzDowfFj3znUFyKnrTE+UMJEpjgIQ6TG79QwWfjPuADiQit0BaJwMrDBHTu0YI1KOHT3grWKgrw02zfokNB0FeNYXKaTM=
0815.software.	3600	in	ns	ns51.domaincontrol.com.
0815.software.	3600	in	ns	ns52.domaincontrol.com.
085.software.	3600	in	ns	ina1.registrar.eu.
085.software.	3600	in	ns	ina2.registrar.eu.
085.software.	3600	in	ns	ina3.registrar.eu.
08cdet76aengae4c1kqd6ga1bh91jcs1.software.	3600	in	nsec3	1 1 0 73 0A4ERB11SUCVE1ALAH1J5F456EC7U79M NS DS RRSIG
08cdet76aengae4c1kqd6ga1bh91jcs1.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. Jssf+yzWw7DBrK1YbhhHEhTL1YOflfjBXm0N0uRWKnCkYBn5YQYn6vXCuW3v1nk23yyKOzaygiPPwCelfPApLIGrUpO/mV3BJ/bl3ormVZl43fMyrQlEfINBAx8g9G4dBd8OqJM63/c3GBFao1szrospqUhwBqDkkl9hxC0fqP4=
0a4erb11sucve1alah1j5f456ec7u79m.software.	3600	in	nsec3	1 1 0 73 0A84M6D98T5IH0T4U5QNPUQIDSIPS53H NS DS RRSIG
0a4erb11sucve1alah1j5f456ec7u79m.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. DC+uKoMZ4hRwoR2IszBpE/2KZbNBvozhTn1CA4XIWuzLkm5u3xbs/Z4GmS0Zz1sBm/BvcA/5Z6s72V7JpwKpVdtRDLVY5qntgStxtAmUATVDnnL93ZrYxY0ZqMUrzLaPoiPJEvyDgmbhCpBKjVt493Fd1/np10tgtwEoxn0bSYw=
0a84m6d98t5ih0t4u5qnpuqidsips53h.software.	3600	in	nsec3	1 1 0 73 0ALB4P4MB29OIIVHO0AEHSUPC8U4AP5C NS DS RRSIG
0a84m6d98t5ih0t4u5qnpuqidsips53h.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. kG2VUcjLPZN3JqiUwPTYuRXrFUONG7CIOWP5QaqleQcCLtrZ9bGMGyE6DfVNT3POtoMvldcOfeSp6ggHd2OrIf5ftimfVYy4zBDDAxRF2C2iLxdkna9HtNfIZEc0pbvQTfNKkBLbis+TWkhARHbmHLb4JJw/1aPqMxG2wkBAlYw=
0alb4p4mb29oiivho0aehsupc8u4ap5c.software.	3600	in	nsec3	1 1 0 73 0D9CEJC3TBA6J7A3VGDBPL78LHFQOTIV NS DS RRSIG
0alb4p4mb29oiivho0aehsupc8u4ap5c.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. fwYY6Ra03IGnoXOr9t3CmRFqklNDn5iF79vnYY+jxx/+XDiNUMSpQwE/0T7u3+VYeva8vjubL6SUe9FHo55s1yEVX2xAywyFolfoweKsf0w+g3zLQ9cqF9mS6wGlBLRHux4M7XL2yJv7pXb5UMDi5aifabX8PUeMtcrw0Hcs7f4=
0d9cejc3tba6j7a3vgdbpl78lhfqotiv.software.	3600	in	nsec3	1 1 0 73 0DB61SCCGUHVI0464S6D0BIV6SHTH6DU NS DS RRSIG
