direct.	3600	in	soa	v0n0.nic.direct. hostmaster.donuts.email. 1757638863 7200 900 1209600 3600
0vvb6re1q21m90fqoiiqsi9degv7u7jg.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. ekfdUzOu772kmasBFqYOZCzpYoe8MNuosHugKYdK3d3zE3zTGJDuSOu69iinEAwXbyZhhCllA9A7i/Y4X6MP+ZBK98SrvB1piCmzMIb9VdrqeLOQ/VfFt03RJwb0W1Tm2pBK/tyRZwVgEkVOU+YnNR57ipNCOzbwgapyfb43UeA=
1-2-7-8.direct.	3600	in	ns	ns31.infomaniak.com.
1-2-7-8.direct.	3600	in	ns	ns32.infomaniak.com.
100.direct.	3600	in	ns	ns1.sedoparking.com.
100.direct.	3600	in	ns	ns2.sedoparking.com.
100win.direct.	3600	in	ns	athena.ns.cloudflare.com.
100win.direct.	3600	in	ns	jose.ns.cloudflare.com.
1031.direct.	3600	in	ns	ns41.domaincontrol.com.
1031.direct.	3600	in	ns	ns42.domaincontrol.com.
10bet.direct.	3600	in	ns	ns1.takbetmarketing.com.
10bet.direct.	3600	in	ns	ns2.takbetmarketing.com.
10lineloto.direct.	3600	in	ns	ns51.domaincontrol.com.
10lineloto.direct.	3600	in	ns	ns52.domaincontrol.com.
10tkedkvcprh8n9rrkfn3v58mk1bknsc.direct.	3600	in	nsec3	1 1 0 73 120RU316NKHB7D0EUA9JP4K272P3O7RE NS DS RRSIG
10tkedkvcprh8n9rrkfn3v58mk1bknsc.direct.	3600	in	rrsig	NSEC3 8 2 3600 20250930153016 20250909143016 27873 direct. AsB71vqxD0GG8bBTvMAabvXJb2mG7omlbckhZD9ORLAWeDlkElwjMU0XF0MfLb9joWgMwdDTdZvXmmcXOMBztdQNWYyZUUQf4skRZRku1pYgZD6B4wwnRw9ku6WD3xomZwX1wqPjVZPwaEIAGB1x0lOU80/PAxtbIECZxsq4Zvc=
10x.direct.	3600	in	ns	deb.ns.cloudflare.com.
10x.direct.	3600	in	ns	stanley.ns.cloudflare.com.
111.direct.	3600	in	ns	dns1.registrar-servers.com.
111.direct.	3600	in	ns	dns2.registrar-servers.com.
1123win.direct.	3600	in	ns	alec.ns.cloudflare.com.
1123win.direct.	3600	in	ns	daisy.ns.cloudflare.com.
