016995.bid.	3600	in	ns	v1s2.xundns.com.
016996.bid.	3600	in	ns	v1s1.xundns.com.
016996.bid.	3600	in	ns	v1s2.xundns.com.
016997.bid.	3600	in	ns	v1s1.xundns.com.
016997.bid.	3600	in	ns	v1s2.xundns.com.
016999.bid.	3600	in	ns	v1s1.xundns.com.
016999.bid.	3600	in	ns	v1s2.xundns.com.
01748.bid.	3600	in	ns	vip7.alidns.com.
01748.bid.	3600	in	ns	vip8.alidns.com.
01754.bid.	3600	in	ns	ns1.dnsip.com.
01754.bid.	3600	in	ns	ns2.dnsip.com.
018165.bid.	3600	in	ns	n1.xundns.com.
018165.bid.	3600	in	ns	n2.xundns.com.
018411.bid.	3600	in	ns	n1.xundns.com.
018411.bid.	3600	in	ns	n2.xundns.com.
01852.bid.	3600	in	ns	ns1.dnsip.com.
01852.bid.	3600	in	ns	ns2.dnsip.com.
01853.bid.	3600	in	ns	ns1.dyna-ns.net.
01853.bid.	3600	in	ns	ns2.dyna-ns.net.
018561.bid.	3600	in	ns	ns1.1233dns.com.
018561.bid.	3600	in	ns	ns2.951dns.com.
01858.bid.	3600	in	ns	ns1.dyna-ns.net.
01858.bid.	3600	in	ns	ns2.dyna-ns.net.
0188.bid.	3600	in	ns	irena.ns.cloudflare.com.
0188.bid.	3600	in	ns	yisroel.ns.cloudflare.com.
019201.bid.	3600	in	ns	ns1.1233dns.com.
019201.bid.	3600	in	ns	ns2.951dns.com.
01927.bid.	3600	in	ns	pns51.cloudns.net.
01927.bid.	3600	in	ns	pns52.cloudns.net.
01927.bid.	3600	in	ns	pns53.cloudns.net.
01927.bid.	3600	in	ns	pns54.cloudns.net.
01971.bid.	3600	in	ns	ns1.dyna-ns.net.
01971.bid.	3600	in	ns	ns2.dyna-ns.net.
01993.bid.	3600	in	ns	n1.xundns.com.
01993.bid.	3600	in	ns	n2.xundns.com.
01dhd.bid.	3600	in	ns	n1.xundns.com.
01dhd.bid.	3600	in	ns	n2.xundns.com.
020.bid.	7200	in	ns	dns10.hichina.com.
020.bid.	7200	in	ns	dns9.hichina.com.
020400.bid.	3600	in	ns	n1.xundns.com.
020400.bid.	3600	in	ns	n2.xundns.com.
02100.bid.	3600	in	ns	ns1.1233dns.com.
02100.bid.	3600	in	ns	ns2.951dns.com.
021001.bid.	3600	in	ns	n1.xundns.com.
021001.bid.	3600	in	ns	n2.xundns.com.
021002.bid.	3600	in	ns	n1.xundns.com.
021002.bid.	3600	in	ns	n2.xundns.com.
021003.bid.	3600	in	ns	n1.xundns.com.
021003.bid.	3600	in	ns	n2.xundns.com.
021004.bid.	3600	in	ns	n1.xundns.com.
021004.bid.	3600	in	ns	n2.xundns.com.
021005.bid.	3600	in	ns	n1.xundns.com.
021005.bid.	3600	in	ns	n2.xundns.com.
021006.bid.	3600	in	ns	n1.xundns.com.
021006.bid.	3600	in	ns	n2.xundns.com.
021007.bid.	3600	in	ns	n1.xundns.com.
021007.bid.	3600	in	ns	n2.xundns.com.
021008.bid.	3600	in	ns	n1.xundns.com.
021008.bid.	3600	in	ns	n2.xundns.com.
021009.bid.	3600	in	ns	n1.xundns.com.
021009.bid.	3600	in	ns	n2.xundns.com.
021010.bid.	3600	in	ns	n1.xundns.com.
021010.bid.	3600	in	ns	n2.xundns.com.
021011.bid.	3600	in	ns	n1.xundns.com.
021011.bid.	3600	in	ns	n2.xundns.com.
021012.bid.	3600	in	ns	n1.xundns.com.
021012.bid.	3600	in	ns	n2.xundns.com.
021013.bid.	3600	in	ns	n1.xundns.com.
021013.bid.	3600	in	ns	n2.xundns.com.
021014.bid.	3600	in	ns	n1.xundns.com.
021014.bid.	3600	in	ns	n2.xundns.com.
021015.bid.	3600	in	ns	n1.xundns.com.
021015.bid.	3600	in	ns	n2.xundns.com.
021016.bid.	3600	in	ns	n1.xundns.com.
021016.bid.	3600	in	ns	n2.xundns.com.
021017.bid.	3600	in	ns	n1.xundns.com.
021017.bid.	3600	in	ns	n2.xundns.com.
021018.bid.	3600	in	ns	n1.xundns.com.
021018.bid.	3600	in	ns	n2.xundns.com.
021019.bid.	3600	in	ns	n1.xundns.com.
021019.bid.	3600	in	ns	n2.xundns.com.
021020.bid.	3600	in	ns	n1.xundns.com.
021020.bid.	3600	in	ns	n2.xundns.com.
021021.bid.	3600	in	ns	n1.xundns.com.
021021.bid.	3600	in	ns	n2.xundns.com.
021022.bid.	3600	in	ns	n1.xundns.com.
021022.bid.	3600	in	ns	n2.xundns.com.
021023.bid.	3600	in	ns	n1.xundns.com.
021023.bid.	3600	in	ns	n2.xundns.com.
02109.bid.	3600	in	ns	ns1.dns.com.
02109.bid.	3600	in	ns	ns2.dns.com.
02111.bid.	3600	in	ns	n1.xundns.com.
02111.bid.	3600	in	ns	n2.xundns.com.
021235.bid.	3600	in	ns	n1.xundns.com.
021235.bid.	3600	in	ns	n2.xundns.com.
021288.bid.	3600	in	ns	ns1.1233dns.com.
021288.bid.	3600	in	ns	ns2.951dns.com.
021593.bid.	3600	in	ns	ns1.dnsip.com.
021593.bid.	3600	in	ns	ns2.dnsip.com.
02186.bid.	3600	in	ns	n1.xundns.com.
02186.bid.	3600	in	ns	n2.xundns.com.
021922.bid.	3600	in	ns	ns1.dns.com.
021922.bid.	3600	in	ns	ns2.dns.com.
02196.bid.	3600	in	ns	ns1.dyna-ns.net.
02196.bid.	3600	in	ns	ns2.dyna-ns.net.
022.bid.	3600	in	ns	ns1-show.myhostadmin.net.
022.bid.	3600	in	ns	ns2-show.myhostadmin.net.
022273.bid.	3600	in	ns	n1.xundns.com.
022273.bid.	3600	in	ns	n2.xundns.com.
02230.bid.	3600	in	ns	dolly.ns.cloudflare.com.
02230.bid.	3600	in	ns	oswald.ns.cloudflare.com.
022344.bid.	3600	in	ns	n1.xundns.com.
022344.bid.	3600	in	ns	n2.xundns.com.
02244.bid.	3600	in	ns	ns1.dns.com.
02244.bid.	3600	in	ns	ns2.dns.com.
02249.bid.	3600	in	ns	vip7.alidns.com.
02249.bid.	3600	in	ns	vip8.alidns.com.
022587.bid.	3600	in	ns	ns1.dnsip.com.
022587.bid.	3600	in	ns	ns2.dnsip.com.
023.bid.	3600	in	ns	ns1-show.myhostadmin.net.
023.bid.	3600	in	ns	ns2-show.myhostadmin.net.
023106.bid.	3600	in	ns	ns1.1233dns.com.
023106.bid.	3600	in	ns	ns2.951dns.com.
023202.bid.	3600	in	ns	ns1.dyna-ns.net.
023202.bid.	3600	in	ns	ns2.dyna-ns.net.
02347.bid.	3600	in	ns	ns7.alidns.com.
02347.bid.	3600	in	ns	ns8.alidns.com.
02363.bid.	3600	in	ns	n1.xundns.com.
02363.bid.	3600	in	ns	n2.xundns.com.
02375.bid.	3600	in	ns	ns1.dnsip.com.
02375.bid.	3600	in	ns	ns2.dnsip.com.
024.bid.	3600	in	ns	ns1-show.myhostadmin.net.
024.bid.	3600	in	ns	ns2-show.myhostadmin.net.
02401.bid.	3600	in	ns	bill.ns.cloudflare.com.
02401.bid.	3600	in	ns	tricia.ns.cloudflare.com.
02402.bid.	3600	in	ns	bill.ns.cloudflare.com.
02402.bid.	3600	in	ns	tricia.ns.cloudflare.com.
024042.bid.	3600	in	ns	ns1.1233dns.com.
024042.bid.	3600	in	ns	ns2.951dns.com.
02411.bid.	3600	in	ns	bill.ns.cloudflare.com.
02411.bid.	3600	in	ns	tricia.ns.cloudflare.com.
02429.bid.	3600	in	ns	ns7.alidns.com.
02429.bid.	3600	in	ns	ns8.alidns.com.
02436.bid.	3600	in	ns	ns1.dns.com.
02436.bid.	3600	in	ns	ns2.dns.com.
024372.bid.	3600	in	ns	ns1.1233dns.com.
024372.bid.	3600	in	ns	ns2.951dns.com.
02491.bid.	3600	in	ns	ns1.dns.com.
02491.bid.	3600	in	ns	ns2.dns.com.
025.bid.	3600	in	ns	ns1-show.myhostadmin.net.
025.bid.	3600	in	ns	ns2-show.myhostadmin.net.
02501.bid.	3600	in	ns	n1.xundns.com.
02501.bid.	3600	in	ns	n2.xundns.com.
025016.bid.	3600	in	ns	n1.xundns.com.
025016.bid.	3600	in	ns	n2.xundns.com.
025017.bid.	3600	in	ns	n1.xundns.com.
025017.bid.	3600	in	ns	n2.xundns.com.
025019.bid.	3600	in	ns	n1.xundns.com.
025019.bid.	3600	in	ns	n2.xundns.com.
02502.bid.	3600	in	ns	n1.xundns.com.
02502.bid.	3600	in	ns	n2.xundns.com.
025020.bid.	3600	in	ns	n1.xundns.com.
025020.bid.	3600	in	ns	n2.xundns.com.
025021.bid.	3600	in	ns	n1.xundns.com.
025021.bid.	3600	in	ns	n2.xundns.com.
02503.bid.	3600	in	ns	n1.xundns.com.
02503.bid.	3600	in	ns	n2.xundns.com.
02504.bid.	3600	in	ns	n1.xundns.com.
02504.bid.	3600	in	ns	n2.xundns.com.
025113.bid.	3600	in	ns	ns1.1233dns.com.
025113.bid.	3600	in	ns	ns2.951dns.com.
02524.bid.	3600	in	ns	vip7.alidns.com.
02524.bid.	3600	in	ns	vip8.alidns.com.
02533.bid.	3600	in	ns	ns1.dyna-ns.net.
02533.bid.	3600	in	ns	ns2.dyna-ns.net.
02537.bid.	3600	in	ns	ns1.dnsip.com.
02537.bid.	3600	in	ns	ns2.dnsip.com.
025392.bid.	3600	in	ns	ns1.1233dns.com.
025392.bid.	3600	in	ns	ns2.951dns.com.
025467.bid.	3600	in	ns	ns1.dnsip.com.
025467.bid.	3600	in	ns	ns2.dnsip.com.
025661.bid.	3600	in	ns	ns1.1233dns.com.
025661.bid.	3600	in	ns	ns2.951dns.com.
02571.bid.	3600	in	ns	ns7.alidns.com.
02571.bid.	3600	in	ns	ns8.alidns.com.
025723.bid.	3600	in	ns	ns1.1233dns.com.
025723.bid.	3600	in	ns	ns2.951dns.com.
02589.bid.	3600	in	ns	ns7.alidns.com.
02589.bid.	3600	in	ns	ns8.alidns.com.
02608.bid.	3600	in	ns	ns1.dyna-ns.net.
