db.statebank.	3600	in	ds	7615 13 2 5E2E683A12070A66BCF4F7C5CB19028AA1FDB58394827B0618CD8CE0EAE01F6D
db.statebank.	3600	in	ns	a1-148.akam.net.
db.statebank.	3600	in	ns	a16-64.akam.net.
db.statebank.	3600	in	ns	a20-64.akam.net.
db.statebank.	3600	in	ns	a22-65.akam.net.
db.statebank.	3600	in	ns	a3-66.akam.net.
db.statebank.	3600	in	ns	a5-66.akam.net.
db.statebank.	3600	in	rrsig	DS 8 2 3600 20250916152406 20250826142406 1566 statebank. kCu8WzdUt/15x4oF9N6LClUz+fBjAFmUnW9CHcyEFTZcQs5bf4N7gvglIN266GRTu1ruQOyp9N1oBKwaqjqQ1Mwb3S72bOR5z6V+AHwebnL4v6V/sMguCBwuHfGTA8cdDQn7Pk3FwnMyafIz5Tn2bSWUG5k8//pSWfx4BTnE3jc=
de.statebank.	3600	in	ds	28846 13 2 C22058E70BE334B4C9650E0BE74632ECED8C44D4352248BBA9ADD0A61E2D5476
de.statebank.	3600	in	ns	a1-148.akam.net.
de.statebank.	3600	in	ns	a16-64.akam.net.
de.statebank.	3600	in	ns	a20-64.akam.net.
de.statebank.	3600	in	ns	a22-65.akam.net.
de.statebank.	3600	in	ns	a3-66.akam.net.
de.statebank.	3600	in	ns	a5-66.akam.net.
de.statebank.	3600	in	rrsig	DS 8 2 3600 20250916152406 20250826142406 1566 statebank. ZvsFE8vp+ZKq7z4/QIus4seW9N3dOxr8POF8uZ5pPyB5aoQ2MbcXnkHGQmSwaxBpekPMYvqdetLLLR3R1sGX5h0tnwrw1KtnvFS68BwpK31GgVVJmNZCgAb29jL8tDVR5uEjEP1j6t8TekU4LxKNorAegm7eaCA4N24zS9ozb2g=
dumtk6uc06lc50fuupt1p1ftb0g83qgu.statebank.	3600	in	nsec3	1 1 0 73 EUIP73R1KN8I5BS89A3JNND3KJBOEC0L NS DS RRSIG
