gqg9dg9eve263oda44ppkoa8dqlde4dr.microsoft.	3600	in	nsec3	1 1 0 - LD3O1U9DFSE7C00IQDON68S9E63ICMR7 NS DS RRSIG
gqg9dg9eve263oda44ppkoa8dqlde4dr.microsoft.	3600	in	rrsig	NSEC3 8 2 3600 20251103224111 20250929223747 26161 microsoft. N2P+F0ueWE13spCDUwXbRORvZcicYC31q1lnsn88zWVi/2Eapx5X35LYEPS8tAQu9CNu5p7llznmxwqRkyslnMusw5YyGSi9dWEmyJFKP8EOv0C1lyfg0dofeeTmg6tQZ0H0yHoEOxUqMU/+cEmMteT1Fx6BCOuvhLxukZvYHxTdbOBjic3OdNlObUC/2+ODYL6R3BLmG4xz/Gedb315pTTPecc19ytM3KiPQRpZWPiQDHm5MdRc12YRujqlmg6+3GL21NpC0PPwGADTCcaZ+zVo0l/XJ7IFkvsfQ2ohbcNDh1klQBFRNZz7zYjK7Rj33YY0wWS4k/IWt3WWtzngUg==
groove.microsoft.	172800	in	ns	ns1-01.azure-dns.com.
groove.microsoft.	172800	in	ns	ns2-01.azure-dns.net.
groove.microsoft.	172800	in	ns	ns3-01.azure-dns.org.
groove.microsoft.	172800	in	ns	ns4-01.azure-dns.info.
hackingstem.microsoft.	172800	in	ns	ns1-09.azure-dns.com.
hackingstem.microsoft.	172800	in	ns	ns2-09.azure-dns.net.
hackingstem.microsoft.	172800	in	ns	ns3-09.azure-dns.org.
hackingstem.microsoft.	172800	in	ns	ns4-09.azure-dns.info.
hololens.microsoft.	172800	in	ns	ns1-02.azure-dns.com.
hololens.microsoft.	172800	in	ns	ns2-02.azure-dns.net.
hololens.microsoft.	172800	in	ns	ns3-02.azure-dns.org.
hololens.microsoft.	172800	in	ns	ns4-02.azure-dns.info.
home.microsoft.	172800	in	ns	ns1-07.azure-dns.com.
home.microsoft.	172800	in	ns	ns2-07.azure-dns.net.
home.microsoft.	172800	in	ns	ns3-07.azure-dns.org.
home.microsoft.	172800	in	ns	ns4-07.azure-dns.info.
identity.microsoft.	172800	in	ns	ns1-37.azure-dns.com.
identity.microsoft.	172800	in	ns	ns2-37.azure-dns.net.
identity.microsoft.	172800	in	ns	ns3-37.azure-dns.org.
identity.microsoft.	172800	in	ns	ns4-37.azure-dns.info.
ieonline.microsoft.	172800	in	ns	ns1-01.azure-dns.com.
ieonline.microsoft.	172800	in	ns	ns2-01.azure-dns.net.
ieonline.microsoft.	172800	in	ns	ns3-01.azure-dns.org.
ieonline.microsoft.	172800	in	ns	ns4-01.azure-dns.info.
int.microsoft.	172800	in	ns	ns1-37.azure-dns.com.
int.microsoft.	172800	in	ns	ns2-37.azure-dns.net.
int.microsoft.	172800	in	ns	ns3-37.azure-dns.org.
int.microsoft.	172800	in	ns	ns4-37.azure-dns.info.
integrity.microsoft.	172800	in	ns	ns1-07.azure-dns.com.
integrity.microsoft.	172800	in	ns	ns2-07.azure-dns.net.
integrity.microsoft.	172800	in	ns	ns3-07.azure-dns.org.
integrity.microsoft.	172800	in	ns	ns4-07.azure-dns.info.
ipv6.microsoft.	172800	in	ns	ns1-07.azure-dns.com.
ipv6.microsoft.	172800	in	ns	ns2-07.azure-dns.net.
ipv6.microsoft.	172800	in	ns	ns3-07.azure-dns.org.
ipv6.microsoft.	172800	in	ns	ns4-07.azure-dns.info.
ld3o1u9dfse7c00iqdon68s9e63icmr7.microsoft.	3600	in	nsec3	1 1 0 - QD88TNEVFDSODLSPHFMOF1U8PPD8FL60 NS DS RRSIG
ld3o1u9dfse7c00iqdon68s9e63icmr7.microsoft.	3600	in	rrsig	NSEC3 8 2 3600 20251104205814 20250930205004 26161 microsoft. B91YeYqrkNVYK4jlJ4m1VgHT1tJD6l6OwBWI88Gg6VhIZQU9PoKEvum09viCWt/0kxoqqoqgEqnq5iLX1ji4fQxmCK28WqUYurbyzg6qNip8M5mtoIIR2jgi1VRHUcveuoCZ4s7FgElGNcAhAlMNPJTu4KLX0Q2Nd9kqLxvLJeKOMbEhgr2JRiRITftg9wpccLpY8Dw4X02ALqCvmyoLZQNwScDnaSrgiIMOnqFjYHcbrqEdoVZEpMEE95KZXZj4z959sHlY4thYQ+3LxF1bxnue3ONJ5HsJRd1rDpgbFUI0wNk3LubYvdBL3aRuB5G8psYiOTNCWeoFFdGxmwyd0w==
login.microsoft.	172800	in	ns	ns1-03.azure-dns.com.
login.microsoft.	172800	in	ns	ns2-03.azure-dns.net.
login.microsoft.	172800	in	ns	ns3-03.azure-dns.org.
login.microsoft.	172800	in	ns	ns4-03.azure-dns.info.
lumia.microsoft.	172800	in	ns	ns1-09.azure-dns.com.
lumia.microsoft.	172800	in	ns	ns2-09.azure-dns.net.
lumia.microsoft.	172800	in	ns	ns3-09.azure-dns.org.
lumia.microsoft.	172800	in	ns	ns4-09.azure-dns.info.
m365.microsoft.	172800	in	ns	ns1-08.azure-dns.com.
m365.microsoft.	172800	in	ns	ns2-08.azure-dns.net.
m365.microsoft.	172800	in	ns	ns3-08.azure-dns.org.
m365.microsoft.	172800	in	ns	ns4-08.azure-dns.info.
mail.microsoft.	172800	in	ns	ns1-36.azure-dns.com.
mail.microsoft.	172800	in	ns	ns2-36.azure-dns.net.
mail.microsoft.	172800	in	ns	ns3-36.azure-dns.org.
mail.microsoft.	172800	in	ns	ns4-36.azure-dns.info.
manufacturing.microsoft.	172800	in	ns	ns1-06.azure-dns.com.
manufacturing.microsoft.	172800	in	ns	ns2-06.azure-dns.net.
manufacturing.microsoft.	172800	in	ns	ns3-06.azure-dns.org.
manufacturing.microsoft.	172800	in	ns	ns4-06.azure-dns.info.
microsoft.	0	in	nsec3param	1 0 0 -
microsoft.	0	in	rrsig	NSEC3PARAM 8 1 0 20251103053015 20250929051913 26161 microsoft. cN/DAMP2Uht+3sFqw+3Nq6Ob6pZfQP3QD/ZOMuRgvcNQopXVXpkZZdLAsnFoaA5qDVnarFUW5rvw//AN46f+YIqXZ7gvx8z2aPCXyeWRqemlA0on+C4z04eyPFUj6odZqDe+kwWUpOXkz7Ab4aoH95kvj3QIJLy2DqDSxrNaUJc8Zvahji/AI616wAR3lFuqDjPPJ8OYICcRQMiW/2ZnMPk1hU3hWoPHkvrXtqRlIl7nymVvQ9uMH9A3GdaU4s40paZxHx+Mu5f9IbzOaX2HeSxDDPuWeowKH/h6w5f8ZSiKWPeVRy88ScAvBXoNg3wgOYDnDrgHmF1MfiXpIH2hww==
microsoft.	0	in	rrsig	TYPE65534 8 1 0 20251103053015 20250929051913 26161 microsoft. l1NQ/cyl1AjY2L8CYv4rSJ223b5LtjwCHbaXIVLZzSbEJjKQ+GXIL4QKPDuPgjgTdObiGCPi556iipuBNfjGBm6BsD2VIvs6RbbK943Sp5q82KnXyMzBLw+3Wfmu6whUhVLYqlU+Hb1rBJ6yumidU+2FPbMci49UB8SbcQZsZ2EmLymKKHlpGTe8muu1nHbDbMDtZDooTDIJUTHd/fyHgMbllFhgLgOoqHY5UGZ/7pEVpEnjZQGVDQEquprlNnLPVnPGaCRSawmNUjqKum5kWoPWqoXGexBt2YtnF2hsJx4djM+R2NQSyjlcX1dNEOD9IHLiAf2+M8ikd0jeRcbtvg==
microsoft.	0	in	type65534	\# 5 0866310001
microsoft.	0	in	type65534	\# 5 08D6E40001
microsoft.	172800	in	rrsig	SOA 8 1 172800 20251105173933 20251001163933 26161 microsoft. Qe0zo9Y6HYv6VJq5HetTsOBC1aZ4cpZcn98ufvy0/pucyq9WvaWZIMSBlR2c6DQFTRMMS9bl8QETq9tb60ciMbqqyVu2HRfUjdSRjRtVvX4X7GW2tJSZOew870ViS2gnFuBJO6daPm1769oJRoQafvuXwACjykUc8q9RgBRuCSGL8FPCJhIZz6hazujlUauQlubZHL5oOzqwmhr8uRVlCu8I4ZVjuy9+KqbQd8Ks9v/h8NcRP2g2nKoVxWVg261dM/d2DM25+KA9byP+4CrjQlDKe0sW1o7ZwNUDTap5ZSzS5bncIaU4EQrwoSBKdi6q+QI615keLhmU2c8i8P2tTQ==
microsoft.	3600	in	ns	dns1.nic.microsoft.
microsoft.	3600	in	ns	dns2.nic.microsoft.
microsoft.	3600	in	ns	dns3.nic.microsoft.
microsoft.	3600	in	ns	dns4.nic.microsoft.
microsoft.	3600	in	ns	dnsa.nic.microsoft.
microsoft.	3600	in	ns	dnsb.nic.microsoft.
microsoft.	3600	in	ns	dnsc.nic.microsoft.
microsoft.	3600	in	ns	dnsd.nic.microsoft.
microsoft.	3600	in	rrsig	NS 8 1 3600 20251105101213 20251001091946 26161 microsoft. cHU2nyddze/AnembEPED0PtARbntqR/KNC/WQVgy8zxG0uyoAdareA5R6hhpMkYf9utDvd12M4DxZH9Ez5jnWxMESQGEx67KfhiZmxD3LEPaVdCGIKSq27aEvp1TvrIbMbIyW+2Lwll/Gk2kKslw2c+s5RMgaU/gbnJi/boZWcxKo6uC2yVSIuIc2QVoQmBQEIS7NT9D9+Pi7XgElTaCuouZNN3fyyM5VtDKBlq2o/OvrOxv/uzoMOZBg+ZlfgYyFRjU3QEW+zaMxwSbYZ9trF23KSjazX4t36F59uQ+XB2PaLek2OLY3Q5Nfs6orD6tnTlmpGkBbHA8+D7ctG5VIA==
microsoft.	7200	in	dnskey	256 3 8 AwEAAavSdZQ+fp9O0dXjr+Cgbq0kTkJtbdXW4txKy8LpcAlnM6bDKAyqJe/xgTe8kkjtaj+Z3co63iBn3JhKRAmNQSeF017GPLS6fNOuMZopxsZGQBvQ27BRCSCfbgfFNJIdLoq9o8M/XFuC0ognnZPmytWdzu2ec0+0osEUReTQC1cWuobKbX5FqNLwXiYZFykzh/qLfvrlZSWngTjOtdsLEkah+3E99kd2vst68gWj4YG+iKm87TGF0J6cMQ7ldQauI5by5cZX0JSoL2Qg0HU8tdJNoBtrMMnBwjZ8o9yoxiff8ZNBTAn9SWnJOrS/gdvvG53bsaI9B3lo4Vu0MBhtY2U=
microsoft.	7200	in	dnskey	256 3 8 AwEAAcKk5YEqUh6Y+sltZDLpe6KKPaFXeTOrhIaGVzYM3PtukwQxJIFxXw8V66h9k28IwM8nmGSkFP35Xn5VQ384TzZhbRVcCAQOorJwkFJ7O3P81v4B+Pjm/U3y+zGVHWSWNxtUauQwUUFgAs+zBsjjV4/d8VBDEWpE0pAoHcHOFwf1v+gO6Ludpa3QbkRW4hECQ9vLO155XW0vkPNQ+P1b29s=
microsoft.	7200	in	dnskey	257 3 8 AQPCRpAwzJgHqkcpPPBmkaVi9t+4cLGqgBJ0DfqZE4JHMPipELtIyo7+xENHfgOtOeWwsM0Oxll10deTViee1wrT/6KDzgrYrf0m6F4A8xxfFsXrTja2xzFpo0NJZTIzDXHFoWPjIKHt9B6AXm2DgrV1YTCrNvFX/88D3bSTAKiQoSxEVyJ1/FhmvON7Mv+DatSoEnKNDS6YeQrLrFVZygEdZqmsQHxmDRACftAIpnvc+zQDeoQ+I95iBVaQJj9XoiFKQuMmdIza0AP5y/OelJtnRLmJ1uwbC8lA9maRsR08wFl3sReDHzpmOF+dYb64g3HQokS/ZkHg6phTgYsDX8Ej
