0day.exchange.	3600	in	ns	dns2.registrar-servers.com.
0dlngsh91qjok6kcdjj91t8lkgb8auok.exchange.	3600	in	nsec3	1 1 0 73 0E40ECT9AVK2O2MOGCGHFLOK8FPNKNOS NS DS RRSIG
0dlngsh91qjok6kcdjj91t8lkgb8auok.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. sY/iXxxhD74Z+4be5gTLzXE2dme2eHpqC1qk4Y7N4pAhN11ZYrSdnnp4QCdvXqswrCSEr9StEgFekXo5SMoQwzpZ+KNGnZ9EQkqvYR3h5jSXUWxV1bN+S7PKcSTuwdS/EMic9eeAx51hrpyWumri8JVQtykA2yzCvTztym0f08g=
0dte.exchange.	3600	in	ns	ns1.hover.com.
0dte.exchange.	3600	in	ns	ns2.hover.com.
0e40ect9avk2o2mogcghflok8fpnknos.exchange.	3600	in	nsec3	1 1 0 73 0F6M1RJS6SGGVD8NG4QOSK64D0FC5RF3 NS DS RRSIG
0e40ect9avk2o2mogcghflok8fpnknos.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. rGG2kR7TZ5MeLDUUfm2lG6iEAZ/EtRjaTKwUNwJfWkQM83zcc3UKWcKJhlZtKd/JI4aKFClF9Twh9PwEudX+aIWYbrbnbQLBC91+IheNHYFKM9ZRPEe/lTbgKlyY5V3bfHvZyyaewVxLf/eiBsI5niOvmG+tNQhrPswEOn/nKxw=
0f6m1rjs6sggvd8ng4qosk64d0fc5rf3.exchange.	3600	in	nsec3	1 1 0 73 0HLVJS70V4PQBSURKNFTO7RUD8FE9K7M NS DS RRSIG
0f6m1rjs6sggvd8ng4qosk64d0fc5rf3.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. hDH1Ewci5w8x5p4EpmKw3OMYYwQ0J1cgjVp2eSsRZYy6/xh/7VGurCuUPCS/4zgRrY4tqZnjtG9plwONA/W8ytvwaHdKCfVD+zw8OOFhqRnDHGbGBFwKdilmRipJnF974IknrlqENwPBooLQ/go0fyi0H9IcrOoV5g6YosHR9pc=
0hlvjs70v4pqbsurknfto7rud8fe9k7m.exchange.	3600	in	nsec3	1 1 0 73 0I3QKPRE3FC68BN727K88KUU43EL6O3B NS DS RRSIG
0hlvjs70v4pqbsurknfto7rud8fe9k7m.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. RiD7Y2hPDG11upb0JV/6crAru22S1BGtV6QY1k4ZODDAc4pykpJ/QWLJgD16q0n0pVEq+XKBhMtYmWVEgl617enzagOE2b3ximEEV8hIUI8EVidcLFaNKU3SEkbM+Xheg0GvbhUcio3anLME8GmKz9d/KeCYtIaW4d2WUiLg9Gs=
0hte.exchange.	3600	in	ns	ns1.hover.com.
0hte.exchange.	3600	in	ns	ns2.hover.com.
0i3qkpre3fc68bn727k88kuu43el6o3b.exchange.	3600	in	nsec3	1 1 0 73 0IAMIFI9P0QM3376CPROJD2DE48MEUGH NS DS RRSIG
0i3qkpre3fc68bn727k88kuu43el6o3b.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. RZdlBBSkytChC6T+ogm/9A0d0n0RXaIQCaJnWSaCljwzrwndCjw2VrbJFhrww9bk9J/P881/jvKsgRJ7lyEY+ly5vZmgZRa98Y2ePEo7Wy2uLsn0zuInBO5IDfJUM6Tqv9dySkeJfZRzNrgM2nZXhynebx0xvnDKEX+O4gArGA0=
0iamifi9p0qm3376cprojd2de48meugh.exchange.	3600	in	nsec3	1 1 0 73 0IN97SN41JJ7POVDIL5TEU2VFS4VB9A6 NS DS RRSIG
0iamifi9p0qm3376cprojd2de48meugh.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. HEZ7PKSEXEdIKi9BWrseBN3FjVRZ7vGNKXfeJSCBrUKOuoCp5FgjPJljnJLG74KuPLonavJhR3VIV2nljBfTH0h/TRf2qqDHTBxb5B4krjS6j8oF7Hfnuu9ZyYbuaJZ5jCaAkJ56/4Ay/Ldoo1PWKcvgsM2qzkY4MW7z3qIEKgw=
0in97sn41jj7povdil5teu2vfs4vb9a6.exchange.	3600	in	nsec3	1 1 0 73 0JRG05KCO2F4TFEEUM4FMEPJNK4BEV09 NS DS RRSIG
0in97sn41jj7povdil5teu2vfs4vb9a6.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. d1BCJ4PNaao6mDnAQNlWFCuGbMMQkGiSHTnlpdGu9TUPjqp7kpWBJiC3kVwNamkfUZtDNHWrze9tt51dH84KDDALUoieO/hagajwznAJmudWYm4MoK1La6jyz51rbH2HmNpeL57CuuzPSlA7UpDxO3mc25J75oZXi6YMioAUN2E=
0jrg05kco2f4tfeeum4fmepjnk4bev09.exchange.	3600	in	nsec3	1 1 0 73 0LQ04AVUG73H9F83MCE2251GV6UBIECU NS DS RRSIG
0jrg05kco2f4tfeeum4fmepjnk4bev09.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. ZoI+8HwTuAZmknL9Ra1ahWrpu4SBDj6FXikohunrTY8UXYFSQGibFsyeHN1hOlz3y8QwiozhPXMC1l8cTxw8NYTGGlEwjLCpkWea8cJ04MmAzC8GqideCY/bwN12Av8dS49s73/5btvLdhhQhAp6v9eyIjbfXnmv9QF8vknCJP0=
0lq04avug73h9f83mce2251gv6ubiecu.exchange.	3600	in	nsec3	1 1 0 73 0M8OE4B0P623ULSNVLH8VA9SQ7AQ08HG NS DS RRSIG
0lq04avug73h9f83mce2251gv6ubiecu.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. DYChtnmiszB4+Gz/2TS84LPYPMJ5C4yUTnWXkJY261M7U4Rub+qGbGBkecEqblaTnZiXESlppsEBj6wywnBrwvXhn1z2JEYHWctxK1WpNxQeRWe35F/amh8CeU1njWpezYYZTtbaOAbY+4mkLCe8vjcdWF4x4uR8DvgR7oznm8w=
0m8oe4b0p623ulsnvlh8va9sq7aq08hg.exchange.	3600	in	nsec3	1 1 0 73 0MPQQ3M3O2V42LHG07044R3TDLCGLPTT NS DS RRSIG
0m8oe4b0p623ulsnvlh8va9sq7aq08hg.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. GLb6stxKlCixVO6NYtU4GkPzTMTmbvdv7aHAz3G6rVO/gAIsHkOf0ML3muRo3Wk4/vEGb6TZKpT0E2HC6VTpNckqHXP6vebwCdJUfGUgs85vUDx/zamAqzPtjPLAHAWs1/mGbhXyPIV3mX+RX+MHPSXESDOa+XR8y7i8TisS35c=
0mpqq3m3o2v42lhg07044r3tdlcglptt.exchange.	3600	in	nsec3	1 1 0 73 0O69F11O5ADN4NPFQFS93CB64LGRNBLO NS DS RRSIG
0mpqq3m3o2v42lhg07044r3tdlcglptt.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. cCn9gqh1VIIQqrf/+LTTmDbdaLHNCctC1VvCYkmtCXGY2WOjXFyg5AoLo9Y1y5tKkDJYpmP5cTK+f6P/aVoON4anXbi1SbawNI8fLZVScnLLpFfkv3WwBgc7P3RJ/4KrhrTYPsJPghvQaN2F+340Frt9i/jwvb8utp+7KL61Fa4=
0o69f11o5adn4npfqfs93cb64lgrnblo.exchange.	3600	in	nsec3	1 1 0 73 0OALOBT13JU2BPNLFUI0DGAE9MS3NB0B NS DS RRSIG
0o69f11o5adn4npfqfs93cb64lgrnblo.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. czeVbG5d7x0YZ2hXL/9xicp3sK8mD59QbBf2butL/49jfybUXuLgpmaiBm4ZY92XLYDgREjAhO7CN1dtORF/FBohvZ2YOEYddDsaaTy+OP/ZZ+VbyDRYIoecwawruyqoyBntzu1RHfU7xLlQCJ84iz/C84iJTLLpMvUbENOFGBM=
0oalobt13ju2bpnlfui0dgae9ms3nb0b.exchange.	3600	in	nsec3	1 1 0 73 0OH2E5JNLJATTE5D6R8A7C49L5JJVQEL NS DS RRSIG
0oalobt13ju2bpnlfui0dgae9ms3nb0b.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. jcEqe5jDWBwod6qVjpnV1fgPgrNLUjkYyymEdUhRWU7C55TJAE6OtmlUDAKxB9Fz6+G/WbZf2NqqqUWS4SLJ/9ijjfR6Z7CdAxF4Oz6RYcM5QOsmg59XzZAeeZT7B/fXycFz2FAWHcj3Wf/HO0jW9GUxEPMTFkPg2ImEUvGJ1dw=
0oh2e5jnljatte5d6r8a7c49l5jjvqel.exchange.	3600	in	nsec3	1 1 0 73 0QQAQ8LC867MIPDDC40EUO815Q23JOQN NS DS RRSIG
0oh2e5jnljatte5d6r8a7c49l5jjvqel.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. YMQS8W/xY4TBFZo02SrOQ5VswlN+7PLzY9VGF8/bmKfvw6crMyQr5gTsvf5ISJ62YebPgOkSIDy8GhgT52DBJZ/S2EevPEt8yZlikT3OLfJfNHsk6nxSQIhL1MV5mVOtH6lwdqfMC9Ime/LQ8l+1hmYWN8jPA67L8E3A/VHXIFw=
0qqaq8lc867mipddc40euo815q23joqn.exchange.	3600	in	nsec3	1 1 0 73 0SAP44H4IOH8MUTK75P19AD0RECOLHQD NS DS RRSIG
0qqaq8lc867mipddc40euo815q23joqn.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. pTgRVVECbtF5GHx2ZDhM3J/fRd3D6qW/t4wX60uxunH1N7DWplxKD2WD1bR0cyUgR22PcZ4RwMbHSaAx6CcG/DCf9paAEbGCYR5CJQ28ESBB8FgYlRTry//mymO+A56S1XOw5SSDaqmEJvRPYzjyQvi8CsRYKvZJD9CDlcC2I1M=
0sap44h4ioh8mutk75p19ad0recolhqd.exchange.	3600	in	nsec3	1 1 0 73 0TCBJFMJ4K21R3POBUTSNVN5VN93N5I2 NS DS RRSIG
0sap44h4ioh8mutk75p19ad0recolhqd.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. gDh1fjW6HJKzakXN9binouz9kkHcazA5WE29ufpMqxSvysDyW5iokrtdtY9+Ya5lLPb4LTxFmTv0lUe7gTrJd6sLhFOvaN9XMDF4hjGyDlZsQ2sHoo7N86Lv8qXthvymjS6vxASS74coQyOONUTSC/Flmvo7G1D2dz+WAOqGWdc=
0tcbjfmj4k21r3pobutsnvn5vn93n5i2.exchange.	3600	in	nsec3	1 1 0 73 10B2M9O9JJ6OHR3LEI478IRS4U8KI3NK NS DS RRSIG
0tcbjfmj4k21r3pobutsnvn5vn93n5i2.exchange.	3600	in	rrsig	NSEC3 8 2 3600 20250930152109 20250909142109 26811 exchange. JN9Sf3KfOnvdIGhI2Hdb/nKBIu/JIuRuU5YK1LeB3vbkLrVgYzs4HrMtwNrQeCUCdABP7bhZO45sE63x2pznnF5JK4j19v6Oz8ANWAvTF5poXgKOCsFofuJEp5yE59Rn7WaJ6nJXvo4/MY+ph/jwi1Mw4gcbfoe547umcGeKCkM=
0x.exchange.	3600	in	ns	ns-cloud-c1.googledomains.com.
0x.exchange.	3600	in	ns	ns-cloud-c2.googledomains.com.
0x.exchange.	3600	in	ns	ns-cloud-c3.googledomains.com.
0x.exchange.	3600	in	ns	ns-cloud-c4.googledomains.com.
0x0.exchange.	3600	in	ns	dns2029a.trouble-free.net.
0x0.exchange.	3600	in	ns	dns2029b.trouble-free.net.
0x0rewards.exchange.	3600	in	ns	aspen.ns.cloudflare.com.
0x0rewards.exchange.	3600	in	ns	dan.ns.cloudflare.com.
0xrune.exchange.	3600	in	ns	dns1.p05.nsone.net.
0xrune.exchange.	3600	in	ns	dns2.p05.nsone.net.
0xrune.exchange.	3600	in	ns	dns3.p05.nsone.net.
0xrune.exchange.	3600	in	ns	dns4.p05.nsone.net.
0xrune.exchange.	3600	in	ns	ns01.squarespacedns.com.
0xrune.exchange.	3600	in	ns	ns02.squarespacedns.com.
0xrune.exchange.	3600	in	ns	ns03.squarespacedns.com.
0xrune.exchange.	3600	in	ns	ns04.squarespacedns.com.
0xrunes.exchange.	3600	in	ns	dns1.p03.nsone.net.
0xrunes.exchange.	3600	in	ns	dns2.p03.nsone.net.
0xrunes.exchange.	3600	in	ns	dns3.p03.nsone.net.
0xrunes.exchange.	3600	in	ns	dns4.p03.nsone.net.
0xrunes.exchange.	3600	in	ns	ns01.squarespacedns.com.
0xrunes.exchange.	3600	in	ns	ns02.squarespacedns.com.
0xrunes.exchange.	3600	in	ns	ns03.squarespacedns.com.
0xrunes.exchange.	3600	in	ns	ns04.squarespacedns.com.
1.exchange.	3600	in	ns	ns1.premiumdomains.cloud.
1.exchange.	3600	in	ns	ns2.premiumdomains.cloud.
10.exchange.	3600	in	ns	dns1.registrar-servers.com.
10.exchange.	3600	in	ns	dns2.registrar-servers.com.
100.exchange.	3600	in	ns	ns-canada.topdns.com.
100.exchange.	3600	in	ns	ns-uk.topdns.com.
100.exchange.	3600	in	ns	ns-usa.topdns.com.
100ex.exchange.	3600	in	ns	ns55.domaincontrol.com.
100ex.exchange.	3600	in	ns	ns56.domaincontrol.com.
100s.exchange.	3600	in	ds	61459 8 2 A158CBCD80A6571356A8538E2D37B8F4257259DBC43EC8BF8A22BB120B53EB33
100s.exchange.	3600	in	ns	ns-cloud-d1.googledomains.com.
100s.exchange.	3600	in	ns	ns-cloud-d2.googledomains.com.
100s.exchange.	3600	in	ns	ns-cloud-d3.googledomains.com.
100s.exchange.	3600	in	ns	ns-cloud-d4.googledomains.com.
100s.exchange.	3600	in	rrsig	DS 8 2 3600 20250930152109 20250909142109 26811 exchange. Yi6e8S/VXBna3S3hlDosJXZWCxam2THkXfBGxNs3XNQPrsm3nx2keg3gl9TcMOtOgPz3XlS9O10tRJCoDoTOKWGL02IFy2Nes7t0A1qFBcfvxpTl1jROMiGmR4UME+CtszGvVRFwuCgtsh5RubewI9/kB4BAHVLOpyjVq2ARvvI=
100x.exchange.	3600	in	ns	ns1.afternic.com.
100x.exchange.	3600	in	ns	ns2.afternic.com.
101.exchange.	3600	in	ns	ns1.torch.design.
101.exchange.	3600	in	ns	ns2.torch.design.
1031.exchange.	3600	in	ns	curitiba.ns.porkbun.com.
1031.exchange.	3600	in	ns	fortaleza.ns.porkbun.com.
1031.exchange.	3600	in	ns	maceio.ns.porkbun.com.
1031.exchange.	3600	in	ns	salvador.ns.porkbun.com.
1031exchangeflorida.exchange.	3600	in	ns	ns03.domaincontrol.com.
1031exchangeflorida.exchange.	3600	in	ns	ns04.domaincontrol.com.
1031florida.exchange.	3600	in	ns	ns21.domaincontrol.com.
1031florida.exchange.	3600	in	ns	ns22.domaincontrol.com.
1031il.exchange.	3600	in	ns	ns59.domaincontrol.com.
1031il.exchange.	3600	in	ns	ns60.domaincontrol.com.
1031ivy.exchange.	3600	in	ns	amber.ns.cloudflare.com.
1031ivy.exchange.	3600	in	ns	harvey.ns.cloudflare.com.
1031mi.exchange.	3600	in	ns	ns59.domaincontrol.com.
1031mi.exchange.	3600	in	ns	ns60.domaincontrol.com.
1031minnesota.exchange.	3600	in	ns	ns65.domaincontrol.com.
1031minnesota.exchange.	3600	in	ns	ns66.domaincontrol.com.
1031mn.exchange.	3600	in	ns	ns31.domaincontrol.com.
1031mn.exchange.	3600	in	ns	ns32.domaincontrol.com.
1031realestate.exchange.	3600	in	ns	ns41.domaincontrol.com.
1031realestate.exchange.	3600	in	ns	ns42.domaincontrol.com.
1031wi.exchange.	3600	in	ns	ns31.domaincontrol.com.
1031wi.exchange.	3600	in	ns	ns32.domaincontrol.com.
1031wisconsin.exchange.	3600	in	ns	ns65.domaincontrol.com.
1031wisconsin.exchange.	3600	in	ns	ns66.domaincontrol.com.
