barclays.	3600	in	dnskey	256 3 8 AwEAAc+vmN+BDjuJCwL55dAp4kkVShfVNHwdMRWckD9I9QvBV4EN8OLqcDZF3IIbhJKGHwafK9YCnJCSTak6tOU5EdbnXELT5/GBjlX9llm34x4oRXpZO1+x0bq7a6xv+ysE/fKae81tKchzNgy5PWt1Zw3n7ufzInhqdAzGAsYfot01
barclays.	3600	in	dnskey	256 3 8 AwEAAdKlG1Vtblpso9GkIZznQLRk604eDS3ah/erFnw6wa1C9ARyYmsfOj/0Y3M1xxlZ33nAze2gHu6fbGxEcNKSbAyxm8rb88eUPqi6GcPBtoDfQ7X7IHpUGo5YtzJouwYSttawhIFKit6zSi0jdFuhBIr+hyX7LU5BUxLYAdwT8Pah
barclays.	3600	in	dnskey	257 3 8 AwEAAa42VqneesHXB2dUl3AKJqbF0zkK3n4uSbpFM80lL238oGeJdOBfYVev4vT3/D9zuTzDsdwwn2/ee9JWgQbeJfFJKJCP6ZjLqUOZmxIVRJTp01B6s05E8ChKqx6WDRe05FzBfov7paceiA7d02Jw8Ne5KLdWfScztHUNx0zb4oru5TFtuYGwtvnhfV8B5qUBjZrVj573OgixAVv/ZoNFcIPMoCMyHQh9dfmxZjTRC1kMAlDZTJx9afnva/OnaqfZ/bCpxKHx+zHe1D+RXauSod7+TWNbNEIe+jB6xyq3+6xFLr9GFIqfMHJtBdzLq5zifngEL3KLCj05kZhQGm9nr1U=
barclays.	3600	in	ns	a0.nic.barclays.
barclays.	3600	in	ns	a2.nic.barclays.
barclays.	3600	in	ns	b0.nic.barclays.
barclays.	3600	in	ns	c0.nic.barclays.
barclays.	3600	in	nsec3param	1 0 0 73
barclays.	3600	in	rrsig	DNSKEY 8 1 3600 20250916152927 20250826142927 52234 barclays. no50pPzjeqzk9KpIY/bNZJdgtZVKtZnBslM+8oqonVrJ6KRGzWydd4SEKd+/fF4NaW0DHIwtt0QoxQvnig98qfsTGAP6LXl3f5MjJjS8eumoqZOGifSHzGOO9drDo7ww8LL12BQybPQgWIUBMHk0sKAfkC9BMjo71+GCViBbGKNjdLwd2toK7z6FU8BY7gHgFDO7Uw9uHwIR+Y+YwPbEiOGsQOP5vzE0V+8gzTyNVz7ZUlhblYKr/bp7xKBj8yKVRye43TiQg6bnqKukGoVgI2V9WzEdXjIy9MUHdTwn51fwmSZc03m6P1zd2FCBb7igJn/PnHFWRxr6iVUEWeS1jA==
barclays.	3600	in	rrsig	NS 8 1 3600 20250916152927 20250826142927 35448 barclays. DWLnVen+ZMplVefviU16VtPsM1913dp388aqksQSSgCVcM4be4bqqxs30io9gjMMFl23ZDy0LBmFH6tHEHymNhPrY7nm36pZS+P0JCvbpXxnscSCEBddAQYT83Jg7CeD72Sw3Hc6FGibtWuETiSxgEAEV7KPHmFDuNYEm5iH03o=
barclays.	3600	in	rrsig	NSEC3PARAM 8 1 3600 20250916152927 20250826142927 35448 barclays. zJ+Mv5FDystLi7MkROmQmCoi1rH4GxrXkOwHwwg/quVbrV7LALvRLFNE4kO0ybMqZ63YAOJcUrQ6ZoG90cp2rg0UuTgp4VMup6+PKPbn1PWLVHzOV/oFc4d3WuLTYNTL+0hU3ll7lvw54DLhUab92lfAk4qh6zfkTlVKzlijhXQ=
barclays.	3600	in	rrsig	SOA 8 1 3600 20250917010333 20250827000333 35448 barclays. O7NOLIEmsW0GDKV1TYB35LYQtae7ukbBygQySEX51LVG2bhqOL/l3XYGGfW4Bb8tnX/Dfyrw8AXxxy/v+wlkLU2ZpAzpjLF6DJ7ZbYZ2v4DIOhhdTfe56hGUjGfY+caN5D5BKDGtnWKY3IjxH4KrTcbXqDaWk074xR26bkfrcpI=
barclays02pc.barclays.	3600	in	ns	dns1.cscdns.net.
barclays02pc.barclays.	3600	in	ns	dns2.cscdns.net.
bc3m99j4qj9b1nsuh7atmm8agd27s3bh.barclays.	3600	in	nsec3	1 1 0 73 BQ7VIT3DOT6602O8MP6QKK2P3P70G24H NS DS RRSIG
bc3m99j4qj9b1nsuh7atmm8agd27s3bh.barclays.	3600	in	rrsig	NSEC3 8 2 3600 20250916152927 20250826142927 35448 barclays. uP52L6XWv8Dr27enQOewKNFr8R1f9BSZzoaMoaM36cf6d+pYHyUyKbcyl3ltfUO6uW/rXDm2yP0B1aJ1FV0/KVCY2jTE1Iz6X2TBp/CFRWrVzMfVVInUwAvHL5w0PK7IFKN7eyCT0xyOte7Q3+Z+lZC/ymwe1jndET8YGTz7gwk=
bmap-cat.barclays.	3600	in	ns	ns21.barclays.com.
bmap-cat.barclays.	3600	in	ns	ns22.barclays.com.
bmap-cat.barclays.	3600	in	ns	ns23.barclays.com.
bmap-cat.barclays.	3600	in	ns	ns24.barclays.com.
bmap.barclays.	3600	in	ds	35958 13 2 D7E63C8B514647FF2D328CAB81E41ACD0D0A70DD2F5329BBF8C7999F25C85013
bmap.barclays.	3600	in	ns	a1-71.akam.net.
bmap.barclays.	3600	in	ns	a10-66.akam.net.
bmap.barclays.	3600	in	ns	a11-67.akam.net.
bmap.barclays.	3600	in	ns	a12-64.akam.net.
bmap.barclays.	3600	in	ns	a18-65.akam.net.
bmap.barclays.	3600	in	ns	a9-66.akam.net.
bmap.barclays.	3600	in	rrsig	DS 8 2 3600 20250916152927 20250826142927 35448 barclays. imj8wWshEPv1Fnxlj1FuK50gEdnG5kZbANR8nXHjAVqXcwwynYjDCniNDNGwxG2sXVHaI2bHCq1rKjAPMGJRe+GSBDbAaWnfz5zJv6iVniEYtEgDRX22Rknb+569Qgik2VVI7+s/b+uGI/oJ14VPsP+mn40Lamg2XV2hN0IvPKg=
bpftraining.barclays.	3600	in	ns	a1-71.akam.net.
bpftraining.barclays.	3600	in	ns	a10-66.akam.net.
bpftraining.barclays.	3600	in	ns	a11-67.akam.net.
bpftraining.barclays.	3600	in	ns	a12-64.akam.net.
bpftraining.barclays.	3600	in	ns	a18-65.akam.net.
bpftraining.barclays.	3600	in	ns	a9-66.akam.net.
bpftraining.barclays.	3600	in	ns	ns2.barcap.com.
bpftraining.barclays.	3600	in	ns	ns3.barcap.com.
