atlanticus.ltda.	3600	in	ns	ns1.san.psi.br.
atlanticus.ltda.	3600	in	ns	ns2.san.psi.br.
atlanticus.ltda.	3600	in	ns	ns3.san.psi.br.
atlanticus.ltda.	3600	in	ns	ns4.san.psi.br.
auction.ltda.	3600	in	ns	a.ns14.net.
auction.ltda.	3600	in	ns	b.ns14.net.
auction.ltda.	3600	in	ns	c.ns14.net.
auction.ltda.	3600	in	ns	d.ns14.net.
aura.ltda.	3600	in	ns	curitiba.ns.porkbun.com.
aura.ltda.	3600	in	ns	fortaleza.ns.porkbun.com.
aura.ltda.	3600	in	ns	maceio.ns.porkbun.com.
aura.ltda.	3600	in	ns	salvador.ns.porkbun.com.
authentify.ltda.	3600	in	ns	dns1.cscdns.net.
authentify.ltda.	3600	in	ns	dns2.cscdns.net.
autodns.ltda.	3600	in	ns	a.ns14.net.
autodns.ltda.	3600	in	ns	b.ns14.net.
autodns.ltda.	3600	in	ns	c.ns14.net.
autodns.ltda.	3600	in	ns	d.ns14.net.
avatar.ltda.	3600	in	ns	ns-cloud-d1.googledomains.com.
avatar.ltda.	3600	in	ns	ns-cloud-d2.googledomains.com.
avatar.ltda.	3600	in	ns	ns-cloud-d3.googledomains.com.
avatar.ltda.	3600	in	ns	ns-cloud-d4.googledomains.com.
avatars.ltda.	3600	in	ns	ns-cloud-a1.googledomains.com.
avatars.ltda.	3600	in	ns	ns-cloud-a2.googledomains.com.
avatars.ltda.	3600	in	ns	ns-cloud-a3.googledomains.com.
avatars.ltda.	3600	in	ns	ns-cloud-a4.googledomains.com.
award.ltda.	3600	in	ns	a.ns14.net.
award.ltda.	3600	in	ns	b.ns14.net.
award.ltda.	3600	in	ns	c.ns14.net.
award.ltda.	3600	in	ns	d.ns14.net.
aws.ltda.	3600	in	ns	nsgbr.comlaude.co.uk.
aws.ltda.	3600	in	ns	nssui.comlaude.ch.
aws.ltda.	3600	in	ns	nsusa.comlaude.net.
ayudar.ltda.	3600	in	ns	a.ns14.net.
ayudar.ltda.	3600	in	ns	b.ns14.net.
ayudar.ltda.	3600	in	ns	c.ns14.net.
ayudar.ltda.	3600	in	ns	d.ns14.net.
b0.nic.ltda.	3600	in	a	65.22.117.17
b0.nic.ltda.	3600	in	aaaa	2a01:8840:0073:0000:0000:0000:0000:0017
baidu.ltda.	3600	in	ns	ns1.brandshelter.com.
