060i80449dbabsdb98pgs12n29c7ssc4.capital.	3600	in	nsec3	1 1 0 73 0678KTPPT4GPV5NSEIC1F2RLQDRQEMRV NS DS RRSIG
060i80449dbabsdb98pgs12n29c7ssc4.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. hdw0pXGOmAShIo8bSiXBx92hdtAqfWBGMC2lYbKFPgTic2BOpCikx1LvWtOrw2AEvN+vjVDsKdmU6KviIo5vnjO+TAFt80KX5Rb3buA5elQ5kZDL6qQSZ75tYxwO4JevnWVTf3LBFQB6nO9WBFH7LnmjquWdzd++4mjzOSCaync=
0678ktppt4gpv5nseic1f2rlqdrqemrv.capital.	3600	in	nsec3	1 1 0 73 0682LSAQMROHVTTFRMR5AU2ODEO3L5VI NS DS RRSIG
0678ktppt4gpv5nseic1f2rlqdrqemrv.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. joHVVxwXqeKLHzxjALu/rvxQsFP/06t6v6o7SyZ2mm2w99swaXuPDCZrlMJ3MIKXTfwulQYady9So9GWM7vG1wWeQYYmlqutOdGG7sIxbLh0PNZvy953BVQDfm6eVN3uonmQ1eina5rDOm9mERYY66vitRuSajQTZG+5xlklvJo=
0682lsaqmrohvttfrmr5au2odeo3l5vi.capital.	3600	in	nsec3	1 1 0 73 068GNR7LS92H2REAVG9KPN9RDSGHFLAP NS DS RRSIG
0682lsaqmrohvttfrmr5au2odeo3l5vi.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. G0r+N0bWSziOlWH69lLkWqwh0wVvzbSAFyl39CAA1S9/wbp1JyMU89ZzW/L3yIx2NVQP2LWXpnleNm6CEHnbzROcBCb9cAwuY1NGH6pPGw4eVASh2BOzy+CgWcut1wBlGGp0YQG715hfkplTzu6WOkgoaMisj8uAcwvq/X7mJEM=
068gnr7ls92h2reavg9kpn9rdsghflap.capital.	3600	in	nsec3	1 1 0 73 06MEVG28JMLIDTMP3IB9FBLKI6RF81IL NS DS RRSIG
068gnr7ls92h2reavg9kpn9rdsghflap.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. N95iyhvRnV+3aQzlUHb5WiW1h9zoWQlHhYPpZhWeKoUR9rV1Ir8ZImrCmQ8kNKqJJ/DWsQ/ywCOLtvClY6IeOrxL82eGHbvGoEDDEphaxQeHvdOVNYS91G0evFQIsOKMFClUk4HRn+BN/yc7pSAykdJmbivY/DJm59R/wzZ0sUI=
06mevg28jmlidtmp3ib9fblki6rf81il.capital.	3600	in	nsec3	1 1 0 73 07TJDC4RUL4M105170ULI2OF733CVROJ NS DS RRSIG
06mevg28jmlidtmp3ib9fblki6rf81il.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. P4zO5cFMgZ2+VvixaFvkULngff5oof0uC6PeN3Wyj2xX7zohfXPrS9V97df4HZj/Q5Hdr/u4OypKX8eKPP1XtbKJkoM24rEXAfb6W7C7bTtueZyTYcH2U0JliDP0Kv0LPJ5P6N2SnUx2/Lq0y+3HA1wbO2tqbESWd8Er7gRLsh8=
07tjdc4rul4m105170uli2of733cvroj.capital.	3600	in	nsec3	1 1 0 73 089IK6IFC494SVIDP736VTHKK4VTLKVE NS DS RRSIG
07tjdc4rul4m105170uli2of733cvroj.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. WeP9GFgPyxc2AsJbjbErcd3z7/jFIqhS1Cm/T+K3mLjAAjpslqMnlBNbDtlpA2M2q6IJrFHLTlsWJP2v/eA8VebURLGGvrIaIUBNx9w4dcJAFYB4SixEBymlBPB8AiSq+xhgFC5TsOqGHhagJI8l46bcKKVBCYHZ7SY48mRc7pU=
089.capital.	3600	in	ns	ns.checkdomain.de.
089.capital.	3600	in	ns	ns2.checkdomain.de.
089ik6ifc494svidp736vthkk4vtlkve.capital.	3600	in	nsec3	1 1 0 73 08NELDR7A55QBH6A7TDKTEQ05SL69I0Q NS DS RRSIG
089ik6ifc494svidp736vthkk4vtlkve.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. A9cA1ANzZ4ruRFC4ChuMzXXr8a9VQpWMmIwtYF7rMSfFLHMNDSQnzLGMjk4HKKPsjJI7VJmOP2C9UeOiErJ4RRq9aArSy2E1033jB6+rlLb9fSdHwmE8bCwsGTuOohCYrpsSanWTE++m4AYl1laysEgF9zhwAUPytrbgN0U+jeU=
089partners.capital.	3600	in	ns	ns.checkdomain.de.
089partners.capital.	3600	in	ns	ns2.checkdomain.de.
089venture.capital.	3600	in	ns	ns.checkdomain.de.
089venture.capital.	3600	in	ns	ns2.checkdomain.de.
08neldr7a55qbh6a7tdkteq05sl69i0q.capital.	3600	in	nsec3	1 1 0 73 0903V429UHFBL5P39N3TKJS5JJ7B511N NS DS RRSIG
08neldr7a55qbh6a7tdkteq05sl69i0q.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. KTAp4KBlJcneuzCnbaKPcH9DvzV2HIa/Pmnn+MAB1mpmiF0sh2pLEv5Uc770xb5U7iHCR38oSvu2Ttfq27CURaUb0TybPdvN5ZSEoA3AYeQqLr/CzNxwddWBFSC56F/XeBE3CsjX8URU0r9YCD/c1uhNxT/RLxJVLJhGJdt3UtA=
0903v429uhfbl5p39n3tkjs5jj7b511n.capital.	3600	in	nsec3	1 1 0 73 093R7CN2V4GGVGG1KD7LQ358VEQEDPK0 NS DS RRSIG
0903v429uhfbl5p39n3tkjs5jj7b511n.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. S9a336dJ3bHFoNbjMLTOCbzbFo+TDALaLSKrACdKtjYxPiInbvYTD7Dw3a3EP4eFGH3vXduvthDNkOJGVU70CBv3BkW+v4VBNs+3cJ2SRptcrLbhAsfWPpwO15jiNfVEcmiUE70VoBbyr0uNpKByDJZL4oWDf0D4sCGw9I6OVl0=
093r7cn2v4ggvgg1kd7lq358veqedpk0.capital.	3600	in	nsec3	1 1 0 73 09VUB4R8QKV2T7AD5MKBLJGAADT883FI NS DS RRSIG
093r7cn2v4ggvgg1kd7lq358veqedpk0.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. gmfrqss8gIVgmxXIFuRJkrOeQszFw6zViyX4oOmSbs4R+unNAlm0aG2IKxq3S1R7ZQV4mmx9mfmIQ0oOkm96iL5InCgYbKxHh4MbwrJMn10SklHWDBQ91x1rhaWa1MvQ/dkwrH5RaR/FSoeFUs6COewrFMRekO6unleyr1A5y2Q=
09vub4r8qkv2t7ad5mkbljgaadt883fi.capital.	3600	in	nsec3	1 1 0 73 0A1JM1UHQIP5A76063A6G1KR2AB459D2 NS DS RRSIG
