3g.forex.	3600	in	ns	ns1.ooparked.com.
3g.forex.	3600	in	ns	ns2.ooparked.com.
3x.forex.	3600	in	ns	ns1.fp261.parklogic.com.
3x.forex.	3600	in	ns	ns2.fp261.parklogic.com.
4521821838docusign.forex.	3600	in	ns	ns1.dyna-ns.net.
4521821838docusign.forex.	3600	in	ns	ns2.dyna-ns.net.
45678.forex.	3600	in	ns	dns1.registrar-servers.com.
45678.forex.	3600	in	ns	dns2.registrar-servers.com.
4club.forex.	3600	in	ns	dns1.teknology.ch.
4club.forex.	3600	in	ns	dns2.teknology.ch.
4e.forex.	3600	in	ns	ezra.ns.cloudflare.com.
4e.forex.	3600	in	ns	ezra2.ns.cloudflare.com.
4ex.forex.	3600	in	ns	dns1.registrar-servers.com.
4ex.forex.	3600	in	ns	dns2.registrar-servers.com.
4ff8f9lfnpsla87i0kinrujgbrdfboli.forex.	3600	in	nsec3	1 1 0 73 4VVU6RE4OUTQS9JEB89JEK8684BQLJEM NS SOA RRSIG DNSKEY NSEC3PARAM
4ff8f9lfnpsla87i0kinrujgbrdfboli.forex.	3600	in	rrsig	NSEC3 8 2 3600 20260127010248 20260106000248 59649 forex. G7I5nesc5jvDCHm+CoFF0us09vcYZXIQ6WaC2XFNgy8E/fvDJ4d/9KDEWUZEm5dn2Z4HBRUtlvFUzBKwUtwozidSs85eZHoFB29VHUEOdqagHiXZKAJwsLGbE8ElkTt3s9i8pstaL14phm0uskoBBQ+3Y2kbEMRC++1s3VqBe9Y=
4vvu6re4outqs9jeb89jek8684bqljem.forex.	3600	in	nsec3	1 1 0 73 5ED0HI6G51OL70HE5441MI9SP6O6D2Q2 NS DS RRSIG
4vvu6re4outqs9jeb89jek8684bqljem.forex.	3600	in	rrsig	NSEC3 8 2 3600 20260122154524 20260101144524 59649 forex. gzKrZ4TmgLXileFIQh2yQ0G/Qqc1IMylcBwRk+jluUSNiaHTv4gG7d5FB3KCR6qNs3AtbUKak9Yi1pStY34amQ1BMmk7VuGyRaCfZR13pAdqvuD743NU5OPMdejCnECfFdvfK/ITDxiubp4zHbiBzC+enNGOqEVf4uC8rFptV4o=
54052.forex.	3600	in	ns	dns1.registrar-servers.com.
54052.forex.	3600	in	ns	dns2.registrar-servers.com.
58win.forex.	3600	in	ns	arya.ns.cloudflare.com.
58win.forex.	3600	in	ns	igor.ns.cloudflare.com.
5ed0hi6g51ol70he5441mi9sp6o6d2q2.forex.	3600	in	nsec3	1 1 0 73 6MNT9G3MPIDIC5N0FDQ6P088QRVH91V0 NS DS RRSIG
5ed0hi6g51ol70he5441mi9sp6o6d2q2.forex.	3600	in	rrsig	NSEC3 8 2 3600 20260122154524 20260101144524 59649 forex. mk/2SwnUnSwhBPwcux4OVCgaB514vIEDPJn6nrBJzDIlxzHtSNb2Q8ie3Z5sKsnhHjGtCGmUzMBY8FL1EmYxxS0c3NZ0coTg5iFsqdqYiQaGaJxH55Ed2on/0v4fjV2B9TPCUH9W8/Ux/7t8toS5AyJXJ1mTJA8+lN6tRreeWXs=
5movierulz.forex.	3600	in	ns	hattie.ns.cloudflare.com.
5movierulz.forex.	3600	in	ns	santino.ns.cloudflare.com.
6686.forex.	3600	in	ns	mia.ns.cloudflare.com.
6686.forex.	3600	in	ns	newt.ns.cloudflare.com.
6789.forex.	3600	in	ns	desiree.ns.cloudflare.com.
6789.forex.	3600	in	ns	porter.ns.cloudflare.com.
69vn.forex.	3600	in	ns	dns101.registrar-servers.com.
69vn.forex.	3600	in	ns	dns102.registrar-servers.com.
6mnt9g3mpidic5n0fdq6p088qrvh91v0.forex.	3600	in	nsec3	1 1 0 73 72JM52K9850AVDKFEL9UNP6EL73CK2MK NS DS RRSIG
6mnt9g3mpidic5n0fdq6p088qrvh91v0.forex.	3600	in	rrsig	NSEC3 8 2 3600 20260122154524 20260101144524 59649 forex. ic+pVArEZGxrJcKLpI2e+xkJ8wAKSQh16PoPJtdqpBEerDX/7XIdL4tpHXN6u9QgeNJxhnLYhPGB7LSzpHsyieYNDAOl1eJhdNeHY+x3dG8eba0CMt3VfoZPAyQnFSVdYtpq3Oy3ds6KIsoYxKasMSlP03Ob0nNcMkxtH2D+1I4=
72jm52k9850avdkfel9unp6el73ck2mk.forex.	3600	in	nsec3	1 1 0 73 7UQF1TD6I2LPKJTUDEQ689GU076PJQUC NS DS RRSIG
72jm52k9850avdkfel9unp6el73ck2mk.forex.	3600	in	rrsig	NSEC3 8 2 3600 20260122154524 20260101144524 59649 forex. yc0zAPl4mzVzK5vtB+lDf98lmExpkTYvkjK659K8XsOBsYRNj8vFtUItUw9a9sUtRHp6C1xyRtVl5EQgrR6Qgz4FHHIk1h36NgN9kaz5TF9vIUOqUKkOtQRdpJVVtWITaEc//3s8xO0wu7j2r1cj0Qco4efi1A/LgrMY+8otM+U=
777.forex.	3600	in	ns	ns1.dyna-ns.net.
777.forex.	3600	in	ns	ns2.dyna-ns.net.
77win.forex.	3600	in	ns	alina.ns.cloudflare.com.
77win.forex.	3600	in	ns	melnicoff.ns.cloudflare.com.
789bet.forex.	3600	in	ns	ns1.dns-redirect.com.
789bet.forex.	3600	in	ns	ns2.dns-redirect.com.
789club.forex.	3600	in	ns	ns1.dyna-ns.net.
789club.forex.	3600	in	ns	ns2.dyna-ns.net.
789win.forex.	3600	in	ns	garret.ns.cloudflare.com.
789win.forex.	3600	in	ns	lilyana.ns.cloudflare.com.
789win1.forex.	3600	in	ns	ophelia.ns.cloudflare.com.
789win1.forex.	3600	in	ns	zod.ns.cloudflare.com.
78win.forex.	3600	in	ns	arely.ns.cloudflare.com.
78win.forex.	3600	in	ns	zahir.ns.cloudflare.com.
7uqf1td6i2lpkjtudeq689gu076pjquc.forex.	3600	in	nsec3	1 1 0 73 9R34L37C8HAVR7K1SBJHGF4RB2QKVIIG NS DS RRSIG
