10300934155737.med.	3600	in	ds	19834 8 2 293AF8E7C045EDF6B509290915A3B26D9584EEFB5F28CC48BF7BF4B69C5E5001
10300934155737.med.	3600	in	rrsig	DS 8 2 3600 20251104151757 20250930150701 11923 med. BxwFFGsbRTp7POi+lciIWCq2Mliq1Z/xStJ3zoqRPLdRAfbtFbVh+y3EQO8HK/TcBrkHNSk86ZBdNBqFpqrKiNEy1AasqYhghWiaEO54cDU7ymyr18N4/S22jkTkgzn5IFbXv0hVNU+d8IbiQGXTrnpKUqIfTKLUXyDQfmuUfhJgFhY3ktjknPZRhI4cm/nJpCO04W1sAjndyxc10bBXDTlD1JDoTdeRn5+N6NW7BD3dlwACsOWiGLhAjewGzFU1wJsnG2XZsNgiNlqlO4HNO0rhcAxkGiNp1RvaQl1AUGhPJ82L6LOj8sXOmrE/aFDbdAH+O4jjn3yn1BxqciUafA==
1i3ta7p9v2v90g8nhj8cu11fidb22ipe.med.	3600	in	nsec3	1 1 0 - 53TUUPFFBK3F77FMARGDC24AEN5UQ727 NS DS RRSIG
1i3ta7p9v2v90g8nhj8cu11fidb22ipe.med.	3600	in	rrsig	NSEC3 8 2 3600 20251101230155 20250927223930 11923 med. sBEVrsYY95bMP9cjkCwraQ4pYiGVchut/58Nl8WD+WWcTvFG0zWyFV8gAdeSaQCwcx9V82Fc047jvj9iAha3I/PkbQ3lVm7P5vfFDUMCQS2QfiOzRD8id4sv2NwdljgWnARxJmmdD6iwZgBZZ4VRlJ2dEWEzZygIQp9lE/3Z6EV51dOMt48r++YiaMNBRl2PGxQeaDph2N33fPxPN88tfIAFgfJyoLj3/5YbmddsaTenwS4xyGU+GkaQ7tpXX6KgU2QfvCjZapTTjR5G7rRG1Km4J0HAJZwyausBcTQIDRnwph7AwpxT01RPRhuL7/IU4UpZLAolfzNm7P9XZcy38A==
229project.med.	172800	in	ns	darwin.ns.cloudflare.com.
229project.med.	172800	in	ns	rosalie.ns.cloudflare.com.
3d.med.	172800	in	ns	ns4.wixdns.net.
3d.med.	172800	in	ns	ns5.wixdns.net.
3dbioprint.med.	172800	in	ns	ns1.101domain.com.
3dbioprint.med.	172800	in	ns	ns2.101domain.com.
3dbioprinting.med.	172800	in	ns	ns1.101domain.com.
3dbioprinting.med.	172800	in	ns	ns2.101domain.com.
3dprinting.med.	172800	in	ns	ns1.101domain.com.
3dprinting.med.	172800	in	ns	ns2.101domain.com.
4cyte.med.	172800	in	ns	ns1stv.name.com.
4cyte.med.	172800	in	ns	ns2knz.name.com.
4cyte.med.	172800	in	ns	ns3nrz.name.com.
4cyte.med.	172800	in	ns	ns4ghm.name.com.
53tuupffbk3f77fmargdc24aen5uq727.med.	3600	in	nsec3	1 1 0 - 5RONNDN5N0K1LV0F8ILKA9ESHCDSPKB3 NS DS RRSIG
53tuupffbk3f77fmargdc24aen5uq727.med.	3600	in	rrsig	NSEC3 8 2 3600 20251101092551 20250927091550 11923 med. wlzv62OujDkdT70Bg/wd3kbJGidYC2bfPmc9cY5yj4jD4qvrTUc/2KCM8/HNNJSEJ1DTiCaiWiq4VuWtyOlS2LMxzX//LIXyn2HtIZXoaz5/oENZ6Vne74cj6yN3oIwIDXIRTupPlujZ+A40ZrAtuAW3ialv+n81U1lC5UUhp3Q72Tj1O95Rwhm+uiWc4N+NX5PYEP3mTz5tygv2/5IVzCSr1a2MmDMDV0Mc5XfZ5p6heximHbwdNN2FgYelbIdOrOpJYrMGb3cJy/mSCd4qRk69CXHb+d0ZI7TR6wdBoe3xKMGmzHhaRI0HKFeEJ/G8pWz2qCrMlN6Cz1YQhx7cdg==
5ronndn5n0k1lv0f8ilka9eshcdspkb3.med.	3600	in	nsec3	1 1 0 - 8M6K6RL87NTD9LCIKAJEO6Q36S0LITCT NS DS RRSIG
5ronndn5n0k1lv0f8ilka9eshcdspkb3.med.	3600	in	rrsig	NSEC3 8 2 3600 20251101065651 20250927061939 11923 med. VnAEKC8ATnNbY4VIRJz2cO0WPqPbXyD/8P+Fp9iHAZDxC6LB73LzyLCc2A5+BQP9/C+ZBRNl2erbwh12bDT6+LMRFcUm1cVEWZuh7UcOmcnJNNc6Z/MgtkaTeDMZ/Z+nwjd+CCjqOkhLWYdXypq8droYoOg6IpIMWzzG73TQsdZKadsxeX3dF91N388li6veUg6P+LEHsTDFc19XTFPv3f/akMVNJ5vj2SoyjRy2O/wWtNybQhv3ZJpa4yGEwFk5qQnT/x6CaNx89KhK39RMV+DGjDEjPg6zsHhjgGDDsPdr3lHJRPnxmmnKsqFW1THdc1fJYKdmxkYKedeh/I5lWg==
