02vask2091jju8gd84rauq5lrlaf3al3.team.	3600	in	nsec3	1 1 0 73 02VLUB5SPI9E2EUFIQN2OE7G8Q6F1JGR NS DS RRSIG
02vask2091jju8gd84rauq5lrlaf3al3.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. hKGa/Sj+cjSzaxHyuQagVv4wOxkBbFIRaXOIzfqotQctpnBqpGJce9CGBJXeo05e7lZdJXwn+kTkl+NCwU0PBkUnv69XtrAzs6DBAS2xy5sz2m73O9BBaR3i9BZDPZu3sE+UUzqXBLTDyamPqZ7KOZMe93lj8TA7WObnBrLjcdA=
02vlub5spi9e2eufiqn2oe7g8q6f1jgr.team.	3600	in	nsec3	1 1 0 73 033R21ONMB18JOJTPADQMT2RDKV99FK7 NS DS RRSIG
02vlub5spi9e2eufiqn2oe7g8q6f1jgr.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. EcNeTLHig8Kod7x28qIwvI9a8nGCSsaBOsO4d8iKOZI+kMXmZgOvzK/dE5zKCsx8k1ZLBdZqzGCGuEnYgdcBbvOFpLaXqa9CPpben5eF1EEiEBWSzb4lX3nEVPpfbRFpmMwnJxfxmKqLvOg5DNQ70GeVJI7tGqw5VxHwAoxOzZI=
033r21onmb18jojtpadqmt2rdkv99fk7.team.	3600	in	nsec3	1 1 0 73 03R750CF91G2520ONP6100NHMHBRTBQ0 NS DS RRSIG
033r21onmb18jojtpadqmt2rdkv99fk7.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. b0yxF0pA+dcdFvjJ4RoLa4JIcnyBVohvFxxDDgdQ8P0Q0WMzbzKoHX3e0xZwFYiLJXJfGoFlDFm2O5Fmg8A1QOmMz5i7b3H45u1WP0mTfO5kSOZL8fdUQ6Z0JgApgmE/+c2Jrdil2jEcWFHzaqli6uaJ2WIYmBpT6bqsYHMnuaY=
03r750cf91g2520onp6100nhmhbrtbq0.team.	3600	in	nsec3	1 1 0 73 0414F44RJREO2L07DDBV3641VPFA3QI9 NS DS RRSIG
03r750cf91g2520onp6100nhmhbrtbq0.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. gC4KBWFUPLWp9011HwMZ6I9/hiSyJfn8yxzkJAZPoNN3ZlRjvW6ThxBilRlssLhHsRAlZIVXtw5yONDDAXl4/Jzf9fjyEwtPVhQNLNaJiKKLIXtC4kYjPDNj7EWV6kc0hvc9/hFh2U859H/0GMOJHs/w6OrcTt8+IlDMIu/zz3U=
0414f44rjreo2l07ddbv3641vpfa3qi9.team.	3600	in	nsec3	1 1 0 73 048FOKK416CI0AA1VELHMP94PDAQKCIE NS DS RRSIG
0414f44rjreo2l07ddbv3641vpfa3qi9.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. TkAAY82pJHrJtaKj17p8TgZTuXXqvhkjuFkhBTsXYzJGBMD8q4QyYPt10WbD4EE2v0kNRrS3JrjBxuvHyHjpTEUgvr3g5HAeB1RfqTXuHz7FlXCAvE8rxTm+3uyW421Zxf/vb2Le5UfhqnNR60VGCu55yx5gXpF4bURg3Mr5MLc=
048fokk416ci0aa1velhmp94pdaqkcie.team.	3600	in	nsec3	1 1 0 73 04C26U27TDNNL8S38S1EOVLQN0GOB2B8 NS DS RRSIG
048fokk416ci0aa1velhmp94pdaqkcie.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. S+TfvCbzO+6cGSHVtv9Zg2lzu40OvGrD7eohqZCO342NvW47eG8KIMUQZR4g7SWg9s1JMm8ectmW0mIVN+ZVGj8J5NjJADEz3heLaQl2k0c7Ou6eRNgP1XnrncHnXedlp16ZfBUR8f7Cl29U/EXi6YB9s7OaG/75cHooPVY5mh8=
0495.team.	3600	in	ns	ns1.timeweb.ru.
0495.team.	3600	in	ns	ns2.timeweb.ru.
0495.team.	3600	in	ns	ns3.timeweb.org.
0495.team.	3600	in	ns	ns4.timeweb.org.
04c26u27tdnnl8s38s1eovlqn0gob2b8.team.	3600	in	nsec3	1 1 0 73 04JMAAK7BMH24LT2O9CF519PFHQVTGUM NS DS RRSIG
04c26u27tdnnl8s38s1eovlqn0gob2b8.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. DczhU8OqwR9HFbYV8rHVlxsI8pFRZncOly9QPht7KnAlgsaXsaCVAj57T+HuX39LdflvoCr4khF/xjxYFmEWCbp8KR9yXaodXVflfKVnj2siosZQHz93MjT169tQSYZKDIWYxOgaFKpgA03mgIbQpzUh41UsKGhArcZWuPXBsPg=
04jmaak7bmh24lt2o9cf519pfhqvtgum.team.	3600	in	nsec3	1 1 0 73 04NPA48KNBIOAMGTRMEFUHIH7PLRMIK2 NS DS RRSIG
04jmaak7bmh24lt2o9cf519pfhqvtgum.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. YCgp+h7hHen+5TJyAeVzUxStzZDvN31ck+z7FvVQ3yk5xyyrW1RMubt5y8Py098/wAEuA2M7tbbfRGbtG8fYCTnQMDvi21Hyp2M5znNDwvBMTGYCGh/VvIcRwSL3u1aqS+vLcgU3GxsAjKqwhNgYs+g4Y3eQ1D/FG6+0jx11w8Q=
04npa48knbioamgtrmefuhih7plrmik2.team.	3600	in	nsec3	1 1 0 73 04T74DLR3D70U5LPEU5BD5R9V67G3F08 NS DS RRSIG
04npa48knbioamgtrmefuhih7plrmik2.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. jEpQ1cm82dI5g2xqmjwP8/gGL6otvrBXEyu62JK6eNLOMbW3GszIu++A60yeawtTL9qQY5rPC52fNr8iKpOTf0tgOPerSKNIxc/DZvvbrT0Kn5XJMLrtKK2DZojyyvsku8Z+FGxM+DcGsRp4EcLE+esZz+jnvs66fO3tMa0NIX8=
04t74dlr3d70u5lpeu5bd5r9v67g3f08.team.	3600	in	nsec3	1 1 0 73 056UG2V8UVOQ71KCTTO70618AM9GBF8D NS DS RRSIG
04t74dlr3d70u5lpeu5bd5r9v67g3f08.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. OvMh6PgdVw5HBII81N4kESl+HOAueDFLM0ZxBa9P8vf5W1rpFqBSRmnDoVxvZqvIPTYJ69UnR/rHm6FMqYr0oKtdI/wLPj5JKnHmPoEAvGZaWGvWMbpRpKToalJV7AW0dRAU8AT/edVyQmz7CPwi46sBj/4j6P7K5KI77n+Zdw4=
05.team.	3600	in	ns	ns01.1cloud.ru.
05.team.	3600	in	ns	ns02.1cloud.ru.
056ug2v8uvoq71kctto70618am9gbf8d.team.	3600	in	nsec3	1 1 0 73 05D6AEU9UDKP5C7TO8129MHJ5NJ0LU8S NS DS RRSIG
056ug2v8uvoq71kctto70618am9gbf8d.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. TwN9YhFfXz9GrHp30nmhmfgmf8aFGrnKhHYextx+WFIpwZPd7xGU6jCBb0QefWTfaP13lLA1330Be6BNn8QpvQiF5TTUxVaLZiYRDlqoRkYhLIORPjtrunnMO/bRnC2t4Qws/QC5VhhKfKhvUygcWapoTSBClYHdKOF6+nbeuCI=
05d6aeu9udkp5c7to8129mhj5nj0lu8s.team.	3600	in	nsec3	1 1 0 73 05HALM4IFH5FSQD7F03TO0MBS2DNDT91 NS DS RRSIG
05d6aeu9udkp5c7to8129mhj5nj0lu8s.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. Fy8Ea5p5FdRzbA4I2sOMJPiB6AIyN+lkPCAQ3sc+FW0003oH0EFYGAwOHD3dPCk9zDgs6TJTWWc4bFiSkKmd26cO9Fi72k0M/1KQ76uGCca3O0qTYds26vDN/6CQrQ5LncoM4vCI8qtRvEI7WVfjL97P4ZJ1OmRdXMuTcpJVcaI=
05halm4ifh5fsqd7f03to0mbs2dndt91.team.	3600	in	nsec3	1 1 0 73 05TM9U7GKHC83DVL2UP88R86FRKVA771 NS DS RRSIG
