111775.poker.	3600	in	ns	ns1.dyna-ns.net.
111775.poker.	3600	in	ns	ns2.dyna-ns.net.
11221.poker.	3600	in	ns	ns1.dyna-ns.net.
11221.poker.	3600	in	ns	ns2.dyna-ns.net.
11223.poker.	3600	in	ns	ns1.cdnetdns.net.
11223.poker.	3600	in	ns	ns2.cdnetdns.net.
11233.poker.	3600	in	ns	ns1.cdnetdns.net.
11233.poker.	3600	in	ns	ns2.cdnetdns.net.
112727.poker.	3600	in	ns	ns1.dyna-ns.net.
112727.poker.	3600	in	ns	ns2.dyna-ns.net.
1131sport.poker.	3600	in	ns	dns101.registrar-servers.com.
1131sport.poker.	3600	in	ns	dns102.registrar-servers.com.
11332.poker.	3600	in	ns	ns1.cdnetdns.net.
11332.poker.	3600	in	ns	ns2.cdnetdns.net.
114.poker.	3600	in	ns	ns1.parkingcrew.net.
114.poker.	3600	in	ns	ns2.parkingcrew.net.
11403.poker.	3600	in	ns	ns1.dyna-ns.net.
11403.poker.	3600	in	ns	ns2.dyna-ns.net.
114096.poker.	3600	in	ns	ns1.dyna-ns.net.
114096.poker.	3600	in	ns	ns2.dyna-ns.net.
116150.poker.	3600	in	ns	expire1.gname-dns.com.
116150.poker.	3600	in	ns	expire2.gname-dns.com.
11641.poker.	3600	in	ns	ns1.dyna-ns.net.
11641.poker.	3600	in	ns	ns2.dyna-ns.net.
11653.poker.	3600	in	ns	ns1.dyna-ns.net.
11653.poker.	3600	in	ns	ns2.dyna-ns.net.
11683.poker.	3600	in	ns	ns1.dyna-ns.net.
11683.poker.	3600	in	ns	ns2.dyna-ns.net.
11692.poker.	3600	in	ns	ns1.dyna-ns.net.
11692.poker.	3600	in	ns	ns2.dyna-ns.net.
11713.poker.	3600	in	ns	ns1.dyna-ns.net.
11713.poker.	3600	in	ns	ns2.dyna-ns.net.
119.poker.	3600	in	ns	maria.ns.cloudflare.com.
119.poker.	3600	in	ns	sage.ns.cloudflare.com.
11906.poker.	3600	in	ns	ns1.dyna-ns.net.
11906.poker.	3600	in	ns	ns2.dyna-ns.net.
11915.poker.	3600	in	ns	ns1.dyna-ns.net.
11915.poker.	3600	in	ns	ns2.dyna-ns.net.
11973.poker.	3600	in	ns	ns1.dyna-ns.net.
11973.poker.	3600	in	ns	ns2.dyna-ns.net.
11999.poker.	3600	in	ns	ns1.dyna-ns.net.
11999.poker.	3600	in	ns	ns2.dyna-ns.net.
11bet.poker.	3600	in	ns	hattie.ns.cloudflare.com.
11bet.poker.	3600	in	ns	kayden.ns.cloudflare.com.
11jogo.poker.	3600	in	ns	pdns11.domaincontrol.com.
11jogo.poker.	3600	in	ns	pdns12.domaincontrol.com.
12070.poker.	3600	in	ns	ns1.dyna-ns.net.
12070.poker.	3600	in	ns	ns2.dyna-ns.net.
12076.poker.	3600	in	ns	ns1.dyna-ns.net.
12076.poker.	3600	in	ns	ns2.dyna-ns.net.
120778.poker.	3600	in	ns	ns1.dyna-ns.net.
120778.poker.	3600	in	ns	ns2.dyna-ns.net.
12155.poker.	3600	in	ns	ns1.dyna-ns.net.
12155.poker.	3600	in	ns	ns2.dyna-ns.net.
12222.poker.	3600	in	ns	ns1.cdnetdns.net.
12222.poker.	3600	in	ns	ns2.cdnetdns.net.
12223.poker.	3600	in	ns	ns1.cdnetdns.net.
12223.poker.	3600	in	ns	ns2.cdnetdns.net.
12233.poker.	3600	in	ns	ns1.cdnetdns.net.
12233.poker.	3600	in	ns	ns2.cdnetdns.net.
12262.poker.	3600	in	ns	ns1.dyna-ns.net.
12262.poker.	3600	in	ns	ns2.dyna-ns.net.
122bet.poker.	3600	in	ns	ns59.domaincontrol.com.
122bet.poker.	3600	in	ns	ns60.domaincontrol.com.
123.poker.	3600	in	ns	ns1.dan.com.
123.poker.	3600	in	ns	ns2.dan.com.
12322.poker.	3600	in	ns	ns1.dyna-ns.net.
12322.poker.	3600	in	ns	ns2.dyna-ns.net.
12333.poker.	3600	in	ns	ns1.cdnetdns.net.
12333.poker.	3600	in	ns	ns2.cdnetdns.net.
12345.poker.	3600	in	ns	ns1.afternic.com.
12345.poker.	3600	in	ns	ns2.afternic.com.
12395.poker.	3600	in	ns	n1.xundns.com.
12395.poker.	3600	in	ns	n2.xundns.com.
123b.poker.	3600	in	ns	dns101.registrar-servers.com.
123b.poker.	3600	in	ns	dns102.registrar-servers.com.
123win.poker.	3600	in	ns	ns1.dns-redirect.com.
123win.poker.	3600	in	ns	ns2.dns-redirect.com.
125617.poker.	3600	in	ns	ns1.dyna-ns.net.
125617.poker.	3600	in	ns	ns2.dyna-ns.net.
125625.poker.	3600	in	ns	ns1.dyna-ns.net.
125625.poker.	3600	in	ns	ns2.dyna-ns.net.
125636.poker.	3600	in	ns	ns1.dyna-ns.net.
125636.poker.	3600	in	ns	ns2.dyna-ns.net.
125679.poker.	3600	in	ns	ns1.dyna-ns.net.
125679.poker.	3600	in	ns	ns2.dyna-ns.net.
125687.poker.	3600	in	ns	ns1.dyna-ns.net.
125687.poker.	3600	in	ns	ns2.dyna-ns.net.
12602.poker.	3600	in	ns	ns1.dyna-ns.net.
12602.poker.	3600	in	ns	ns2.dyna-ns.net.
12626.poker.	3600	in	ns	ns1.dnsowl.com.
12626.poker.	3600	in	ns	ns2.dnsowl.com.
12626.poker.	3600	in	ns	ns3.dnsowl.com.
12711.poker.	3600	in	ns	ns1.dnsip.com.
12711.poker.	3600	in	ns	ns2.dnsip.com.
12742.poker.	3600	in	ns	n1.xundns.com.
12742.poker.	3600	in	ns	n2.xundns.com.
12941.poker.	3600	in	ns	ns1.dyna-ns.net.
12941.poker.	3600	in	ns	ns2.dyna-ns.net.
12962.poker.	3600	in	ns	ns1.dyna-ns.net.
12962.poker.	3600	in	ns	ns2.dyna-ns.net.
129932.poker.	3600	in	ns	ns1.dyna-ns.net.
129932.poker.	3600	in	ns	ns2.dyna-ns.net.
12bet.poker.	3600	in	ns	ruben.ns.cloudflare.com.
12bet.poker.	3600	in	ns	ximena.ns.cloudflare.com.
12play.poker.	3600	in	ns	anirban.ns.cloudflare.com.
12play.poker.	3600	in	ns	sima.ns.cloudflare.com.
13043.poker.	3600	in	ns	ns1.dyna-ns.net.
13043.poker.	3600	in	ns	ns2.dyna-ns.net.
13076.poker.	3600	in	ns	ns1.dyna-ns.net.
13076.poker.	3600	in	ns	ns2.dyna-ns.net.
130877.poker.	3600	in	ns	ns1.dyna-ns.net.
130877.poker.	3600	in	ns	ns2.dyna-ns.net.
130979.poker.	3600	in	ns	ns1.dyna-ns.net.
130979.poker.	3600	in	ns	ns2.dyna-ns.net.
131366.poker.	3600	in	ns	ns1.dyna-ns.net.
131366.poker.	3600	in	ns	ns2.dyna-ns.net.
13235.poker.	3600	in	ns	ns1.dyna-ns.net.
13235.poker.	3600	in	ns	ns2.dyna-ns.net.
1326.poker.	3600	in	ns	dns1.p01.nsone.net.
1326.poker.	3600	in	ns	dns2.p01.nsone.net.
1326.poker.	3600	in	ns	dns3.p01.nsone.net.
1326.poker.	3600	in	ns	dns4.p01.nsone.net.
13299.poker.	3600	in	ns	ns1.dyna-ns.net.
13299.poker.	3600	in	ns	ns2.dyna-ns.net.
13333.poker.	3600	in	ns	ns1.cdnetdns.net.
13333.poker.	3600	in	ns	ns2.cdnetdns.net.
1337.poker.	3600	in	ns	collins.ns.cloudflare.com.
1337.poker.	3600	in	ns	jake.ns.cloudflare.com.
134797.poker.	3600	in	ns	ns1.dyna-ns.net.
134797.poker.	3600	in	ns	ns2.dyna-ns.net.
13527.poker.	3600	in	ns	ns1.dyna-ns.net.
13527.poker.	3600	in	ns	ns2.dyna-ns.net.
