014bbh6rv5hclqg1c6p3p8391o6vq0g5.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 015VEI6TK69GTUPIO57L7MEMQ8265EFH NS
014bbh6rv5hclqg1c6p3p8391o6vq0g5.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. G5OCm9Fjz85jEUSLzTUtteulJ5UQpHzGkNA+v2pfcxG3ptj4/QWxcVhBZkUNHzyAtBze/W4j0DuvVGtCjYKQZLzyVTkoSWJ47d92YhTkrBNDVVXZ8Anvgqm4flUut3iWbbLiVqUEwF4O3kVQdjZiHSgAUNua5sZdtNsB4l3ASM0=
015vei6tk69gtupio57l7memq8265efh.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 017EIDAG63P1U60KV96CHUJHKH3P3U8V NS
015vei6tk69gtupio57l7memq8265efh.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. MoQTPuLXhetV1/bpakwBk9Zc+Fsv5WSD3p7RjUhCk9l+QvezQmTPDsy+Ek6T6T26AxE2AaDVPXBsqSmnZWC9pbOM1uXCKSgKJzXKae3AALSouteifvFqZGRCQXHqwyIlfbOnz2ZdvZvArppuTM+F8Xhj0nnLZPc3XV0GKW8vqKo=
017eidag63p1u60kv96chujhkh3p3u8v.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01AU4917IR86NOPUKAOJHJ96ORLROL1S NS
017eidag63p1u60kv96chujhkh3p3u8v.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. afVlL6LpbjCQm+W0AqKsf5rRIOrbmN/tz/HfIUqNZl7j613PTf0KKwKYOgCOkKCyYomPblcNxy+vzwWdSxUB8YQV9hMulVl89/oI9PptPrkyV+6lmzfkY6v1gCtnmkWLR4VuAOSUHOokWNm35TieRpUjnFPTls8VgrPKJ/UK/Lk=
01au4917ir86nopukaojhj96orlrol1s.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01B2HHIRCQ7LCQ3KFO2S2IK77S1TQAA9 NS
01au4917ir86nopukaojhj96orlrol1s.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. biYYklkj0FwxCxo8oJU9OciUebfWi/uxx9chUUA85RGKPGQwlZC9HBY82bY4C1w/D/7GbXehrttqhO0pZyc6AKaPQRp0z5qtOQG5E1Cg0qO+grBkjNW0SJp5YZmkeGTtw49J7tvgB1kKMA+22grycn1YiG6IPcd6N1Cbo+BR9lQ=
01b2hhircq7lcq3kfo2s2ik77s1tqaa9.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01BJ628D9D70Q0SLMILKH1N50FOFLUB9 NS DS RRSIG
01b2hhircq7lcq3kfo2s2ik77s1tqaa9.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. QxwPby1CSUGxRmLDB6J5r7G69RAR9NUZ7fBU44oEDxP+1VfLceOx/dD2+Ja8VWzK8L4mkZeXTryUa3yE2XPkWfdkuxZJEWgepr385yH3rm0juDUpT2QdaJfHKqS5jnAIkeqlrmTnBywqIaEqzKKX1B0tFNsMGMi6zRwAsvntBho=
01bj628d9d70q0slmilkh1n50foflub9.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01D516G249TSFGOHSVMTER48V7G4ILKE NS
01bj628d9d70q0slmilkh1n50foflub9.ing.	900	in	rrsig	NSEC3 8 2 900 20251001084737 20250909084737 8535 ing. LfZ5yE7w49QoAX4ogfcZaqSR01FOAjpD9bfshve5xW7anH+7egJenDl7AnSZ5e54xShK+cq0Af0lBLH28NOu7QzjHJCcOe3F0W9u3VO3WOVVhL/p4HwdvcwfVUpIWTpclGtrufzJjFSrDWwX40hN+/g7bPT+IWgsZz0r9eKwr7s=
01d516g249tsfgohsvmter48v7g4ilke.ing.	900	in	nsec3	1 0 1 80A6D70277A5912D 01H0MADB3IUO9495SEKD17AAHEM68NIJ NS
