26930.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
26931.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
26931.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
26932.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
26932.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
26935.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
26935.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
26936.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
26936.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
26937.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
26937.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
26938.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
26938.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
26939.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
26939.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
26940.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
26940.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
26941.xn--d1acj3b.	86400	in	ns	ns1.netsto.net.
26941.xn--d1acj3b.	86400	in	ns	ns2.netsto.net.
27135.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
27135.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
27135.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
28862.xn--d1acj3b.	86400	in	ns	a.dnspod.com.
28862.xn--d1acj3b.	86400	in	ns	b.dnspod.com.
28862.xn--d1acj3b.	86400	in	ns	c.dnspod.com.
29413.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
29413.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
29413.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
30067.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
30067.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
30067.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
30407.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
30407.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
30407.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
30519.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
30519.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
30582.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
30582.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
30582.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
31247.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
31247.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
31279.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
31279.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
31279.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
32469.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
32469.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
32508.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
32508.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
32508.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
32518.xn--d1acj3b.	86400	in	ns	n1.xundns.com.
32518.xn--d1acj3b.	86400	in	ns	n2.xundns.com.
32692.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
32692.xn--d1acj3b.	86400	in	ns	verify2.registrar.eu.
32692.xn--d1acj3b.	86400	in	ns	verify3.registrar.eu.
33729.xn--d1acj3b.	86400	in	ns	verify1.registrar.eu.
