industries.	3600	in	soa	v0n0.nic.industries. hostmaster.donuts.email. 1757034183 7200 900 1209600 3600
0pmna1ph303kdmgj5q3c2d8tr73pkpkg.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. r4OX1gA8bUCuNqWDlRCHLBiNX7/vZtwNQYnOX2NPX1ZVte3u2woni1TP3CX8ry6kE42JZybnfD0cJA7hKZ6egQr3cS6NssXpXrRH7z80kPFAiXDV0JMDv5y/4XhEQCyT8MWHbFdM16b3Tjj7I9DKlcabhHep7Q8Bbe4qycXL7kQ=
0t39pks2cmdo1a4okjmbk6do54ht97p6.industries.	3600	in	nsec3	1 1 0 73 0VJ60S0FMSFV25F3PUB578G6OCCBMNUF NS DS RRSIG
0t39pks2cmdo1a4okjmbk6do54ht97p6.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. dyk39zLxLwLp9971SyeYtIZolBdp8uPOfSQqtgZB1G3opw0hgScxGa4kl42PQ0AqImi5kwCgPqutYpfBSDZn73Sp7hnN8nDrKUZUxVjztGKxf7TxSz8H0WCsNpfihct1LBFPZpCznUqdsHv9KolPR8IiHCaFOFdf3dsgZDS3CQY=
0vj60s0fmsfv25f3pub578g6occbmnuf.industries.	3600	in	nsec3	1 1 0 73 10TS28IA8RN2KVRHDB2E41B3OM0671SG NS DS RRSIG
0vj60s0fmsfv25f3pub578g6occbmnuf.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. mowUpAAEUdHKao1XY6h1umn7Rbw8OR6gFg5x9Csq5LptpWN9HJixlsa5bnOpWjV7J6bCcTFyHIiFzwX1PB+qXUMMN0AxSOIu9mliyMw6SC24PgkGVqrZ7eJwwtCGZnFqIPVz/qcyW6mUPIGslrGw9qnAz/JwLq5yorURvMDGGZc=
0xfdb.industries.	3600	in	ns	dee.ns.cloudflare.com.
0xfdb.industries.	3600	in	ns	simon.ns.cloudflare.com.
1016.industries.	3600	in	ns	ns37.domaincontrol.com.
1016.industries.	3600	in	ns	ns38.domaincontrol.com.
108.industries.	3600	in	ns	ns1024.ui-dns.de.
108.industries.	3600	in	ns	ns1035.ui-dns.org.
108.industries.	3600	in	ns	ns1084.ui-dns.biz.
108.industries.	3600	in	ns	ns1119.ui-dns.com.
10ts28ia8rn2kvrhdb2e41b3om0671sg.industries.	3600	in	nsec3	1 1 0 73 10U9E2SMGLOR4I8QVQSHUIU6OOU0U1F6 NS DS RRSIG
10ts28ia8rn2kvrhdb2e41b3om0671sg.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. JoEtbA9SmujzmU/AVS7QEX8CbOikBUFBShK3w7s9qlbUCcjWaBiWDd8wgCQ4jpcKpZIC/7Q0Ce/zrWHQexPkpigRUrbUskR+nibseTh/1IQKmMqq1TLXiZvdK9LiQunu4Evsvp+z4jwheHuEghnqX9wey2aQ1rqZKZUNBzkWz64=
10tv.industries.	3600	in	ns	ns-1225.awsdns-25.org.
10tv.industries.	3600	in	ns	ns-1776.awsdns-30.co.uk.
10tv.industries.	3600	in	ns	ns-44.awsdns-05.com.
10tv.industries.	3600	in	ns	ns-554.awsdns-05.net.
10u9e2smglor4i8qvqshuiu6oou0u1f6.industries.	3600	in	nsec3	1 1 0 73 10UO0DQFIJ5C5PDHUP1U6FF8KU4GFSTR NS DS RRSIG
10u9e2smglor4i8qvqshuiu6oou0u1f6.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. qInLJtDopMCH+04dH+eVLAGkoZbPu//eQ6b28pP3ksdJtfB6LRr1nVI5wW9qbJWsy79f3A2S6y4QWqGVtr+/fVq8Edh95aM1AJ756Ob82+ClhW9w9i+lpMJk/AuwQOFJcA0OufhmW6fJmQdo5ZHlB3FH53aSLMO+GKbqoMEgNc4=
10uo0dqfij5c5pdhup1u6ff8ku4gfstr.industries.	3600	in	nsec3	1 1 0 73 119N43LCCDSI4ENAS26ICG7UEDC1FT00 NS DS RRSIG
10uo0dqfij5c5pdhup1u6ff8ku4gfstr.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. UCVqaCip4PLmh9MtpzrukIziEviHWxzwW+gN8n52YwHg4XHpwLolW46wwmf+szbIVSX7+xn87g/i0tvIt5YbL4/YirGn8AUhY/KrLHxEoU6ruPfQ6Blekj9A3o6V2f5olh/75q44n1Zz5E27+gjB33SHz06Hbhc9oDR0gXdU+JM=
10x.industries.	3600	in	ns	curitiba.ns.porkbun.com.
10x.industries.	3600	in	ns	fortaleza.ns.porkbun.com.
10x.industries.	3600	in	ns	maceio.ns.porkbun.com.
10x.industries.	3600	in	ns	salvador.ns.porkbun.com.
110.industries.	3600	in	ns	ns-de.1and1-dns.biz.
110.industries.	3600	in	ns	ns-de.1and1-dns.com.
110.industries.	3600	in	ns	ns-de.1and1-dns.de.
110.industries.	3600	in	ns	ns-de.1and1-dns.org.
119n43lccdsi4enas26icg7uedc1ft00.industries.	3600	in	nsec3	1 1 0 73 1274DQ2MNVF2RV69ECHSNCK7S40NDH0D NS DS RRSIG
119n43lccdsi4enas26icg7uedc1ft00.industries.	3600	in	rrsig	NSEC3 8 2 3600 20250922153344 20250901143344 51426 industries. LOpwqBL6BCTuf+hyO7247dh6nLIVd6mDk9VvmPpfeDRibc5bKftl4MPQgm3kwOjEHit8gNZXaImADC+iKI5q9T+ttCBsodWogQDvF5VajPPoUxFWPbhjmkvy9KLw875RkcCnlOahmArLVnMQMvIB2WTnHQJHO6sORbpaTnge6Ik=
11alive.industries.	3600	in	ns	ns-1462.awsdns-54.org.
11alive.industries.	3600	in	ns	ns-1570.awsdns-04.co.uk.
11alive.industries.	3600	in	ns	ns-354.awsdns-44.com.
11alive.industries.	3600	in	ns	ns-817.awsdns-38.net.
123.industries.	3600	in	ns	ns3.afternic.com.
123.industries.	3600	in	ns	ns4.afternic.com.
