0v2lcfm4h5d8bbk13rkkg2h60p7c8nn0.camp.	3600	in	nsec3	1 1 0 73 101SL2F03GAIS07N122S25JMTGHMM421 NS DS RRSIG
0v2lcfm4h5d8bbk13rkkg2h60p7c8nn0.camp.	3600	in	rrsig	NSEC3 8 2 3600 20250922155624 20250901145624 8373 camp. dXFpFZpaulDDy1s1zcKfrkJZrfbXPcvSZ+UpOHv/ZYdTRixFjvLt/2Tq1yxAZzcU37Hgg2/33NkM68kGl7rUg7VTi0FizlQDsJWVhttp3k3of8iSUuJOwRm+064IWz3lzQd5gwM+N60/HlqW09AXUn34NFtebWTZP8bgEqcnTRM=
0x.camp.	3600	in	ns	helium.ns.hetzner.de.
0x.camp.	3600	in	ns	hydrogen.ns.hetzner.com.
0x.camp.	3600	in	ns	oxygen.ns.hetzner.com.
1.camp.	3600	in	ns	ns39.domaincontrol.com.
1.camp.	3600	in	ns	ns40.domaincontrol.com.
100.camp.	3600	in	ns	nico.ns.cloudflare.com.
100.camp.	3600	in	ns	stephane.ns.cloudflare.com.
1000trails.camp.	3600	in	ns	ns25.domaincontrol.com.
1000trails.camp.	3600	in	ns	ns26.domaincontrol.com.
100x.camp.	3600	in	ns	dns1.registrar-servers.com.
100x.camp.	3600	in	ns	dns2.registrar-servers.com.
101.camp.	3600	in	ns	jack.ns.cloudflare.com.
101.camp.	3600	in	ns	lily.ns.cloudflare.com.
101sl2f03gais07n122s25jmtghmm421.camp.	3600	in	nsec3	1 1 0 73 10S194RESVLG6MCIERK18D1NHFEO1EIP NS DS RRSIG
101sl2f03gais07n122s25jmtghmm421.camp.	3600	in	rrsig	NSEC3 8 2 3600 20250922155624 20250901145624 8373 camp. lLqVt2n3OHBgRkVWZyX2VywCh87CdJmXdOKSLiCLEpmPWUfKw0DwWH6sVtDNqXTiOae2zY5cKluCKDO0AcgNhWHnyL+DWtyknDh3Z1iqrbdehUDXKVekctJZSG/+iIR66SpEqKbSjpm327TmLgWa2Ei4GuJPyhGPI0D0kbnJg7g=
10s194resvlg6mcierk18d1nhfeo1eip.camp.	3600	in	nsec3	1 1 0 73 11OTHUJAB4JNREJIQG3R9B4LK68LFJ4C NS DS RRSIG
10s194resvlg6mcierk18d1nhfeo1eip.camp.	3600	in	rrsig	NSEC3 8 2 3600 20250922155624 20250901145624 8373 camp. BZiAor58pAKiQzv1ZX+mZBObGVYrFZ3Qdc+eNUY2KE9CVdsF/XaiocBlCx6gdL4kE9QzwaNa5CBH1JT+BISt+J2ibm2HPm8rKta3fQoR8dcxKPcILWdMQRQ2S72DAjE0j7DvuUDzZU5EEcOJIeX5JNGUEUO19NjC4Z9ZCu40wmM=
10x.camp.	3600	in	ns	dns1.registrar-servers.com.
10x.camp.	3600	in	ns	dns2.registrar-servers.com.
111.camp.	3600	in	ns	ns.inwx.de.
111.camp.	3600	in	ns	ns2.inwx.de.
111.camp.	3600	in	ns	ns3.inwx.eu.
11bet.camp.	3600	in	ns	yichun.ns.cloudflare.com.
11bet.camp.	3600	in	ns	zelda.ns.cloudflare.com.
11othujab4jnrejiqg3r9b4lk68lfj4c.camp.	3600	in	nsec3	1 1 0 73 11SJK78GCJB560RO2KUF30NT2UQ0E5HJ NS DS RRSIG
