0e0vmf0ad79pimgoo5akmdk33o23f3i1.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0E4LM8DSRB4DASGU9PF7IJGT98BL3GJ2 NS DS RRSIG
0e0vmf0ad79pimgoo5akmdk33o23f3i1.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. 8YPqgpLajzK8O6EzMl1E+3GKNDc264QSQgbureKkwE3drV36IefFCy3//XpcsThy/e4JuHF5zyciBGktsOd4oN0AzK5/OwSJIqIDmfp14PKnSP8gCYZa73TkOAOpOEoxM6Qa0NheOJ6xGrF/ry2dekVZcrBLhTOSKXFds7MW+8w=
0e4lm8dsrb4dasgu9pf7ijgt98bl3gj2.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0E6RRITGH286FKTJKE1GS1664R7JFNHP NS DS RRSIG
0e4lm8dsrb4dasgu9pf7ijgt98bl3gj2.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. XbNd6qROojbJaXL0v7EHQALC9qRy8WCc69IeA68vSUcYq7kJMaOQxRrijbjnibZ1WfXgBDRAy9urdWpz4aTxuOu0egiwYuBxn56YXlXcW4rUiftnxsvWB/Xg9D0RuFckic5htVlnEN2+R0X/4mAunRHRKpXG3630OEIp5gFRq30=
0e6rritgh286fktjke1gs1664r7jfnhp.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0F5MO12T06KP92MUSC6SQS1F5T0U09SA NS DS RRSIG
0e6rritgh286fktjke1gs1664r7jfnhp.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. V8hM3iFkmqbQGo/2S6q5UB7Sr9yZjTKcbpDX3arH1+A2VNirS/1c3ztsq83B/eH2v5jhocBXgeEsijie6WMXAFDHeYnIx9i5Mi/IZYrTzNKm3hL19FlHVW2jel9UmL04pLS8q9WLLXLJtik8zzYWGRPyElRQLOg83q3I6TFquFY=
0f5mo12t06kp92musc6sqs1f5t0u09sa.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0FAKLF1T1OPLONH0U98BGU5KQVT1CPE0 NS DS RRSIG
0f5mo12t06kp92musc6sqs1f5t0u09sa.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. REyZRsQZdRmXP9hzkN6sIaqurWevFaQ8fwSYOT8bSRgLPLBj0ApzK3gEWvGv669fpqomXARubScrVwlBKJeRJTdSAGdmv096n2GUght1/ZA6ZsXUI/d+grl7alEy7pYONqYrqnZQi4qbVtsDhUQcYPeOMpxl151L36kDWdEvJ+k=
0faklf1t1oplonh0u98bgu5kqvt1cpe0.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0FIKKBP23JFA298CFQJ0F146NP0GKI90 NS DS RRSIG
0faklf1t1oplonh0u98bgu5kqvt1cpe0.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. GahbKw7cWrYAUDjWUPgV7bjGHcmPpZhmG3IQheRT1IFVq2HpoU6EUUkmUJxznGnHwVQ2vL5gEYXyzQKQAF2V+cGlh27WqFDFcYmFJmIsthPDBsJeIeTI6Aqts/sVZ4Rz84+VKhTawNAuhn3X5oR8aEMylrI/cKsXvX000Q+LoMc=
0fikkbp23jfa298cfqj0f146np0gki90.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0FR8R373GRPC2Q93RVH17GQN8DMB7BUS NS DS RRSIG
0fikkbp23jfa298cfqj0f146np0gki90.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. 2hoksfeIJUSay+Ke05T1xuSfdWol7i5A9FTWMoFWEYk/h0KPR+8umr6eBV9Fk6s2WcGk1wVZiARYnEVjfZKzxHVON0rlqRxsH/v56ddSxFrof+V3pLVnVu2zdsckqCEmjMmYPQVS+3iLUOCAThfcU1mkjEvP0+eCZFMJAgXIo1c=
0fr8r373grpc2q93rvh17gqn8dmb7bus.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0FS1T8HLBVFES9VVP00Q28BGSDSM265V NS DS RRSIG
0fr8r373grpc2q93rvh17gqn8dmb7bus.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. lbK5rukt68WgTowNkXogr9wnbuNWzahhKhsNDw4WsydhWEdVdoVb2kqZzg94+ObnslUv2YCjJtaP2B08dtKvCz4e1sRlQAt44AsF+oTvBP0Wbub/taJ/qbjfpLhSFp+68QJpaHYunqy8qX2qTeZyW6OPp1VMlwOOjeLqrnqYbAk=
0fs1t8hlbvfes9vvp00q28bgsdsm265v.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0GB6HIQ5JTKEBO3BPC2OG4C89GRAO7M3 NS DS RRSIG
0fs1t8hlbvfes9vvp00q28bgsdsm265v.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. ZOeuvZUr7hl+LFk3oJrEdLQroqnbR33q6k63aJfIG4bXdMlPU5dWsuP1Y+xPw9kGub0fSfFBWAZZD46hc2A5Qq1MJoJPhTp/EqaYVffD6sfIWcSEOtV/hXAuROjHqAy6tMrIWn3npypsrZgeLr9SMzDSgXnIIbB+LKDMx3Refa4=
0g.foundation.	3600	in	ns	ns1.afternic.com.
0g.foundation.	3600	in	ns	ns2.afternic.com.
0gai.foundation.	3600	in	ns	elias.ns.cloudflare.com.
0gai.foundation.	3600	in	ns	virginia.ns.cloudflare.com.
0gb6hiq5jtkebo3bpc2og4c89grao7m3.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0HDDRR74UI3597M86FKB5LM744OV1MME NS DS RRSIG
0gb6hiq5jtkebo3bpc2og4c89grao7m3.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. fw2V0GJnAJaZ+m851PsqR5I/GQm888jvnDqadJDXVPMaBygptLsWppUy6I0JNKn/KLESG7Vv645s26B2nQciKhHoW2r5TLH6Y31J0dgnW88a1Daei7G/DNRQB+KTAjULQIXO7ZcmIroFpX/Zf9nPPQSX8Qqxx7Lf6MBMijxzT80=
0glabs.foundation.	3600	in	ns	pns1.regery.net.
0glabs.foundation.	3600	in	ns	pns2.regery.net.
0glabs.foundation.	3600	in	ns	pns3.regery.net.
0gnetwork.foundation.	3600	in	ns	alexandra.ns.cloudflare.com.
0gnetwork.foundation.	3600	in	ns	skip.ns.cloudflare.com.
0hddrr74ui3597m86fkb5lm744ov1mme.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0HDS1I9PF649871TKUEQHCKKNMV2KSLT NS DS RRSIG
0hddrr74ui3597m86fkb5lm744ov1mme.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. tWQXMIzBU4R9reVgQlL6PNarKgY9w3RCBt2HSB5Z0jagoqbbBptIaeoWWo8dbCl7MJ+wIESaHWUIonKyVQiU06msAzRT3M9CA74PugcQGp3XXd27ad0fFUXgtMu3+nB44q+HgwsQa93HNfcgV8qpDWzvO4p6YUTm8+rCZ+qCNHk=
0hds1i9pf649871tkueqhckknmv2kslt.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0HFP9BB150BGIV6GABDIKC6VPUEFL52P NS DS RRSIG
0hds1i9pf649871tkueqhckknmv2kslt.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. REOYhwfIgQ7cyR9Ezx//Wf6niL0qO5YkF4os1UJSUxOdR5nZz1Yd1quRusJoxcHcH5qjDjr0NZtqLndwehxR+k+ChOrcBD/g95POTWjcHir7UYiR9733/P9R1S8YWkK/y5M3zVzJiFQ8OjkYZBcHe6i0GvXCAr/rvhXWT0WKdSo=
0hfp9bb150bgiv6gabdikc6vpuefl52p.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0I9BKF1PR00MSVOGCT3O0CF498ROG29P NS DS RRSIG
0hfp9bb150bgiv6gabdikc6vpuefl52p.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. k1tEXIftIC6+cGAerJGf1NYJC/cEYvyx2LUjX2i2ve0CjZ9eRr+DoQwhNKoATFF9ZZ7Tphgs/8rm7A0iVVNNbQURTKtcpUmzm19hkRAnQwNmpfDoZV3K6HzT9RtwV9/7id21IglyipDdTJ0BsuhPVhU3RKdGOjTsUmv33O2Hpqc=
0i9bkf1pr00msvogct3o0cf498rog29p.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0IJ9Q5CH5HJQBAULBHDIU7PH0139U8E8 NS DS RRSIG
0i9bkf1pr00msvogct3o0cf498rog29p.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. Xney2JP2XZ05bGGeNH8rXx4ssnqLU8U227MQ9JciMmkkbP7coxDyjr6Ntb/vI4xDNHcYGwtpsKFmjCTC5bvxsPAf0oCjhO5Vxqv9Lw4B0iaraXU8HGZji2azKbZPubmUCql3XXcuc4wpuY1axbzI497ktJZNdO+KIAaL0vrbgc0=
0ij9q5ch5hjqbaulbhdiu7ph0139u8e8.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0J6ME7A8M4URVITHUPFSNL7GEFJHBAT1 NS DS RRSIG
0ij9q5ch5hjqbaulbhdiu7ph0139u8e8.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. zGJR/4/BcQHIZY0BoZfy4DzBQ8FrR9Cbwoo/tjqz/3s3NVmlZ/gb9mpEBaP975B6/Lumwj/jcic+6/MzFH0HkxxuyZTnISC5+7HFIb+4NPV5do4x2njqx9pbzz4sanXqHuQx2g5jnodqErVZKEhdiU4I7AoF1ZhuMzpFBMZehfI=
0j6me7a8m4urvithupfsnl7gefjhbat1.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0JF48I4T3MREU2H2L1J2RUVLIC5A5JIQ NS DS RRSIG
0j6me7a8m4urvithupfsnl7gefjhbat1.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. 5wJDob+hfjC47WHR9SAFoG7/nQp3Kq4AlPa8K/mJwG/UFpRAwrncdw48CNE6omNIV2WUw2IIKR5LWNq052VJESmgm35RYhJC2sWANPcc7aoI86iXaULWQGL9pUqu5tz6KqSUAtQ6eH6z/RWP/CDaHCHBK7wxk4umCOZCxc8YrPQ=
0jf48i4t3mreu2h2l1j2ruvlic5a5jiq.foundation.	3600	in	nsec3	1 1 0 332539EE7F95C32A 0JOSR3ET8K34VG0MK7MDKD2M6M9G9DQU NS DS RRSIG
0jf48i4t3mreu2h2l1j2ruvlic5a5jiq.foundation.	3600	in	rrsig	NSEC3 8 2 3600 20260122161324 20260101151324 64575 foundation. j1JG5yXgPFHA9a7gW54AhuWNBJtmx3NYz1LPeWvmBLa3lzc+XGO/cIXdr6j5l3TVdsFYMCwcb6rWavpHaT0lkrFLs6zrnbCrR2HyPn4NuY1maG+PhdstNhn20uLzdv37hVkG6e9B9x2U3m2SUY4mOeMDSRtz2vKkdxCoJfWk5Bo=
