00rasfk076g0fflevfm7hm26mvaldt7k.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. VOrqGab6rsW/vBxzI6K4yyb81Ubb6zUxTOoDKl4qbMRebGJn1YMZOdJtRDC9tXCCFp+FAN1QT6+CWdZ6K41TGCAhQOXpNrlewnko54J5R9UZGijsiXGl9cU/I/77uTQDQ7ukgImFb0XtkCPacalfFKbePYb5rWwu1XY9kQN+aJQ=
00trjopf1g4nkba6q9qj3c94vek0eecq.wtf.	3600	in	nsec3	1 1 0 73 00UP7QK61CU6J42CU80E3UHUG48U5JMH NS DS RRSIG
00trjopf1g4nkba6q9qj3c94vek0eecq.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. eA6498G105LWqBnOo62NfxI58hFmLgMoURk2prW70sXUOjYaDRljqX5G0ksseozF/K1Fe1ZCVW9ST1Nx6pZtGMCGuiCJIZ0k1Ifxsg+geob5Qt22XSXu9OP2aSW3yHjccqYUCENyNTYDWH3q5KaHbD9/skHr1OBmFYNPAvEkQ10=
00up7qk61cu6j42cu80e3uhug48u5jmh.wtf.	3600	in	nsec3	1 1 0 73 0106MLFU5JO38EVGH94ERRFJFULEL9U6 NS DS RRSIG
00up7qk61cu6j42cu80e3uhug48u5jmh.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. EEvGK+MDJ54fRU5qtpYDJsCAxFAe0c8Mac08vSnVDDfOTuW7duAedgJTW2bwsY7C2RNNCRO9hUjDN1miCnDdOYFRZOSbdejKxvlyMsxRVj4myG29nqIym4RmdGODYxm1Dj3jkkOJ+t3EeZpjSgYw3H4iJhHUsQauz/clsZs4RU0=
01.wtf.	3600	in	ns	ns1.digitalocean.com.
01.wtf.	3600	in	ns	ns2.digitalocean.com.
01.wtf.	3600	in	ns	ns3.digitalocean.com.
010.wtf.	3600	in	ns	ns1036.ui-dns.org.
010.wtf.	3600	in	ns	ns1056.ui-dns.com.
010.wtf.	3600	in	ns	ns1063.ui-dns.biz.
010.wtf.	3600	in	ns	ns1084.ui-dns.de.
