1a9mh0vcv5jq2g6kh2m6iiqu6mm3ffqb.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. Rf4wnbjvp0E4f0mVAr5tjCu8wUnB1zzaajWvvyOWg7ZlYA+/rGIU9lC9tp2ZwCKO571JEPkp2cv0iZrhq78aBR2nEyuhkhayCPi7L0vZ2NSByFtRiS8v9EGoN870nysaHQLkanPGRhmT27lXv3winr77BAAWfwtCp1XreS5F1p0=
1bson3en04i6qbi7ok4tgiug1v0gbmvl.lighting.	3600	in	nsec3	1 1 0 73 1EVAOCVHJEVT9J3K13R5HI92G8NTMBGL NS DS RRSIG
1bson3en04i6qbi7ok4tgiug1v0gbmvl.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. cS75lPcBA+CxUNY/yHe7nDxB7ncVwuCAmVAGwgVFNVQcCAuacREwh8Kjerjru5bW2a+Gv/rEs4flpYLENZ9ekI4sBKDPl4IuI8n52jk29kbQ/EqO8z/fyADRrCu3y4AQdFAoMrXv3gBLFsmYrmooEEPLZ8U0wOD9UoKxlNFBXD4=
1d.lighting.	3600	in	ns	dns1.registrar-servers.com.
1d.lighting.	3600	in	ns	dns2.registrar-servers.com.
1evaocvhjevt9j3k13r5hi92g8ntmbgl.lighting.	3600	in	nsec3	1 1 0 73 1G2UM9H6MBDPDNSC83UCFA2859UL4INM NS DS RRSIG
1evaocvhjevt9j3k13r5hi92g8ntmbgl.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. KwcJqhb8kMTikT+Bd2+FvQUZ6kAIeyqSLnt79tsExsvZEqewuaRDfO8pdMn8eubl66NB7GxxOGXM5z6o6KJM9qEsw4bACdymotb8R+szepULCeiV/nvv5Ep85fzCP3BXKTsmpw8H9xDyiL4v6MXIjf+CPsGvjEjAqvFVI51EUGM=
1g2um9h6mbdpdnsc83ucfa2859ul4inm.lighting.	3600	in	nsec3	1 1 0 73 1IOO90QKD79G15M5T42Q8RNC1C7O9BS3 NS DS RRSIG
1g2um9h6mbdpdnsc83ucfa2859ul4inm.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. QjMs2WOAF7GMQu1dEx0rttM0hx9ZbLnuRDjEoQ1cEJ8KHc+IopXo8Zb7a8mC3XI2ceTuXrywgQrWxkWaOP/mDwGh/Mw22hxfnFwXFb6FgIU67WYHGy32pf8yUG0q9hgyXAfrKZYLfsV5MKYVxvfJ4GB3wKIyhkxiXqN32x3onUw=
1ioo90qkd79g15m5t42q8rnc1c7o9bs3.lighting.	3600	in	nsec3	1 1 0 73 1K2K6SE1VR2AO0CJIBJNO9TDM8A2SFOI NS DS RRSIG
1ioo90qkd79g15m5t42q8rnc1c7o9bs3.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. lh5MO2XAf7yYyJEAakQAtS+PSTz0h4ngmLYpi082SdRxOAIotuuj4729aJRJUN51pL/CopVAhLJIObTxGDI22A4g2eBRpOUd77AbJ0PHHIqOzGTireuHzH6bPDesa5AaucilNHtcudxhBrWTaXmk+4yDJyMyyvr8OChLsq9xMLo=
1k2k6se1vr2ao0cjibjno9tdm8a2sfoi.lighting.	3600	in	nsec3	1 1 0 73 1LSETT38P8ERS87N93NN9S5MQI482H3Q NS DS RRSIG
1k2k6se1vr2ao0cjibjno9tdm8a2sfoi.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. G+GgBSJMNeoBHUfMYhcvDYFK3S8aSiGyFoulFT/0HR/bUMvntD7sj+8wNe14p8fqKF/GGuBo9tDxDpCWZaFNpZjfm144AtvwA7fEbhyFb6plFW0XNMDVR5QpT9byC2ncdYU1YPzzSqZzQUnY/e0PW7lAQBNeetOo1FlOehup2ms=
1lsett38p8ers87n93nn9s5mqi482h3q.lighting.	3600	in	nsec3	1 1 0 73 1M93A539D6TBDU96QTN5T78S6QAH086G NS DS RRSIG
1lsett38p8ers87n93nn9s5mqi482h3q.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. RUXbmPG4rG3hjFbSzQg9/790P9lfqzujQddxBc/V7wvsKpFz3GGGNzoM7/5lhbC+yyqFhPRqhodZGJ3sqgxcsCADQ9IfIf+w1yL8ZLRAMu+JygIzU7l64HiOy32wg0DvYYZ2KRlbNYBPAfTx4H0aHKlh3jBHuXdWZKzm8jCzZ1s=
1lux.lighting.	3600	in	ns	ns39.domaincontrol.com.
1lux.lighting.	3600	in	ns	ns40.domaincontrol.com.
1m93a539d6tbdu96qtn5t78s6qah086g.lighting.	3600	in	nsec3	1 1 0 73 1UI6OG218VH05OEJ2C93BS8ROC9MNTV2 NS DS RRSIG
1m93a539d6tbdu96qtn5t78s6qah086g.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. Ki1VMbd+XVADB7xQJ/dFbR2muiBManJ1KQ6e0aWzpKZnBKzVfDfregLCQiv2jcIlEGI11jRln4dEuXtYpWWrfJxiMcxYWUP2Ydus9JornGdZI6Vv19jf1JAheALAxqPxbl/+x5eYRmQIjbUIOv7l95EGu6BiOoexP0HdhY8lWAM=
1stop.lighting.	3600	in	ns	pdns05.domaincontrol.com.
1stop.lighting.	3600	in	ns	pdns06.domaincontrol.com.
1ui6og218vh05oej2c93bs8roc9mntv2.lighting.	3600	in	nsec3	1 1 0 73 1VTVT7RP3T37G56ULDPA9NPEK31KU0VM NS DS RRSIG
1ui6og218vh05oej2c93bs8roc9mntv2.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. HnwBsmvHWlpVhT2hVmC4cGVYWBUfXvAoY8jyHQ9gX+qGa45+WPxLeerB1PWBHlcwHgC7hEVUBPjcGHAWo+Xaj/h5q8xGEFQwd0MZYup5aug18ojvWLhj4s/q9ZlbZcgvdUyABBUn08l9Cb8pl6foWd7ug+hfHbze/uAh8eSW3AY=
1vtvt7rp3t37g56uldpa9npek31ku0vm.lighting.	3600	in	nsec3	1 1 0 73 21D6AAP5V3ONFUOJJD1MGUKT56TU372A NS DS RRSIG
1vtvt7rp3t37g56uldpa9npek31ku0vm.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. fvovcrxrnyPino810oJg4s/JqHp7uMMbASw1wCvviX55qOpcH5l4zfJ2xzu/G7scPV5iZAWguKiw+LF/OFLcaRv5vLAZZ3w1AiDaUyHbG4fdTZD4shqw43qcwrJR78sm6L69XBcQlOIMv44esz8msAsMGKuAWixwB2O5tI9BdGU=
212.lighting.	3600	in	ns	ns1.xserver.jp.
212.lighting.	3600	in	ns	ns2.xserver.jp.
212.lighting.	3600	in	ns	ns3.xserver.jp.
212.lighting.	3600	in	ns	ns4.xserver.jp.
212.lighting.	3600	in	ns	ns5.xserver.jp.
21d6aap5v3onfuojjd1mgukt56tu372a.lighting.	3600	in	nsec3	1 1 0 73 231QM9DP7M0811S6OG8H4L6TJSBKROG8 NS DS RRSIG
21d6aap5v3onfuojjd1mgukt56tu372a.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. P1yvLOx9fpn95Z7yJuRlsMY4hJMRe5PmEajhrenHA+RVLgN4faiQOlG4FscQ5KR9UQ3djTq7UqKJ19KSub0izgMe75n5+hHeD/Rw0m2bJPSNGVtF6qGjRsn8sgC63zGQYw7nBJlPYYqbn1g06oKyDdVEf7cO7kwvxMadnZa7TRE=
231qm9dp7m0811s6og8h4l6tjsbkrog8.lighting.	3600	in	nsec3	1 1 0 73 25A4VUG6378RBCJ588OS66LVTMBTDM59 NS DS RRSIG
231qm9dp7m0811s6og8h4l6tjsbkrog8.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. EzyugFyQbgbnIgJB+HHb9DfeqpypodBK5Hq7Rezpz/fQKqe+nR8HLJL0U2Mg9iDsSD04cyAcSxNx+6qTrOc8MSAy4ctz42G4geS/iitfjdUtc6Qh8/XuUH2mEBTHk84AqlACUqsT8P2+OAp9oKqIzr442MlaZLUrFzlT1KdeJyo=
23win.lighting.	3600	in	ns	aaron.ns.cloudflare.com.
23win.lighting.	3600	in	ns	kay.ns.cloudflare.com.
247.lighting.	3600	in	ns	ns17.domaincontrol.com.
247.lighting.	3600	in	ns	ns18.domaincontrol.com.
25a4vug6378rbcj588os66lvtmbtdm59.lighting.	3600	in	nsec3	1 1 0 73 28L112KBK0L5H12AITHQ7TS0OV8LUU3B NS DS RRSIG
25a4vug6378rbcj588os66lvtmbtdm59.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. Hh48XrIKnw42A5i5ws8H6R9xD+LfBwYw93VYLRS9YcjCFoD5oI4QEWWLcrjAQkwrtJMnixtS3xeR8UFO816VbGMYByciSnytR725DFhV+qaXP51b5Ww2ihQnj/hAcQV7e+c959iYtv7No7vMvUDfCyDx8nJRh2JSlfGaODcag24=
28l112kbk0l5h12aithq7ts0ov8luu3b.lighting.	3600	in	nsec3	1 1 0 73 2927LHKMBSRIUBCCRF71JP3NNLGQ2UN4 NS DS RRSIG
28l112kbk0l5h12aithq7ts0ov8luu3b.lighting.	3600	in	rrsig	NSEC3 8 2 3600 20250930160103 20250909150103 23679 lighting. Vv6Hg9MmBAtx77D2KPDlrQHGyIdBafYOFLQeDi75STw0qlDw5gi265pzs0M5ks89r9ES+YQTuH0IsGMP+To0jb/T7ob5VqpuRjsgPP8cmoB76QFnCvDeoFo0in1opdTe6eMpekoGO9YB3lZdcigCDbbFfseTYM0rTCQlRbYwKZ0=
29.lighting.	3600	in	ns	ns.inwx.de.
29.lighting.	3600	in	ns	ns2.inwx.de.
29.lighting.	3600	in	ns	ns3.inwx.eu.
2927lhkmbsriubccrf71jp3nnlgq2un4.lighting.	3600	in	nsec3	1 1 0 73 2GQMJORG7VB3B8V2CMTD09U3EVG5PPJ4 NS DS RRSIG
