adeolu.istanbul.	3600	in	ns	ns33.domaincontrol.com.
adeolu.istanbul.	3600	in	ns	ns34.domaincontrol.com.
adesso.istanbul.	3600	in	ns	ns1.turkticaret.net.
adesso.istanbul.	3600	in	ns	ns2.turkticaret.net.
adilbeyholding.istanbul.	3600	in	ns	ns1.ihsdnsw1.com.
adilbeyholding.istanbul.	3600	in	ns	ns2.ihsdnsw1.com.
adjustmentbureau.istanbul.	3600	in	ns	pdns03.domaincontrol.com.
adjustmentbureau.istanbul.	3600	in	ns	pdns04.domaincontrol.com.
adlitip.istanbul.	3600	in	ns	eu.dnsenable.com.
adlitip.istanbul.	3600	in	ns	tr.dnsenable.com.
adlitip.istanbul.	3600	in	ns	us.dnsenable.com.
admin.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
admin.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
adnanpolat.istanbul.	3600	in	ns	ns1.natrohost.com.
adnanpolat.istanbul.	3600	in	ns	ns2.natrohost.com.
adonis.istanbul.	3600	in	ns	janus.radore.com.
adonis.istanbul.	3600	in	ns	mimas.rh.com.tr.
adonis.istanbul.	3600	in	ns	titan.radore.com.
adopen.istanbul.	3600	in	ns	eu.dnsenable.com.
adopen.istanbul.	3600	in	ns	tr.dnsenable.com.
adorn.istanbul.	3600	in	ns	ns07.domaincontrol.com.
adorn.istanbul.	3600	in	ns	ns08.domaincontrol.com.
adpgroup.istanbul.	3600	in	ns	ns15.domaincontrol.com.
adpgroup.istanbul.	3600	in	ns	ns16.domaincontrol.com.
adr.istanbul.	3600	in	ns	ns61.domaincontrol.com.
adr.istanbul.	3600	in	ns	ns62.domaincontrol.com.
adsense.istanbul.	3600	in	ns	ns1.googledomains.com.
adsense.istanbul.	3600	in	ns	ns2.googledomains.com.
adsense.istanbul.	3600	in	ns	ns3.googledomains.com.
adsense.istanbul.	3600	in	ns	ns4.googledomains.com.
adv.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
adv.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
advak.istanbul.	3600	in	ns	ns1.natrohost.com.
advak.istanbul.	3600	in	ns	ns2.natrohost.com.
advakfi.istanbul.	3600	in	ns	ns1.ihsdnsw1.com.
advakfi.istanbul.	3600	in	ns	ns2.ihsdnsw1.com.
advantis.istanbul.	3600	in	ns	eu.dnsenable.com.
advantis.istanbul.	3600	in	ns	tr.dnsenable.com.
advantis.istanbul.	3600	in	ns	us.dnsenable.com.
adventure.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
adventure.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
adventures.istanbul.	3600	in	ns	expired1.dnsenable.com.
adventures.istanbul.	3600	in	ns	expired2.dnsenable.com.
advice.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
advice.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
adviser.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
adviser.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
advisor.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
advisor.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
advocate.istanbul.	3600	in	ns	pdns11.domaincontrol.com.
advocate.istanbul.	3600	in	ns	pdns12.domaincontrol.com.
advokatvturcii.istanbul.	3600	in	ns	ns53.domaincontrol.com.
advokatvturcii.istanbul.	3600	in	ns	ns54.domaincontrol.com.
adwords.istanbul.	3600	in	ns	ns1.googledomains.com.
adwords.istanbul.	3600	in	ns	ns2.googledomains.com.
adwords.istanbul.	3600	in	ns	ns3.googledomains.com.
adwords.istanbul.	3600	in	ns	ns4.googledomains.com.
aecsd-ameda-2024.istanbul.	3600	in	ns	ns1.metunic.com.tr.
