gal.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2509110038 7200 7200 604800 900
02pfd019n5fifsuo0v8v0461mtem5htd.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. MJsT9idhQTsy9S+xjwKPZtpqmJbQhguDZK8QY2qhxamvU2VOFZsaJn8q/SSJ0NLmtqMcZNQlWirX0H+8MBbS6Qlr3RmI0cksLiGIn96NH844FH6FBdWZJBFh/QkDdj4j0dqi5Kn7vewkW2eZxjrE+MEDbHoMFZjXqzA2NOa8NFa4roxwWlLg0v0kQ50dBaFCmIiBJFPCGtutiz+jYaSjQQ==
02s6b33tbp6aai46jos608n0mnreh23s.gal.	43200	in	nsec3	1 0 0 - 02TKBREGQQI5S9KVLAM3A1J75V6FUH2J NS
02s6b33tbp6aai46jos608n0mnreh23s.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. oJmUkhJujEBY7FT0bwGxqt2Ps1zBlKAmvd+sb/Zw+U/LtwCllZTAG3xQofzJXsUNAAbiiavmAbfenX4dK65qVZUWuxbhU4X786WEWOVWCrePKaN1aDoUI1wfrpJf9q404tD6ekwsghwWrIs74Sig6oC7Ypq/5ByJjXtrfy2U//vJmUoWRHnWkZBhEmRjmIvzTXWVBZgEpx77c76uypX/Fw==
02tkbregqqi5s9kvlam3a1j75v6fuh2j.gal.	43200	in	nsec3	1 0 0 - 0362RRUBTO82KGVNTLTK0A62T0R0N00A NS
02tkbregqqi5s9kvlam3a1j75v6fuh2j.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. uC3Jty4bS7ieWhUawtUm8ls3s014uHTguIqtpfT5VKtf1a44vGc7tCcOOEV0by2G76+R/Zc04Y35ZgsBjW3NXAq8hfuytpVIM0J7HZ+HTqXOXQGf3dg9QH08Dj+wbKSTYNYJtMsFN+PjVCu2SzVeZT0/2kiemgVsFGjCalZxDLnQLgg5lLydsXsk6noe7WKpOeTZhK2Kx0eki6ozgaJxyA==
0362rrubto82kgvntltk0a62t0r0n00a.gal.	43200	in	nsec3	1 0 0 - 038FGBS94384I2SHKR894QPBEFLMDH2D NS
0362rrubto82kgvntltk0a62t0r0n00a.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. SMWfTiyT4s+BXgDoEEzKf8V5XlHgZb9LIhbJ3pNATNSDCG709PKN0KyDk21qYU1Dnq2acl3adUlXWysbDRR0HWVQQNrMebS9x0is6rpecRMJaGukXHTFC2mIyvTmdWj4d0LtsvqMxo9J810/1fjfZKQ0ClVoCLBQhQUfpgu/lO6ThYYWor7MTTB4YoGpCzopBnz4F1JV3WICPfsQOVeUbA==
038fgbs94384i2shkr894qpbeflmdh2d.gal.	43200	in	nsec3	1 0 0 - 03F443DHQUPPBEUR020R0VMJC5OF4PGB NS
038fgbs94384i2shkr894qpbeflmdh2d.gal.	43200	in	rrsig	NSEC3 10 2 43200 20250924064552 20250910064552 8253 gal. UtxxLYbb2/6+OCPLcoE/sEtbhOsFrxXfWG/CB5Xd2hZ9fOx8cmxDAj2G/qGLx6E957Nf701cJ/8wubKxjU3L2otZfmygg6ZSAk6vOr4q5OP5EwWDF1N0Ftmn/rCpvWIfn1dLdwF/3qu2ag3uG/IC2ZOvL47HsUe3P2Pl8QzCpzip/mOz8nISyruBKSL+kurftyU2iSC4Yi41ylhF3EsMhw==
03f443dhquppbeur020r0vmjc5of4pgb.gal.	43200	in	nsec3	1 0 0 - 03FBCLCJ2R78GGA3IOVQGPRVRQJFRH3O NS
