gucci.xn--rhqv96g.	86400	in	ns	ns1.barbero.zone.
gucci.xn--rhqv96g.	86400	in	ns	ns2.barbero.zone.
harmonyos.xn--rhqv96g.	86400	in	ns	ns1.gxkjdns.com.
harmonyos.xn--rhqv96g.	86400	in	ns	ns2.gxkjdns.com.
hopscotch.xn--rhqv96g.	86400	in	ns	a.dns.gandi.net.
hopscotch.xn--rhqv96g.	86400	in	ns	b.dns.gandi.net.
hopscotch.xn--rhqv96g.	86400	in	ns	c.dns.gandi.net.
hopscotchgroupe.xn--rhqv96g.	86400	in	ns	a.dns.gandi.net.
hopscotchgroupe.xn--rhqv96g.	86400	in	ns	b.dns.gandi.net.
hopscotchgroupe.xn--rhqv96g.	86400	in	ns	c.dns.gandi.net.
instagram.xn--rhqv96g.	86400	in	ns	a.ns.facebook.com.
instagram.xn--rhqv96g.	86400	in	ns	b.ns.facebook.com.
instagram.xn--rhqv96g.	86400	in	ns	c.ns.facebook.com.
instagram.xn--rhqv96g.	86400	in	ns	d.ns.facebook.com.
intuit.xn--rhqv96g.	86400	in	ns	ns1.markmonitor.com.
intuit.xn--rhqv96g.	86400	in	ns	ns2.markmonitor.com.
intuit.xn--rhqv96g.	86400	in	ns	ns3.markmonitor.com.
intuit.xn--rhqv96g.	86400	in	ns	ns4.markmonitor.com.
kleber.xn--rhqv96g.	86400	in	ns	ns7.01isp.com.
kleber.xn--rhqv96g.	86400	in	ns	ns8.01isp.net.
knk.xn--rhqv96g.	86400	in	ns	ns1.domaindiscount24.net.
knk.xn--rhqv96g.	86400	in	ns	ns2.domaindiscount24.net.
knk.xn--rhqv96g.	86400	in	ns	ns3.domaindiscount24.net.
kormoran.xn--rhqv96g.	86400	in	ns	ns7.01isp.com.
kormoran.xn--rhqv96g.	86400	in	ns	ns8.01isp.net.
kpmg.xn--rhqv96g.	86400	in	ns	ns10.go.kpmg.com.
kpmg.xn--rhqv96g.	86400	in	ns	ns20.go.kpmg.com.
kpmg.xn--rhqv96g.	86400	in	ns	ns30.go.kpmg.com.
linkedin.xn--rhqv96g.	86400	in	ns	ns1-42.azure-dns.com.
linkedin.xn--rhqv96g.	86400	in	ns	ns2-42.azure-dns.net.
linkedin.xn--rhqv96g.	86400	in	ns	ns3-42.azure-dns.org.
linkedin.xn--rhqv96g.	86400	in	ns	ns4-42.azure-dns.info.
lungwahhotel.xn--rhqv96g.	86400	in	ns	ns1.01isp.com.
lungwahhotel.xn--rhqv96g.	86400	in	ns	ns2.01isp.net.
mafra.xn--rhqv96g.	86400	in	ns	ns.dominiando.asia.
mafra.xn--rhqv96g.	86400	in	ns	ns.dominiando.it.
mafra.xn--rhqv96g.	86400	in	ns	ns.dominiando.uk.
mafra.xn--rhqv96g.	86400	in	ns	ns.dominiando.us.
mage.xn--rhqv96g.	86400	in	ns	ns1.iwantmyname.net.
mage.xn--rhqv96g.	86400	in	ns	ns2.iwantmyname.net.
mage.xn--rhqv96g.	86400	in	ns	ns3.iwantmyname.net.
mage.xn--rhqv96g.	86400	in	ns	ns4.iwantmyname.net.
marlboro.xn--rhqv96g.	86400	in	ns	dns1.cscdns.net.
marlboro.xn--rhqv96g.	86400	in	ns	dns2.cscdns.net.
michelin.xn--rhqv96g.	86400	in	ns	dns1.cscdns.net.
michelin.xn--rhqv96g.	86400	in	ns	dns2.cscdns.net.
microsoft.xn--rhqv96g.	86400	in	ns	ns1-01.azure-dns.com.
microsoft.xn--rhqv96g.	86400	in	ns	ns2-01.azure-dns.net.
microsoft.xn--rhqv96g.	86400	in	ns	ns3-01.azure-dns.org.
microsoft.xn--rhqv96g.	86400	in	ns	ns4-01.azure-dns.info.
missoni.xn--rhqv96g.	86400	in	ns	dns.missoni.it.
missoni.xn--rhqv96g.	86400	in	ns	dns2.missoni.it.
nic.xn--rhqv96g.	86400	in	ds	27565 8 2 D2A90E3B2A442D3AC2C1ACC4F3E8223FC3EF88C5BEA24715A5AB96EC84646A95
nic.xn--rhqv96g.	86400	in	ds	33427 8 2 EBAB4B0D61615C1344174D121A54C5EFB68CDCD64577FF18F01C367977D548B3
nic.xn--rhqv96g.	86400	in	ns	ns.nic.xn--rhqv96g.
nic.xn--rhqv96g.	86400	in	ns	ns2.nic.xn--rhqv96g.
nic.xn--rhqv96g.	86400	in	rrsig	DS 8 2 86400 20250830052531 20250815170031 18219 xn--rhqv96g. xJf1Y/wDPGOpZNIL6fVxE7+8ApR0Yydi0V51ZPy2GvNJ1UcdYdHfAjTJ1AKmnNGG7ML/OxVJFWf5pv5ANSJz0z6gNp59zBpFKFFzDxJka/I3N1JNS96pv8+wNesuYgPgKfZ7rMs3r0dpieuGuROTumwNVSv6kMoSnQB3ZMb4iXHmc0uv8cLxdHVVsQfzMF6VToX10RqCYfs70bhDqJc+phLVyvUniGhwr5mnJH7Lw33Gokp158D+/dFAItmouajGCgeupUix0NO+CySpPgI4e9ILlwHQKyHuBC7DAPVt1H4D+ADTXli+MmqAVlCouhE4pNzgiaK4FID5+B5IOG5LEA==
ns.nic.xn--rhqv96g.	86400	in	a	103.61.60.1
ns.nic.xn--rhqv96g.	86400	in	aaaa	2402:7d80:0000:0000:0000:0000:0000:0001
ns2.nic.xn--rhqv96g.	86400	in	a	103.61.61.1
ns2.nic.xn--rhqv96g.	86400	in	aaaa	2402:7d80:8888:0000:0000:0000:0000:0001
oculus.xn--rhqv96g.	86400	in	ns	a.ns.facebook.com.
oculus.xn--rhqv96g.	86400	in	ns	b.ns.facebook.com.
oculus.xn--rhqv96g.	86400	in	ns	c.ns.facebook.com.
oculus.xn--rhqv96g.	86400	in	ns	d.ns.facebook.com.
oculusrift.xn--rhqv96g.	86400	in	ns	a.ns.facebook.com.
oculusrift.xn--rhqv96g.	86400	in	ns	b.ns.facebook.com.
oculusrift.xn--rhqv96g.	86400	in	ns	c.ns.facebook.com.
oculusrift.xn--rhqv96g.	86400	in	ns	d.ns.facebook.com.
oculusvr.xn--rhqv96g.	86400	in	ns	a.ns.facebook.com.
oculusvr.xn--rhqv96g.	86400	in	ns	b.ns.facebook.com.
oculusvr.xn--rhqv96g.	86400	in	ns	c.ns.facebook.com.
oculusvr.xn--rhqv96g.	86400	in	ns	d.ns.facebook.com.
pandaexpress.xn--rhqv96g.	86400	in	ns	ns1.lexsynergy.net.
pandaexpress.xn--rhqv96g.	86400	in	ns	ns2.lexsynergy.us.
pandaexpress.xn--rhqv96g.	86400	in	ns	ns3.lexsynergy.info.
pinduoduo.xn--rhqv96g.	86400	in	ns	ns1.gxkjdns.com.
