2minute.dentist.	3600	in	ns	ns14.domaincontrol.com.
3012642.dentist.	3600	in	ns	ns1.wordpress.com.
3012642.dentist.	3600	in	ns	ns2.wordpress.com.
3012642.dentist.	3600	in	ns	ns3.wordpress.com.
342jvn9isv2v4vo3prlv8n9vps2tl52e.dentist.	3600	in	nsec3	1 1 0 73 35J4S3V8JNL9GROLHVS65EI31AJUSALC NS DS RRSIG
342jvn9isv2v4vo3prlv8n9vps2tl52e.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. D42hPSTc20C2PaOerkX4UQQJ1o5/QFtI8AlG67yL3mLjPfIK7RqK4zr9pXIm0ShJzxMDt2OTyfX7zi33TlUqurmn1GJdiDDoe/Fzmuz1PfEnR76PlyBrP8NKPpHUbbN5gf71XVlNZhZXFV1xo4VNLZIeHV/vUvmV8hp1meYpnkQ=
35j4s3v8jnl9grolhvs65ei31ajusalc.dentist.	3600	in	nsec3	1 1 0 73 3BA93DBFD00LI24UCI8L1AJHSRGMI825 NS DS RRSIG
35j4s3v8jnl9grolhvs65ei31ajusalc.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. FZyHfqlnos2rzscjaqP9ZzHrrt5q1Y1y5dKuhtXD+j7puAC+391hz2WkeWFxsjUu+fnS3NRvi7TwESSyLy5U7E69TDpihPyEOJG2csHsctXM4hxgNZP3nov/PoYO0cTbWCa7PddsXOmGEwRrqB52VMdPOxRjCPES9V6Oa54BYN8=
360gradzahn.dentist.	3600	in	ns	ns01.agenturserver.co.
360gradzahn.dentist.	3600	in	ns	ns01.agenturserver.de.
360gradzahn.dentist.	3600	in	ns	ns01.agenturserver.it.
365.dentist.	3600	in	ns	ns-us.1and1-dns.com.
365.dentist.	3600	in	ns	ns-us.1and1-dns.de.
365.dentist.	3600	in	ns	ns-us.1and1-dns.org.
365.dentist.	3600	in	ns	ns-us.1and1-dns.us.
3ba93dbfd00li24uci8l1ajhsrgmi825.dentist.	3600	in	nsec3	1 1 0 73 3CLUI82VJOPB16VOEH81K72EIVGGKGB9 NS DS RRSIG
3ba93dbfd00li24uci8l1ajhsrgmi825.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. R6skkSK3n0LKtY8ejt/xtmXzB0Z8ZbKwqnFT3soVsmutI8a4+5z2pR0IPGdQv2wIKw935UejphgPZ/X1c2Gdv74iK0C4Ij4QTcFWgZfiQavZGcTtBEcFtCfkTqhoRfxPJbYuI0E5vmjRfUxI9MtbjkWnAJc1b18ykkvccI/ZAhQ=
3clui82vjopb16voeh81k72eivggkgb9.dentist.	3600	in	nsec3	1 1 0 73 3F1LGEMF72DNDGA2UL9QBOP9P0OEH1A3 NS DS RRSIG
3clui82vjopb16voeh81k72eivggkgb9.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. JVtnxt4xmmAqycm6sXpP1tjs45fJiazzfc9yH2jGRwIaD5zVLagt+RpDAMfV0Xet+4BhhOmOf7eJ40Ix1s8zOtqf5BtRg2NZOq1AufwVErV8BMJfweUzMZbxfrbKhWp3hfjRjlTr0IPAPSL/Iv2WqdgnL0fBi9omE0PWmbKkLlg=
3cx.dentist.	3600	in	ns	alina.ns.cloudflare.com.
3cx.dentist.	3600	in	ns	augustus.ns.cloudflare.com.
3ddental.dentist.	3600	in	ns	ns13.domaincontrol.com.
3ddental.dentist.	3600	in	ns	ns14.domaincontrol.com.
3ddentaltech.dentist.	3600	in	ns	ns59.domaincontrol.com.
3ddentaltech.dentist.	3600	in	ns	ns60.domaincontrol.com.
3ddx.dentist.	3600	in	ns	dns1.name-services.com.
3ddx.dentist.	3600	in	ns	dns2.name-services.com.
3ddx.dentist.	3600	in	ns	dns3.name-services.com.
3ddx.dentist.	3600	in	ns	dns4.name-services.com.
3ddx.dentist.	3600	in	ns	dns5.name-services.com.
3f1lgemf72dndga2ul9qbop9p0oeh1a3.dentist.	3600	in	nsec3	1 1 0 73 3VHDT29MUE866MMJ437MPNBHUU4SJ2GB NS DS RRSIG
3f1lgemf72dndga2ul9qbop9p0oeh1a3.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. K6nse6Yo8pnmu3sXI+xN9HQ6+vYL8Oz4FVWTVP1Uws4CdKdb+Hjn2Y8OGx0QnD+mBe6FLbU8G4eHWjdvtowd2hZj962m+XnHG/6mn6K9NqagVs8lV1REJzzVgsQXFCcGhaxH86BHYkp42g7kEg6//8utDiKhZo5/sFtlbUMRdFI=
3shapedesign.dentist.	3600	in	ns	a.portsdns.se.
3shapedesign.dentist.	3600	in	ns	b.portsdns.net.
3shapedesigner.dentist.	3600	in	ns	a.portsdns.se.
3shapedesigner.dentist.	3600	in	ns	b.portsdns.net.
3shapemove.dentist.	3600	in	ns	a.portsdns.se.
3shapemove.dentist.	3600	in	ns	b.portsdns.net.
3vhdt29mue866mmj437mpnbhuu4sj2gb.dentist.	3600	in	nsec3	1 1 0 73 41KV9BAMA84J6J2AP9GI209US3PU2LC3 NS DS RRSIG
3vhdt29mue866mmj437mpnbhuu4sj2gb.dentist.	3600	in	rrsig	NSEC3 8 2 3600 20260122152313 20260101142313 11058 dentist. JkjdXvbblZjFxHisLty9Mxb07aw5BDGRK07Dy9QlSTrQWxOr72DB8B8dYMna7/q7+KLFWTiEzxMBrJGcY4o3AdawIpV2lDnS0jkAyTDlfdlTV0kY9PlxSvR2swb+bheBkamU6ZsMvq2+9ioCXxFrEYNoVMGCpKl6dzcjWIjKCSA=
412.dentist.	3600	in	ns	ns23.domaincontrol.com.
412.dentist.	3600	in	ns	ns24.domaincontrol.com.
416.dentist.	3600	in	ns	ns-us.1and1-dns.com.
416.dentist.	3600	in	ns	ns-us.1and1-dns.de.
416.dentist.	3600	in	ns	ns-us.1and1-dns.org.
416.dentist.	3600	in	ns	ns-us.1and1-dns.us.
41kv9bama84j6j2ap9gi209us3pu2lc3.dentist.	3600	in	nsec3	1 1 0 73 41PG68K8GFSSMJO7RAHCU9CL66BPK46S NS DS RRSIG
