1688overseas.shopping.	3600	in	ns	dns20.hichina.com.
168topgame.shopping.	3600	in	ns	dahlia.ns.cloudflare.com.
168topgame.shopping.	3600	in	ns	randy.ns.cloudflare.com.
16kdqhq49u6qk09kksup9t9p051g7b1h.shopping.	3600	in	nsec3	1 1 0 73 1BG4CCRV7H3PJSJOE4A72O6NUE8H6HJ7 NS DS RRSIG
16kdqhq49u6qk09kksup9t9p051g7b1h.shopping.	3600	in	rrsig	NSEC3 8 2 3600 20260207160316 20260117150316 47484 shopping. GWqkeAnJHfqB0HfASA/vvweF0iY7R5Wi1rZ5hGxF/SKarvfNkXOJpH0SK4GsvgcxPs4s0sqmEp4eYrBnCsV/g+K96CDw+g8mFyaZdyI+iril0uDI71Dknv6lJdjobDsI4VKIDBqR0FAFQzIEAaj+9L9cIdng6QsLO7xX6Dazm8M=
1788.shopping.	3600	in	ns	pitaya.dnspod.net.
1788.shopping.	3600	in	ns	winni.dnspod.net.
1800.shopping.	3600	in	ns	curitiba.ns.porkbun.com.
1800.shopping.	3600	in	ns	fortaleza.ns.porkbun.com.
1800.shopping.	3600	in	ns	maceio.ns.porkbun.com.
1800.shopping.	3600	in	ns	salvador.ns.porkbun.com.
188bet.shopping.	3600	in	ns	pdns95.ultradns.biz.
188bet.shopping.	3600	in	ns	pdns95.ultradns.com.
188bet.shopping.	3600	in	ns	pdns95.ultradns.net.
188bet.shopping.	3600	in	ns	pdns95.ultradns.org.
1904.shopping.	3600	in	ns	ns1.eurodns.com.
1904.shopping.	3600	in	ns	ns2.eurodns.com.
1904.shopping.	3600	in	ns	ns3.eurodns.com.
1904.shopping.	3600	in	ns	ns4.eurodns.com.
1bg4ccrv7h3pjsjoe4a72o6nue8h6hj7.shopping.	3600	in	nsec3	1 1 0 73 1CK2HTLMNP83EPBHJJKULL9UMB4G1Q6M NS DS RRSIG
