0qne46pjeuq4et0g6r2pdll9h7uoipv0.luxe.	900	in	rrsig	NSEC3 8 2 900 20250908104455 20250825095304 1560 luxe. RQAr9MoJQC/FoDKxM/Ohc8HaJsZt0Cn91k0DrsJR0SWDxe4EHN/yHPSEofNBZpq2/9R9j6HydV963BhQA3ZVZPGXfJybi5W3mIvEcKpV4CXpQIFyc7VdojWvbcQwSsZeSHljy/gTDFZ2uFN56rVoOIw7FQpmhvWQmz60TWcrZemrE0o1K9ar6PqJMDQrgBUSbeB0zEsuLXBnL1Huf7mQkA==
0rocq.luxe.	3600	in	ns	dns3.hichina.com.
0rocq.luxe.	3600	in	ns	dns4.hichina.com.
0rodm.luxe.	3600	in	ns	dns29.hichina.com.
0rodm.luxe.	3600	in	ns	dns30.hichina.com.
0rt7av5o3vo013rto5solhqdru7ddhuf.luxe.	900	in	nsec3	1 1 0 - 0VEEN9IPNLQKGBQKNNIFQP59Q1LCULNC NS DS RRSIG
0rt7av5o3vo013rto5solhqdru7ddhuf.luxe.	900	in	rrsig	NSEC3 8 2 900 20250904113623 20250821112743 1560 luxe. FFttyYLVKv+g+dqu1QmEAWv+oQ+qrFp+RnzAJnYjKMgaF6BW2DukEI1YtXE0mg+AKQNfkFoSRA6iSC+gFMHZmF+WfCESb/Is3DgRDWbwICAHDhTiAkdI7KdwBwc+44P4dVCRKI/UvYZMWpKKJj4t/rjBDANnzhGJEYH8P29hH4OUIZ1mFqWFv35cGPqc4B4bc3Ou/hw029Dmtp+6ZiWvhA==
0spc1.luxe.	3600	in	ns	james.ns.cloudflare.com.
0spc1.luxe.	3600	in	ns	zita.ns.cloudflare.com.
0tww7.luxe.	3600	in	ns	james.ns.cloudflare.com.
0tww7.luxe.	3600	in	ns	zita.ns.cloudflare.com.
0veen9ipnlqkgbqknnifqp59q1lculnc.luxe.	900	in	nsec3	1 1 0 - 10U1SOH6OTUQ375V4320NMRJ33KHM920 NS DS RRSIG
0veen9ipnlqkgbqknnifqp59q1lculnc.luxe.	900	in	rrsig	NSEC3 8 2 900 20250904182715 20250821174456 1560 luxe. eF4YHaI17119Mf/VJ0EnDdhGJxQmQHcbfoaKl6gLMcwzNDskosoRAAFmobMbktVkONVWdsqmZjS6qsCcYK3pY2AKEcFx49xiNZgkajCICG3pqby/PqaFyN1TuhdUZMnY+hTJ+WMJmaloHPEG8etsAJUps90swOWjYPfn36rbd34Jcbmnx9zGqq6vyfNe5OYjJSH8AsqzpFL9jUP0+ydGvA==
0w58r.luxe.	3600	in	ns	james.ns.cloudflare.com.
0w58r.luxe.	3600	in	ns	zita.ns.cloudflare.com.
