1cn3bcoiiiieedrfbuaub8ekqekj35ej.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. GMOt6885pBiuEdAHhVSKd+0ADWZTAi+s8160ftV0plXs1B6Nv2xIpLccvQEBnJQwXhjFI59RtfcFx4Ukb9iItLwU2X+YdbMlOE1FyZ9aDfji5nqa22K1RxejmJF5E6ED9ln0D2lQQhGUe2Zsgz6v1ydwEp2NgZV/AmlpQ7vL338=
1gom.charity.	3600	in	ns	deb.ns.cloudflare.com.
1gom.charity.	3600	in	ns	nolan.ns.cloudflare.com.
1h3d4ll3tcq0c1t3feanuifjjhspemlb.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1KPE1AV7V9RPIB24C2DL3UUO0U79GVU3 NS DS RRSIG
1h3d4ll3tcq0c1t3feanuifjjhspemlb.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. m6FuSW3E6RufZAvSeueDTJ/qKaiSoAKA7i8ZJ3CAVUuwTfSZlkojxcexWtUxnYnN2CsU3m+Sw2ZDHWIJmRrwKB0l1zZqIySRYw67b0NZbLSxMWDwyabXdYSrPcBsO/K8E35wgKwACbMOfl8kxcDAwHVWQCWDkgDhgPSKQfbGCco=
1i0jx.charity.	3600	in	ds	25237 13 2 1D805664003F48AC5B6050F9EF1BCC4F102932E75AE6D7B079C7CCBEC137E1ED
1i0jx.charity.	3600	in	ns	launch1.spaceship.net.
1i0jx.charity.	3600	in	ns	launch2.spaceship.net.
1i0jx.charity.	3600	in	rrsig	DS 8 2 3600 20250916152409 20250826142409 31728 charity. SP6NWh7+K3gVdSwquQS2hhMpCz9nVCHDjwW4+jpEyRuPqaomNRV84iPqXkCw6op5B7uhqtExr6VPYglAnVFD95gSddyiSTHt0pUs3EfdvYf319FDXzKqECNEjP1gdyF15AyECr9Aru9+E41gge9jrhzmCND151iM4n/3/17vSVQ=
1kindaction.charity.	3600	in	ns	ns15.domaincontrol.com.
1kindaction.charity.	3600	in	ns	ns16.domaincontrol.com.
1kpe1av7v9rpib24c2dl3uuo0u79gvu3.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1NGKP17VP1NBQEVTDDFF69KSKA7COJ98 NS DS RRSIG
1kpe1av7v9rpib24c2dl3uuo0u79gvu3.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. a3bPL5mgr3AlpBtO7SR4y1fGwBdeP3v+la3mCUa5SPKbwIzKbPvxMThumJBe6li3KyvbLQm4DrQV53JNjuBvrfJvBFUNZCmOfMnSM60aiE4hVuvy9bjfzHyBLfHb17hKSy4PZmAjVzF9X1sf4Z7HfV2wkVtzI2RscZtzyJGWC74=
1ngkp17vp1nbqevtddff69kska7coj98.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1OCICHO0GJ3TVTQM06MOQOFD26G0TQT2 NS DS RRSIG
1ngkp17vp1nbqevtddff69kska7coj98.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. kWSp602CLPeBDsvB4APBQURV1/HUKHfttCRV3sEXJ0nxsMDQYQPcB9iKGoE1BMLL/hz1gSo4GP0HqFPU9U+AhNhwA84ipUFPQ7RdNtnIvTX7Jhoxuucvn7kP17B6ooL3xXUWleNn++iaS4v3tgNKipLQTZv7UVfNdO9dT9sAEns=
1ocicho0gj3tvtqm06moqofd26g0tqt2.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1PMJ3C583FG14SGVK09NI2I52VECCT1N NS DS RRSIG
1ocicho0gj3tvtqm06moqofd26g0tqt2.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. t5Xwq6xhj348Kas+z16FGzUSxZgytYFuwhZs19x8SqIjl+WzbmA3J2fVIlVA2rj791gqRHAZYvJMEXdtmGitSiMP60/LJwl4Dm1M3qGHjr5fQk9IJFby8a2VmXqBuxRDX0LKHznRkuAj4uC7beYvBB5WtA01wieNCya5HE9M/JA=
1percent.charity.	3600	in	ns	ns1.inmotionhosting.com.
1percent.charity.	3600	in	ns	ns2.inmotionhosting.com.
1pmj3c583fg14sgvk09ni2i52vecct1n.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1QK5EB88JQJDTSSENM8947JEMFID629J NS DS RRSIG
1pmj3c583fg14sgvk09ni2i52vecct1n.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. pipBCLxZselhLcwAlr0oqw8GB/1paYsDSumHxbgt3fzvDtlFD4s7ZSGWcqq8C+LZawKPwxrVZYUwcNsVM6xAu2SDZk+T7iD5LTCA4Jw28/tAJ/vftDEwbMPeRKldt0LXMeCvkDJ9btkclvWJYS2qE3w25sTJz8t+U4fbfWB4+4k=
1qk5eb88jqjdtssenm8947jemfid629j.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1R0SH9L1D041RB5CDDMJFHLV89T418B8 NS DS RRSIG
1qk5eb88jqjdtssenm8947jemfid629j.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. pB241WLfxAhPPZZCsCL0S+QP2MYBIs1vmkXcCMAiZB1ybwkeYXMz8uovmeLdpRquDmFg6oKV8KZ3WaRqj4HpfNxYpGwrzqbEiA0M2v1CEg3hHE7OrerpQ+pt5O10XLhoVzwX4hUan5XuLDDn6nUSS3NxUgoTe59OealXn0Ru1fg=
1r0sh9l1d041rb5cddmjfhlv89t418b8.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1SHR5K7NFA2B60R7GQ8JSRGELSJATP7Q NS DS RRSIG
1r0sh9l1d041rb5cddmjfhlv89t418b8.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. j2zsPylmQpVVShzuD+OzEmqk/qusz6Gi+7bX7cCvkB+5/YGNpmkiOfdYbrKNSRyBM7CEcwvnh3WLqqHXXDpJ+RFv2nMx3dJhbpFfa/qa/UtkiIKvHf34/zomZhUsHqHBkhYA94PCKJnPVWNXDPOACALG3kQQHKz2MfU3g3l5SXU=
1shr5k7nfa2b60r7gq8jsrgelsjatp7q.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1T6BQL3DKBVRA0NH54JCHSMVD237LOSK NS DS RRSIG
1shr5k7nfa2b60r7gq8jsrgelsjatp7q.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. aOnKuhpNrGmTOrqvh1eKiyqwgFTa8NiQmn4XbmUXJlKmjp+BTkgwk4u/UcfeQ6UrY1udX+L3UCyjBG6D1EolhMM83W683mzbzE37+PVCRB42B7GMVUwDu3NIDhqf/k4Z0n6ltCfm4GExV6NUMJ377Q7ly75jNvBJsvkT6BGArNo=
1st.charity.	3600	in	ns	ns1.atom.com.
1st.charity.	3600	in	ns	ns2.atom.com.
1t6bql3dkbvra0nh54jchsmvd237losk.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1T873OL7H9FJR71E54K79CPBKGA9F0A3 NS DS RRSIG
1t6bql3dkbvra0nh54jchsmvd237losk.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. jdYj7xlOORWbKv1Eq+AojbN1FdRRJfopHywwy0kzIBzSxrDDU1yl/528VlHmNTkM4ZS9s/PcOh2dSRHEQuxTyAZwZudaCDLGgeh0ERfj3OmKo42Yn+JD4MqMTNOWCweK3Z2PvL2FQ0fo8CZMZys2c/xdl6aG6NwKktj2dmmsWFI=
1t873ol7h9fjr71e54k79cpbkga9f0a3.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1TUOSIC94P96N2VPCQBV0LTBEUALSHVA NS DS RRSIG
1t873ol7h9fjr71e54k79cpbkga9f0a3.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. ZCYyL+oXcCmoktNNKq+Qq4TMFRxdzaAiogwzetZUz9pc04LCnFUG7m7c+5NIO/ofYbCmnG2r1whgLC4Kl7Ja7FpCbO0ogpHW/b/ZVwO2HkLsFODs6NbyGQrobkVMjofhlVMVTrX/aq3rKBwCoLMSiacRi/RaroIJgMBahEuiVLQ=
1tuosic94p96n2vpcqbv0ltbeualshva.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 1UVH583551C9JP258RV8N41QN1O8FLM2 NS DS RRSIG
1tuosic94p96n2vpcqbv0ltbeualshva.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. mA4IrwjeTnMDtE15yjaSeSSJSGaJ1JmP9BQVDrwMNcMu7S8iX7hsB5DM0DSMqrzY6Pus/C4W4x8sfFqbpbq8pS7cp7uXnsLqIxrrgCtW7d/eHmzZz00VWNuZQWe4zWNWVV6GklSgPeOfH4D7EgU9DdqoFN65f4WclGniWRlz+9k=
1uahmatters.charity.	3600	in	ns	fish.ns.cloudflare.com.
1uahmatters.charity.	3600	in	ns	henry.ns.cloudflare.com.
1uvh583551c9jp258rv8n41qn1o8flm2.charity.	3600	in	nsec3	1 1 0 332539EE7F95C32A 203TCAQMHI458JAJKC44AJGV7P9IS13D NS DS RRSIG
1uvh583551c9jp258rv8n41qn1o8flm2.charity.	3600	in	rrsig	NSEC3 8 2 3600 20250916152409 20250826142409 31728 charity. KDV9IUEPIiuUhE/TdYmDL7/eAsQiXxa+Sz95hAjuvjh4/rPbuDVd+hkymfV8B/bVjasi1Laxe/1/EGsDCW5oDjxJklo4XkX9X+spq/Yw0gAyAt4zV+pYcA+k4BqYJlIjFI58Sw5INBDAMAZk4fgUEAyO/4CMFfJVz4H/L+xrmNM=
1win.charity.	3600	in	ns	hugh.ns.cloudflare.com.
1win.charity.	3600	in	ns	shaz.ns.cloudflare.com.
2-old-broads.charity.	3600	in	ns	dns1.registrar-servers.com.
2-old-broads.charity.	3600	in	ns	dns2.registrar-servers.com.
200.charity.	3600	in	ns	ns-cloud-a1.googledomains.com.
200.charity.	3600	in	ns	ns-cloud-a2.googledomains.com.
200.charity.	3600	in	ns	ns-cloud-a3.googledomains.com.
200.charity.	3600	in	ns	ns-cloud-a4.googledomains.com.
