barcelona.	900	in	soa	anycast9.irondns.net. dnsmaster.corenic.org. 2601241559 7200 7200 604800 900
04hncq3b0frvdql0ujfoolvlks8qhg0d.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. V77nFMVb22t/mTUDotpyTEbOyPEwZqbHIcmZ1phOb7RHiOFLFx7WgRaOJ0WuDGS/D0fndwlqI3OyjiRZX8+nK+AiWy2zTyD6YxOSKRQ6OB9KhZTbQeEYNMR7eQS47hmGavs1pC6Tk31FxZqhz7Rg1yjTPgGMNZ+O6qPvXGGQTb/LTgvUfPyvI4FkQzGAwsEmUTK3whKYHTR8arqbvLMh4g==
05agtnsg1munui3lci3aiqndnav9a5ai.barcelona.	43200	in	nsec3	1 0 0 - 05GMQPKAM4QQ0LAR3B8IAPQ9QCVDA4B0 NS
05agtnsg1munui3lci3aiqndnav9a5ai.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. l8bE7f5ArCzoPq/XWNcxJFBHFi1OPcvuryPSElB5IdI7SZy8zTvLoPvTBz9I7Gi8f+QvtjVrLGD1WXgAFKSIwcUDz94IfGvu0hr6kI8wwmHnGOajMNM7TvisQQYsRbPtlAMyjjRAxw4X/DeKw3vsRFCymCu8r5soKTPuNrohti4dWnBi5BTFMq3IeLm80y2kIh6i+A7pC2f52SNDC0jQNA==
05gmqpkam4qq0lar3b8iapq9qcvda4b0.barcelona.	43200	in	nsec3	1 0 0 - 05TAJKHFE23MF9MPVNN0M5RSU31UUMEE NS
05gmqpkam4qq0lar3b8iapq9qcvda4b0.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. H7CDYCPReGUEmmpSHHfeB3KA7ilAzGyrXWxgBgQR8d/pilaPI/MZYeUiiluUwiXXG0QmnzhHF4TJhQ3au9It/58VvTS3Ypj/A2J3XvWKiGxQuGMnA4cvN/Z0kcawfBZ29KmiUxh0KjhVxovqf4Mlb69xDwctjf3t8Smn5MwDMjjVcG5H25ddvHewfWYZwjA0YWkomZNNNyCJW9a63yPKUA==
05tajkhfe23mf9mpvnn0m5rsu31uumee.barcelona.	43200	in	nsec3	1 0 0 - 061TFISRQF1N34KBHB12GIJPP80NA1U8 NS
05tajkhfe23mf9mpvnn0m5rsu31uumee.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. vlno6UeGTl2GKDz6lYZdEVP/4p6dTMm58BoI0qdqdPbNxsxqEeWZ3mCNrj17AMsVrq162zzQyJ9ZppBf0hafSH1A5Px+DE51EHmLp3fz1fqz7XNxwG8e2VcsQT+I6HdREBi0RauHw0jfUgcVSvWU6EEFUxlaNrhwHc06xGZ0Jwzp3t5H4uJ9JBxxOggFQ/Q2k6jvgWuOO2aKxeL0Ll3IKg==
061tfisrqf1n34kbhb12gijpp80na1u8.barcelona.	43200	in	nsec3	1 0 0 - 067I6O0USHIMUKTTG9ILA4MLN0V0Q8FG NS
061tfisrqf1n34kbhb12gijpp80na1u8.barcelona.	43200	in	rrsig	NSEC3 10 2 43200 20260203011901 20260120011901 41237 barcelona. qLtGHjnYBiXtHLlPRbHGx75YPa1jv3RttAeXx0N+yU7b1rtyGZ8FVEgmZ/z7UTtMs7GBQObLVgyeossQwqZ5O2tCflMLdNlTO9vCBJqTIuTkyiZt/L6qUYr7nY6m0agf7iYQGA8Y3UnEK2XYX8lfmfDh+5lJcqKbIOrSlZj+CyWOG8Go2UVODfbwYf7meZYeukmIc4jdCYNSQCbzQ6YkIQ==
067i6o0ushimukttg9ila4mln0v0q8fg.barcelona.	43200	in	nsec3	1 0 0 - 069Q6G26M5BQ4ARHFUHPBVN7VMB44GBI NS DS RRSIG
